Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas
PUEBLA,337,0.86,0.04,55,0.14,0.03,346,0.88,0.04,46,0.12,0.02,329,0.84,0.04,63,0.16,0.03,271,0.69,0.04,121,0.31,0.03,374,0.95,0.04,18,0.05,0.02,371,0.95,0.04,21,0.05,0.02,311,0.79,0.04,81,0.21,0.03,287,0.73,0.04,105,0.27,0.03,343,0.88,0.04,49,0.13,0.03
QUERÉTARO,445,0.86,0.05,71,0.14,0.04,426,0.83,0.05,90,0.17,0.05,391,0.76,0.04,125,0.24,0.05,321,0.62,0.04,195,0.38,0.05,478,0.93,0.05,38,0.07,0.03,474,0.92,0.05,42,0.08,0.05,403,0.78,0.05,113,0.22,0.04,352,0.68,0.04,164,0.32,0.05,449,0.87,0.05,67,0.13,0.04
QUINTANA ROO,394,0.85,0.04,70,0.15,0.04,376,0.81,0.04,88,0.19,0.04,365,0.79,0.04,99,0.21,0.04,307,0.66,0.04,157,0.34,0.04,413,0.89,0.04,51,0.11,0.05,425,0.92,0.04,39,0.08,0.04,368,0.79,0.04,96,0.21,0.04,330,0.71,0.04,134,0.29,0.04,385,0.83,0.04,79,0.17,0.05
SAN LUIS POTOSÍ,323,0.85,0.03,58,0.15,0.03,337,0.89,0.04,44,0.12,0.02,317,0.83,0.04,64,0.17,0.03,241,0.63,0.03,140,0.37,0.04,349,0.92,0.03,32,0.08,0.03,351,0.92,0.03,30,0.08,0.03,287,0.75,0.03,94,0.25,0.04,261,0.69,0.03,120,0.32,0.04,338,0.89,0.04,43,0.11,0.03
SINALOA,503,0.89,0.05,60,0.11,0.03,460,0.82,0.05,103,0.18,0.05,456,0.81,0.05,107,0.19,0.05,384,0.68,0.05,179,0.32,0.04,525,0.93,0.05,38,0.07,0.03,521,0.93,0.05,42,0.08,0.05,447,0.79,0.05,116,0.21,0.04,420,0.75,0.05,143,0.25,0.04,488,0.87,0.05,75,0.13,0.04
SONORA,275,0.84,0.03,52,0.16,0.03,264,0.81,0.03,63,0.19,0.03,252,0.77,0.03,75,0.23,0.03,220,0.67,0.03,107,0.33,0.03,284,0.87,0.03,43,0.13,0.04,303,0.93,0.03,24,0.07,0.03,233,0.71,0.03,94,0.29,0.04,235,0.72,0.03,92,0.28,0.03,279,0.85,0.03,48,0.15,0.03
TABASCO,326,0.83,0.03,68,0.17,0.04,336,0.85,0.04,58,0.15,0.03,325,0.83,0.04,69,0.18,0.03,270,0.69,0.04,124,0.32,0.03,357,0.91,0.04,37,0.09,0.03,366,0.93,0.04,28,0.07,0.03,295,0.75,0.03,99,0.25,0.04,277,0.7,0.04,117,0.3,0.03,338,0.86,0.04,56,0.14,0.03
TAMAULIPAS,367,0.85,0.04,65,0.15,0.03,345,0.8,0.04,87,0.2,0.04,334,0.77,0.04,98,0.23,0.04,269,0.62,0.04,163,0.38,0.04,376,0.87,0.04,56,0.13,0.05,396,0.92,0.04,36,0.08,0.04,304,0.7,0.04,128,0.3,0.05,298,0.69,0.04,134,0.31,0.04,362,0.84,0.04,70,0.16,0.04
TLAXCALA,279,0.85,0.03,50,0.15,0.03,279,0.85,0.03,50,0.15,0.03,266,0.81,0.03,63,0.19,0.03,237,0.72,0.03,92,0.28,0.02,306,0.93,0.03,23,0.07,0.02,311,0.95,0.03,18,0.06,0.02,265,0.81,0.03,64,0.2,0.02,246,0.75,0.03,83,0.25,0.02,286,0.87,0.03,43,0.13,0.03
VERACRUZ,104,0.83,0.01,22,0.18,0.01,112,0.89,0.01,14,0.11,0.01,109,0.87,0.01,17,0.14,0.01,98,0.78,0.01,28,0.22,0.01,115,0.91,0.01,11,0.09,0.01,120,0.95,0.01,6,0.05,0.01,95,0.75,0.01,31,0.25,0.01,85,0.68,0.01,41,0.33,0.01,108,0.86,0.01,18,0.14,0.01
YUCATÁN,216,0.83,0.02,45,0.17,0.02,221,0.85,0.02,40,0.15,0.02,214,0.82,0.02,47,0.18,0.02,185,0.71,0.03,76,0.29,0.02,238,0.91,0.02,23,0.09,0.02,243,0.93,0.02,18,0.07,0.02,206,0.79,0.02,55,0.21,0.02,183,0.7,0.02,78,0.3,0.02,229,0.88,0.02,32,0.12,0.02
ZACATECAS,550,0.74,0.06,189,0.26,0.1,565,0.77,0.06,174,0.24,0.09,536,0.73,0.06,203,0.28,0.09,415,0.56,0.06,324,0.44,0.08,632,0.86,0.06,107,0.15,0.09,665,0.9,0.06,74,0.1,0.08,562,0.76,0.06,177,0.24,0.07,487,0.66,0.06,252,0.34,0.07,584,0.79,0.06,155,0.21,0.09
Hombre,2765,0.8,0.29,677,0.2,0.35,2847,0.83,0.3,595,0.17,0.3,2748,0.8,0.3,694,0.2,0.29,2179,0.63,0.29,1263,0.37,0.31,3097,0.9,0.3,345,0.1,0.3,3121,0.91,0.3,321,0.09,0.35,2656,0.77,0.3,786,0.23,0.3,2436,0.71,0.31,1006,0.29,0.29,2830,0.82,0.29,612,0.18,0.35
Mujer,6765,0.85,0.71,1235,0.15,0.65,6598,0.83,0.7,1402,0.18,0.7,6328,0.79,0.7,1672,0.21,0.71,5236,0.66,0.71,2764,0.35,0.69,7200,0.9,0.7,800,0.1,0.7,7398,0.93,0.7,602,0.08,0.65,6145,0.77,0.7,1855,0.23,0.7,5539,0.69,0.7,2461,0.31,0.71,6874,0.86,0.71,1126,0.14,0.65
18 a 20 años,72,0.87,0.01,11,0.13,0.01,72,0.87,0.01,11,0.13,0.01,67,0.81,0.01,16,0.19,0.01,58,0.7,0.01,25,0.3,0.01,73,0.88,0.01,10,0.12,0.01,77,0.93,0.01,6,0.07,0.01,67,0.81,0.01,16,0.19,0.01,61,0.74,0.01,22,0.27,0.01,66,0.8,0.01,17,0.21,0.01
21 a 30 años,2015,0.84,0.21,378,0.16,0.2,1941,0.81,0.21,452,0.19,0.23,1869,0.78,0.21,524,0.22,0.22,1637,0.68,0.22,756,0.32,0.19,2189,0.92,0.21,204,0.09,0.18,2199,0.92,0.21,194,0.08,0.21,1870,0.78,0.21,523,0.22,0.2,1807,0.76,0.23,586,0.25,0.17,2066,0.86,0.21,327,0.14,0.19
31 a 40 años,3306,0.82,0.35,734,0.18,0.38,3291,0.82,0.35,749,0.19,0.38,3127,0.77,0.35,913,0.23,0.39,2598,0.64,0.35,1442,0.36,0.36,3614,0.9,0.35,426,0.11,0.37,3700,0.92,0.35,340,0.08,0.37,3055,0.76,0.35,985,0.24,0.37,2797,0.69,0.35,1243,0.31,0.36,3393,0.84,0.35,647,0.16,0.37
41 a 50 años,2676,0.84,0.28,519,0.16,0.27,2640,0.83,0.28,555,0.17,0.28,2545,0.8,0.28,650,0.2,0.28,1987,0.62,0.27,1208,0.38,0.3,2866,0.9,0.28,329,0.1,0.29,2936,0.92,0.28,259,0.08,0.28,2427,0.76,0.28,768,0.24,0.29,2098,0.66,0.26,1097,0.34,0.32,2696,0.84,0.28,499,0.16,0.29
51 a 60 años,1292,0.84,0.14,238,0.16,0.12,1323,0.87,0.14,207,0.14,0.1,1295,0.85,0.14,235,0.15,0.1,1001,0.65,0.14,529,0.35,0.13,1377,0.9,0.13,153,0.1,0.13,1423,0.93,0.14,107,0.07,0.12,1217,0.8,0.14,313,0.21,0.12,1066,0.7,0.13,464,0.3,0.13,1316,0.86,0.14,214,0.14,0.12
61 a 70 años,161,0.86,0.02,27,0.14,0.01,167,0.89,0.02,21,0.11,0.01,162,0.86,0.02,26,0.14,0.01,128,0.68,0.02,60,0.32,0.02,169,0.9,0.02,19,0.1,0.02,172,0.92,0.02,16,0.09,0.02,156,0.83,0.02,32,0.17,0.01,139,0.74,0.02,49,0.26,0.01,158,0.84,0.02,30,0.16,0.02
71 a 80 años,8,0.62,0,5,0.39,0,11,0.85,0,2,0.15,0,11,0.85,0,2,0.15,0,6,0.46,0,7,0.54,0,9,0.69,0,4,0.31,0,12,0.92,0,1,0.08,0,9,0.69,0,4,0.31,0,7,0.54,0,6,0.46,0,9,0.69,0,4,0.31,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",29,0.81,0,7,0.19,0,30,0.83,0,6,0.17,0,30,0.83,0,6,0.17,0,27,0.75,0,9,0.25,0,31,0.86,0,5,0.14,0,31,0.86,0,5,0.14,0.01,29,0.81,0,7,0.19,0,27,0.75,0,9,0.25,0,32,0.89,0,4,0.11,0
Normal básica sin licenciatura,384,0.84,0.04,75,0.16,0.04,402,0.88,0.04,57,0.12,0.03,385,0.84,0.04,74,0.16,0.03,306,0.67,0.04,153,0.33,0.04,409,0.89,0.04,50,0.11,0.04,427,0.93,0.04,32,0.07,0.04,354,0.77,0.04,105,0.23,0.04,327,0.71,0.04,132,0.29,0.04,392,0.85,0.04,67,0.15,0.04
Normal superior,193,0.82,0.02,42,0.18,0.02,198,0.84,0.02,37,0.16,0.02,193,0.82,0.02,42,0.18,0.02,153,0.65,0.02,82,0.35,0.02,211,0.9,0.02,24,0.1,0.02,217,0.92,0.02,18,0.08,0.02,185,0.79,0.02,50,0.21,0.02,156,0.66,0.02,79,0.34,0.02,192,0.82,0.02,43,0.18,0.03
Normal Intercultural Bilingüe,88,0.82,0.01,19,0.18,0.01,89,0.83,0.01,18,0.17,0.01,87,0.81,0.01,20,0.19,0.01,73,0.68,0.01,34,0.32,0.01,97,0.91,0.01,10,0.09,0.01,101,0.94,0.01,6,0.06,0.01,84,0.79,0.01,23,0.22,0.01,82,0.77,0.01,25,0.23,0.01,89,0.83,0.01,18,0.17,0.01
Licenciatura,7127,0.83,0.75,1458,0.17,0.76,7066,0.82,0.75,1519,0.18,0.76,6797,0.79,0.75,1788,0.21,0.76,5534,0.65,0.75,3051,0.36,0.76,7720,0.9,0.75,865,0.1,0.76,7908,0.92,0.75,677,0.08,0.73,6553,0.76,0.75,2032,0.24,0.77,5958,0.69,0.75,2627,0.31,0.76,7290,0.85,0.75,1295,0.15,0.75
Especialidad,65,0.87,0.01,10,0.13,0.01,63,0.84,0.01,12,0.16,0.01,62,0.83,0.01,13,0.17,0.01,50,0.67,0.01,25,0.33,0.01,66,0.88,0.01,9,0.12,0.01,70,0.93,0.01,5,0.07,0.01,57,0.76,0.01,18,0.24,0.01,54,0.72,0.01,21,0.28,0.01,60,0.8,0.01,15,0.2,0.01
Maestría,1514,0.85,0.16,269,0.15,0.14,1466,0.82,0.16,317,0.18,0.16,1394,0.78,0.15,389,0.22,0.16,1158,0.65,0.16,625,0.35,0.16,1620,0.91,0.16,163,0.09,0.14,1618,0.91,0.15,165,0.09,0.18,1404,0.79,0.16,379,0.21,0.14,1248,0.7,0.16,535,0.3,0.15,1517,0.85,0.16,266,0.15,0.15
Doctorado,125,0.81,0.01,30,0.19,0.02,125,0.81,0.01,30,0.19,0.02,122,0.79,0.01,33,0.21,0.01,109,0.7,0.02,46,0.3,0.01,136,0.88,0.01,19,0.12,0.02,141,0.91,0.01,14,0.09,0.02,128,0.83,0.02,27,0.17,0.01,116,0.75,0.02,39,0.25,0.01,125,0.81,0.01,30,0.19,0.02
Posdoctorado,5,0.71,0,2,0.29,0,6,0.86,0,1,0.14,0,6,0.86,0,1,0.14,0,5,0.71,0,2,0.29,0,7,1,0,0,0,0,6,0.86,0,1,0.14,0,7,1,0,0,0,0,7,1,0,0,0,0,7,1,0,0,0,0
Menor o igual a 10,3542,0.84,0.37,691,0.16,0.36,3458,0.82,0.37,775,0.18,0.39,3318,0.78,0.37,915,0.22,0.39,2818,0.67,0.38,1415,0.33,0.35,3851,0.91,0.37,382,0.09,0.33,3894,0.92,0.37,339,0.08,0.37,3262,0.77,0.37,971,0.23,0.37,3096,0.73,0.39,1137,0.27,0.33,3638,0.86,0.38,595,0.14,0.34
11 a 20,3177,0.82,0.33,683,0.18,0.36,3143,0.81,0.33,717,0.19,0.36,3012,0.78,0.33,848,0.22,0.36,2449,0.63,0.33,1411,0.37,0.35,3443,0.89,0.33,417,0.11,0.36,3541,0.92,0.34,319,0.08,0.35,2935,0.76,0.33,925,0.24,0.35,2612,0.68,0.33,1248,0.32,0.36,3245,0.84,0.33,615,0.16,0.35
21 a 30,2811,0.84,0.3,538,0.16,0.28,2844,0.85,0.3,505,0.15,0.25,2746,0.82,0.3,603,0.18,0.26,2148,0.64,0.29,1201,0.36,0.3,3003,0.9,0.29,346,0.1,0.3,3084,0.92,0.29,265,0.08,0.29,2604,0.78,0.3,745,0.22,0.28,2267,0.68,0.28,1082,0.32,0.31,2821,0.84,0.29,528,0.16,0.3
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,8878,0.83,0.93,1809,0.17,0.95,8814,0.83,0.93,1873,0.18,0.94,8473,0.79,0.93,2214,0.21,0.94,6899,0.65,0.93,3788,0.35,0.94,9612,0.9,0.93,1075,0.1,0.94,9839,0.92,0.94,848,0.08,0.92,8215,0.77,0.93,2472,0.23,0.94,7402,0.69,0.93,3285,0.31,0.95,9049,0.85,0.93,1638,0.15,0.94
Interino,327,0.87,0.03,48,0.13,0.03,317,0.85,0.03,58,0.16,0.03,304,0.81,0.03,71,0.19,0.03,261,0.7,0.04,114,0.3,0.03,346,0.92,0.03,29,0.08,0.03,338,0.9,0.03,37,0.1,0.04,298,0.8,0.03,77,0.21,0.03,295,0.79,0.04,80,0.21,0.02,330,0.88,0.03,45,0.12,0.03
Tiempo fijo,228,0.88,0.02,32,0.12,0.02,218,0.84,0.02,42,0.16,0.02,212,0.82,0.02,48,0.19,0.02,182,0.7,0.03,78,0.3,0.02,232,0.89,0.02,28,0.11,0.02,235,0.9,0.02,25,0.1,0.03,209,0.8,0.02,51,0.2,0.02,204,0.79,0.03,56,0.22,0.02,229,0.88,0.02,31,0.12,0.02
No tengo nombramiento,8,0.67,0,4,0.33,0,7,0.58,0,5,0.42,0,7,0.58,0,5,0.42,0,6,0.5,0,6,0.5,0,9,0.75,0,3,0.25,0,10,0.83,0,2,0.17,0,7,0.58,0,5,0.42,0,8,0.67,0,4,0.33,0,8,0.67,0,4,0.33,0
Otro,89,0.82,0.01,19,0.18,0.01,89,0.82,0.01,19,0.18,0.01,80,0.74,0.01,28,0.26,0.01,67,0.62,0.01,41,0.38,0.01,98,0.91,0.01,10,0.09,0.01,97,0.9,0.01,11,0.1,0.01,72,0.67,0.01,36,0.33,0.01,66,0.61,0.01,42,0.39,0.01,88,0.82,0.01,20,0.19,0.01
GENERAL PÚBLICA,8448,0.83,0.89,1687,0.17,0.88,8322,0.82,0.88,1813,0.18,0.91,7994,0.79,0.88,2141,0.21,0.91,6508,0.64,0.88,3627,0.36,0.9,9079,0.9,0.88,1056,0.1,0.92,9299,0.92,0.88,836,0.08,0.91,7765,0.77,0.88,2370,0.23,0.9,7027,0.69,0.88,3108,0.31,0.9,8571,0.85,0.88,1564,0.15,0.9
INDÍGENAS,1082,0.83,0.11,225,0.17,0.12,1123,0.86,0.12,184,0.14,0.09,1082,0.83,0.12,225,0.17,0.1,907,0.69,0.12,400,0.31,0.1,1218,0.93,0.12,89,0.07,0.08,1220,0.93,0.12,87,0.07,0.09,1036,0.79,0.12,271,0.21,0.1,948,0.73,0.12,359,0.28,0.1,1133,0.87,0.12,174,0.13,0.1
Total,9530,0.83,1,1912,0.17,1,9445,0.83,1,1997,0.18,1,9076,0.79,1,2366,0.21,1,7415,0.65,1,4027,0.35,1,10297,0.9,1,1145,0.1,1,10519,0.92,1,923,0.08,1,8801,0.77,1,2641,0.23,1,7975,0.7,1,3467,0.3,1,9704,0.85,1,1738,0.15,1
