Variable,B1-A-Mucho-Recuento,B1-A-Mucho-% del N de fila,B1-A-Mucho-% de N columnas,B1-A-Regular-Recuento,B1-A-Regular-% del N de fila,B1-A-Regular-% de N columnas,B1-A-Poco-Recuento,B1-A-Poco-% del N de fila,B1-A-Poco-% de N columnas,B1-A-Nada-Recuento,B1-A-Nada-% del N de fila,B1-A-Nada-% de N columnas,B1-B-Mucho-Recuento,B1-B-Mucho-% del N de fila,B1-B-Mucho-% de N columnas,B1-B-Regular-Recuento,B1-B-Regular-% del N de fila,B1-B-Regular-% de N columnas,B1-B-Poco-Recuento,B1-B-Poco-% del N de fila,B1-B-Poco-% de N columnas,B1-B-Nada-Recuento,B1-B-Nada-% del N de fila,B1-B-Nada-% de N columnas,B1-C-Mucho-Recuento,B1-C-Mucho-% del N de fila,B1-C-Mucho-% de N columnas,B1-C-Regular-Recuento,B1-C-Regular-% del N de fila,B1-C-Regular-% de N columnas,B1-C-Poco-Recuento,B1-C-Poco-% del N de fila,B1-C-Poco-% de N columnas,B1-C-Nada-Recuento,B1-C-Nada-% del N de fila,B1-C-Nada-% de N columnas,B1-D-Mucho-Recuento,B1-D-Mucho-% del N de fila,B1-D-Mucho-% de N columnas,B1-D-Regular-Recuento,B1-D-Regular-% del N de fila,B1-D-Regular-% de N columnas,B1-D-Poco-Recuento,B1-D-Poco-% del N de fila,B1-D-Poco-% de N columnas,B1-D-Nada-Recuento,B1-D-Nada-% del N de fila,B1-D-Nada-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Poco-Recuento,B1-E-Poco-% del N de fila,B1-E-Poco-% de N columnas,B1-E-Nada-Recuento,B1-E-Nada-% del N de fila,B1-E-Nada-% de N columnas,B1-F-Mucho-Recuento,B1-F-Mucho-% del N de fila,B1-F-Mucho-% de N columnas,B1-F-Regular-Recuento,B1-F-Regular-% del N de fila,B1-F-Regular-% de N columnas,B1-F-Poco-Recuento,B1-F-Poco-% del N de fila,B1-F-Poco-% de N columnas,B1-F-Nada-Recuento,B1-F-Nada-% del N de fila,B1-F-Nada-% de N columnas,B1-G-Mucho-Recuento,B1-G-Mucho-% del N de fila,B1-G-Mucho-% de N columnas,B1-G-Regular-Recuento,B1-G-Regular-% del N de fila,B1-G-Regular-% de N columnas,B1-G-Poco-Recuento,B1-G-Poco-% del N de fila,B1-G-Poco-% de N columnas,B1-G-Nada-Recuento,B1-G-Nada-% del N de fila,B1-G-Nada-% de N columnas,B1-H-Mucho-Recuento,B1-H-Mucho-% del N de fila,B1-H-Mucho-% de N columnas,B1-H-Regular-Recuento,B1-H-Regular-% del N de fila,B1-H-Regular-% de N columnas,B1-H-Poco-Recuento,B1-H-Poco-% del N de fila,B1-H-Poco-% de N columnas,B1-H-Nada-Recuento,B1-H-Nada-% del N de fila,B1-H-Nada-% de N columnas,B1-I-Mucho-Recuento,B1-I-Mucho--% del N de fila,B1-I-Mucho-% de N columnas,B1-I-Regular-Recuento,B1-I-Regular-% del N de fila,B1-I-Regular-% de N columnas,B1-I-Poco-Recuento,B1-I-Poco-% del N de fila,B1-I-Poco-% de N columnas,B1-I-Nada-Recuento,B1-I-Nada-% del N de fila,B1-I-Nada-% de N columnas
ESTADO DE MÉXICO,55,0.3,0.04,103,0.56,0.04,24,0.13,0.03,2,0.01,0.02,111,0.6,0.03,66,0.36,0.04,5,0.03,0.03,2,0.01,0.33,80,0.44,0.04,80,0.44,0.03,22,0.12,0.03,2,0.01,0.03,111,0.6,0.03,67,0.36,0.04,5,0.03,0.02,1,0.01,0.1,109,0.59,0.03,65,0.35,0.04,10,0.05,0.03,0,0,0,103,0.56,0.04,70,0.38,0.03,11,0.06,0.03,0,0,0,130,0.71,0.03,50,0.27,0.04,4,0.02,0.03,0,0,0,104,0.57,0.03,67,0.36,0.03,12,0.07,0.04,1,0.01,0.04,124,0.67,0.03,55,0.3,0.04,5,0.03,0.03,0,0,0
GUANAJUATO,63,0.25,0.05,144,0.57,0.05,38,0.15,0.04,9,0.04,0.09,162,0.64,0.05,87,0.34,0.05,5,0.02,0.03,0,0,0,101,0.4,0.05,120,0.47,0.05,31,0.12,0.05,2,0.01,0.03,186,0.73,0.06,59,0.23,0.03,9,0.04,0.04,0,0,0,168,0.66,0.05,74,0.29,0.04,11,0.04,0.04,1,0,0.06,149,0.59,0.05,90,0.35,0.04,15,0.06,0.04,0,0,0,192,0.76,0.05,56,0.22,0.04,6,0.02,0.04,0,0,0,155,0.61,0.05,87,0.34,0.04,11,0.04,0.04,1,0,0.04,175,0.69,0.05,71,0.28,0.05,8,0.03,0.04,0,0,0
GUERRERO,6,0.33,0,10,0.56,0,2,0.11,0,0,0,0,10,0.56,0,6,0.33,0,2,0.11,0.01,0,0,0,8,0.44,0,9,0.5,0,1,0.06,0,0,0,0,7,0.39,0,11,0.61,0.01,0,0,0,0,0,0,10,0.56,0,7,0.39,0,1,0.06,0,0,0,0,12,0.67,0,4,0.22,0,2,0.11,0.01,0,0,0,12,0.67,0,6,0.33,0,0,0,0,0,0,0,11,0.61,0,6,0.33,0,1,0.06,0,0,0,0,10,0.56,0,6,0.33,0,2,0.11,0.01,0,0,0
HIDALGO,53,0.31,0.04,100,0.58,0.03,20,0.12,0.02,1,0.01,0.01,111,0.64,0.03,58,0.33,0.03,5,0.03,0.03,0,0,0,78,0.45,0.04,73,0.42,0.03,23,0.13,0.03,0,0,0,104,0.6,0.03,59,0.34,0.03,11,0.06,0.05,0,0,0,105,0.6,0.03,62,0.36,0.03,7,0.04,0.02,0,0,0,101,0.58,0.04,63,0.36,0.03,10,0.06,0.03,0,0,0,124,0.71,0.03,46,0.26,0.03,3,0.02,0.02,1,0.01,0.14,105,0.6,0.03,59,0.34,0.03,10,0.06,0.04,0,0,0,121,0.7,0.03,47,0.27,0.03,6,0.03,0.03,0,0,0
JALISCO,44,0.24,0.03,96,0.52,0.03,40,0.22,0.05,4,0.02,0.04,122,0.66,0.04,53,0.29,0.03,9,0.05,0.05,0,0,0,75,0.41,0.04,84,0.46,0.03,24,0.13,0.04,1,0.01,0.01,125,0.68,0.04,54,0.29,0.03,4,0.02,0.02,1,0.01,0.1,106,0.58,0.03,67,0.36,0.04,10,0.05,0.03,1,0.01,0.06,99,0.54,0.04,71,0.39,0.03,11,0.06,0.03,3,0.02,0.15,127,0.69,0.03,53,0.29,0.04,4,0.02,0.03,0,0,0,99,0.54,0.03,71,0.39,0.04,12,0.07,0.04,2,0.01,0.09,127,0.69,0.04,49,0.27,0.03,8,0.04,0.04,0,0,0
MICHOACÁN,12,0.26,0.01,27,0.57,0.01,7,0.15,0.01,1,0.02,0.01,34,0.72,0.01,11,0.23,0.01,2,0.04,0.01,0,0,0,23,0.49,0.01,19,0.4,0.01,5,0.11,0.01,0,0,0,27,0.57,0.01,18,0.38,0.01,2,0.04,0.01,0,0,0,30,0.64,0.01,15,0.32,0.01,2,0.04,0.01,0,0,0,28,0.6,0.01,17,0.36,0.01,2,0.04,0.01,0,0,0,35,0.75,0.01,12,0.26,0.01,0,0,0,0,0,0,26,0.55,0.01,19,0.4,0.01,2,0.04,0.01,0,0,0,34,0.72,0.01,13,0.28,0.01,0,0,0,0,0,0
MORELOS,59,0.35,0.04,84,0.5,0.03,24,0.14,0.03,0,0,0,120,0.72,0.04,40,0.24,0.02,7,0.04,0.04,0,0,0,76,0.46,0.04,73,0.44,0.03,16,0.1,0.02,2,0.01,0.03,119,0.71,0.04,44,0.26,0.02,4,0.02,0.02,0,0,0,100,0.6,0.03,55,0.33,0.03,11,0.07,0.04,1,0.01,0.06,101,0.61,0.04,59,0.35,0.03,7,0.04,0.02,0,0,0,135,0.81,0.04,28,0.17,0.02,4,0.02,0.03,0,0,0,115,0.69,0.04,48,0.29,0.02,4,0.02,0.01,0,0,0,126,0.75,0.03,38,0.23,0.03,3,0.02,0.02,0,0,0
NAYARIT,38,0.2,0.03,118,0.62,0.04,28,0.15,0.03,5,0.03,0.05,123,0.65,0.04,61,0.32,0.03,5,0.03,0.03,0,0,0,78,0.41,0.04,83,0.44,0.03,26,0.14,0.04,2,0.01,0.03,125,0.66,0.04,53,0.28,0.03,10,0.05,0.04,1,0.01,0.1,119,0.63,0.04,59,0.31,0.03,10,0.05,0.03,1,0.01,0.06,96,0.51,0.03,84,0.44,0.04,9,0.05,0.02,0,0,0,136,0.72,0.04,50,0.27,0.04,2,0.01,0.01,1,0.01,0.14,106,0.56,0.04,73,0.39,0.04,9,0.05,0.03,1,0.01,0.04,132,0.7,0.04,51,0.27,0.03,6,0.03,0.03,0,0,0
NUEVO LEÓN,1,0.03,0,23,0.7,0.01,9,0.27,0.01,0,0,0,16,0.49,0.01,16,0.49,0.01,1,0.03,0.01,0,0,0,10,0.3,0.01,18,0.55,0.01,4,0.12,0.01,1,0.03,0.01,19,0.58,0.01,12,0.36,0.01,2,0.06,0.01,0,0,0,17,0.52,0.01,13,0.39,0.01,3,0.09,0.01,0,0,0,15,0.46,0.01,12,0.36,0.01,5,0.15,0.01,1,0.03,0.05,23,0.7,0.01,8,0.24,0.01,2,0.06,0.01,0,0,0,13,0.39,0,16,0.49,0.01,4,0.12,0.01,0,0,0,18,0.55,0.01,12,0.36,0.01,3,0.09,0.02,0,0,0
PUEBLA,75,0.39,0.05,88,0.46,0.03,24,0.13,0.03,4,0.02,0.04,114,0.6,0.04,72,0.38,0.04,5,0.03,0.03,0,0,0,71,0.37,0.03,92,0.48,0.04,27,0.14,0.04,1,0.01,0.01,123,0.64,0.04,61,0.32,0.03,7,0.04,0.03,0,0,0,126,0.66,0.04,51,0.27,0.03,14,0.07,0.05,0,0,0,107,0.56,0.04,74,0.39,0.03,9,0.05,0.02,1,0.01,0.05,147,0.77,0.04,41,0.22,0.03,3,0.02,0.02,0,0,0,133,0.7,0.04,47,0.25,0.02,11,0.06,0.04,0,0,0,142,0.74,0.04,43,0.23,0.03,4,0.02,0.02,2,0.01,0.22
QUERÉTARO,66,0.27,0.05,135,0.56,0.05,34,0.14,0.04,6,0.03,0.06,140,0.58,0.04,92,0.38,0.05,8,0.03,0.04,1,0,0.17,94,0.39,0.05,119,0.49,0.05,23,0.1,0.03,5,0.02,0.07,132,0.55,0.04,95,0.39,0.05,13,0.05,0.05,1,0,0.1,139,0.58,0.04,85,0.35,0.05,17,0.07,0.06,0,0,0,107,0.44,0.04,107,0.44,0.05,25,0.1,0.07,2,0.01,0.1,159,0.66,0.04,75,0.31,0.06,6,0.03,0.04,1,0,0.14,115,0.48,0.04,107,0.44,0.05,18,0.08,0.06,1,0,0.04,153,0.64,0.04,78,0.32,0.05,9,0.04,0.05,1,0,0.11
QUINTANA ROO,49,0.24,0.04,122,0.6,0.04,26,0.13,0.03,6,0.03,0.06,112,0.55,0.03,85,0.42,0.05,6,0.03,0.03,0,0,0,70,0.35,0.03,98,0.48,0.04,28,0.14,0.04,7,0.03,0.1,118,0.58,0.04,72,0.36,0.04,13,0.06,0.05,0,0,0,121,0.6,0.04,71,0.35,0.04,11,0.05,0.04,0,0,0,104,0.51,0.04,75,0.37,0.04,24,0.12,0.06,0,0,0,144,0.71,0.04,55,0.27,0.04,4,0.02,0.03,0,0,0,112,0.55,0.04,84,0.41,0.04,7,0.03,0.02,0,0,0,138,0.68,0.04,61,0.3,0.04,4,0.02,0.02,0,0,0
SAN LUIS POTOSÍ,51,0.21,0.04,139,0.57,0.05,51,0.21,0.06,2,0.01,0.02,127,0.52,0.04,106,0.44,0.06,10,0.04,0.05,0,0,0,85,0.35,0.04,125,0.51,0.05,31,0.13,0.05,2,0.01,0.03,122,0.5,0.04,109,0.45,0.06,12,0.05,0.05,0,0,0,134,0.55,0.04,94,0.39,0.05,15,0.06,0.05,0,0,0,125,0.51,0.05,102,0.42,0.05,15,0.06,0.04,1,0,0.05,160,0.66,0.04,74,0.31,0.06,9,0.04,0.06,0,0,0,129,0.53,0.04,99,0.41,0.05,13,0.05,0.05,2,0.01,0.09,153,0.63,0.04,81,0.33,0.06,8,0.03,0.04,1,0,0.11
SINALOA,101,0.27,0.07,198,0.52,0.07,71,0.19,0.08,10,0.03,0.09,244,0.64,0.07,117,0.31,0.06,19,0.05,0.1,0,0,0,157,0.41,0.08,163,0.43,0.07,55,0.15,0.08,5,0.01,0.07,237,0.62,0.07,118,0.31,0.07,24,0.06,0.1,1,0,0.1,239,0.63,0.08,120,0.32,0.07,19,0.05,0.06,2,0.01,0.11,203,0.53,0.07,152,0.4,0.07,25,0.07,0.07,0,0,0,274,0.72,0.07,90,0.24,0.07,15,0.04,0.1,1,0,0.14,225,0.59,0.07,129,0.34,0.07,22,0.06,0.08,4,0.01,0.17,275,0.72,0.08,88,0.23,0.06,17,0.05,0.09,0,0,0
SONORA,43,0.26,0.03,98,0.58,0.03,25,0.15,0.03,2,0.01,0.02,110,0.66,0.03,51,0.3,0.03,7,0.04,0.04,0,0,0,67,0.4,0.03,73,0.44,0.03,22,0.13,0.03,6,0.04,0.09,108,0.64,0.03,54,0.32,0.03,6,0.04,0.03,0,0,0,98,0.58,0.03,63,0.38,0.04,7,0.04,0.02,0,0,0,90,0.54,0.03,68,0.41,0.03,10,0.06,0.03,0,0,0,127,0.76,0.03,37,0.22,0.03,4,0.02,0.03,0,0,0,105,0.63,0.03,54,0.32,0.03,9,0.05,0.03,0,0,0,125,0.74,0.03,39,0.23,0.03,4,0.02,0.02,0,0,0
TABASCO,30,0.48,0.02,29,0.46,0.01,4,0.06,0.01,0,0,0,47,0.75,0.01,13,0.21,0.01,3,0.05,0.02,0,0,0,27,0.43,0.01,28,0.44,0.01,7,0.11,0.01,1,0.02,0.01,48,0.76,0.02,13,0.21,0.01,2,0.03,0.01,0,0,0,46,0.73,0.01,14,0.22,0.01,3,0.05,0.01,0,0,0,37,0.59,0.01,22,0.35,0.01,3,0.05,0.01,1,0.02,0.05,52,0.83,0.01,9,0.14,0.01,2,0.03,0.01,0,0,0,45,0.71,0.02,16,0.25,0.01,2,0.03,0.01,0,0,0,50,0.79,0.01,10,0.16,0.01,3,0.05,0.02,0,0,0
TAMAULIPAS,56,0.27,0.04,115,0.56,0.04,32,0.16,0.04,4,0.02,0.04,144,0.7,0.04,59,0.29,0.03,4,0.02,0.02,0,0,0,95,0.46,0.05,97,0.47,0.04,15,0.07,0.02,0,0,0,140,0.68,0.04,64,0.31,0.04,3,0.01,0.01,0,0,0,142,0.69,0.04,56,0.27,0.03,8,0.04,0.03,1,0.01,0.06,120,0.58,0.04,79,0.38,0.04,8,0.04,0.02,0,0,0,158,0.76,0.04,45,0.22,0.03,4,0.02,0.03,0,0,0,123,0.59,0.04,81,0.39,0.04,2,0.01,0.01,1,0.01,0.04,157,0.76,0.04,46,0.22,0.03,4,0.02,0.02,0,0,0
TLAXCALA,30,0.33,0.02,50,0.56,0.02,8,0.09,0.01,2,0.02,0.02,60,0.67,0.02,27,0.3,0.02,2,0.02,0.01,1,0.01,0.17,37,0.41,0.02,47,0.52,0.02,6,0.07,0.01,0,0,0,55,0.61,0.02,34,0.38,0.02,1,0.01,0,0,0,0,56,0.62,0.02,29,0.32,0.02,4,0.04,0.01,1,0.01,0.06,53,0.59,0.02,32,0.36,0.02,4,0.04,0.01,1,0.01,0.05,69,0.77,0.02,21,0.23,0.02,0,0,0,0,0,0,58,0.64,0.02,31,0.34,0.02,1,0.01,0,0,0,0,64,0.71,0.02,24,0.27,0.02,1,0.01,0.01,1,0.01,0.11
VERACRUZ,24,0.2,0.02,74,0.62,0.03,18,0.15,0.02,3,0.03,0.03,64,0.54,0.02,51,0.43,0.03,4,0.03,0.02,0,0,0,27,0.23,0.01,73,0.61,0.03,19,0.16,0.03,0,0,0,60,0.5,0.02,54,0.45,0.03,5,0.04,0.02,0,0,0,59,0.5,0.02,51,0.43,0.03,6,0.05,0.02,3,0.03,0.17,54,0.45,0.02,53,0.45,0.03,12,0.1,0.03,0,0,0,78,0.66,0.02,38,0.32,0.03,3,0.03,0.02,0,0,0,65,0.55,0.02,48,0.4,0.02,5,0.04,0.02,1,0.01,0.04,74,0.62,0.02,40,0.34,0.03,5,0.04,0.03,0,0,0
YUCATÁN,31,0.25,0.02,71,0.57,0.02,21,0.17,0.02,2,0.02,0.02,78,0.62,0.02,42,0.34,0.02,5,0.04,0.03,0,0,0,38,0.3,0.02,67,0.54,0.03,18,0.14,0.03,2,0.02,0.03,71,0.57,0.02,46,0.37,0.03,8,0.06,0.03,0,0,0,68,0.54,0.02,47,0.38,0.03,8,0.06,0.03,2,0.02,0.11,55,0.44,0.02,57,0.46,0.03,11,0.09,0.03,2,0.02,0.1,86,0.69,0.02,33,0.26,0.02,6,0.05,0.04,0,0,0,66,0.53,0.02,54,0.43,0.03,5,0.04,0.02,0,0,0,78,0.62,0.02,44,0.35,0.03,3,0.02,0.02,0,0,0
