Variable,B4-A-Siempre-Recuento,B4-A-Siempre-% del N de fila,B4-A-Siempre-% de N columnas,B4-A-Muchas veces-Recuento,B4-A-Muchas veces-% del N de fila,B4-A-Muchas veces-% de N columnas,B4-A-Pocas veces-Recuento,B4-A-Pocas veces-% del N de fila,B4-A-Pocas veces-% de N columnas,B4-A-Nunca-Recuento,B4-A-Nunca-% del N de fila,B4-A-Nunca-% de N columnas,B4-B-Siempre-Recuento,B4-B-Siempre-% del N de fila,B4-B-Siempre-% de N columnas,B4-B-Muchas veces-Recuento,B4-B-Muchas veces-% del N de fila,B4-B-Muchas veces-% de N columnas,B4-B-Pocas veces-Recuento,B4-B-Pocas veces-% del N de fila,B4-B-Pocas veces-% de N columnas,B4-B-Nunca-Recuento,B4-B-Nunca-% del N de fila,B4-B-Nunca-% de N columnas,B4-C-Siempre-Recuento,B4-C-Siempre-% del N de fila,B4-C-Siempre-% de N columnas,B4-C-Muchas veces-Recuento,B4-C-Muchas veces-% del N de fila,B4-C-Muchas veces-% de N columnas,B4-C-Pocas veces-Recuento,B4-C-Pocas veces-% del N de fila,B4-C-Pocas veces-% de N columnas,B4-C-Nunca-Recuento,B4-C-Nunca-% del N de fila,B4-C-Nunca-% de N columnas,B4-D-Siempre-Recuento,B4-D-Siempre-% del N de fila,B4-D-Siempre-% de N columnas,B4-D-Muchas veces-Recuento,B4-D-Muchas veces-% del N de fila,B4-D-Muchas veces-% de N columnas,B4-D-Pocas veces-Recuento,B4-D-Pocas veces-% del N de fila,B4-D-Pocas veces-% de N columnas,B4-D-Nunca-Recuento,B4-D-Nunca-% del N de fila,B4-D-Nunca-% de N columnas,B4-E-Siempre-Recuento,B4-E-Siempre-% del N de fila,B4-E-Siempre-% de N columnas,B4-E-Muchas veces-Recuento,B4-E-Muchas veces-% del N de fila,B4-E-Muchas veces-% de N columnas,B4-E-Pocas veces-Recuento,B4-E-Pocas veces-% del N de fila,B4-E-Pocas veces-% de N columnas,B4-E-Nunca-Recuento,B4-E-Nunca-% del N de fila,B4-E-Nunca-% de N columnas,B4-F-Siempre-Recuento,B4-F-Siempre-% del N de fila,B4-F-Siempre-% de N columnas,B4-F-Muchas veces-Recuento,B4-F-Muchas veces-% del N de fila,B4-F-Muchas veces-% de N columnas,B4-F-Pocas veces-Recuento,B4-F-Pocas veces-% del N de fila,B4-F-Pocas veces-% de N columnas,B4-F-Nunca-Recuento,B4-F-Nunca-% del N de fila,B4-F-Nunca-% de N columnas,B4-G-Siempre-Recuento,B4-G-Siempre-% del N de fila,B4-G-Siempre-% de N columnas,B4-G-Muchas veces-Recuento,B4-G-Muchas veces-% del N de fila,B4-G-Muchas veces-% de N columnas,B4-G-Pocas veces-Recuento,B4-G-Pocas veces-% del N de fila,B4-G-Pocas veces-% de N columnas,B4-G-Nunca-Recuento,B4-G-Nunca-% del N de fila,B4-G-Nunca-% de N columnas,B4-H-Siempre-Recuento,B4-H-Siempre-% del N de fila,B4-H-Siempre-% de N columnas,B4-H-Muchas veces-Recuento,B4-H-Muchas veces-% del N de fila,B4-H-Muchas veces-% de N columnas,B4-H-Pocas veces-Recuento,B4-H-Pocas veces-% del N de fila,B4-H-Pocas veces-% de N columnas,B4-H-Nunca-Recuento,B4-H-Nunca-% del N de fila,B4-H-Nunca-% de N columnas,B4-I-Siempre-Recuento,B4-I-Siempre-% del N de fila,B4-I-Siempre-% de N columnas,B4-I-Muchas veces-Recuento,B4-I-Muchas veces-% del N de fila,B4-I-Muchas veces-% de N columnas,B4-I-Pocas veces-Recuento,B4-I-Pocas veces-% del N de fila,B4-I-Pocas veces-% de N columnas,B4-I-Nunca-Recuento,B4-I-Nunca-% del N de fila,B4-I-Nunca-% de N columnas,B4-J-Siempre-Recuento,B4-J-Siempre-% del N de fila,B4-J-Siempre-% de N columnas,B4-J-Muchas veces-Recuento,B4-J-Muchas veces-% del N de fila,B4-J-Muchas veces-% de N columnas,B4-J-Pocas veces-Recuento,B4-J-Pocas veces-% del N de fila,B4-J-Pocas veces-% de N columnas,B4-J-Nunca-Recuento,B4-J-Nunca-% del N de fila,B4-J-Nunca-% de N columnas,B4-K-Siempre-Recuento,B4-K-Siempre-% del N de fila,B4-K-Siempre-% de N columnas,B4-K-Muchas veces-Recuento,B4-K-Muchas veces-% del N de fila,B4-K-Muchas veces-% de N columnas,B4-K-Pocas veces-Recuento,B4-K-Pocas veces-% del N de fila,B4-K-Pocas veces-% de N columnas,B4-K-Nunca-Recuento,B4-K-Nunca-% del N de fila,B4-K-Nunca-% de N columnas
ESTADO DE MÉXICO,569,0.48,0.04,411,0.35,0.04,186,0.16,0.04,12,0.01,0.05,640,0.54,0.04,444,0.38,0.04,90,0.08,0.04,4,0,0.04,212,0.18,0.05,226,0.19,0.04,561,0.48,0.04,179,0.15,0.04,474,0.4,0.04,446,0.38,0.04,236,0.2,0.04,22,0.02,0.06,469,0.4,0.04,501,0.43,0.04,191,0.16,0.04,17,0.01,0.05,165,0.14,0.05,242,0.21,0.04,463,0.39,0.04,308,0.26,0.04,435,0.37,0.04,504,0.43,0.04,204,0.17,0.04,35,0.03,0.06,420,0.36,0.04,540,0.46,0.04,204,0.17,0.04,14,0.01,0.04,517,0.44,0.04,503,0.43,0.04,153,0.13,0.04,5,0,0.02,521,0.44,0.04,487,0.41,0.04,155,0.13,0.04,15,0.01,0.06,469,0.4,0.04,514,0.44,0.04,171,0.15,0.04,24,0.02,0.06
GUANAJUATO,801,0.47,0.06,638,0.37,0.06,256,0.15,0.05,18,0.01,0.08,922,0.54,0.06,662,0.39,0.06,119,0.07,0.06,10,0.01,0.11,294,0.17,0.07,355,0.21,0.06,772,0.45,0.05,292,0.17,0.06,672,0.39,0.06,700,0.41,0.06,321,0.19,0.06,20,0.01,0.05,700,0.41,0.06,740,0.43,0.06,257,0.15,0.05,16,0.01,0.05,206,0.12,0.06,366,0.21,0.06,701,0.41,0.06,440,0.26,0.06,622,0.36,0.06,768,0.45,0.06,280,0.16,0.05,43,0.03,0.07,605,0.35,0.06,792,0.46,0.06,286,0.17,0.05,30,0.02,0.08,715,0.42,0.06,783,0.46,0.06,199,0.12,0.06,16,0.01,0.07,747,0.44,0.06,744,0.43,0.06,202,0.12,0.05,20,0.01,0.08,679,0.4,0.06,781,0.46,0.06,218,0.13,0.05,35,0.02,0.09
GUERRERO,130,0.52,0.01,67,0.27,0.01,50,0.2,0.01,2,0.01,0.01,136,0.55,0.01,95,0.38,0.01,18,0.07,0.01,0,0,0,33,0.13,0.01,45,0.18,0.01,103,0.41,0.01,68,0.27,0.01,100,0.4,0.01,91,0.37,0.01,52,0.21,0.01,6,0.02,0.02,98,0.39,0.01,108,0.43,0.01,41,0.17,0.01,2,0.01,0.01,32,0.13,0.01,47,0.19,0.01,88,0.35,0.01,82,0.33,0.01,91,0.37,0.01,100,0.4,0.01,50,0.2,0.01,8,0.03,0.01,83,0.33,0.01,111,0.45,0.01,52,0.21,0.01,3,0.01,0.01,109,0.44,0.01,114,0.46,0.01,24,0.1,0.01,2,0.01,0.01,117,0.47,0.01,96,0.39,0.01,30,0.12,0.01,6,0.02,0.02,104,0.42,0.01,102,0.41,0.01,39,0.16,0.01,4,0.02,0.01
HIDALGO,501,0.48,0.04,374,0.36,0.04,163,0.16,0.03,6,0.01,0.03,538,0.52,0.03,421,0.4,0.04,83,0.08,0.04,2,0,0.02,154,0.15,0.04,210,0.2,0.04,498,0.48,0.04,182,0.17,0.04,390,0.37,0.03,419,0.4,0.04,221,0.21,0.04,14,0.01,0.04,412,0.4,0.04,437,0.42,0.03,183,0.18,0.04,12,0.01,0.04,114,0.11,0.04,244,0.23,0.04,439,0.42,0.04,247,0.24,0.03,349,0.33,0.03,445,0.43,0.03,227,0.22,0.04,23,0.02,0.04,354,0.34,0.04,466,0.45,0.03,208,0.2,0.04,16,0.02,0.04,462,0.44,0.04,455,0.44,0.03,110,0.11,0.03,17,0.02,0.07,426,0.41,0.03,465,0.45,0.04,144,0.14,0.04,9,0.01,0.04,380,0.36,0.03,497,0.48,0.04,150,0.14,0.04,17,0.02,0.04
JALISCO,517,0.41,0.04,506,0.4,0.05,227,0.18,0.05,7,0.01,0.03,641,0.51,0.04,530,0.42,0.05,83,0.07,0.04,3,0,0.03,136,0.11,0.03,224,0.18,0.04,663,0.53,0.05,234,0.19,0.05,464,0.37,0.04,563,0.45,0.05,213,0.17,0.04,17,0.01,0.05,459,0.37,0.04,576,0.46,0.05,206,0.16,0.04,16,0.01,0.05,112,0.09,0.03,260,0.21,0.04,524,0.42,0.04,361,0.29,0.05,421,0.34,0.04,615,0.49,0.05,201,0.16,0.04,20,0.02,0.03,388,0.31,0.04,629,0.5,0.05,227,0.18,0.04,13,0.01,0.03,501,0.4,0.04,612,0.49,0.05,135,0.11,0.04,9,0.01,0.04,524,0.42,0.04,564,0.45,0.05,159,0.13,0.04,10,0.01,0.04,475,0.38,0.04,597,0.48,0.05,174,0.14,0.04,11,0.01,0.03
MICHOACÁN,6,0.5,0,5,0.42,0,1,0.08,0,0,0,0,8,0.67,0,3,0.25,0,1,0.08,0,0,0,0,3,0.25,0,1,0.08,0,4,0.33,0,4,0.33,0,3,0.25,0,8,0.67,0,1,0.08,0,0,0,0,2,0.17,0,8,0.67,0,2,0.17,0,0,0,0,1,0.08,0,3,0.25,0,3,0.25,0,5,0.42,0,4,0.33,0,6,0.5,0,2,0.17,0,0,0,0,5,0.42,0,6,0.5,0,1,0.08,0,0,0,0,2,0.17,0,9,0.75,0,1,0.08,0,0,0,0,6,0.5,0,4,0.33,0,2,0.17,0,0,0,0,5,0.42,0,6,0.5,0,1,0.08,0,0,0,0
MORELOS,674,0.45,0.05,571,0.38,0.05,254,0.17,0.05,14,0.01,0.06,778,0.52,0.05,616,0.41,0.06,111,0.07,0.06,7,0.01,0.08,284,0.19,0.07,354,0.23,0.06,716,0.47,0.05,158,0.1,0.03,519,0.34,0.05,638,0.42,0.05,338,0.22,0.06,18,0.01,0.05,551,0.36,0.05,660,0.44,0.05,285,0.19,0.06,17,0.01,0.05,182,0.12,0.06,327,0.22,0.05,643,0.43,0.05,361,0.24,0.05,479,0.32,0.05,681,0.45,0.05,315,0.21,0.06,38,0.03,0.06,478,0.32,0.05,695,0.46,0.05,325,0.22,0.06,14,0.01,0.04,614,0.41,0.05,703,0.47,0.05,185,0.12,0.05,10,0.01,0.04,635,0.42,0.05,645,0.43,0.05,218,0.14,0.06,14,0.01,0.06,524,0.35,0.05,699,0.46,0.05,263,0.17,0.06,26,0.02,0.07
NAYARIT,297,0.46,0.02,233,0.36,0.02,112,0.17,0.02,4,0.01,0.02,371,0.57,0.02,223,0.35,0.02,50,0.08,0.03,2,0,0.02,81,0.13,0.02,117,0.18,0.02,315,0.49,0.02,133,0.21,0.03,270,0.42,0.02,240,0.37,0.02,128,0.2,0.02,8,0.01,0.02,236,0.37,0.02,285,0.44,0.02,118,0.18,0.02,7,0.01,0.02,64,0.1,0.02,123,0.19,0.02,278,0.43,0.02,181,0.28,0.02,229,0.35,0.02,285,0.44,0.02,114,0.18,0.02,18,0.03,0.03,227,0.35,0.02,289,0.45,0.02,120,0.19,0.02,10,0.02,0.03,264,0.41,0.02,290,0.45,0.02,83,0.13,0.02,9,0.01,0.04,299,0.46,0.02,259,0.4,0.02,83,0.13,0.02,5,0.01,0.02,265,0.41,0.02,281,0.44,0.02,86,0.13,0.02,14,0.02,0.04
NUEVO LEÓN,67,0.64,0.01,27,0.26,0,9,0.09,0,1,0.01,0,73,0.7,0,26,0.25,0,4,0.04,0,1,0.01,0.01,12,0.12,0,14,0.14,0,41,0.39,0,37,0.36,0.01,58,0.56,0.01,35,0.34,0,10,0.1,0,1,0.01,0,54,0.52,0.01,39,0.38,0,10,0.1,0,1,0.01,0,13,0.13,0,17,0.16,0,33,0.32,0,41,0.39,0.01,52,0.5,0.01,36,0.35,0,14,0.14,0,2,0.02,0,47,0.45,0.01,42,0.4,0,13,0.13,0,2,0.02,0.01,47,0.45,0,46,0.44,0,10,0.1,0,1,0.01,0,61,0.59,0.01,29,0.28,0,12,0.12,0,2,0.02,0.01,58,0.56,0.01,34,0.33,0,8,0.08,0,4,0.04,0.01
PUEBLA,438,0.49,0.03,319,0.36,0.03,129,0.15,0.03,6,0.01,0.03,496,0.56,0.03,336,0.38,0.03,56,0.06,0.03,4,0,0.04,133,0.15,0.03,170,0.19,0.03,410,0.46,0.03,179,0.2,0.04,343,0.39,0.03,361,0.41,0.03,175,0.2,0.03,13,0.02,0.03,353,0.4,0.03,373,0.42,0.03,159,0.18,0.03,7,0.01,0.02,98,0.11,0.03,187,0.21,0.03,360,0.4,0.03,247,0.28,0.03,352,0.4,0.03,363,0.41,0.03,160,0.18,0.03,17,0.02,0.03,321,0.36,0.03,404,0.45,0.03,153,0.17,0.03,14,0.02,0.04,368,0.41,0.03,400,0.45,0.03,118,0.13,0.03,6,0.01,0.03,404,0.45,0.03,370,0.42,0.03,110,0.12,0.03,8,0.01,0.03,370,0.42,0.03,376,0.42,0.03,133,0.15,0.03,13,0.02,0.03
QUERÉTARO,705,0.47,0.05,547,0.37,0.05,231,0.16,0.05,12,0.01,0.05,805,0.54,0.05,582,0.39,0.05,105,0.07,0.05,3,0,0.03,224,0.15,0.05,337,0.23,0.06,695,0.47,0.05,239,0.16,0.05,563,0.38,0.05,617,0.41,0.05,293,0.2,0.05,22,0.02,0.06,567,0.38,0.05,648,0.43,0.05,268,0.18,0.05,12,0.01,0.04,162,0.11,0.05,317,0.21,0.05,628,0.42,0.05,388,0.26,0.05,538,0.36,0.05,625,0.42,0.05,304,0.2,0.06,27,0.02,0.04,491,0.33,0.05,693,0.46,0.05,288,0.19,0.05,22,0.02,0.06,598,0.4,0.05,682,0.46,0.05,200,0.13,0.06,14,0.01,0.06,611,0.41,0.05,661,0.44,0.05,210,0.14,0.06,12,0.01,0.05,553,0.37,0.05,652,0.44,0.05,258,0.17,0.06,31,0.02,0.08
