Variable,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas
ESTADO DE MÉXICO,59,0.32,0.03,108,0.59,0.03,17,0.09,0.05,0,0,0,74,0.4,0.04,100,0.54,0.03,9,0.05,0.03,1,0.01,0.07,91,0.5,0.03,86,0.47,0.04,7,0.04,0.04,0,0,0,74,0.4,0.03,100,0.54,0.04,9,0.05,0.04,1,0.01,0.09,88,0.48,0.03,87,0.47,0.03,8,0.04,0.05,1,0.01,0.06
GUANAJUATO,93,0.37,0.05,143,0.56,0.05,18,0.07,0.05,0,0,0,120,0.47,0.06,126,0.5,0.04,8,0.03,0.03,0,0,0,147,0.58,0.05,95,0.37,0.04,10,0.04,0.06,2,0.01,0.12,127,0.5,0.06,116,0.46,0.04,11,0.04,0.05,0,0,0,137,0.54,0.05,109,0.43,0.04,8,0.03,0.05,0,0,0
GUERRERO,5,0.28,0,13,0.72,0,0,0,0,0,0,0,6,0.33,0,12,0.67,0,0,0,0,0,0,0,6,0.33,0,12,0.67,0.01,0,0,0,0,0,0,6,0.33,0,11,0.61,0,1,0.06,0,0,0,0,4,0.22,0,13,0.72,0.01,1,0.06,0.01,0,0,0
HIDALGO,45,0.26,0.03,116,0.67,0.04,12,0.07,0.03,1,0.01,0.06,57,0.33,0.03,105,0.6,0.03,10,0.06,0.04,2,0.01,0.14,93,0.53,0.03,74,0.43,0.03,6,0.03,0.03,1,0.01,0.06,69,0.4,0.03,95,0.55,0.03,9,0.05,0.04,1,0.01,0.09,79,0.45,0.03,84,0.48,0.03,10,0.06,0.06,1,0.01,0.06
JALISCO,58,0.32,0.03,114,0.62,0.04,12,0.07,0.03,0,0,0,59,0.32,0.03,113,0.61,0.04,12,0.07,0.05,0,0,0,95,0.52,0.03,84,0.46,0.04,5,0.03,0.03,0,0,0,74,0.4,0.03,100,0.54,0.04,10,0.05,0.04,0,0,0,71,0.39,0.03,107,0.58,0.04,6,0.03,0.04,0,0,0
MICHOACÁN,14,0.3,0.01,31,0.66,0.01,2,0.04,0.01,0,0,0,13,0.28,0.01,31,0.66,0.01,3,0.06,0.01,0,0,0,20,0.43,0.01,26,0.55,0.01,1,0.02,0.01,0,0,0,13,0.28,0.01,33,0.7,0.01,1,0.02,0,0,0,0,17,0.36,0.01,30,0.64,0.01,0,0,0,0,0,0
MORELOS,60,0.36,0.03,93,0.56,0.03,14,0.08,0.04,0,0,0,79,0.47,0.04,83,0.5,0.03,5,0.03,0.02,0,0,0,99,0.59,0.04,64,0.38,0.03,3,0.02,0.02,1,0.01,0.06,86,0.52,0.04,75,0.45,0.03,6,0.04,0.03,0,0,0,99,0.59,0.04,64,0.38,0.03,3,0.02,0.02,1,0.01,0.06
NAYARIT,66,0.35,0.04,115,0.61,0.04,8,0.04,0.02,0,0,0,66,0.35,0.04,117,0.62,0.04,5,0.03,0.02,1,0.01,0.07,113,0.6,0.04,70,0.37,0.03,6,0.03,0.03,0,0,0,86,0.46,0.04,97,0.51,0.03,5,0.03,0.02,1,0.01,0.09,100,0.53,0.04,83,0.44,0.03,6,0.03,0.04,0,0,0
NUEVO LEÓN,10,0.3,0.01,21,0.64,0.01,2,0.06,0.01,0,0,0,13,0.39,0.01,16,0.49,0.01,4,0.12,0.02,0,0,0,15,0.46,0.01,14,0.42,0.01,4,0.12,0.02,0,0,0,13,0.39,0.01,16,0.49,0.01,4,0.12,0.02,0,0,0,17,0.52,0.01,13,0.39,0.01,3,0.09,0.02,0,0,0
PUEBLA,56,0.29,0.03,121,0.63,0.04,14,0.07,0.04,0,0,0,80,0.42,0.04,104,0.55,0.03,7,0.04,0.03,0,0,0,107,0.56,0.04,81,0.42,0.04,3,0.02,0.02,0,0,0,85,0.45,0.04,100,0.52,0.04,6,0.03,0.03,0,0,0,100,0.52,0.04,88,0.46,0.03,3,0.02,0.02,0,0,0
QUERÉTARO,61,0.25,0.04,156,0.65,0.05,24,0.1,0.07,0,0,0,71,0.3,0.04,154,0.64,0.05,16,0.07,0.06,0,0,0,118,0.49,0.04,107,0.44,0.05,15,0.06,0.09,1,0,0.06,94,0.39,0.04,134,0.56,0.05,13,0.05,0.06,0,0,0,105,0.44,0.04,120,0.5,0.05,15,0.06,0.09,1,0,0.06
QUINTANA ROO,62,0.31,0.04,133,0.66,0.04,8,0.04,0.02,0,0,0,64,0.32,0.03,135,0.67,0.04,4,0.02,0.02,0,0,0,84,0.41,0.03,117,0.58,0.05,2,0.01,0.01,0,0,0,69,0.34,0.03,123,0.61,0.04,10,0.05,0.04,1,0.01,0.09,80,0.39,0.03,120,0.59,0.05,3,0.02,0.02,0,0,0
SAN LUIS POTOSÍ,86,0.35,0.05,140,0.58,0.04,15,0.06,0.04,2,0.01,0.13,94,0.39,0.05,134,0.55,0.04,15,0.06,0.06,0,0,0,125,0.51,0.05,110,0.45,0.05,8,0.03,0.05,0,0,0,102,0.42,0.05,135,0.56,0.05,6,0.03,0.03,0,0,0,111,0.46,0.04,126,0.52,0.05,4,0.02,0.02,2,0.01,0.12
SINALOA,128,0.34,0.07,223,0.59,0.07,28,0.07,0.08,1,0,0.06,140,0.37,0.07,216,0.57,0.07,23,0.06,0.09,1,0,0.07,218,0.57,0.08,147,0.39,0.06,13,0.03,0.07,2,0.01,0.12,153,0.4,0.07,198,0.52,0.07,27,0.07,0.12,2,0.01,0.18,177,0.47,0.07,191,0.5,0.07,10,0.03,0.06,2,0.01,0.12
SONORA,80,0.48,0.05,82,0.49,0.03,6,0.04,0.02,0,0,0,77,0.46,0.04,81,0.48,0.03,10,0.06,0.04,0,0,0,106,0.63,0.04,61,0.36,0.03,0,0,0,1,0.01,0.06,89,0.53,0.04,74,0.44,0.03,5,0.03,0.02,0,0,0,98,0.58,0.04,65,0.39,0.03,5,0.03,0.03,0,0,0
TABASCO,25,0.4,0.01,33,0.52,0.01,5,0.08,0.01,0,0,0,25,0.4,0.01,34,0.54,0.01,3,0.05,0.01,1,0.02,0.07,39,0.62,0.01,23,0.37,0.01,1,0.02,0.01,0,0,0,30,0.48,0.01,32,0.51,0.01,1,0.02,0,0,0,0,34,0.54,0.01,28,0.44,0.01,1,0.02,0.01,0,0,0
TAMAULIPAS,56,0.27,0.03,139,0.68,0.04,11,0.05,0.03,0,0,0,67,0.32,0.04,137,0.66,0.04,3,0.01,0.01,0,0,0,103,0.5,0.04,100,0.48,0.04,4,0.02,0.02,0,0,0,85,0.41,0.04,117,0.57,0.04,5,0.02,0.02,0,0,0,92,0.44,0.04,110,0.53,0.04,5,0.02,0.03,0,0,0
TLAXCALA,31,0.34,0.02,53,0.59,0.02,6,0.07,0.02,0,0,0,31,0.34,0.02,58,0.64,0.02,1,0.01,0,0,0,0,48,0.53,0.02,41,0.46,0.02,1,0.01,0.01,0,0,0,42,0.47,0.02,48,0.53,0.02,0,0,0,0,0,0,42,0.47,0.02,47,0.52,0.02,1,0.01,0.01,0,0,0
VERACRUZ,33,0.28,0.02,76,0.64,0.02,8,0.07,0.02,2,0.02,0.13,36,0.3,0.02,75,0.63,0.02,6,0.05,0.02,2,0.02,0.14,58,0.49,0.02,54,0.45,0.02,5,0.04,0.03,2,0.02,0.12,42,0.35,0.02,71,0.6,0.03,5,0.04,0.02,1,0.01,0.09,57,0.48,0.02,56,0.47,0.02,5,0.04,0.03,1,0.01,0.06
YUCATÁN,42,0.34,0.02,65,0.52,0.02,18,0.14,0.05,0,0,0,36,0.29,0.02,75,0.6,0.02,14,0.11,0.05,0,0,0,57,0.46,0.02,58,0.46,0.03,9,0.07,0.05,1,0.01,0.06,37,0.3,0.02,77,0.62,0.03,11,0.09,0.05,0,0,0,57,0.46,0.02,64,0.51,0.03,4,0.03,0.02,0,0,0
ZACATECAS,61,0.28,0.04,133,0.61,0.04,21,0.1,0.06,3,0.01,0.19,60,0.28,0.03,137,0.63,0.04,18,0.08,0.07,3,0.01,0.21,105,0.48,0.04,99,0.45,0.04,12,0.06,0.07,2,0.01,0.12,78,0.36,0.04,128,0.59,0.05,11,0.05,0.05,1,0.01,0.09,93,0.43,0.04,115,0.53,0.04,8,0.04,0.05,2,0.01,0.12
Hombre,87,0.38,0.05,134,0.58,0.04,8,0.04,0.02,2,0.01,0.13,87,0.38,0.05,135,0.58,0.04,7,0.03,0.03,2,0.01,0.14,121,0.52,0.04,102,0.44,0.04,6,0.03,0.03,2,0.01,0.12,93,0.4,0.04,130,0.56,0.05,7,0.03,0.03,1,0,0.09,112,0.49,0.04,111,0.48,0.04,7,0.03,0.04,1,0,0.06
Mujer,1664,0.33,0.95,3069,0.6,0.96,358,0.07,0.98,14,0,0.88,1818,0.36,0.95,3019,0.59,0.96,257,0.05,0.97,12,0,0.86,2687,0.53,0.96,2234,0.44,0.96,170,0.03,0.97,15,0,0.88,2148,0.42,0.96,2727,0.53,0.95,221,0.04,0.97,10,0,0.91,2439,0.48,0.96,2494,0.49,0.96,157,0.03,0.96,16,0,0.94
18 a 20 años,6,0.19,0,22,0.69,0.01,4,0.13,0.01,0,0,0,9,0.28,0.01,20,0.63,0.01,3,0.09,0.01,0,0,0,13,0.41,0.01,19,0.59,0.01,0,0,0,0,0,0,9,0.28,0,21,0.66,0.01,2,0.06,0.01,0,0,0,13,0.41,0.01,17,0.53,0.01,1,0.03,0.01,1,0.03,0.06
21 a 30 años,429,0.37,0.25,642,0.55,0.2,88,0.08,0.24,3,0,0.19,452,0.39,0.24,642,0.55,0.2,65,0.06,0.25,3,0,0.21,675,0.58,0.24,444,0.38,0.19,37,0.03,0.21,6,0.01,0.35,523,0.45,0.23,583,0.5,0.2,55,0.05,0.24,1,0,0.09,595,0.51,0.23,522,0.45,0.2,40,0.03,0.24,5,0,0.29
31 a 40 años,593,0.32,0.34,1124,0.6,0.35,145,0.08,0.4,9,0.01,0.56,620,0.33,0.33,1145,0.61,0.36,100,0.05,0.38,6,0,0.43,965,0.52,0.34,822,0.44,0.35,77,0.04,0.44,7,0,0.41,791,0.42,0.35,996,0.53,0.35,80,0.04,0.35,4,0,0.36,897,0.48,0.35,910,0.49,0.35,60,0.03,0.37,4,0,0.24
41 a 50 años,481,0.31,0.28,993,0.63,0.31,100,0.06,0.27,2,0,0.13,565,0.36,0.3,937,0.6,0.3,72,0.05,0.27,2,0,0.14,785,0.5,0.28,737,0.47,0.32,52,0.03,0.3,2,0,0.12,622,0.4,0.28,880,0.56,0.31,70,0.04,0.31,4,0,0.36,693,0.44,0.27,827,0.53,0.32,51,0.03,0.31,5,0,0.29
51 a 60 años,232,0.35,0.13,407,0.61,0.13,28,0.04,0.08,2,0,0.13,249,0.37,0.13,394,0.59,0.13,24,0.04,0.09,3,0,0.21,358,0.53,0.13,300,0.45,0.13,10,0.02,0.06,2,0,0.12,283,0.42,0.13,364,0.54,0.13,21,0.03,0.09,2,0,0.18,339,0.51,0.13,317,0.47,0.12,12,0.02,0.07,2,0,0.12
61 a 70 años,10,0.39,0.01,15,0.58,0.01,1,0.04,0,0,0,0,10,0.39,0.01,16,0.62,0.01,0,0,0,0,0,0,12,0.46,0,14,0.54,0.01,0,0,0,0,0,0,13,0.5,0.01,13,0.5,0.01,0,0,0,0,0,0,14,0.54,0.01,12,0.46,0.01,0,0,0,0,0,0
71 a 80 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",14,0.31,0.01,26,0.58,0.01,4,0.09,0.01,1,0.02,0.06,16,0.36,0.01,27,0.6,0.01,1,0.02,0,1,0.02,0.07,20,0.44,0.01,22,0.49,0.01,3,0.07,0.02,0,0,0,13,0.29,0.01,31,0.69,0.01,1,0.02,0,0,0,0,16,0.36,0.01,27,0.6,0.01,2,0.04,0.01,0,0,0
Normal básica sin licenciatura,44,0.32,0.03,85,0.61,0.03,9,0.07,0.03,1,0.01,0.06,47,0.34,0.03,83,0.6,0.03,8,0.06,0.03,1,0.01,0.07,66,0.48,0.02,68,0.49,0.03,4,0.03,0.02,1,0.01,0.06,50,0.36,0.02,81,0.58,0.03,7,0.05,0.03,1,0.01,0.09,60,0.43,0.02,71,0.51,0.03,6,0.04,0.04,2,0.01,0.12
Normal superior,27,0.37,0.02,42,0.57,0.01,5,0.07,0.01,0,0,0,28,0.38,0.02,43,0.58,0.01,3,0.04,0.01,0,0,0,40,0.54,0.01,28,0.38,0.01,5,0.07,0.03,1,0.01,0.06,31,0.42,0.01,41,0.55,0.01,2,0.03,0.01,0,0,0,41,0.55,0.02,31,0.42,0.01,2,0.03,0.01,0,0,0
Normal Intercultural Bilingüe,2,0.4,0,3,0.6,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0
Licenciatura,1352,0.32,0.77,2531,0.6,0.79,296,0.07,0.81,11,0,0.69,1513,0.36,0.79,2474,0.59,0.78,197,0.05,0.75,7,0,0.5,2202,0.53,0.78,1847,0.44,0.79,132,0.03,0.75,10,0,0.59,1754,0.42,0.78,2242,0.54,0.79,188,0.05,0.83,7,0,0.64,1990,0.48,0.78,2070,0.49,0.8,123,0.03,0.75,8,0,0.47
Especialidad,6,0.27,0,13,0.59,0,2,0.09,0.01,1,0.05,0.06,5,0.23,0,15,0.68,0.01,1,0.05,0,1,0.05,0.07,6,0.27,0,12,0.55,0.01,2,0.09,0.01,2,0.09,0.12,4,0.18,0,17,0.77,0.01,0,0,0,1,0.05,0.09,8,0.36,0,11,0.5,0,2,0.09,0.01,1,0.05,0.06
Maestría,288,0.36,0.16,465,0.58,0.15,48,0.06,0.13,2,0,0.13,275,0.34,0.14,473,0.59,0.15,51,0.06,0.19,4,0.01,0.29,440,0.55,0.16,332,0.41,0.14,28,0.04,0.16,3,0,0.18,359,0.45,0.16,412,0.51,0.14,30,0.04,0.13,2,0,0.18,405,0.5,0.16,365,0.46,0.14,28,0.04,0.17,5,0.01,0.29
Doctorado,18,0.32,0.01,37,0.65,0.01,2,0.04,0.01,0,0,0,18,0.32,0.01,36,0.63,0.01,3,0.05,0.01,0,0,0,30,0.53,0.01,25,0.44,0.01,2,0.04,0.01,0,0,0,27,0.47,0.01,30,0.53,0.01,0,0,0,0,0,0,29,0.51,0.01,26,0.46,0.01,1,0.02,0.01,1,0.02,0.06
Posdoctorado,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Menor o igual a 10,650,0.35,0.37,1067,0.57,0.33,137,0.07,0.37,6,0,0.38,689,0.37,0.36,1056,0.57,0.34,110,0.06,0.42,5,0,0.36,1046,0.56,0.37,747,0.4,0.32,59,0.03,0.34,8,0,0.47,815,0.44,0.36,963,0.52,0.34,78,0.04,0.34,4,0,0.36,934,0.5,0.37,864,0.47,0.33,56,0.03,0.34,6,0,0.35
11 a 20,617,0.32,0.35,1192,0.61,0.37,137,0.07,0.37,5,0,0.31,671,0.34,0.35,1180,0.61,0.37,96,0.05,0.36,5,0,0.36,993,0.51,0.35,870,0.45,0.37,83,0.04,0.47,6,0,0.35,812,0.42,0.36,1050,0.54,0.37,87,0.05,0.38,3,0,0.27,906,0.46,0.36,977,0.5,0.38,63,0.03,0.38,6,0,0.35
21 a 30,484,0.32,0.28,944,0.62,0.3,92,0.06,0.25,5,0,0.31,545,0.36,0.29,918,0.6,0.29,58,0.04,0.22,4,0,0.29,769,0.5,0.27,719,0.47,0.31,34,0.02,0.19,3,0,0.18,614,0.4,0.27,844,0.55,0.3,63,0.04,0.28,4,0,0.36,711,0.47,0.28,764,0.5,0.29,45,0.03,0.27,5,0,0.29
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,1626,0.33,0.93,2978,0.6,0.93,339,0.07,0.93,16,0,1,1756,0.35,0.92,2947,0.59,0.93,244,0.05,0.92,13,0,0.93,2598,0.52,0.93,2185,0.44,0.94,161,0.03,0.92,16,0,0.94,2067,0.42,0.92,2664,0.54,0.93,218,0.04,0.96,11,0,1,2371,0.48,0.93,2419,0.49,0.93,153,0.03,0.93,17,0,1
Interino,58,0.37,0.03,90,0.57,0.03,10,0.06,0.03,0,0,0,66,0.42,0.04,82,0.52,0.03,9,0.06,0.03,1,0.01,0.07,98,0.62,0.04,53,0.34,0.02,6,0.04,0.03,1,0.01,0.06,80,0.51,0.04,74,0.47,0.03,4,0.03,0.02,0,0,0,86,0.54,0.03,69,0.44,0.03,3,0.02,0.02,0,0,0
Tiempo fijo,34,0.36,0.02,55,0.59,0.02,5,0.05,0.01,0,0,0,39,0.42,0.02,46,0.49,0.02,9,0.1,0.03,0,0,0,51,0.54,0.02,40,0.43,0.02,3,0.03,0.02,0,0,0,46,0.49,0.02,46,0.49,0.02,2,0.02,0.01,0,0,0,43,0.46,0.02,46,0.49,0.02,5,0.05,0.03,0,0,0
No tengo nombramiento,6,0.19,0,23,0.72,0.01,3,0.09,0.01,0,0,0,8,0.25,0,23,0.72,0.01,1,0.03,0,0,0,0,13,0.41,0.01,18,0.56,0.01,1,0.03,0.01,0,0,0,11,0.34,0.01,20,0.63,0.01,1,0.03,0,0,0,0,9,0.28,0,23,0.72,0.01,0,0,0,0,0,0
Otro,27,0.29,0.02,57,0.61,0.02,9,0.1,0.03,0,0,0,36,0.39,0.02,56,0.6,0.02,1,0.01,0,0,0,0,48,0.52,0.02,40,0.43,0.02,5,0.05,0.03,0,0,0,37,0.4,0.02,53,0.57,0.02,3,0.03,0.01,0,0,0,42,0.45,0.02,48,0.52,0.02,3,0.03,0.02,0,0,0
