Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-J-Sí-Recuento,B4-J-Sí-% del N de fila,B4-J-Sí-% de N columnas,B4-J-No-Recuento,B4-J-No-% del N de fila,B4-J-No-% de N columnas
ESTADO DE MÉXICO,152,0.94,0.04,9,0.06,0.03,157,0.98,0.04,4,0.03,0.01,153,0.95,0.04,8,0.05,0.02,133,0.83,0.04,28,0.17,0.02,157,0.98,0.04,4,0.03,0.04,156,0.97,0.04,5,0.03,0.04,154,0.96,0.04,7,0.04,0.02,146,0.91,0.04,15,0.09,0.03,148,0.92,0.04,13,0.08,0.02,121,0.75,0.04,40,0.25,0.03
GUANAJUATO,158,0.94,0.04,10,0.06,0.04,157,0.94,0.04,11,0.07,0.03,151,0.9,0.04,17,0.1,0.04,123,0.73,0.04,45,0.27,0.04,166,0.99,0.04,2,0.01,0.02,165,0.98,0.04,3,0.02,0.02,151,0.9,0.04,17,0.1,0.04,147,0.88,0.04,21,0.13,0.04,139,0.83,0.04,29,0.17,0.06,112,0.67,0.04,56,0.33,0.05
GUERRERO,36,0.86,0.01,6,0.14,0.02,40,0.95,0.01,2,0.05,0.01,38,0.91,0.01,4,0.1,0.01,32,0.76,0.01,10,0.24,0.01,41,0.98,0.01,1,0.02,0.01,41,0.98,0.01,1,0.02,0.01,41,0.98,0.01,1,0.02,0,37,0.88,0.01,5,0.12,0.01,34,0.81,0.01,8,0.19,0.02,34,0.81,0.01,8,0.19,0.01
HIDALGO,148,0.96,0.04,7,0.05,0.02,142,0.92,0.04,13,0.08,0.04,138,0.89,0.04,17,0.11,0.04,112,0.72,0.04,43,0.28,0.04,153,0.99,0.04,2,0.01,0.02,151,0.97,0.04,4,0.03,0.03,143,0.92,0.04,12,0.08,0.03,139,0.9,0.04,16,0.1,0.03,138,0.89,0.04,17,0.11,0.03,109,0.7,0.04,46,0.3,0.04
JALISCO,128,0.95,0.03,7,0.05,0.02,122,0.9,0.03,13,0.1,0.04,115,0.85,0.03,20,0.15,0.04,93,0.69,0.03,42,0.31,0.04,132,0.98,0.03,3,0.02,0.03,130,0.96,0.03,5,0.04,0.04,121,0.9,0.03,14,0.1,0.03,115,0.85,0.03,20,0.15,0.04,109,0.81,0.03,26,0.19,0.05,87,0.64,0.03,48,0.36,0.04
MICHOACÁN,30,0.91,0.01,3,0.09,0.01,27,0.82,0.01,6,0.18,0.02,29,0.88,0.01,4,0.12,0.01,23,0.7,0.01,10,0.3,0.01,33,1,0.01,0,0,0,32,0.97,0.01,1,0.03,0.01,29,0.88,0.01,4,0.12,0.01,31,0.94,0.01,2,0.06,0,25,0.76,0.01,8,0.24,0.02,20,0.61,0.01,13,0.39,0.01
MORELOS,166,0.94,0.04,11,0.06,0.04,171,0.97,0.04,6,0.03,0.02,161,0.91,0.04,16,0.09,0.04,134,0.76,0.04,43,0.24,0.04,169,0.96,0.04,8,0.05,0.07,170,0.96,0.04,7,0.04,0.05,163,0.92,0.04,14,0.08,0.03,155,0.88,0.04,22,0.12,0.05,150,0.85,0.04,27,0.15,0.05,127,0.72,0.04,50,0.28,0.04
NAYARIT,134,0.89,0.03,17,0.11,0.06,126,0.83,0.03,25,0.17,0.07,123,0.82,0.03,28,0.19,0.06,96,0.64,0.03,55,0.36,0.05,145,0.96,0.04,6,0.04,0.05,150,0.99,0.04,1,0.01,0.01,132,0.87,0.03,19,0.13,0.05,139,0.92,0.04,12,0.08,0.03,135,0.89,0.04,16,0.11,0.03,111,0.74,0.04,40,0.27,0.03
NUEVO LEÓN,30,0.97,0.01,1,0.03,0,30,0.97,0.01,1,0.03,0,30,0.97,0.01,1,0.03,0,24,0.77,0.01,7,0.23,0.01,31,1,0.01,0,0,0,31,1,0.01,0,0,0,30,0.97,0.01,1,0.03,0,31,1,0.01,0,0,0,31,1,0.01,0,0,0,27,0.87,0.01,4,0.13,0
PUEBLA,126,0.95,0.03,7,0.05,0.02,128,0.96,0.03,5,0.04,0.01,119,0.9,0.03,14,0.11,0.03,116,0.87,0.04,17,0.13,0.01,130,0.98,0.03,3,0.02,0.03,133,1,0.03,0,0,0,121,0.91,0.03,12,0.09,0.03,118,0.89,0.03,15,0.11,0.03,113,0.85,0.03,20,0.15,0.04,89,0.67,0.03,44,0.33,0.04
QUERÉTARO,173,0.91,0.04,18,0.09,0.06,173,0.91,0.04,18,0.09,0.05,170,0.89,0.05,21,0.11,0.05,135,0.71,0.04,56,0.29,0.05,188,0.98,0.05,3,0.02,0.03,183,0.96,0.04,8,0.04,0.06,160,0.84,0.04,31,0.16,0.08,168,0.88,0.05,23,0.12,0.05,163,0.85,0.04,28,0.15,0.05,134,0.7,0.04,57,0.3,0.05
QUINTANA ROO,165,0.97,0.04,5,0.03,0.02,162,0.95,0.04,8,0.05,0.02,161,0.95,0.04,9,0.05,0.02,126,0.74,0.04,44,0.26,0.04,168,0.99,0.04,2,0.01,0.02,167,0.98,0.04,3,0.02,0.02,155,0.91,0.04,15,0.09,0.04,151,0.89,0.04,19,0.11,0.04,161,0.95,0.04,9,0.05,0.02,125,0.74,0.04,45,0.27,0.04
SAN LUIS POTOSÍ,160,0.95,0.04,9,0.05,0.03,157,0.93,0.04,12,0.07,0.04,153,0.91,0.04,16,0.1,0.04,112,0.66,0.04,57,0.34,0.05,166,0.98,0.04,3,0.02,0.03,163,0.96,0.04,6,0.04,0.05,146,0.86,0.04,23,0.14,0.06,150,0.89,0.04,19,0.11,0.04,148,0.88,0.04,21,0.12,0.04,121,0.72,0.04,48,0.28,0.04
SINALOA,180,0.94,0.05,11,0.06,0.04,165,0.86,0.04,26,0.14,0.08,164,0.86,0.04,27,0.14,0.06,138,0.72,0.05,53,0.28,0.05,187,0.98,0.05,4,0.02,0.04,183,0.96,0.04,8,0.04,0.06,165,0.86,0.04,26,0.14,0.06,174,0.91,0.05,17,0.09,0.04,172,0.9,0.05,19,0.1,0.04,143,0.75,0.05,48,0.25,0.04
SONORA,128,0.87,0.03,19,0.13,0.07,129,0.88,0.03,18,0.12,0.05,128,0.87,0.03,19,0.13,0.04,109,0.74,0.04,38,0.26,0.03,139,0.95,0.03,8,0.05,0.07,142,0.97,0.03,5,0.03,0.04,129,0.88,0.03,18,0.12,0.04,125,0.85,0.03,22,0.15,0.05,118,0.8,0.03,29,0.2,0.06,107,0.73,0.04,40,0.27,0.03
TABASCO,122,0.94,0.03,8,0.06,0.03,121,0.93,0.03,9,0.07,0.03,120,0.92,0.03,10,0.08,0.02,95,0.73,0.03,35,0.27,0.03,129,0.99,0.03,1,0.01,0.01,128,0.99,0.03,2,0.02,0.02,123,0.95,0.03,7,0.05,0.02,112,0.86,0.03,18,0.14,0.04,114,0.88,0.03,16,0.12,0.03,99,0.76,0.03,31,0.24,0.03
TAMAULIPAS,144,0.96,0.04,6,0.04,0.02,144,0.96,0.04,6,0.04,0.02,140,0.93,0.04,10,0.07,0.02,104,0.69,0.03,46,0.31,0.04,146,0.97,0.04,4,0.03,0.04,145,0.97,0.04,5,0.03,0.04,136,0.91,0.04,14,0.09,0.03,134,0.89,0.04,16,0.11,0.03,133,0.89,0.04,17,0.11,0.03,112,0.75,0.04,38,0.25,0.03
TLAXCALA,148,0.94,0.04,9,0.06,0.03,149,0.95,0.04,8,0.05,0.02,141,0.9,0.04,16,0.1,0.04,109,0.69,0.04,48,0.31,0.04,154,0.98,0.04,3,0.02,0.03,153,0.98,0.04,4,0.03,0.03,144,0.92,0.04,13,0.08,0.03,141,0.9,0.04,16,0.1,0.03,140,0.89,0.04,17,0.11,0.03,119,0.76,0.04,38,0.24,0.03
VERACRUZ,110,0.98,0.03,2,0.02,0.01,103,0.92,0.03,9,0.08,0.03,98,0.88,0.03,14,0.13,0.03,78,0.7,0.03,34,0.3,0.03,110,0.98,0.03,2,0.02,0.02,108,0.96,0.03,4,0.04,0.03,98,0.88,0.03,14,0.13,0.03,95,0.85,0.03,17,0.15,0.04,106,0.95,0.03,6,0.05,0.01,88,0.79,0.03,24,0.21,0.02
YUCATÁN,94,0.93,0.02,7,0.07,0.02,97,0.96,0.03,4,0.04,0.01,97,0.96,0.03,4,0.04,0.01,72,0.71,0.02,29,0.29,0.03,95,0.94,0.02,6,0.06,0.05,96,0.95,0.02,5,0.05,0.04,94,0.93,0.02,7,0.07,0.02,88,0.87,0.02,13,0.13,0.03,88,0.87,0.02,13,0.13,0.02,72,0.71,0.02,29,0.29,0.02
ZACATECAS,171,0.91,0.04,16,0.09,0.06,163,0.87,0.04,24,0.13,0.07,153,0.82,0.04,34,0.18,0.07,124,0.66,0.04,63,0.34,0.05,179,0.96,0.04,8,0.04,0.07,173,0.93,0.04,14,0.08,0.11,156,0.83,0.04,31,0.17,0.08,157,0.84,0.04,30,0.16,0.06,161,0.86,0.04,26,0.14,0.05,122,0.65,0.04,65,0.35,0.06
Hombre,1715,0.93,0.43,137,0.07,0.48,1745,0.94,0.45,107,0.06,0.31,1706,0.92,0.45,146,0.08,0.32,1309,0.71,0.43,543,0.29,0.46,1781,0.96,0.43,71,0.04,0.63,1783,0.96,0.43,69,0.04,0.53,1678,0.91,0.44,174,0.09,0.43,1607,0.87,0.43,245,0.13,0.51,1603,0.87,0.43,249,0.13,0.47,1342,0.73,0.44,510,0.28,0.43
Mujer,2249,0.94,0.57,151,0.06,0.52,2160,0.9,0.55,240,0.1,0.69,2086,0.87,0.55,314,0.13,0.68,1765,0.74,0.57,635,0.27,0.54,2358,0.98,0.57,42,0.02,0.37,2338,0.97,0.57,62,0.03,0.47,2165,0.9,0.56,235,0.1,0.58,2164,0.9,0.57,236,0.1,0.49,2117,0.88,0.57,283,0.12,0.53,1721,0.72,0.56,679,0.28,0.57
18 a 20 años,8,0.8,0,2,0.2,0.01,8,0.8,0,2,0.2,0.01,7,0.7,0,3,0.3,0.01,7,0.7,0,3,0.3,0,8,0.8,0,2,0.2,0.02,8,0.8,0,2,0.2,0.02,8,0.8,0,2,0.2,0.01,9,0.9,0,1,0.1,0,8,0.8,0,2,0.2,0,6,0.6,0,4,0.4,0
21 a 30 años,191,0.93,0.05,14,0.07,0.05,174,0.85,0.05,31,0.15,0.09,172,0.84,0.05,33,0.16,0.07,155,0.76,0.05,50,0.24,0.04,198,0.97,0.05,7,0.03,0.06,199,0.97,0.05,6,0.03,0.05,164,0.8,0.04,41,0.2,0.1,180,0.88,0.05,25,0.12,0.05,167,0.82,0.05,38,0.19,0.07,156,0.76,0.05,49,0.24,0.04
31 a 40 años,921,0.93,0.23,72,0.07,0.25,889,0.9,0.23,104,0.11,0.3,850,0.86,0.22,143,0.14,0.31,743,0.75,0.24,250,0.25,0.21,969,0.98,0.23,24,0.02,0.21,961,0.97,0.23,32,0.03,0.24,898,0.9,0.23,95,0.1,0.23,879,0.89,0.23,114,0.12,0.24,862,0.87,0.23,131,0.13,0.25,732,0.74,0.24,261,0.26,0.22
41 a 50 años,1145,0.91,0.29,112,0.09,0.39,1136,0.9,0.29,121,0.1,0.35,1108,0.88,0.29,149,0.12,0.32,905,0.72,0.29,352,0.28,0.3,1223,0.97,0.3,34,0.03,0.3,1214,0.97,0.3,43,0.03,0.33,1149,0.91,0.3,108,0.09,0.26,1116,0.89,0.3,141,0.11,0.29,1112,0.89,0.3,145,0.12,0.27,900,0.72,0.29,357,0.28,0.3
51 a 60 años,1191,0.94,0.3,70,0.06,0.24,1198,0.95,0.31,63,0.05,0.18,1165,0.92,0.31,96,0.08,0.21,905,0.72,0.29,356,0.28,0.3,1230,0.98,0.3,31,0.03,0.27,1227,0.97,0.3,34,0.03,0.26,1132,0.9,0.3,129,0.1,0.32,1124,0.89,0.3,137,0.11,0.29,1108,0.88,0.3,153,0.12,0.29,892,0.71,0.29,369,0.29,0.31
61 a 70 años,447,0.96,0.11,17,0.04,0.06,440,0.95,0.11,24,0.05,0.07,431,0.93,0.11,33,0.07,0.07,317,0.68,0.1,147,0.32,0.13,451,0.97,0.11,13,0.03,0.12,451,0.97,0.11,13,0.03,0.1,434,0.94,0.11,30,0.07,0.07,408,0.88,0.11,56,0.12,0.12,407,0.88,0.11,57,0.12,0.11,331,0.71,0.11,133,0.29,0.11
71 a 80 años,61,0.98,0.02,1,0.02,0,60,0.97,0.02,2,0.03,0.01,59,0.95,0.02,3,0.05,0.01,42,0.68,0.01,20,0.32,0.02,60,0.97,0.01,2,0.03,0.02,61,0.98,0.02,1,0.02,0.01,58,0.94,0.02,4,0.07,0.01,55,0.89,0.02,7,0.11,0.02,56,0.9,0.02,6,0.1,0.01,46,0.74,0.02,16,0.26,0.01
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",16,0.89,0,2,0.11,0.01,14,0.78,0,4,0.22,0.01,14,0.78,0,4,0.22,0.01,13,0.72,0,5,0.28,0,15,0.83,0,3,0.17,0.03,15,0.83,0,3,0.17,0.02,13,0.72,0,5,0.28,0.01,12,0.67,0,6,0.33,0.01,14,0.78,0,4,0.22,0.01,10,0.56,0,8,0.44,0.01
Normal básica sin licenciatura,83,0.97,0.02,3,0.04,0.01,84,0.98,0.02,2,0.02,0.01,83,0.97,0.02,3,0.04,0.01,58,0.67,0.02,28,0.33,0.02,86,1,0.02,0,0,0,85,0.99,0.02,1,0.01,0.01,80,0.93,0.02,6,0.07,0.02,82,0.95,0.02,4,0.05,0.01,74,0.86,0.02,12,0.14,0.02,62,0.72,0.02,24,0.28,0.02
Normal superior,234,0.97,0.06,8,0.03,0.03,225,0.93,0.06,17,0.07,0.05,226,0.93,0.06,16,0.07,0.04,168,0.69,0.06,74,0.31,0.06,238,0.98,0.06,4,0.02,0.04,234,0.97,0.06,8,0.03,0.06,228,0.94,0.06,14,0.06,0.03,218,0.9,0.06,24,0.1,0.05,218,0.9,0.06,24,0.1,0.05,188,0.78,0.06,54,0.22,0.05
Normal Intercultural Bilingüe,5,1,0,0,0,0,5,1,0,0,0,0,5,1,0,0,0,0,5,1,0,0,0,0,5,1,0,0,0,0,5,1,0,0,0,0,5,1,0,0,0,0,5,1,0,0,0,0,5,1,0,0,0,0,5,1,0,0,0,0
Licenciatura,1682,0.92,0.42,151,0.08,0.52,1654,0.9,0.42,179,0.1,0.52,1601,0.87,0.42,232,0.13,0.5,1340,0.73,0.44,493,0.27,0.42,1776,0.97,0.43,57,0.03,0.5,1772,0.97,0.43,61,0.03,0.47,1619,0.88,0.42,214,0.12,0.52,1617,0.88,0.43,216,0.12,0.45,1570,0.86,0.42,263,0.14,0.49,1290,0.7,0.42,543,0.3,0.46
Especialidad,46,0.94,0.01,3,0.06,0.01,47,0.96,0.01,2,0.04,0.01,46,0.94,0.01,3,0.06,0.01,38,0.78,0.01,11,0.22,0.01,47,0.96,0.01,2,0.04,0.02,48,0.98,0.01,1,0.02,0.01,45,0.92,0.01,4,0.08,0.01,42,0.86,0.01,7,0.14,0.02,45,0.92,0.01,4,0.08,0.01,31,0.63,0.01,18,0.37,0.02
Maestría,1471,0.94,0.37,98,0.06,0.34,1447,0.92,0.37,122,0.08,0.35,1406,0.9,0.37,163,0.1,0.35,1128,0.72,0.37,441,0.28,0.37,1535,0.98,0.37,34,0.02,0.3,1526,0.97,0.37,43,0.03,0.33,1432,0.91,0.37,137,0.09,0.34,1386,0.88,0.37,183,0.12,0.38,1395,0.89,0.38,174,0.11,0.33,1135,0.72,0.37,434,0.28,0.37
Doctorado,413,0.95,0.1,23,0.05,0.08,417,0.96,0.11,19,0.04,0.06,398,0.91,0.11,38,0.09,0.08,312,0.72,0.1,124,0.28,0.11,425,0.98,0.1,11,0.03,0.1,423,0.97,0.1,13,0.03,0.1,408,0.94,0.11,28,0.06,0.07,397,0.91,0.11,39,0.09,0.08,389,0.89,0.11,47,0.11,0.09,332,0.76,0.11,104,0.24,0.09
Posdoctorado,14,1,0,0,0,0,12,0.86,0,2,0.14,0.01,13,0.93,0,1,0.07,0,12,0.86,0,2,0.14,0,12,0.86,0,2,0.14,0.02,13,0.93,0,1,0.07,0.01,13,0.93,0,1,0.07,0,12,0.86,0,2,0.14,0,10,0.71,0,4,0.29,0.01,10,0.71,0,4,0.29,0
Menor o igual a 10,2687,0.93,0.68,200,0.07,0.69,2621,0.91,0.67,266,0.09,0.77,2546,0.88,0.67,341,0.12,0.74,2111,0.73,0.69,776,0.27,0.66,2814,0.98,0.68,73,0.03,0.65,2798,0.97,0.68,89,0.03,0.68,2608,0.9,0.68,279,0.1,0.68,2562,0.89,0.68,325,0.11,0.68,2524,0.87,0.68,363,0.13,0.68,2096,0.73,0.68,791,0.27,0.67
11 a 20,839,0.94,0.21,54,0.06,0.19,843,0.94,0.22,50,0.06,0.14,819,0.92,0.22,74,0.08,0.16,620,0.69,0.2,273,0.31,0.23,866,0.97,0.21,27,0.03,0.24,862,0.97,0.21,31,0.04,0.24,802,0.9,0.21,91,0.1,0.22,784,0.88,0.21,109,0.12,0.23,786,0.88,0.21,107,0.12,0.2,632,0.71,0.21,261,0.29,0.22
21 a 30,438,0.93,0.11,34,0.07,0.12,441,0.93,0.11,31,0.07,0.09,427,0.91,0.11,45,0.1,0.1,343,0.73,0.11,129,0.27,0.11,459,0.97,0.11,13,0.03,0.12,461,0.98,0.11,11,0.02,0.08,433,0.92,0.11,39,0.08,0.1,425,0.9,0.11,47,0.1,0.1,410,0.87,0.11,62,0.13,0.12,335,0.71,0.11,137,0.29,0.12
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,3156,0.94,0.8,190,0.06,0.66,3104,0.93,0.8,242,0.07,0.7,3003,0.9,0.79,343,0.1,0.75,2446,0.73,0.8,900,0.27,0.76,3265,0.98,0.79,81,0.02,0.72,3249,0.97,0.79,97,0.03,0.74,3087,0.92,0.8,259,0.08,0.63,2983,0.89,0.79,363,0.11,0.76,2975,0.89,0.8,371,0.11,0.7,2421,0.72,0.79,925,0.28,0.78
Interino,122,0.91,0.03,12,0.09,0.04,127,0.95,0.03,7,0.05,0.02,122,0.91,0.03,12,0.09,0.03,92,0.69,0.03,42,0.31,0.04,130,0.97,0.03,4,0.03,0.04,124,0.93,0.03,10,0.08,0.08,117,0.87,0.03,17,0.13,0.04,117,0.87,0.03,17,0.13,0.04,106,0.79,0.03,28,0.21,0.05,102,0.76,0.03,32,0.24,0.03
No tengo nombramiento,407,0.88,0.1,54,0.12,0.19,398,0.86,0.1,63,0.14,0.18,393,0.85,0.1,68,0.15,0.15,318,0.69,0.1,143,0.31,0.12,442,0.96,0.11,19,0.04,0.17,450,0.98,0.11,11,0.02,0.08,365,0.79,0.1,96,0.21,0.24,398,0.86,0.11,63,0.14,0.13,375,0.81,0.1,86,0.19,0.16,318,0.69,0.1,143,0.31,0.12
Otro,279,0.9,0.07,32,0.1,0.11,276,0.89,0.07,35,0.11,0.1,274,0.88,0.07,37,0.12,0.08,218,0.7,0.07,93,0.3,0.08,302,0.97,0.07,9,0.03,0.08,298,0.96,0.07,13,0.04,0.1,274,0.88,0.07,37,0.12,0.09,273,0.88,0.07,38,0.12,0.08,264,0.85,0.07,47,0.15,0.09,222,0.71,0.07,89,0.29,0.08
