Variable,B2-A-Mucho-Recuento,B2-A-Mucho-% del N de fila,B2-A-Mucho-% de N columnas,B2-A-Regular-Recuento,B2-A-Regular-% del N de fila,B2-A-Regular-% de N columnas,B2-A-Poco-Recuento,B2-A-Poco-% del N de fila,B2-A-Poco-% de N columnas,B2-A-Nada-Recuento,B2-A-Nada-% del N de fila,B2-A-Nada-% de N columnas,B2-B-Mucho-Recuento,B2-B-Mucho-% del N de fila,B2-B-Mucho-% de N columnas,B2-B-Regular-Recuento,B2-B-Regular-% del N de fila,B2-B-Regular-% de N columnas,B2-B-Poco-Recuento,B2-B-Poco-% del N de fila,B2-B-Poco-% de N columnas,B2-B-Nada-Recuento,B2-B-Nada-% del N de fila,B2-B-Nada-% de N columnas,B2-C-Mucho-Recuento,B2-C-Mucho-% del N de fila,B2-C-Mucho-% de N columnas,B2-C-Regular-Recuento,B2-C-Regular-% del N de fila,B2-C-Regular-% de N columnas,B2-C-Poco-Recuento,B2-C-Poco-% del N de fila,B2-C-Poco-% de N columnas,B2-C-Nada-Recuento,B2-C-Nada-% del N de fila,B2-C-Nada-% de N columnas,B2-D-Mucho-Recuento,B2-D-Mucho-% del N de fila,B2-D-Mucho-% de N columnas,B2-D-Regular-Recuento,B2-D-Regular-% del N de fila,B2-D-Regular-% de N columnas,B2-D-Poco-Recuento,B2-D-Poco-% del N de fila,B2-D-Poco-% de N columnas,B2-D-Nada-Recuento,B2-D-Nada-% del N de fila,B2-D-Nada-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Poco-Recuento,B2-E-Poco-% del N de fila,B2-E-Poco-% de N columnas,B2-E-Nada-Recuento,B2-E-Nada-% del N de fila,B2-E-Nada-% de N columnas,B2-F-Mucho-Recuento,B2-F-Mucho-% del N de fila,B2-F-Mucho-% de N columnas,B2-F-Regular-Recuento,B2-F-Regular-% del N de fila,B2-F-Regular-% de N columnas,B2-F-Poco-Recuento,B2-F-Poco-% del N de fila,B2-F-Poco-% de N columnas,B2-F-Nada-Recuento,B2-F-Nada-% del N de fila,B2-F-Nada-% de N columnas
ESTADO DE MÉXICO,265,0.53,0.04,221,0.45,0.05,10,0.02,0.03,1,0,0.03,270,0.54,0.04,204,0.41,0.04,20,0.04,0.05,3,0.01,0.08,256,0.52,0.04,220,0.44,0.04,21,0.04,0.05,0,0,0,232,0.47,0.04,243,0.49,0.04,22,0.04,0.04,0,0,0,228,0.46,0.04,239,0.48,0.04,30,0.06,0.05,0,0,0,210,0.42,0.04,257,0.52,0.04,29,0.06,0.04,1,0,0.03
GUANAJUATO,217,0.59,0.04,145,0.39,0.03,8,0.02,0.02,0,0,0,220,0.6,0.04,142,0.38,0.03,5,0.01,0.01,3,0.01,0.08,193,0.52,0.03,172,0.47,0.03,5,0.01,0.01,0,0,0,183,0.5,0.04,178,0.48,0.03,9,0.02,0.02,0,0,0,191,0.52,0.04,168,0.45,0.03,11,0.03,0.02,0,0,0,168,0.45,0.04,189,0.51,0.03,13,0.04,0.02,0,0,0
GUERRERO,12,0.6,0,8,0.4,0,0,0,0,0,0,0,13,0.65,0,6,0.3,0,1,0.05,0,0,0,0,12,0.6,0,5,0.25,0,3,0.15,0.01,0,0,0,10,0.5,0,10,0.5,0,0,0,0,0,0,0,9,0.45,0,8,0.4,0,3,0.15,0.01,0,0,0,7,0.35,0,11,0.55,0,2,0.1,0,0,0,0
HIDALGO,193,0.59,0.03,122,0.37,0.03,13,0.04,0.04,2,0.01,0.06,195,0.59,0.03,122,0.37,0.03,13,0.04,0.04,0,0,0,185,0.56,0.03,134,0.41,0.03,11,0.03,0.02,0,0,0,176,0.53,0.03,136,0.41,0.02,18,0.06,0.03,0,0,0,172,0.52,0.03,147,0.45,0.03,11,0.03,0.02,0,0,0,169,0.51,0.04,148,0.45,0.03,12,0.04,0.02,1,0,0.03
JALISCO,141,0.6,0.02,88,0.37,0.02,7,0.03,0.02,1,0,0.03,140,0.59,0.02,90,0.38,0.02,6,0.03,0.02,1,0,0.03,128,0.54,0.02,99,0.42,0.02,8,0.03,0.02,2,0.01,0.1,117,0.49,0.02,105,0.44,0.02,11,0.05,0.02,4,0.02,0.11,120,0.51,0.02,104,0.44,0.02,13,0.06,0.02,0,0,0,111,0.47,0.02,104,0.44,0.02,21,0.09,0.03,1,0,0.03
MICHOACÁN,19,0.53,0,15,0.42,0,2,0.06,0.01,0,0,0,22,0.61,0,12,0.33,0,2,0.06,0.01,0,0,0,18,0.5,0,16,0.44,0,2,0.06,0,0,0,0,18,0.5,0,16,0.44,0,2,0.06,0,0,0,0,16,0.44,0,16,0.44,0,4,0.11,0.01,0,0,0,16,0.44,0,17,0.47,0,3,0.08,0,0,0,0
MORELOS,198,0.55,0.03,144,0.4,0.03,16,0.05,0.04,1,0,0.03,195,0.54,0.03,147,0.41,0.03,14,0.04,0.04,3,0.01,0.08,190,0.53,0.03,156,0.44,0.03,12,0.03,0.03,1,0,0.05,157,0.44,0.03,184,0.51,0.03,16,0.05,0.03,2,0.01,0.05,161,0.45,0.03,177,0.49,0.03,20,0.06,0.04,1,0,0.05,127,0.35,0.03,203,0.57,0.04,28,0.08,0.04,1,0,0.03
NAYARIT,223,0.5,0.04,205,0.46,0.04,17,0.04,0.05,1,0,0.03,232,0.52,0.04,201,0.45,0.04,13,0.03,0.04,0,0,0,228,0.51,0.04,200,0.45,0.04,18,0.04,0.04,0,0,0,191,0.43,0.04,229,0.51,0.04,25,0.06,0.05,1,0,0.03,188,0.42,0.04,234,0.53,0.04,23,0.05,0.04,1,0,0.05,182,0.41,0.04,229,0.51,0.04,34,0.08,0.04,1,0,0.03
NUEVO LEÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUEBLA,245,0.62,0.04,142,0.36,0.03,7,0.02,0.02,0,0,0,260,0.66,0.04,125,0.32,0.03,7,0.02,0.02,2,0.01,0.05,255,0.65,0.04,131,0.33,0.03,8,0.02,0.02,0,0,0,229,0.58,0.04,151,0.38,0.03,13,0.03,0.02,1,0,0.03,236,0.6,0.04,137,0.35,0.03,19,0.05,0.03,2,0.01,0.1,209,0.53,0.04,164,0.42,0.03,21,0.05,0.03,0,0,0
QUERÉTARO,301,0.58,0.05,205,0.4,0.04,9,0.02,0.02,1,0,0.03,324,0.63,0.05,180,0.35,0.04,12,0.02,0.03,0,0,0,275,0.53,0.05,223,0.43,0.04,18,0.04,0.04,0,0,0,248,0.48,0.05,253,0.49,0.05,14,0.03,0.03,1,0,0.03,267,0.52,0.05,231,0.45,0.04,18,0.04,0.03,0,0,0,213,0.41,0.04,271,0.53,0.05,31,0.06,0.04,1,0,0.03
QUINTANA ROO,239,0.52,0.04,204,0.44,0.04,16,0.04,0.04,2,0,0.06,248,0.54,0.04,200,0.43,0.04,11,0.02,0.03,2,0,0.05,227,0.49,0.04,210,0.46,0.04,23,0.05,0.05,1,0,0.05,218,0.47,0.04,217,0.47,0.04,24,0.05,0.04,2,0,0.05,205,0.45,0.04,236,0.51,0.04,19,0.04,0.03,1,0,0.05,204,0.44,0.04,224,0.49,0.04,32,0.07,0.04,1,0,0.03
SAN LUIS POTOSÍ,207,0.54,0.03,158,0.42,0.03,15,0.04,0.04,1,0,0.03,208,0.55,0.03,163,0.43,0.04,8,0.02,0.02,2,0.01,0.05,197,0.52,0.03,169,0.44,0.03,15,0.04,0.03,0,0,0,173,0.45,0.03,189,0.5,0.03,18,0.05,0.03,1,0,0.03,185,0.49,0.03,179,0.47,0.03,17,0.05,0.03,0,0,0,166,0.44,0.03,189,0.5,0.03,25,0.07,0.03,1,0,0.03
SINALOA,355,0.63,0.06,195,0.35,0.04,10,0.02,0.03,2,0,0.06,358,0.64,0.06,190,0.34,0.04,12,0.02,0.03,2,0,0.05,323,0.58,0.06,221,0.39,0.04,16,0.03,0.04,2,0,0.1,286,0.51,0.05,254,0.45,0.05,20,0.04,0.04,2,0,0.05,303,0.54,0.06,240,0.43,0.04,18,0.03,0.03,1,0,0.05,258,0.46,0.05,268,0.48,0.05,33,0.06,0.04,3,0.01,0.08
SONORA,180,0.55,0.03,130,0.4,0.03,14,0.04,0.04,2,0.01,0.06,187,0.57,0.03,122,0.37,0.03,13,0.04,0.04,4,0.01,0.11,156,0.48,0.03,154,0.47,0.03,14,0.04,0.03,2,0.01,0.1,169,0.52,0.03,138,0.42,0.03,17,0.05,0.03,2,0.01,0.05,174,0.53,0.03,134,0.41,0.03,16,0.05,0.03,2,0.01,0.1,146,0.45,0.03,152,0.47,0.03,25,0.08,0.03,3,0.01,0.08
TABASCO,241,0.62,0.04,138,0.35,0.03,11,0.03,0.03,2,0.01,0.06,241,0.62,0.04,139,0.36,0.03,12,0.03,0.03,0,0,0,242,0.62,0.04,137,0.35,0.03,12,0.03,0.03,1,0,0.05,209,0.53,0.04,166,0.42,0.03,15,0.04,0.03,2,0.01,0.05,199,0.51,0.04,175,0.45,0.03,17,0.04,0.03,1,0,0.05,198,0.51,0.04,170,0.43,0.03,20,0.05,0.03,4,0.01,0.11
TAMAULIPAS,224,0.52,0.04,191,0.44,0.04,15,0.04,0.04,0,0,0,226,0.53,0.04,186,0.43,0.04,17,0.04,0.05,1,0,0.03,207,0.48,0.04,200,0.47,0.04,23,0.05,0.05,0,0,0,177,0.41,0.03,230,0.54,0.04,23,0.05,0.04,0,0,0,180,0.42,0.03,228,0.53,0.04,22,0.05,0.04,0,0,0,165,0.38,0.03,235,0.55,0.04,30,0.07,0.04,0,0,0
TLAXCALA,199,0.6,0.03,130,0.39,0.03,4,0.01,0.01,0,0,0,207,0.62,0.03,121,0.36,0.03,5,0.02,0.01,0,0,0,191,0.57,0.03,135,0.41,0.03,5,0.02,0.01,2,0.01,0.1,178,0.54,0.03,147,0.44,0.03,7,0.02,0.01,1,0,0.03,159,0.48,0.03,162,0.49,0.03,11,0.03,0.02,1,0,0.05,159,0.48,0.03,162,0.49,0.03,12,0.04,0.02,0,0,0
VERACRUZ,68,0.54,0.01,55,0.44,0.01,3,0.02,0.01,0,0,0,67,0.53,0.01,55,0.44,0.01,4,0.03,0.01,0,0,0,67,0.53,0.01,53,0.42,0.01,6,0.05,0.01,0,0,0,65,0.52,0.01,55,0.44,0.01,6,0.05,0.01,0,0,0,67,0.53,0.01,55,0.44,0.01,4,0.03,0.01,0,0,0,60,0.48,0.01,60,0.48,0.01,6,0.05,0.01,0,0,0
YUCATÁN,148,0.57,0.02,107,0.41,0.02,5,0.02,0.01,2,0.01,0.06,147,0.56,0.02,110,0.42,0.02,4,0.02,0.01,1,0,0.03,132,0.5,0.02,125,0.48,0.03,4,0.02,0.01,1,0,0.05,127,0.49,0.02,125,0.48,0.02,7,0.03,0.01,3,0.01,0.08,131,0.5,0.02,122,0.47,0.02,8,0.03,0.01,1,0,0.05,117,0.45,0.02,133,0.51,0.02,11,0.04,0.01,1,0,0.03
ZACATECAS,340,0.46,0.06,356,0.48,0.07,37,0.05,0.1,6,0.01,0.18,360,0.49,0.06,334,0.45,0.07,43,0.06,0.12,2,0,0.05,328,0.44,0.06,358,0.48,0.07,51,0.07,0.11,2,0,0.1,258,0.35,0.05,404,0.55,0.07,73,0.1,0.13,4,0.01,0.11,290,0.39,0.05,382,0.52,0.07,65,0.09,0.11,2,0,0.1,245,0.33,0.05,409,0.55,0.07,81,0.11,0.1,4,0.01,0.11
Hombre,1760,0.51,0.28,1541,0.45,0.32,131,0.04,0.35,10,0,0.29,1810,0.53,0.28,1496,0.44,0.32,128,0.04,0.35,8,0,0.21,1680,0.49,0.29,1610,0.47,0.32,145,0.04,0.32,7,0,0.33,1521,0.44,0.29,1733,0.5,0.31,179,0.05,0.32,9,0,0.24,1503,0.44,0.28,1744,0.51,0.32,190,0.06,0.33,5,0,0.24,1396,0.41,0.29,1799,0.52,0.31,239,0.07,0.31,8,0,0.22
Mujer,4449,0.56,0.72,3277,0.41,0.68,245,0.03,0.65,24,0,0.71,4560,0.57,0.72,3163,0.4,0.68,242,0.03,0.65,30,0,0.79,4184,0.52,0.71,3485,0.44,0.68,312,0.04,0.68,14,0,0.67,3767,0.47,0.71,3824,0.48,0.69,376,0.05,0.68,28,0,0.76,3867,0.48,0.72,3725,0.47,0.68,386,0.05,0.67,16,0,0.76,3421,0.43,0.71,4000,0.5,0.69,545,0.07,0.7,28,0,0.78
18 a 20 años,45,0.54,0.01,35,0.42,0.01,3,0.04,0.01,0,0,0,44,0.53,0.01,35,0.42,0.01,3,0.04,0.01,1,0.01,0.03,48,0.58,0.01,32,0.39,0.01,3,0.04,0.01,0,0,0,40,0.48,0.01,38,0.46,0.01,5,0.06,0.01,0,0,0,39,0.47,0.01,37,0.45,0.01,7,0.08,0.01,0,0,0,31,0.37,0.01,44,0.53,0.01,8,0.1,0.01,0,0,0
21 a 30 años,1427,0.6,0.23,892,0.37,0.19,60,0.03,0.16,11,0.01,0.32,1421,0.6,0.22,900,0.38,0.19,62,0.03,0.17,7,0,0.18,1304,0.55,0.22,1001,0.42,0.2,80,0.03,0.18,5,0,0.24,1166,0.49,0.22,1114,0.47,0.2,101,0.04,0.18,9,0,0.24,1209,0.51,0.23,1086,0.46,0.2,89,0.04,0.16,5,0,0.24,1041,0.44,0.22,1200,0.5,0.21,139,0.06,0.18,10,0,0.28
31 a 40 años,2139,0.53,0.34,1757,0.44,0.37,140,0.04,0.37,6,0,0.18,2207,0.55,0.35,1685,0.42,0.36,141,0.04,0.38,9,0,0.24,2006,0.5,0.34,1851,0.46,0.36,181,0.05,0.4,4,0,0.19,1754,0.43,0.33,2069,0.51,0.37,209,0.05,0.38,10,0,0.27,1793,0.44,0.33,2035,0.5,0.37,208,0.05,0.36,6,0,0.29,1580,0.39,0.33,2164,0.54,0.37,286,0.07,0.37,12,0,0.33
41 a 50 años,1675,0.52,0.27,1387,0.43,0.29,123,0.04,0.33,10,0,0.29,1729,0.54,0.27,1336,0.42,0.29,115,0.04,0.31,15,0.01,0.4,1573,0.49,0.27,1470,0.46,0.29,142,0.04,0.31,10,0,0.48,1461,0.46,0.28,1543,0.48,0.28,176,0.06,0.32,15,0.01,0.41,1463,0.46,0.27,1534,0.48,0.28,190,0.06,0.33,8,0,0.38,1329,0.42,0.28,1590,0.5,0.27,262,0.08,0.33,13,0,0.36
51 a 60 años,815,0.53,0.13,659,0.43,0.14,46,0.03,0.12,7,0.01,0.21,853,0.56,0.13,625,0.41,0.13,45,0.03,0.12,4,0,0.11,825,0.54,0.14,655,0.43,0.13,45,0.03,0.1,2,0,0.1,761,0.5,0.14,708,0.46,0.13,55,0.04,0.1,3,0,0.08,754,0.49,0.14,695,0.46,0.13,77,0.05,0.13,1,0,0.05,728,0.48,0.15,715,0.47,0.12,84,0.06,0.11,0,0,0
61 a 70 años,101,0.54,0.02,82,0.44,0.02,4,0.02,0.01,0,0,0,110,0.59,0.02,71,0.38,0.02,4,0.02,0.01,2,0.01,0.05,100,0.54,0.02,81,0.43,0.02,6,0.03,0.01,0,0,0,98,0.52,0.02,80,0.43,0.01,9,0.05,0.02,0,0,0,104,0.56,0.02,77,0.41,0.01,5,0.03,0.01,1,0.01,0.05,101,0.54,0.02,80,0.43,0.01,5,0.03,0.01,1,0.01,0.03
71 a 80 años,7,0.54,0,6,0.46,0,0,0,0,0,0,0,6,0.46,0,7,0.54,0,0,0,0,0,0,0,8,0.62,0,5,0.39,0,0,0,0,0,0,0,8,0.62,0,5,0.39,0,0,0,0,0,0,0,8,0.62,0,5,0.39,0,0,0,0,0,0,0,7,0.54,0,6,0.46,0,0,0,0,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",16,0.44,0,17,0.47,0,3,0.08,0.01,0,0,0,16,0.44,0,16,0.44,0,3,0.08,0.01,1,0.03,0.03,17,0.47,0,16,0.44,0,3,0.08,0.01,0,0,0,15,0.42,0,19,0.53,0,2,0.06,0,0,0,0,17,0.47,0,17,0.47,0,2,0.06,0,0,0,0,16,0.44,0,18,0.5,0,2,0.06,0,0,0,0
Normal básica sin licenciatura,227,0.5,0.04,209,0.46,0.04,20,0.04,0.05,1,0,0.03,250,0.55,0.04,187,0.41,0.04,18,0.04,0.05,2,0,0.05,224,0.49,0.04,215,0.47,0.04,18,0.04,0.04,0,0,0,215,0.47,0.04,220,0.48,0.04,21,0.05,0.04,1,0,0.03,205,0.45,0.04,228,0.5,0.04,24,0.05,0.04,0,0,0,207,0.45,0.04,218,0.48,0.04,32,0.07,0.04,0,0,0
Normal superior,130,0.55,0.02,101,0.43,0.02,5,0.02,0.01,1,0,0.03,135,0.57,0.02,94,0.4,0.02,7,0.03,0.02,1,0,0.03,123,0.52,0.02,108,0.46,0.02,6,0.03,0.01,0,0,0,101,0.43,0.02,124,0.52,0.02,12,0.05,0.02,0,0,0,120,0.51,0.02,109,0.46,0.02,8,0.03,0.01,0,0,0,98,0.41,0.02,130,0.55,0.02,9,0.04,0.01,0,0,0
Normal Intercultural Bilingüe,70,0.65,0.01,31,0.29,0.01,4,0.04,0.01,2,0.02,0.06,69,0.65,0.01,35,0.33,0.01,3,0.03,0.01,0,0,0,58,0.54,0.01,43,0.4,0.01,6,0.06,0.01,0,0,0,60,0.56,0.01,44,0.41,0.01,3,0.03,0.01,0,0,0,51,0.48,0.01,50,0.47,0.01,5,0.05,0.01,0,0,0,47,0.44,0.01,56,0.52,0.01,4,0.04,0.01,0,0,0
Licenciatura,4611,0.54,0.74,3664,0.43,0.76,280,0.03,0.75,26,0,0.77,4726,0.55,0.74,3557,0.42,0.76,270,0.03,0.73,28,0,0.74,4386,0.51,0.75,3843,0.45,0.75,338,0.04,0.74,14,0,0.67,3934,0.46,0.74,4202,0.49,0.76,417,0.05,0.75,28,0,0.76,4009,0.47,0.75,4124,0.48,0.75,431,0.05,0.75,17,0,0.81,3569,0.42,0.74,4381,0.51,0.76,600,0.07,0.77,30,0,0.83
Especialidad,40,0.53,0.01,31,0.41,0.01,3,0.04,0.01,1,0.01,0.03,45,0.6,0.01,26,0.35,0.01,4,0.05,0.01,0,0,0,42,0.56,0.01,29,0.39,0.01,4,0.05,0.01,0,0,0,41,0.55,0.01,29,0.39,0.01,5,0.07,0.01,0,0,0,34,0.45,0.01,33,0.44,0.01,8,0.11,0.01,0,0,0,33,0.44,0.01,37,0.49,0.01,5,0.07,0.01,0,0,0
Maestría,1016,0.57,0.16,707,0.4,0.15,56,0.03,0.15,3,0,0.09,1031,0.58,0.16,682,0.38,0.15,63,0.04,0.17,6,0,0.16,924,0.52,0.16,776,0.44,0.15,75,0.04,0.16,7,0,0.33,836,0.47,0.16,851,0.48,0.15,87,0.05,0.16,8,0,0.22,849,0.48,0.16,839,0.47,0.15,90,0.05,0.16,4,0,0.19,764,0.43,0.16,889,0.5,0.15,123,0.07,0.16,6,0,0.17
Doctorado,94,0.61,0.02,56,0.36,0.01,5,0.03,0.01,0,0,0,94,0.61,0.02,59,0.38,0.01,2,0.01,0.01,0,0,0,85,0.55,0.01,63,0.41,0.01,7,0.05,0.02,0,0,0,82,0.53,0.02,65,0.42,0.01,8,0.05,0.01,0,0,0,81,0.52,0.02,67,0.43,0.01,7,0.05,0.01,0,0,0,79,0.51,0.02,67,0.43,0.01,9,0.06,0.01,0,0,0
Posdoctorado,5,0.71,0,2,0.29,0,0,0,0,0,0,0,4,0.57,0,3,0.43,0,0,0,0,0,0,0,5,0.71,0,2,0.29,0,0,0,0,0,0,0,4,0.57,0,3,0.43,0,0,0,0,0,0,0,4,0.57,0,2,0.29,0,1,0.14,0,0,0,0,4,0.57,0,3,0.43,0,0,0,0,0,0,0
