Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas
ESTADO DE MÉXICO,752,0.64,0.04,425,0.36,0.04,819,0.7,0.04,358,0.3,0.04,844,0.72,0.04,333,0.28,0.04,918,0.78,0.04,259,0.22,0.04,885,0.75,0.04,292,0.25,0.04,890,0.76,0.04,287,0.24,0.04,894,0.76,0.04,283,0.24,0.05
GUANAJUATO,1124,0.66,0.06,588,0.34,0.06,1271,0.74,0.06,441,0.26,0.05,1283,0.75,0.06,429,0.25,0.06,1324,0.77,0.06,389,0.23,0.06,1293,0.76,0.06,419,0.25,0.06,1291,0.75,0.06,421,0.25,0.06,1334,0.78,0.06,378,0.22,0.06
GUERRERO,167,0.67,0.01,83,0.33,0.01,184,0.74,0.01,66,0.26,0.01,189,0.76,0.01,61,0.24,0.01,191,0.76,0.01,59,0.24,0.01,190,0.76,0.01,60,0.24,0.01,190,0.76,0.01,60,0.24,0.01,197,0.79,0.01,53,0.21,0.01
HIDALGO,756,0.73,0.04,285,0.27,0.03,787,0.76,0.04,254,0.24,0.03,766,0.74,0.04,275,0.26,0.04,851,0.82,0.04,190,0.18,0.03,836,0.8,0.04,205,0.2,0.03,849,0.82,0.04,192,0.18,0.03,844,0.81,0.04,197,0.19,0.03
JALISCO,829,0.66,0.04,429,0.34,0.04,906,0.72,0.04,352,0.28,0.04,926,0.74,0.04,332,0.26,0.04,979,0.78,0.04,279,0.22,0.04,963,0.77,0.04,295,0.23,0.04,974,0.77,0.04,284,0.23,0.04,999,0.79,0.04,259,0.21,0.04
MICHOACÁN,7,0.64,0,4,0.36,0,7,0.64,0,4,0.36,0,8,0.73,0,3,0.27,0,5,0.46,0,6,0.55,0,9,0.82,0,2,0.18,0,6,0.55,0,5,0.46,0,7,0.64,0,4,0.36,0
MORELOS,1015,0.67,0.05,496,0.33,0.05,1089,0.72,0.05,422,0.28,0.05,1064,0.7,0.05,447,0.3,0.06,1182,0.78,0.05,329,0.22,0.05,1189,0.79,0.05,321,0.21,0.05,1169,0.77,0.05,342,0.23,0.05,1194,0.79,0.05,315,0.21,0.05
NAYARIT,395,0.61,0.02,250,0.39,0.02,446,0.69,0.02,199,0.31,0.02,472,0.73,0.02,173,0.27,0.02,505,0.78,0.02,140,0.22,0.02,500,0.78,0.02,145,0.23,0.02,486,0.75,0.02,159,0.25,0.02,492,0.76,0.02,153,0.24,0.02
NUEVO LEÓN,68,0.66,0,35,0.34,0,70,0.68,0,33,0.32,0,79,0.77,0,24,0.23,0,83,0.81,0,20,0.19,0,82,0.8,0,21,0.2,0,80,0.78,0,23,0.22,0,78,0.76,0,25,0.24,0
PUEBLA,584,0.65,0.03,309,0.35,0.03,640,0.72,0.03,253,0.28,0.03,641,0.72,0.03,252,0.28,0.03,729,0.82,0.03,164,0.18,0.03,705,0.79,0.03,188,0.21,0.03,701,0.79,0.03,192,0.22,0.03,731,0.82,0.03,162,0.18,0.03
QUERÉTARO,934,0.63,0.05,557,0.37,0.05,1025,0.69,0.05,466,0.31,0.06,1074,0.72,0.05,417,0.28,0.05,1126,0.76,0.05,364,0.24,0.06,1104,0.74,0.05,386,0.26,0.06,1109,0.74,0.05,381,0.26,0.05,1137,0.76,0.05,353,0.24,0.06
QUINTANA ROO,884,0.65,0.05,480,0.35,0.05,995,0.73,0.05,369,0.27,0.04,1020,0.75,0.05,344,0.25,0.04,1085,0.8,0.05,279,0.21,0.04,1067,0.78,0.05,297,0.22,0.04,1062,0.78,0.05,302,0.22,0.04,1085,0.8,0.05,279,0.21,0.04
SAN LUIS POTOSÍ,519,0.66,0.03,267,0.34,0.03,581,0.74,0.03,205,0.26,0.02,581,0.74,0.03,205,0.26,0.03,610,0.78,0.03,176,0.22,0.03,612,0.78,0.03,174,0.22,0.03,606,0.77,0.03,180,0.23,0.03,607,0.77,0.03,179,0.23,0.03
SINALOA,938,0.63,0.05,558,0.37,0.05,1077,0.72,0.05,419,0.28,0.05,1107,0.74,0.05,389,0.26,0.05,1157,0.77,0.05,339,0.23,0.05,1161,0.78,0.05,335,0.22,0.05,1133,0.76,0.05,363,0.24,0.05,1185,0.79,0.05,311,0.21,0.05
SONORA,626,0.64,0.03,346,0.36,0.03,699,0.72,0.03,273,0.28,0.03,738,0.76,0.03,234,0.24,0.03,782,0.81,0.03,190,0.2,0.03,759,0.78,0.03,213,0.22,0.03,736,0.76,0.03,236,0.24,0.03,780,0.8,0.03,192,0.2,0.03
TABASCO,635,0.68,0.03,294,0.32,0.03,691,0.74,0.03,238,0.26,0.03,710,0.76,0.03,219,0.24,0.03,776,0.84,0.03,153,0.17,0.02,748,0.81,0.03,181,0.2,0.03,750,0.81,0.03,179,0.19,0.03,761,0.82,0.03,168,0.18,0.03
TAMAULIPAS,773,0.66,0.04,401,0.34,0.04,877,0.75,0.04,297,0.25,0.04,891,0.76,0.04,283,0.24,0.04,904,0.77,0.04,270,0.23,0.04,901,0.77,0.04,273,0.23,0.04,904,0.77,0.04,270,0.23,0.04,913,0.78,0.04,261,0.22,0.04
TLAXCALA,707,0.66,0.04,365,0.34,0.04,775,0.72,0.04,297,0.28,0.04,791,0.74,0.04,281,0.26,0.04,844,0.79,0.04,229,0.21,0.04,839,0.78,0.04,233,0.22,0.04,825,0.77,0.04,247,0.23,0.04,849,0.79,0.04,223,0.21,0.04
VERACRUZ,396,0.63,0.02,237,0.37,0.02,465,0.74,0.02,168,0.27,0.02,465,0.74,0.02,168,0.27,0.02,484,0.77,0.02,149,0.24,0.02,497,0.79,0.02,136,0.22,0.02,471,0.74,0.02,162,0.26,0.02,492,0.78,0.02,141,0.22,0.02
YUCATÁN,419,0.59,0.02,288,0.41,0.03,489,0.69,0.02,218,0.31,0.03,479,0.68,0.02,228,0.32,0.03,554,0.78,0.02,153,0.22,0.02,546,0.77,0.02,161,0.23,0.02,543,0.77,0.02,164,0.23,0.02,564,0.8,0.02,143,0.2,0.02
ZACATECAS,681,0.61,0.04,430,0.39,0.04,759,0.68,0.04,352,0.32,0.04,784,0.71,0.04,327,0.29,0.04,829,0.75,0.04,282,0.25,0.04,844,0.76,0.04,267,0.24,0.04,817,0.74,0.04,294,0.27,0.04,868,0.78,0.04,243,0.22,0.04
Hombre,8374,0.67,0.44,4062,0.33,0.39,9223,0.74,0.44,3213,0.26,0.38,9266,0.75,0.43,3170,0.26,0.4,9763,0.79,0.42,2675,0.22,0.41,9631,0.77,0.42,2805,0.23,0.42,9528,0.77,0.42,2908,0.23,0.42,9918,0.8,0.43,2516,0.2,0.4
Mujer,10597,0.62,0.56,6449,0.38,0.61,11839,0.7,0.56,5207,0.31,0.62,12353,0.73,0.57,4693,0.28,0.6,13263,0.78,0.58,3782,0.22,0.59,13096,0.77,0.58,3948,0.23,0.59,12939,0.76,0.58,4106,0.24,0.59,13212,0.78,0.57,3832,0.23,0.6
18 a 20 años,174,0.76,0.01,55,0.24,0.01,180,0.79,0.01,49,0.21,0.01,171,0.75,0.01,58,0.25,0.01,181,0.79,0.01,48,0.21,0.01,181,0.79,0.01,48,0.21,0.01,180,0.79,0.01,49,0.21,0.01,185,0.81,0.01,44,0.19,0.01
21 a 30 años,2277,0.63,0.12,1312,0.37,0.13,2497,0.7,0.12,1092,0.3,0.13,2638,0.74,0.12,951,0.27,0.12,2726,0.76,0.12,862,0.24,0.13,2679,0.75,0.12,909,0.25,0.14,2626,0.73,0.12,962,0.27,0.14,2725,0.76,0.12,862,0.24,0.14
31 a 40 años,5874,0.61,0.31,3712,0.39,0.35,6536,0.68,0.31,3050,0.32,0.36,6931,0.72,0.32,2655,0.28,0.34,7422,0.77,0.32,2164,0.23,0.34,7295,0.76,0.32,2291,0.24,0.34,7158,0.75,0.32,2428,0.25,0.35,7391,0.77,0.32,2195,0.23,0.35
41 a 50 años,6062,0.65,0.32,3271,0.35,0.31,6755,0.72,0.32,2578,0.28,0.31,6812,0.73,0.32,2521,0.27,0.32,7313,0.78,0.32,2021,0.22,0.31,7256,0.78,0.32,2076,0.22,0.31,7195,0.77,0.32,2138,0.23,0.31,7374,0.79,0.32,1957,0.21,0.31
51 a 60 años,3897,0.68,0.21,1857,0.32,0.18,4335,0.75,0.21,1419,0.25,0.17,4301,0.75,0.2,1453,0.25,0.19,4588,0.8,0.2,1167,0.2,0.18,4544,0.79,0.2,1210,0.21,0.18,4521,0.79,0.2,1233,0.21,0.18,4644,0.81,0.2,1110,0.19,0.18
61 a 70 años,649,0.69,0.03,292,0.31,0.03,722,0.77,0.03,219,0.23,0.03,726,0.77,0.03,215,0.23,0.03,760,0.81,0.03,181,0.19,0.03,732,0.78,0.03,209,0.22,0.03,751,0.8,0.03,190,0.2,0.03,772,0.82,0.03,169,0.18,0.03
71 a 80 años,38,0.76,0,12,0.24,0,37,0.74,0,13,0.26,0,40,0.8,0,10,0.2,0,36,0.72,0,14,0.28,0,40,0.8,0,10,0.2,0,36,0.72,0,14,0.28,0,39,0.78,0,11,0.22,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",480,0.7,0.03,211,0.31,0.02,552,0.8,0.03,139,0.2,0.02,527,0.76,0.02,164,0.24,0.02,543,0.79,0.02,148,0.21,0.02,538,0.78,0.02,153,0.22,0.02,536,0.78,0.02,155,0.22,0.02,556,0.81,0.02,135,0.2,0.02
Normal básica sin licenciatura,117,0.77,0.01,36,0.24,0,123,0.8,0.01,30,0.2,0,114,0.75,0.01,39,0.26,0.01,125,0.82,0.01,28,0.18,0,122,0.8,0.01,31,0.2,0.01,121,0.79,0.01,32,0.21,0.01,123,0.8,0.01,30,0.2,0.01
Normal superior,2848,0.66,0.15,1484,0.34,0.14,3176,0.73,0.15,1156,0.27,0.14,3187,0.74,0.15,1145,0.26,0.15,3426,0.79,0.15,906,0.21,0.14,3376,0.78,0.15,956,0.22,0.14,3396,0.78,0.15,936,0.22,0.13,3430,0.79,0.15,901,0.21,0.14
Normal Intercultural Bilingüe,11,0.73,0,4,0.27,0,11,0.73,0,4,0.27,0,12,0.8,0,3,0.2,0,11,0.73,0,4,0.27,0,12,0.8,0,3,0.2,0,10,0.67,0,5,0.33,0,13,0.87,0,2,0.13,0
Licenciatura,10309,0.64,0.54,5698,0.36,0.54,11486,0.72,0.55,4521,0.28,0.54,11757,0.73,0.54,4250,0.27,0.54,12513,0.78,0.54,3495,0.22,0.54,12332,0.77,0.54,3673,0.23,0.54,12202,0.76,0.54,3804,0.24,0.54,12588,0.79,0.54,3417,0.21,0.54
Especialidad,490,0.66,0.03,254,0.34,0.02,513,0.69,0.02,231,0.31,0.03,537,0.72,0.03,207,0.28,0.03,559,0.75,0.02,185,0.25,0.03,575,0.77,0.03,169,0.23,0.03,546,0.73,0.02,198,0.27,0.03,571,0.77,0.03,173,0.23,0.03
Maestría,4217,0.62,0.22,2551,0.38,0.24,4654,0.69,0.22,2114,0.31,0.25,4904,0.73,0.23,1864,0.28,0.24,5248,0.78,0.23,1520,0.23,0.24,5169,0.76,0.23,1599,0.24,0.24,5073,0.75,0.23,1695,0.25,0.24,5258,0.78,0.23,1510,0.22,0.24
Doctorado,479,0.64,0.03,266,0.36,0.03,523,0.7,0.03,222,0.3,0.03,561,0.75,0.03,184,0.25,0.02,580,0.78,0.03,165,0.22,0.03,582,0.78,0.03,163,0.22,0.02,562,0.75,0.03,183,0.25,0.03,569,0.76,0.03,176,0.24,0.03
Posdoctorado,20,0.74,0,7,0.26,0,24,0.89,0,3,0.11,0,20,0.74,0,7,0.26,0,21,0.78,0,6,0.22,0,21,0.78,0,6,0.22,0,21,0.78,0,6,0.22,0,22,0.85,0,4,0.15,0
Menor o igual a 10,5799,0.62,0.31,3580,0.38,0.34,6412,0.68,0.3,2967,0.32,0.35,6763,0.72,0.31,2616,0.28,0.33,7130,0.76,0.31,2248,0.24,0.35,7028,0.75,0.31,2350,0.25,0.35,6925,0.74,0.31,2453,0.26,0.35,7092,0.76,0.31,2285,0.24,0.36
11 a 20,7180,0.64,0.38,4125,0.37,0.39,8013,0.71,0.38,3292,0.29,0.39,8312,0.74,0.38,2993,0.27,0.38,8882,0.79,0.39,2425,0.21,0.38,8732,0.77,0.38,2572,0.23,0.38,8630,0.76,0.38,2675,0.24,0.38,8915,0.79,0.39,2389,0.21,0.38
21 a 30,5992,0.68,0.32,2806,0.32,0.27,6637,0.75,0.32,2161,0.25,0.26,6544,0.74,0.3,2254,0.26,0.29,7014,0.8,0.31,1784,0.2,0.28,6967,0.79,0.31,1831,0.21,0.27,6912,0.79,0.31,1886,0.21,0.27,7123,0.81,0.31,1674,0.19,0.26
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,17755,0.64,0.94,9907,0.36,0.94,19731,0.71,0.94,7931,0.29,0.94,20272,0.73,0.94,7390,0.27,0.94,21632,0.78,0.94,6031,0.22,0.93,21360,0.77,0.94,6300,0.23,0.93,21130,0.76,0.94,6531,0.24,0.93,21751,0.79,0.94,5907,0.21,0.93
Interino,683,0.67,0.04,335,0.33,0.03,757,0.74,0.04,261,0.26,0.03,769,0.76,0.04,249,0.25,0.03,788,0.77,0.03,230,0.23,0.04,771,0.76,0.03,247,0.24,0.04,761,0.75,0.03,257,0.25,0.04,781,0.77,0.03,237,0.23,0.04
Tiempo fijo,310,0.69,0.02,139,0.31,0.01,329,0.73,0.02,120,0.27,0.01,322,0.72,0.02,127,0.28,0.02,337,0.75,0.02,112,0.25,0.02,340,0.76,0.02,109,0.24,0.02,324,0.72,0.01,125,0.28,0.02,335,0.75,0.01,114,0.25,0.02
No tengo nombramiento,32,0.64,0,18,0.36,0,33,0.66,0,17,0.34,0,36,0.72,0,14,0.28,0,38,0.76,0,12,0.24,0,38,0.76,0,12,0.24,0,34,0.68,0,16,0.32,0,35,0.7,0,15,0.3,0
Otro,189,0.63,0.01,112,0.37,0.01,210,0.7,0.01,91,0.3,0.01,220,0.73,0.01,81,0.27,0.01,229,0.76,0.01,72,0.24,0.01,216,0.72,0.01,85,0.28,0.01,216,0.72,0.01,85,0.28,0.01,226,0.75,0.01,75,0.25,0.01
GENERAL PÚBLICA,9269,0.65,0.49,4988,0.35,0.48,10332,0.73,0.49,3925,0.28,0.47,10494,0.74,0.49,3763,0.26,0.48,11172,0.78,0.49,3086,0.22,0.48,10996,0.77,0.48,3261,0.23,0.48,10938,0.77,0.49,3319,0.23,0.47,11238,0.79,0.49,3019,0.21,0.48
TÉCNICA,7885,0.64,0.42,4440,0.36,0.42,8763,0.71,0.42,3562,0.29,0.42,9052,0.73,0.42,3273,0.27,0.42,9562,0.78,0.42,2763,0.22,0.43,9502,0.77,0.42,2821,0.23,0.42,9331,0.76,0.42,2993,0.24,0.43,9622,0.78,0.42,2699,0.22,0.43
TELESECUNDARIA,1817,0.63,0.1,1083,0.37,0.1,1967,0.68,0.09,933,0.32,0.11,2073,0.72,0.1,827,0.29,0.11,2292,0.79,0.1,608,0.21,0.09,2229,0.77,0.1,671,0.23,0.1,2198,0.76,0.1,702,0.24,0.1,2270,0.78,0.1,630,0.22,0.1
Total,18971,0.64,1,10511,0.36,1,21062,0.71,1,8420,0.29,1,21619,0.73,1,7863,0.27,1,23026,0.78,1,6457,0.22,1,22727,0.77,1,6753,0.23,1,22467,0.76,1,7014,0.24,1,23130,0.79,1,6348,0.22,1
