Variable,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas
ESTADO DE MÉXICO,159,0.32,0.039,301,0.606,0.045,35,0.07,0.049,2,0.004,0.047,163,0.328,0.045,309,0.622,0.042,24,0.048,0.049,1,0.002,0.029,208,0.419,0.04,264,0.531,0.046,23,0.046,0.056,2,0.004,0.059,184,0.37,0.046,288,0.579,0.042,25,0.05,0.048,0,0,0,193,0.388,0.041,272,0.547,0.043,30,0.06,0.064,2,0.004,0.048
GUANAJUATO,127,0.343,0.031,221,0.597,0.033,22,0.059,0.031,0,0,0,127,0.343,0.035,236,0.638,0.032,7,0.019,0.014,0,0,0,183,0.495,0.035,175,0.473,0.03,12,0.032,0.029,0,0,0,146,0.395,0.036,208,0.562,0.03,16,0.043,0.031,0,0,0,161,0.435,0.035,196,0.53,0.031,12,0.032,0.025,1,0.003,0.024
GUERRERO,7,0.35,0.002,11,0.55,0.002,2,0.1,0.003,0,0,0,7,0.35,0.002,12,0.6,0.002,1,0.05,0.002,0,0,0,10,0.5,0.002,9,0.45,0.002,1,0.05,0.002,0,0,0,7,0.35,0.002,12,0.6,0.002,1,0.05,0.002,0,0,0,7,0.35,0.002,12,0.6,0.002,1,0.05,0.002,0,0,0
HIDALGO,128,0.388,0.032,178,0.539,0.027,22,0.067,0.031,2,0.006,0.047,110,0.333,0.03,203,0.615,0.028,17,0.052,0.035,0,0,0,158,0.479,0.03,157,0.476,0.027,15,0.045,0.036,0,0,0,123,0.373,0.031,194,0.588,0.028,13,0.039,0.025,0,0,0,136,0.412,0.029,171,0.518,0.027,23,0.07,0.049,0,0,0
JALISCO,91,0.384,0.023,125,0.527,0.019,17,0.072,0.024,4,0.017,0.093,75,0.316,0.021,152,0.641,0.021,7,0.03,0.014,3,0.013,0.088,127,0.536,0.024,98,0.414,0.017,9,0.038,0.022,3,0.013,0.088,89,0.376,0.022,135,0.57,0.02,10,0.042,0.019,3,0.013,0.103,108,0.456,0.023,114,0.481,0.018,12,0.051,0.025,3,0.013,0.071
MICHOACÁN,15,0.417,0.004,20,0.556,0.003,1,0.028,0.001,0,0,0,10,0.278,0.003,25,0.694,0.003,1,0.028,0.002,0,0,0,18,0.5,0.003,16,0.444,0.003,2,0.056,0.005,0,0,0,11,0.306,0.003,22,0.611,0.003,3,0.083,0.006,0,0,0,15,0.417,0.003,21,0.583,0.003,0,0,0,0,0,0
MORELOS,121,0.337,0.03,208,0.579,0.031,29,0.081,0.04,1,0.003,0.023,123,0.343,0.034,219,0.61,0.03,14,0.039,0.029,3,0.008,0.088,173,0.482,0.033,175,0.487,0.03,9,0.025,0.022,2,0.006,0.059,130,0.362,0.032,212,0.591,0.031,15,0.042,0.029,2,0.006,0.069,159,0.443,0.034,187,0.521,0.03,10,0.028,0.021,3,0.008,0.071
NAYARIT,169,0.379,0.042,249,0.558,0.038,27,0.061,0.038,1,0.002,0.023,140,0.314,0.038,279,0.626,0.038,27,0.061,0.055,0,0,0,203,0.455,0.039,224,0.502,0.039,18,0.04,0.044,1,0.002,0.029,155,0.348,0.038,266,0.596,0.039,25,0.056,0.048,0,0,0,169,0.379,0.036,256,0.574,0.041,21,0.047,0.045,0,0,0
NUEVO LEÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PUEBLA,162,0.411,0.04,212,0.538,0.032,20,0.051,0.028,0,0,0,158,0.401,0.043,224,0.569,0.031,11,0.028,0.023,1,0.003,0.029,201,0.51,0.038,179,0.454,0.031,14,0.036,0.034,0,0,0,154,0.391,0.038,226,0.574,0.033,14,0.036,0.027,0,0,0,177,0.449,0.038,207,0.525,0.033,9,0.023,0.019,1,0.003,0.024
QUERÉTARO,179,0.347,0.044,307,0.595,0.046,30,0.058,0.042,0,0,0,161,0.312,0.044,340,0.659,0.047,14,0.027,0.029,1,0.002,0.029,252,0.488,0.048,248,0.481,0.043,16,0.031,0.039,0,0,0,186,0.36,0.046,310,0.601,0.045,19,0.037,0.037,1,0.002,0.034,207,0.401,0.044,284,0.55,0.045,24,0.047,0.051,1,0.002,0.024
QUINTANA ROO,193,0.419,0.048,250,0.542,0.038,17,0.037,0.024,1,0.002,0.023,164,0.356,0.045,275,0.597,0.038,21,0.046,0.043,1,0.002,0.029,217,0.471,0.041,232,0.503,0.04,10,0.022,0.024,2,0.004,0.059,174,0.377,0.043,267,0.579,0.039,19,0.041,0.037,1,0.002,0.034,186,0.403,0.04,259,0.562,0.041,14,0.03,0.03,2,0.004,0.048
SAN LUIS POTOSÍ,142,0.373,0.035,217,0.57,0.033,22,0.058,0.031,0,0,0,121,0.318,0.033,244,0.64,0.034,16,0.042,0.033,0,0,0,182,0.478,0.035,186,0.488,0.032,13,0.034,0.032,0,0,0,132,0.346,0.033,231,0.606,0.034,18,0.047,0.035,0,0,0,138,0.362,0.03,225,0.591,0.036,17,0.045,0.036,1,0.003,0.024
SINALOA,243,0.432,0.06,297,0.528,0.045,21,0.037,0.029,1,0.002,0.023,234,0.416,0.064,307,0.546,0.042,20,0.036,0.041,1,0.002,0.029,309,0.55,0.059,236,0.42,0.041,16,0.028,0.039,1,0.002,0.029,248,0.441,0.062,295,0.525,0.043,18,0.032,0.035,1,0.002,0.034,287,0.511,0.062,256,0.456,0.041,17,0.03,0.036,2,0.004,0.048
SONORA,127,0.39,0.031,184,0.564,0.028,15,0.046,0.021,0,0,0,120,0.368,0.033,194,0.595,0.027,12,0.037,0.025,0,0,0,157,0.482,0.03,164,0.503,0.028,4,0.012,0.01,1,0.003,0.029,136,0.417,0.034,175,0.537,0.026,14,0.043,0.027,1,0.003,0.034,151,0.463,0.032,163,0.5,0.026,10,0.031,0.021,2,0.006,0.048
TABASCO,133,0.339,0.033,235,0.599,0.035,22,0.056,0.031,2,0.005,0.047,130,0.332,0.036,248,0.633,0.034,14,0.036,0.029,0,0,0,180,0.459,0.034,196,0.5,0.034,16,0.041,0.039,0,0,0,134,0.342,0.033,242,0.617,0.035,16,0.041,0.031,0,0,0,158,0.403,0.034,218,0.556,0.035,16,0.041,0.034,0,0,0
TAMAULIPAS,137,0.319,0.034,271,0.63,0.041,22,0.051,0.031,0,0,0,127,0.295,0.035,287,0.667,0.039,16,0.037,0.033,0,0,0,180,0.419,0.034,235,0.547,0.041,15,0.035,0.036,0,0,0,133,0.309,0.033,281,0.653,0.041,15,0.035,0.029,1,0.002,0.034,171,0.398,0.037,245,0.57,0.039,13,0.03,0.028,1,0.002,0.024
TLAXCALA,96,0.288,0.024,220,0.661,0.033,16,0.048,0.022,1,0.003,0.023,99,0.297,0.027,227,0.682,0.031,6,0.018,0.012,1,0.003,0.029,135,0.405,0.026,189,0.568,0.033,7,0.021,0.017,2,0.006,0.059,95,0.285,0.024,226,0.679,0.033,11,0.033,0.021,1,0.003,0.034,118,0.354,0.025,206,0.619,0.033,8,0.024,0.017,1,0.003,0.024
VERACRUZ,40,0.317,0.01,80,0.635,0.012,5,0.04,0.007,1,0.008,0.023,34,0.27,0.009,85,0.675,0.012,7,0.056,0.014,0,0,0,65,0.516,0.012,57,0.452,0.01,4,0.032,0.01,0,0,0,40,0.317,0.01,82,0.651,0.012,4,0.032,0.008,0,0,0,51,0.405,0.011,71,0.563,0.011,4,0.032,0.008,0,0,0
YUCATÁN,109,0.416,0.027,140,0.534,0.021,11,0.042,0.015,2,0.008,0.047,90,0.344,0.025,157,0.599,0.022,13,0.05,0.027,2,0.008,0.059,116,0.443,0.022,139,0.531,0.024,6,0.023,0.015,1,0.004,0.029,101,0.385,0.025,152,0.58,0.022,7,0.027,0.013,2,0.008,0.069,114,0.435,0.025,143,0.546,0.023,4,0.015,0.008,1,0.004,0.024
ZACATECAS,245,0.332,0.061,427,0.578,0.064,61,0.083,0.085,6,0.008,0.14,195,0.264,0.054,497,0.673,0.068,44,0.06,0.09,3,0.004,0.088,318,0.43,0.061,379,0.513,0.066,36,0.049,0.088,6,0.008,0.176,231,0.313,0.057,453,0.613,0.066,51,0.069,0.098,4,0.005,0.138,282,0.382,0.061,424,0.574,0.068,29,0.039,0.062,4,0.005,0.095
Hombre,1384,0.402,0.343,1851,0.538,0.279,192,0.056,0.267,15,0.004,0.349,1155,0.336,0.318,2126,0.618,0.292,146,0.042,0.3,15,0.004,0.441,1654,0.481,0.316,1653,0.48,0.287,123,0.036,0.299,12,0.003,0.353,1262,0.367,0.313,2015,0.585,0.294,155,0.045,0.299,10,0.003,0.345,1466,0.426,0.315,1822,0.529,0.291,140,0.041,0.297,14,0.004,0.333
Mujer,2649,0.331,0.657,4788,0.599,0.721,527,0.066,0.733,28,0.004,0.651,2482,0.311,0.682,5150,0.644,0.708,341,0.043,0.7,19,0.002,0.559,3579,0.448,0.684,4103,0.513,0.713,288,0.036,0.701,22,0.003,0.647,2768,0.346,0.687,4841,0.606,0.706,364,0.046,0.701,19,0.002,0.655,3186,0.399,0.685,4447,0.556,0.709,331,0.041,0.703,28,0.004,0.667
18 a 20 años,26,0.313,0.006,49,0.59,0.007,7,0.084,0.01,1,0.012,0.023,27,0.325,0.007,51,0.614,0.007,3,0.036,0.006,2,0.024,0.059,35,0.422,0.007,46,0.554,0.008,1,0.012,0.002,1,0.012,0.029,26,0.313,0.006,53,0.639,0.008,4,0.048,0.008,0,0,0,28,0.337,0.006,51,0.614,0.008,4,0.048,0.008,0,0,0
21 a 30 años,933,0.391,0.231,1319,0.552,0.199,132,0.055,0.184,5,0.002,0.116,791,0.331,0.217,1489,0.623,0.205,103,0.043,0.211,6,0.003,0.176,1137,0.476,0.217,1170,0.49,0.203,76,0.032,0.185,6,0.003,0.176,885,0.37,0.22,1390,0.582,0.203,110,0.046,0.212,4,0.002,0.138,1033,0.432,0.222,1265,0.53,0.202,82,0.034,0.174,9,0.004,0.214
31 a 40 años,1363,0.337,0.338,2413,0.597,0.363,250,0.062,0.348,15,0.004,0.349,1213,0.3,0.334,2639,0.653,0.363,177,0.044,0.363,12,0.003,0.353,1783,0.441,0.341,2107,0.521,0.366,139,0.034,0.338,12,0.003,0.353,1346,0.333,0.334,2512,0.622,0.366,171,0.042,0.329,12,0.003,0.414,1594,0.394,0.343,2247,0.556,0.358,183,0.045,0.389,17,0.004,0.405
41 a 50 años,1121,0.351,0.278,1835,0.575,0.276,222,0.07,0.309,16,0.005,0.372,1019,0.319,0.28,2023,0.633,0.278,141,0.044,0.29,11,0.003,0.324,1456,0.456,0.278,1589,0.497,0.276,136,0.043,0.331,13,0.004,0.382,1130,0.354,0.28,1898,0.594,0.277,155,0.049,0.299,11,0.003,0.379,1286,0.403,0.276,1753,0.549,0.28,142,0.044,0.301,13,0.004,0.31
51 a 60 años,522,0.342,0.129,903,0.591,0.136,96,0.063,0.134,6,0.004,0.14,509,0.333,0.14,959,0.628,0.132,56,0.037,0.115,3,0.002,0.088,720,0.472,0.138,751,0.492,0.13,54,0.035,0.131,2,0.001,0.059,562,0.368,0.139,892,0.584,0.13,71,0.046,0.137,2,0.001,0.069,618,0.405,0.133,852,0.558,0.136,54,0.035,0.115,3,0.002,0.071
61 a 70 años,62,0.332,0.015,114,0.61,0.017,11,0.059,0.015,0,0,0,69,0.369,0.019,111,0.594,0.015,7,0.037,0.014,0,0,0,92,0.492,0.018,90,0.481,0.016,5,0.027,0.012,0,0,0,72,0.385,0.018,107,0.572,0.016,8,0.043,0.015,0,0,0,82,0.439,0.018,99,0.529,0.016,6,0.032,0.013,0,0,0
71 a 80 años,6,0.462,0.001,6,0.462,0.001,1,0.077,0.001,0,0,0,9,0.692,0.002,4,0.308,0.001,0,0,0,0,0,0,10,0.769,0.002,3,0.231,0.001,0,0,0,0,0,0,9,0.692,0.002,4,0.308,0.001,0,0,0,0,0,0,11,0.846,0.002,2,0.154,0,0,0,0,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",15,0.417,0.004,16,0.444,0.002,4,0.111,0.006,1,0.028,0.023,13,0.361,0.004,19,0.528,0.003,4,0.111,0.008,0,0,0,18,0.5,0.003,16,0.444,0.003,2,0.056,0.005,0,0,0,13,0.361,0.003,21,0.583,0.003,2,0.056,0.004,0,0,0,17,0.472,0.004,17,0.472,0.003,2,0.056,0.004,0,0,0
Normal básica sin licenciatura,132,0.289,0.033,298,0.652,0.045,24,0.053,0.033,3,0.007,0.07,134,0.293,0.037,307,0.672,0.042,15,0.033,0.031,1,0.002,0.029,197,0.431,0.038,238,0.521,0.041,19,0.042,0.046,3,0.007,0.088,153,0.335,0.038,281,0.615,0.041,21,0.046,0.04,2,0.004,0.069,164,0.359,0.035,276,0.604,0.044,13,0.028,0.028,4,0.009,0.095
Normal superior,84,0.354,0.021,131,0.553,0.02,20,0.084,0.028,2,0.008,0.047,80,0.338,0.022,144,0.608,0.02,12,0.051,0.025,1,0.004,0.029,110,0.464,0.021,119,0.502,0.021,8,0.034,0.019,0,0,0,77,0.325,0.019,145,0.612,0.021,14,0.059,0.027,1,0.004,0.034,85,0.359,0.018,136,0.574,0.022,15,0.063,0.032,1,0.004,0.024
Normal Intercultural Bilingüe,44,0.411,0.011,62,0.579,0.009,1,0.009,0.001,0,0,0,33,0.308,0.009,71,0.664,0.01,3,0.028,0.006,0,0,0,45,0.421,0.009,62,0.579,0.011,0,0,0,0,0,0,37,0.346,0.009,66,0.617,0.01,4,0.037,0.008,0,0,0,44,0.411,0.009,63,0.589,0.01,0,0,0,0,0,0
Licenciatura,2951,0.344,0.732,5030,0.586,0.758,566,0.066,0.787,31,0.004,0.721,2630,0.307,0.723,5552,0.647,0.763,368,0.043,0.756,28,0.003,0.824,3833,0.447,0.732,4395,0.512,0.764,323,0.038,0.786,27,0.003,0.794,2927,0.341,0.726,5230,0.61,0.763,399,0.047,0.769,22,0.003,0.759,3431,0.4,0.738,4760,0.555,0.759,356,0.042,0.756,31,0.004,0.738
Especialidad,27,0.36,0.007,41,0.547,0.006,6,0.08,0.008,1,0.013,0.023,21,0.28,0.006,47,0.627,0.006,7,0.093,0.014,0,0,0,34,0.453,0.006,37,0.493,0.006,4,0.053,0.01,0,0,0,33,0.44,0.008,40,0.533,0.006,2,0.027,0.004,0,0,0,33,0.44,0.007,37,0.493,0.006,5,0.067,0.011,0,0,0
Maestría,701,0.393,0.174,988,0.554,0.149,88,0.049,0.122,5,0.003,0.116,652,0.366,0.179,1057,0.593,0.145,70,0.039,0.144,3,0.002,0.088,898,0.504,0.172,831,0.466,0.144,50,0.028,0.122,3,0.002,0.088,711,0.399,0.176,995,0.558,0.145,72,0.04,0.139,4,0.002,0.138,792,0.444,0.17,914,0.513,0.146,70,0.039,0.149,6,0.003,0.143
Doctorado,74,0.477,0.018,72,0.465,0.011,9,0.058,0.013,0,0,0,69,0.445,0.019,77,0.497,0.011,8,0.052,0.016,1,0.006,0.029,93,0.6,0.018,56,0.361,0.01,5,0.032,0.012,1,0.006,0.029,75,0.484,0.019,75,0.484,0.011,5,0.032,0.01,0,0,0,82,0.529,0.018,64,0.413,0.01,9,0.058,0.019,0,0,0
Posdoctorado,5,0.714,0.001,1,0.143,0,1,0.143,0.001,0,0,0,5,0.714,0.001,2,0.286,0,0,0,0,0,0,0,5,0.714,0.001,2,0.286,0,0,0,0,0,0,0,4,0.571,0.001,3,0.429,0,0,0,0,0,0,0,4,0.571,0.001,2,0.286,0,1,0.143,0.002,0,0,0
Menor o igual a 10,1613,0.382,0.4,2356,0.557,0.355,248,0.059,0.345,11,0.003,0.256,1410,0.333,0.388,2630,0.622,0.361,177,0.042,0.363,11,0.003,0.324,2006,0.474,0.383,2082,0.492,0.362,130,0.031,0.316,10,0.002,0.294,1543,0.365,0.383,2499,0.591,0.364,179,0.042,0.345,7,0.002,0.241,1829,0.433,0.393,2232,0.528,0.356,153,0.036,0.325,14,0.003,0.333
11 a 20,1249,0.324,0.31,2328,0.603,0.351,262,0.068,0.364,19,0.005,0.442,1121,0.291,0.308,2560,0.664,0.352,162,0.042,0.333,15,0.004,0.441,1651,0.428,0.315,2036,0.528,0.354,155,0.04,0.377,16,0.004,0.471,1279,0.332,0.317,2378,0.616,0.347,185,0.048,0.356,16,0.004,0.552,1486,0.385,0.319,2173,0.563,0.347,179,0.046,0.38,20,0.005,0.476
21 a 30,1171,0.35,0.29,1955,0.584,0.294,209,0.062,0.291,13,0.004,0.302,1106,0.33,0.304,2086,0.623,0.287,148,0.044,0.304,8,0.002,0.235,1576,0.471,0.301,1638,0.489,0.285,126,0.038,0.307,8,0.002,0.235,1208,0.361,0.3,1979,0.591,0.289,155,0.046,0.299,6,0.002,0.207,1337,0.399,0.287,1864,0.557,0.297,139,0.042,0.295,8,0.002,0.19
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,3743,0.35,0.928,6218,0.582,0.937,679,0.064,0.944,40,0.004,0.93,3372,0.316,0.927,6818,0.638,0.937,458,0.043,0.94,32,0.003,0.941,4901,0.459,0.937,5357,0.502,0.931,391,0.037,0.951,31,0.003,0.912,3749,0.351,0.93,6418,0.601,0.936,486,0.046,0.936,27,0.003,0.931,4345,0.407,0.934,5851,0.548,0.933,446,0.042,0.947,38,0.004,0.905
Interino,147,0.393,0.036,205,0.548,0.031,21,0.056,0.029,1,0.003,0.023,139,0.372,0.038,219,0.586,0.03,15,0.04,0.031,1,0.003,0.029,169,0.452,0.032,194,0.519,0.034,9,0.024,0.022,2,0.005,0.059,150,0.401,0.037,207,0.553,0.03,16,0.043,0.031,1,0.003,0.034,160,0.428,0.034,197,0.527,0.031,16,0.043,0.034,1,0.003,0.024
Tiempo fijo,100,0.383,0.025,150,0.575,0.023,10,0.038,0.014,1,0.004,0.023,89,0.341,0.024,164,0.628,0.023,8,0.031,0.016,0,0,0,112,0.429,0.021,142,0.544,0.025,7,0.027,0.017,0,0,0,92,0.352,0.023,161,0.617,0.023,8,0.031,0.015,0,0,0,107,0.41,0.023,150,0.575,0.024,4,0.015,0.008,0,0,0
