Variable,B4-A-Muy pertinente-Recuento,B4-A-Muy pertinente-% del N de fila,B4-A-Muy pertinente-% de N columnas,B4-A-Pertinente-Recuento,B4-A-Pertinente-% del N de fila,B4-A-Pertinente-% de N columnas,B4-A-Poco pertinente-Recuento,B4-A-Poco pertinente-% del N de fila,B4-A-Poco pertinente-% de N columnas,B4-A-Nada pertinente-Recuento,B4-A-Nada pertinente-% del N de fila,B4-A-Nada pertinente-% de N columnas,B4-B-Muy pertinente-Recuento,B4-B-Muy pertinente-% del N de fila,B4-B-Muy pertinente-% de N columnas,B4-B-Pertinente-Recuento,B4-B-Pertinente-% del N de fila,B4-B-Pertinente-% de N columnas,B4-B-Poco pertinente-Recuento,B4-B-Poco pertinente-% del N de fila,B4-B-Poco pertinente-% de N columnas,B4-B-Nada pertinente-Recuento,B4-B-Nada pertinente-% del N de fila,B4-B-Nada pertinente-% de N columnas,B4-C-Muy pertinente-Recuento,B4-C-Muy pertinente-% del N de fila,B4-C-Muy pertinente-% de N columnas,B4-C-Pertinente-Recuento,B4-C-Pertinente-% del N de fila,B4-C-Pertinente-% de N columnas,B4-C-Poco pertinente-Recuento,B4-C-Poco pertinente-% del N de fila,B4-C-Poco pertinente-% de N columnas,B4-C-Nada pertinente-Recuento,B4-C-Nada pertinente-% del N de fila,B4-C-Nada pertinente-% de N columnas,B4-D-Muy pertinente-Recuento,B4-D-Muy pertinente-% del N de fila,B4-D-Muy pertinente-% de N columnas,B4-D-Pertinente-Recuento,B4-D-Pertinente-% del N de fila,B4-D-Pertinente-% de N columnas,B4-D-Poco pertinente-Recuento,B4-D-Poco pertinente-% del N de fila,B4-D-Poco pertinente-% de N columnas,B4-D-Nada pertinente-Recuento,B4-D-Nada pertinente-% del N de fila,B4-D-Nada pertinente-% de N columnas,B4-E-Muy pertinente-Recuento,B4-E-Muy pertinente-% del N de fila,B4-E-Muy pertinente-% de N columnas,B4-E-Pertinente-Recuento,B4-E-Pertinente-% del N de fila,B4-E-Pertinente-% de N columnas,B4-E-Poco pertinente-Recuento,B4-E-Poco pertinente-% del N de fila,B4-E-Poco pertinente-% de N columnas,B4-E-Nada pertinente-Recuento,B4-E-Nada pertinente-% del N de fila,B4-E-Nada pertinente-% de N columnas,B4-F-Muy pertinente-Recuento,B4-F-Muy pertinente-% del N de fila,B4-F-Muy pertinente-% de N columnas,B4-F-Pertinente-Recuento,B4-F-Pertinente-% del N de fila,B4-F-Pertinente-% de N columnas,B4-F-Poco pertinente-Recuento,B4-F-Poco pertinente-% del N de fila,B4-F-Poco pertinente-% de N columnas,B4-F-Nada pertinente-Recuento,B4-F-Nada pertinente-% del N de fila,B4-F-Nada pertinente-% de N columnas,B4-G-Muy pertinente-Recuento,B4-G-Muy pertinente-% del N de fila,B4-G-Muy pertinente-% de N columnas,B4-G-Pertinente-Recuento,B4-G-Pertinente-% del N de fila,B4-G-Pertinente-% de N columnas,B4-G-Poco pertinente-Recuento,B4-G-Poco pertinente-% del N de fila,B4-G-Poco pertinente-% de N columnas,B4-G-Nada pertinente-Recuento,B4-G-Nada pertinente-% del N de fila,B4-G-Nada pertinente-% de N columnas
ESTADO DE MÉXICO,460,0.391,0.045,638,0.542,0.037,73,0.062,0.039,6,0.005,0.034,427,0.363,0.044,655,0.556,0.037,90,0.076,0.042,5,0.004,0.028,370,0.314,0.045,692,0.588,0.037,106,0.09,0.04,9,0.008,0.048,289,0.246,0.043,740,0.629,0.038,135,0.115,0.041,13,0.011,0.052,268,0.228,0.044,716,0.608,0.04,172,0.146,0.034,21,0.018,0.039,299,0.254,0.047,710,0.603,0.039,152,0.129,0.035,16,0.014,0.033,307,0.261,0.048,693,0.589,0.039,160,0.136,0.034,17,0.014,0.032
GUANAJUATO,658,0.385,0.064,953,0.557,0.056,93,0.054,0.049,7,0.004,0.039,634,0.371,0.066,963,0.563,0.055,109,0.064,0.05,5,0.003,0.028,551,0.322,0.067,1008,0.589,0.055,147,0.086,0.056,5,0.003,0.027,451,0.264,0.067,1066,0.623,0.055,185,0.108,0.057,9,0.005,0.036,403,0.236,0.066,998,0.583,0.056,279,0.163,0.056,31,0.018,0.058,429,0.251,0.067,993,0.58,0.054,260,0.152,0.06,29,0.017,0.06,414,0.242,0.064,1008,0.589,0.056,261,0.153,0.056,28,0.016,0.053
GUERRERO,99,0.398,0.01,139,0.558,0.008,10,0.04,0.005,1,0.004,0.006,89,0.357,0.009,148,0.594,0.008,10,0.04,0.005,2,0.008,0.011,70,0.281,0.009,163,0.655,0.009,13,0.052,0.005,3,0.012,0.016,63,0.253,0.009,163,0.655,0.008,23,0.092,0.007,0,0,0,51,0.205,0.008,164,0.659,0.009,31,0.124,0.006,3,0.012,0.006,60,0.241,0.009,163,0.655,0.009,24,0.096,0.006,2,0.008,0.004,53,0.213,0.008,169,0.679,0.009,22,0.088,0.005,5,0.02,0.01
HIDALGO,417,0.4,0.041,559,0.536,0.033,59,0.057,0.031,8,0.008,0.045,403,0.386,0.042,572,0.548,0.033,58,0.056,0.027,10,0.01,0.056,326,0.313,0.04,638,0.612,0.035,70,0.067,0.027,9,0.009,0.048,276,0.265,0.041,659,0.632,0.034,95,0.091,0.029,13,0.012,0.052,251,0.241,0.041,644,0.617,0.036,127,0.122,0.025,21,0.02,0.039,274,0.263,0.043,625,0.599,0.034,127,0.122,0.029,17,0.016,0.035,266,0.255,0.041,632,0.607,0.035,125,0.12,0.027,19,0.018,0.036
JALISCO,399,0.317,0.039,769,0.612,0.045,81,0.064,0.043,8,0.006,0.045,373,0.297,0.039,777,0.618,0.044,101,0.08,0.047,6,0.005,0.034,325,0.259,0.04,780,0.621,0.042,147,0.117,0.056,5,0.004,0.027,260,0.207,0.038,825,0.656,0.043,164,0.13,0.05,8,0.006,0.032,235,0.187,0.038,752,0.598,0.042,250,0.199,0.05,20,0.016,0.037,244,0.194,0.038,780,0.621,0.043,215,0.171,0.05,18,0.014,0.037,245,0.195,0.038,765,0.609,0.043,223,0.177,0.048,24,0.019,0.046
MICHOACÁN,4,0.333,0,6,0.5,0,2,0.167,0.001,0,0,0,4,0.333,0,5,0.417,0,3,0.25,0.001,0,0,0,4,0.333,0,7,0.583,0,1,0.083,0,0,0,0,2,0.167,0,10,0.833,0.001,0,0,0,0,0,0,2,0.167,0,6,0.5,0,4,0.333,0.001,0,0,0,2,0.167,0,7,0.583,0,3,0.25,0.001,0,0,0,2,0.167,0,6,0.5,0,4,0.333,0.001,0,0,0
MORELOS,568,0.376,0.055,849,0.562,0.049,86,0.057,0.046,7,0.005,0.039,520,0.345,0.054,880,0.583,0.05,99,0.066,0.046,10,0.007,0.056,438,0.29,0.053,959,0.635,0.052,107,0.071,0.041,6,0.004,0.032,338,0.224,0.05,1002,0.664,0.052,159,0.105,0.049,11,0.007,0.044,301,0.199,0.049,951,0.63,0.053,237,0.157,0.047,21,0.014,0.039,306,0.203,0.048,977,0.647,0.053,209,0.138,0.048,18,0.012,0.037,331,0.219,0.052,933,0.618,0.052,220,0.146,0.047,25,0.017,0.048
NAYARIT,213,0.33,0.021,393,0.608,0.023,37,0.057,0.02,3,0.005,0.017,209,0.324,0.022,397,0.615,0.023,35,0.054,0.016,5,0.008,0.028,170,0.263,0.021,430,0.666,0.023,45,0.07,0.017,1,0.002,0.005,143,0.221,0.021,446,0.69,0.023,54,0.084,0.017,3,0.005,0.012,128,0.198,0.021,412,0.638,0.023,97,0.15,0.019,9,0.014,0.017,125,0.193,0.02,422,0.653,0.023,89,0.138,0.021,10,0.015,0.021,133,0.206,0.021,398,0.616,0.022,110,0.17,0.024,5,0.008,0.01
NUEVO LEÓN,38,0.369,0.004,60,0.583,0.003,4,0.039,0.002,1,0.01,0.006,41,0.398,0.004,53,0.515,0.003,8,0.078,0.004,1,0.01,0.006,34,0.33,0.004,62,0.602,0.003,6,0.058,0.002,1,0.01,0.005,26,0.252,0.004,66,0.641,0.003,11,0.107,0.003,0,0,0,27,0.262,0.004,58,0.563,0.003,14,0.136,0.003,4,0.039,0.007,29,0.282,0.005,54,0.524,0.003,15,0.146,0.003,5,0.049,0.01,27,0.262,0.004,52,0.505,0.003,19,0.184,0.004,5,0.049,0.01
PUEBLA,312,0.349,0.03,514,0.576,0.03,63,0.071,0.033,4,0.004,0.022,271,0.303,0.028,543,0.608,0.031,75,0.084,0.035,4,0.004,0.022,215,0.241,0.026,578,0.647,0.031,94,0.105,0.036,6,0.007,0.032,193,0.216,0.029,603,0.675,0.031,92,0.103,0.028,5,0.006,0.02,174,0.195,0.029,532,0.596,0.03,180,0.202,0.036,7,0.008,0.013,173,0.194,0.027,554,0.62,0.03,154,0.172,0.036,12,0.013,0.025,180,0.202,0.028,553,0.619,0.031,148,0.166,0.032,12,0.013,0.023
QUERÉTARO,549,0.368,0.053,852,0.571,0.05,78,0.052,0.041,13,0.009,0.073,512,0.343,0.053,872,0.584,0.05,92,0.062,0.043,16,0.011,0.089,424,0.284,0.052,944,0.633,0.051,112,0.075,0.042,12,0.008,0.064,358,0.24,0.053,968,0.649,0.05,156,0.105,0.048,10,0.007,0.04,316,0.212,0.052,887,0.595,0.05,255,0.171,0.051,34,0.023,0.063,331,0.222,0.052,909,0.609,0.05,224,0.15,0.052,28,0.019,0.058,341,0.229,0.053,890,0.597,0.05,227,0.152,0.049,34,0.023,0.065
QUINTANA ROO,508,0.374,0.049,762,0.56,0.044,80,0.059,0.042,10,0.007,0.056,465,0.342,0.048,797,0.586,0.045,91,0.067,0.042,7,0.005,0.039,408,0.3,0.05,832,0.612,0.045,108,0.079,0.041,12,0.009,0.064,333,0.245,0.049,884,0.65,0.046,129,0.095,0.04,14,0.01,0.056,312,0.229,0.051,804,0.591,0.045,211,0.155,0.042,33,0.024,0.061,323,0.238,0.051,850,0.625,0.046,167,0.123,0.039,20,0.015,0.041,325,0.239,0.051,807,0.593,0.045,203,0.149,0.044,25,0.018,0.048
SAN LUIS POTOSÍ,240,0.305,0.023,484,0.616,0.028,58,0.074,0.031,4,0.005,0.022,228,0.29,0.024,485,0.617,0.028,68,0.087,0.031,5,0.006,0.028,192,0.244,0.023,517,0.658,0.028,71,0.09,0.027,6,0.008,0.032,158,0.201,0.023,529,0.673,0.028,91,0.116,0.028,8,0.01,0.032,144,0.183,0.024,495,0.63,0.028,134,0.17,0.027,13,0.017,0.024,153,0.195,0.024,503,0.64,0.027,119,0.151,0.028,11,0.014,0.023,162,0.206,0.025,482,0.613,0.027,131,0.167,0.028,11,0.014,0.021
SINALOA,553,0.369,0.054,852,0.569,0.05,84,0.056,0.044,9,0.006,0.05,503,0.336,0.052,887,0.592,0.051,101,0.067,0.047,7,0.005,0.039,443,0.296,0.054,935,0.624,0.051,110,0.073,0.042,10,0.007,0.053,351,0.234,0.052,994,0.664,0.052,139,0.093,0.043,14,0.009,0.056,316,0.211,0.052,921,0.615,0.052,238,0.159,0.048,23,0.015,0.043,334,0.223,0.052,943,0.63,0.051,201,0.134,0.047,20,0.013,0.041,313,0.209,0.049,941,0.628,0.053,215,0.144,0.046,29,0.019,0.055
SONORA,339,0.348,0.033,589,0.604,0.034,46,0.047,0.024,1,0.001,0.006,312,0.32,0.032,604,0.619,0.034,58,0.059,0.027,1,0.001,0.006,267,0.274,0.032,626,0.642,0.034,78,0.08,0.03,4,0.004,0.021,233,0.239,0.034,634,0.65,0.033,106,0.109,0.032,2,0.002,0.008,213,0.218,0.035,593,0.608,0.033,155,0.159,0.031,14,0.014,0.026,212,0.217,0.033,625,0.641,0.034,129,0.132,0.03,9,0.009,0.019,217,0.223,0.034,617,0.633,0.034,135,0.138,0.029,6,0.006,0.011
TABASCO,357,0.384,0.035,512,0.551,0.03,56,0.06,0.03,4,0.004,0.022,327,0.352,0.034,536,0.577,0.031,64,0.069,0.03,2,0.002,0.011,275,0.296,0.033,572,0.616,0.031,77,0.083,0.029,5,0.005,0.027,236,0.254,0.035,613,0.66,0.032,75,0.081,0.023,5,0.005,0.02,213,0.229,0.035,561,0.604,0.031,143,0.154,0.029,12,0.013,0.022,215,0.231,0.034,577,0.621,0.032,127,0.137,0.029,10,0.011,0.021,213,0.229,0.033,549,0.591,0.031,154,0.166,0.033,13,0.014,0.025
TAMAULIPAS,365,0.312,0.036,721,0.616,0.042,77,0.066,0.041,8,0.007,0.045,356,0.304,0.037,722,0.617,0.041,87,0.074,0.04,5,0.004,0.028,299,0.256,0.036,774,0.662,0.042,87,0.074,0.033,10,0.009,0.053,259,0.221,0.038,795,0.679,0.041,109,0.093,0.033,8,0.007,0.032,228,0.195,0.037,758,0.647,0.042,169,0.144,0.034,16,0.014,0.03,248,0.212,0.039,778,0.664,0.042,130,0.111,0.03,15,0.013,0.031,245,0.209,0.038,765,0.653,0.043,147,0.126,0.032,14,0.012,0.027
TLAXCALA,315,0.293,0.031,669,0.623,0.039,83,0.077,0.044,7,0.007,0.039,293,0.273,0.03,675,0.629,0.039,94,0.088,0.043,11,0.01,0.061,246,0.229,0.03,711,0.663,0.039,108,0.101,0.041,8,0.007,0.043,200,0.186,0.03,734,0.684,0.038,126,0.117,0.039,13,0.012,0.052,162,0.151,0.027,685,0.638,0.038,202,0.188,0.04,24,0.022,0.045,176,0.164,0.028,706,0.659,0.039,173,0.161,0.04,17,0.016,0.035,181,0.169,0.028,692,0.646,0.039,173,0.161,0.037,26,0.024,0.049
VERACRUZ,242,0.381,0.024,358,0.564,0.021,28,0.044,0.015,7,0.011,0.039,215,0.339,0.022,369,0.581,0.021,47,0.074,0.022,4,0.006,0.022,186,0.293,0.023,398,0.627,0.022,50,0.079,0.019,1,0.002,0.005,154,0.243,0.023,415,0.654,0.022,61,0.096,0.019,5,0.008,0.02,149,0.235,0.024,395,0.622,0.022,88,0.139,0.018,3,0.005,0.006,151,0.238,0.024,396,0.624,0.022,80,0.126,0.019,8,0.013,0.017,162,0.255,0.025,387,0.609,0.022,79,0.124,0.017,7,0.011,0.013
YUCATÁN,253,0.359,0.025,395,0.56,0.023,50,0.071,0.026,7,0.01,0.039,235,0.333,0.024,406,0.576,0.023,58,0.082,0.027,6,0.009,0.034,197,0.279,0.024,421,0.597,0.023,81,0.115,0.031,6,0.009,0.032,161,0.228,0.024,432,0.613,0.022,102,0.145,0.031,10,0.014,0.04,125,0.177,0.02,403,0.572,0.023,157,0.223,0.031,20,0.028,0.037,134,0.19,0.021,415,0.589,0.023,140,0.199,0.032,16,0.023,0.033,131,0.186,0.02,409,0.58,0.023,140,0.199,0.03,25,0.035,0.048
ZACATECAS,327,0.294,0.032,690,0.621,0.04,88,0.079,0.047,7,0.006,0.039,306,0.275,0.032,707,0.636,0.04,93,0.084,0.043,6,0.005,0.034,277,0.249,0.034,707,0.636,0.038,118,0.106,0.045,10,0.009,0.053,225,0.202,0.033,737,0.663,0.038,136,0.122,0.042,14,0.013,0.056,206,0.185,0.034,673,0.605,0.038,204,0.183,0.041,29,0.026,0.054,218,0.196,0.034,682,0.613,0.037,185,0.166,0.043,27,0.024,0.056,233,0.21,0.036,650,0.585,0.036,204,0.183,0.044,25,0.022,0.048
Hombre,4318,0.347,0.42,7235,0.581,0.422,808,0.065,0.428,82,0.007,0.458,4024,0.323,0.418,7416,0.596,0.423,917,0.074,0.424,85,0.007,0.475,3396,0.273,0.413,7851,0.631,0.425,1121,0.09,0.425,74,0.006,0.396,2832,0.228,0.419,8098,0.651,0.421,1397,0.112,0.428,116,0.009,0.464,2651,0.213,0.434,7551,0.607,0.423,2016,0.162,0.402,225,0.018,0.417,2803,0.225,0.439,7798,0.627,0.426,1640,0.132,0.38,202,0.016,0.419,2804,0.225,0.437,7535,0.606,0.421,1860,0.149,0.399,243,0.02,0.462
Mujer,5957,0.349,0.58,9920,0.582,0.578,1082,0.063,0.572,97,0.006,0.542,5599,0.328,0.582,10116,0.593,0.577,1245,0.073,0.576,94,0.006,0.525,4821,0.283,0.587,10606,0.622,0.575,1515,0.089,0.575,113,0.007,0.604,3931,0.23,0.581,11123,0.652,0.579,1867,0.109,0.572,134,0.008,0.536,3453,0.202,0.566,10294,0.604,0.577,2994,0.176,0.598,314,0.018,0.583,3578,0.21,0.561,10517,0.617,0.574,2679,0.157,0.62,280,0.016,0.581,3617,0.212,0.563,10350,0.607,0.579,2803,0.164,0.601,283,0.017,0.538
18 a 20 años,86,0.377,0.008,128,0.561,0.007,12,0.053,0.006,2,0.009,0.011,82,0.36,0.009,128,0.561,0.007,18,0.079,0.008,0,0,0,72,0.316,0.009,137,0.601,0.007,19,0.083,0.007,0,0,0,64,0.281,0.009,134,0.588,0.007,29,0.127,0.009,1,0.004,0.004,63,0.276,0.01,132,0.579,0.007,31,0.136,0.006,2,0.009,0.004,66,0.289,0.01,132,0.579,0.007,28,0.123,0.006,2,0.009,0.004,67,0.294,0.01,128,0.561,0.007,29,0.127,0.006,4,0.018,0.008
21 a 30 años,1395,0.388,0.136,1969,0.548,0.115,204,0.057,0.108,24,0.007,0.134,1279,0.356,0.133,2007,0.559,0.114,286,0.08,0.132,20,0.006,0.112,1148,0.32,0.14,2095,0.583,0.114,320,0.089,0.121,29,0.008,0.155,945,0.263,0.14,2190,0.61,0.114,432,0.12,0.132,25,0.007,0.1,888,0.247,0.145,2038,0.567,0.114,597,0.166,0.119,69,0.019,0.128,924,0.257,0.145,2072,0.577,0.113,539,0.15,0.125,57,0.016,0.118,932,0.259,0.145,2079,0.579,0.116,525,0.146,0.113,56,0.016,0.106
31 a 40 años,3245,0.338,0.316,5591,0.583,0.326,675,0.07,0.357,77,0.008,0.43,3011,0.314,0.313,5774,0.602,0.329,734,0.077,0.34,68,0.007,0.38,2583,0.269,0.314,6036,0.63,0.327,889,0.093,0.337,79,0.008,0.422,2057,0.215,0.304,6284,0.655,0.327,1128,0.118,0.346,119,0.012,0.476,1875,0.196,0.307,5660,0.59,0.317,1829,0.191,0.365,224,0.023,0.416,1918,0.2,0.301,5921,0.618,0.323,1550,0.162,0.359,199,0.021,0.413,1904,0.199,0.297,5781,0.603,0.323,1687,0.176,0.362,215,0.022,0.409
41 a 50 años,3066,0.328,0.298,5565,0.596,0.324,657,0.07,0.348,54,0.006,0.302,2875,0.308,0.299,5673,0.607,0.324,732,0.078,0.339,61,0.007,0.341,2442,0.261,0.297,5988,0.641,0.324,861,0.092,0.327,50,0.005,0.267,2017,0.216,0.298,6230,0.667,0.324,1020,0.109,0.313,74,0.008,0.296,1773,0.19,0.29,5806,0.622,0.325,1589,0.17,0.317,173,0.019,0.321,1865,0.2,0.292,5948,0.637,0.325,1370,0.147,0.317,157,0.017,0.326,1874,0.201,0.292,5789,0.62,0.324,1508,0.161,0.323,168,0.018,0.319
