Variable,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas
ESTADO DE MÉXICO,76,0.47,0.03,75,0.47,0.04,10,0.06,0.07,0,0,0,99,0.62,0.04,61,0.38,0.04,1,0.01,0.01,0,0,0,115,0.71,0.04,42,0.26,0.04,4,0.03,0.08,0,0,0,95,0.59,0.04,57,0.35,0.04,9,0.06,0.11,0,0,0,89,0.55,0.03,67,0.42,0.04,4,0.03,0.03,1,0.01,0.13
GUANAJUATO,91,0.54,0.04,72,0.43,0.04,4,0.02,0.03,1,0.01,0.17,102,0.61,0.04,59,0.35,0.04,7,0.04,0.09,0,0,0,130,0.77,0.04,35,0.21,0.03,2,0.01,0.04,1,0.01,0.25,102,0.61,0.04,62,0.37,0.04,4,0.02,0.05,0,0,0,112,0.67,0.04,53,0.32,0.04,2,0.01,0.01,1,0.01,0.13
GUERRERO,28,0.67,0.01,14,0.33,0.01,0,0,0,0,0,0,23,0.55,0.01,19,0.45,0.01,0,0,0,0,0,0,36,0.86,0.01,5,0.12,0.01,1,0.02,0.02,0,0,0,26,0.62,0.01,15,0.36,0.01,1,0.02,0.01,0,0,0,27,0.64,0.01,14,0.33,0.01,1,0.02,0.01,0,0,0
HIDALGO,87,0.56,0.04,60,0.39,0.04,8,0.05,0.06,0,0,0,90,0.58,0.04,61,0.39,0.04,4,0.03,0.05,0,0,0,110,0.71,0.04,39,0.25,0.04,6,0.04,0.12,0,0,0,87,0.56,0.03,62,0.4,0.04,6,0.04,0.07,0,0,0,91,0.59,0.04,59,0.38,0.04,5,0.03,0.04,0,0,0
JALISCO,80,0.59,0.03,49,0.36,0.03,6,0.04,0.04,0,0,0,73,0.54,0.03,60,0.44,0.04,2,0.02,0.02,0,0,0,93,0.69,0.03,40,0.3,0.04,1,0.01,0.02,1,0.01,0.25,79,0.59,0.03,53,0.39,0.03,3,0.02,0.04,0,0,0,76,0.56,0.03,52,0.39,0.04,7,0.05,0.05,0,0,0
MICHOACÁN,19,0.58,0.01,12,0.36,0.01,2,0.06,0.02,0,0,0,18,0.55,0.01,14,0.42,0.01,1,0.03,0.01,0,0,0,21,0.64,0.01,11,0.33,0.01,1,0.03,0.02,0,0,0,18,0.55,0.01,14,0.42,0.01,1,0.03,0.01,0,0,0,17,0.52,0.01,15,0.46,0.01,1,0.03,0.01,0,0,0
MORELOS,102,0.58,0.04,67,0.38,0.04,8,0.05,0.06,0,0,0,111,0.63,0.04,62,0.35,0.04,4,0.02,0.05,0,0,0,132,0.75,0.04,45,0.25,0.04,0,0,0,0,0,0,112,0.63,0.04,61,0.35,0.04,4,0.02,0.05,0,0,0,105,0.59,0.04,64,0.36,0.04,7,0.04,0.05,1,0.01,0.13
NAYARIT,87,0.58,0.04,61,0.4,0.04,3,0.02,0.02,0,0,0,84,0.56,0.03,66,0.44,0.04,1,0.01,0.01,0,0,0,118,0.78,0.04,33,0.22,0.03,0,0,0,0,0,0,94,0.62,0.04,57,0.38,0.04,0,0,0,0,0,0,99,0.66,0.04,50,0.33,0.03,1,0.01,0.01,1,0.01,0.13
NUEVO LEÓN,17,0.55,0.01,14,0.45,0.01,0,0,0,0,0,0,20,0.65,0.01,11,0.36,0.01,0,0,0,0,0,0,24,0.77,0.01,7,0.23,0.01,0,0,0,0,0,0,19,0.61,0.01,11,0.36,0.01,1,0.03,0.01,0,0,0,18,0.58,0.01,10,0.32,0.01,3,0.1,0.02,0,0,0
PUEBLA,71,0.53,0.03,56,0.42,0.03,5,0.04,0.04,1,0.01,0.17,79,0.59,0.03,54,0.41,0.03,0,0,0,0,0,0,101,0.76,0.03,31,0.23,0.03,1,0.01,0.02,0,0,0,77,0.58,0.03,53,0.4,0.03,3,0.02,0.04,0,0,0,77,0.58,0.03,53,0.4,0.04,3,0.02,0.02,0,0,0
QUERÉTARO,102,0.53,0.04,81,0.42,0.05,7,0.04,0.05,1,0.01,0.17,106,0.56,0.04,80,0.42,0.05,4,0.02,0.05,1,0.01,0.25,127,0.67,0.04,60,0.31,0.06,3,0.02,0.06,1,0.01,0.25,108,0.57,0.04,75,0.39,0.05,7,0.04,0.08,1,0.01,0.25,112,0.59,0.04,70,0.37,0.05,8,0.04,0.06,1,0.01,0.13
QUINTANA ROO,116,0.68,0.05,51,0.3,0.03,3,0.02,0.02,0,0,0,111,0.65,0.04,56,0.33,0.03,3,0.02,0.04,0,0,0,132,0.78,0.04,37,0.22,0.04,1,0.01,0.02,0,0,0,112,0.66,0.04,56,0.33,0.04,2,0.01,0.02,0,0,0,112,0.66,0.04,54,0.32,0.04,4,0.02,0.03,0,0,0
SAN LUIS POTOSÍ,89,0.53,0.04,78,0.46,0.05,2,0.01,0.02,0,0,0,90,0.53,0.04,78,0.46,0.05,1,0.01,0.01,0,0,0,125,0.74,0.04,43,0.25,0.04,1,0.01,0.02,0,0,0,101,0.6,0.04,66,0.39,0.04,1,0.01,0.01,1,0.01,0.25,98,0.58,0.04,65,0.39,0.04,6,0.04,0.04,0,0,0
SINALOA,117,0.61,0.05,69,0.36,0.04,5,0.03,0.04,0,0,0,125,0.65,0.05,61,0.32,0.04,5,0.03,0.06,0,0,0,154,0.81,0.05,36,0.19,0.03,1,0.01,0.02,0,0,0,128,0.67,0.05,62,0.33,0.04,1,0.01,0.01,0,0,0,128,0.67,0.05,60,0.31,0.04,3,0.02,0.02,0,0,0
SONORA,95,0.65,0.04,46,0.31,0.03,5,0.03,0.04,1,0.01,0.17,92,0.63,0.04,51,0.35,0.03,4,0.03,0.05,0,0,0,111,0.76,0.04,34,0.23,0.03,2,0.01,0.04,0,0,0,97,0.66,0.04,46,0.31,0.03,4,0.03,0.05,0,0,0,97,0.66,0.04,48,0.33,0.03,2,0.01,0.01,0,0,0
TABASCO,69,0.53,0.03,55,0.42,0.03,6,0.05,0.04,0,0,0,78,0.6,0.03,50,0.39,0.03,2,0.02,0.02,0,0,0,92,0.71,0.03,36,0.28,0.03,2,0.02,0.04,0,0,0,72,0.55,0.03,53,0.41,0.03,5,0.04,0.06,0,0,0,77,0.59,0.03,45,0.35,0.03,7,0.05,0.05,1,0.01,0.13
TAMAULIPAS,76,0.5,0.03,69,0.46,0.04,6,0.04,0.04,0,0,0,77,0.51,0.03,71,0.47,0.04,3,0.02,0.04,0,0,0,110,0.73,0.04,39,0.26,0.04,2,0.01,0.04,0,0,0,89,0.59,0.03,61,0.4,0.04,1,0.01,0.01,0,0,0,88,0.58,0.03,56,0.37,0.04,7,0.05,0.05,0,0,0
TLAXCALA,79,0.5,0.03,71,0.45,0.04,7,0.05,0.05,0,0,0,85,0.54,0.03,68,0.43,0.04,3,0.02,0.04,1,0.01,0.25,103,0.66,0.03,53,0.34,0.05,1,0.01,0.02,0,0,0,85,0.54,0.03,70,0.45,0.04,2,0.01,0.02,0,0,0,89,0.57,0.03,63,0.4,0.04,5,0.03,0.04,0,0,0
VERACRUZ,51,0.46,0.02,59,0.53,0.03,1,0.01,0.01,1,0.01,0.17,54,0.48,0.02,56,0.5,0.03,2,0.02,0.02,0,0,0,76,0.68,0.02,36,0.32,0.03,0,0,0,0,0,0,58,0.52,0.02,51,0.46,0.03,3,0.03,0.04,0,0,0,62,0.55,0.02,47,0.42,0.03,2,0.02,0.01,1,0.01,0.13
YUCATÁN,51,0.51,0.02,47,0.47,0.03,3,0.03,0.02,0,0,0,54,0.54,0.02,41,0.41,0.03,5,0.05,0.06,1,0.01,0.25,69,0.68,0.02,31,0.31,0.03,1,0.01,0.02,0,0,0,60,0.59,0.02,40,0.4,0.03,1,0.01,0.01,0,0,0,60,0.59,0.02,39,0.39,0.03,2,0.02,0.01,0,0,0
ZACATECAS,94,0.5,0.04,87,0.47,0.05,6,0.03,0.04,0,0,0,92,0.49,0.04,91,0.49,0.05,4,0.02,0.05,0,0,0,128,0.68,0.04,56,0.3,0.05,3,0.02,0.06,0,0,0,101,0.54,0.04,82,0.44,0.05,3,0.02,0.04,1,0.01,0.25,105,0.56,0.04,73,0.39,0.05,9,0.05,0.06,0,0,0
Hombre,1124,0.61,0.47,681,0.37,0.4,44,0.02,0.32,4,0,0.67,1091,0.59,0.44,725,0.39,0.43,36,0.02,0.44,1,0,0.25,1376,0.74,0.44,455,0.25,0.43,21,0.01,0.4,1,0,0.25,1118,0.6,0.43,705,0.38,0.45,27,0.02,0.33,3,0,0.75,1127,0.61,0.43,658,0.36,0.44,63,0.03,0.45,5,0,0.63
Mujer,1272,0.53,0.53,1034,0.43,0.6,92,0.04,0.68,2,0,0.33,1406,0.59,0.56,945,0.39,0.57,46,0.02,0.56,3,0,0.75,1762,0.73,0.56,604,0.25,0.57,31,0.01,0.6,3,0,0.75,1468,0.61,0.57,875,0.37,0.55,56,0.02,0.68,1,0,0.25,1472,0.61,0.57,848,0.35,0.56,77,0.03,0.55,3,0,0.38
18 a 20 años,4,0.4,0,6,0.6,0,0,0,0,0,0,0,4,0.4,0,6,0.6,0,0,0,0,0,0,0,5,0.5,0,5,0.5,0.01,0,0,0,0,0,0,4,0.4,0,6,0.6,0,0,0,0,0,0,0,4,0.4,0,6,0.6,0,0,0,0,0,0,0
21 a 30 años,112,0.55,0.05,86,0.42,0.05,7,0.03,0.05,0,0,0,111,0.54,0.04,87,0.42,0.05,7,0.03,0.09,0,0,0,143,0.7,0.05,58,0.28,0.06,4,0.02,0.08,0,0,0,115,0.56,0.04,84,0.41,0.05,6,0.03,0.07,0,0,0,131,0.64,0.05,69,0.34,0.05,5,0.02,0.04,0,0,0
31 a 40 años,552,0.56,0.23,398,0.4,0.23,40,0.04,0.29,3,0,0.5,541,0.55,0.22,426,0.43,0.26,23,0.02,0.28,3,0,0.75,722,0.73,0.23,257,0.26,0.24,13,0.01,0.25,1,0,0.25,598,0.6,0.23,368,0.37,0.23,26,0.03,0.31,1,0,0.25,601,0.61,0.23,352,0.35,0.23,38,0.04,0.27,2,0,0.25
41 a 50 años,716,0.57,0.3,504,0.4,0.29,37,0.03,0.27,1,0,0.17,740,0.59,0.3,488,0.39,0.29,29,0.02,0.35,1,0,0.25,948,0.75,0.3,295,0.23,0.28,13,0.01,0.25,2,0,0.5,772,0.61,0.3,459,0.37,0.29,26,0.02,0.31,1,0,0.25,777,0.62,0.3,434,0.35,0.29,47,0.04,0.34,0,0,0
51 a 60 años,698,0.55,0.29,518,0.41,0.3,43,0.03,0.32,2,0,0.33,769,0.61,0.31,473,0.38,0.28,19,0.02,0.23,0,0,0,929,0.74,0.3,319,0.25,0.3,12,0.01,0.23,1,0,0.25,782,0.62,0.3,459,0.36,0.29,19,0.02,0.23,1,0,0.25,756,0.6,0.29,461,0.37,0.31,40,0.03,0.29,4,0,0.5
61 a 70 años,282,0.61,0.12,173,0.37,0.1,9,0.02,0.07,0,0,0,296,0.64,0.12,165,0.36,0.1,3,0.01,0.04,0,0,0,351,0.76,0.11,104,0.22,0.1,9,0.02,0.17,0,0,0,280,0.6,0.11,177,0.38,0.11,6,0.01,0.07,1,0,0.25,290,0.63,0.11,164,0.35,0.11,8,0.02,0.06,2,0,0.25
71 a 80 años,32,0.52,0.01,30,0.48,0.02,0,0,0,0,0,0,36,0.58,0.01,25,0.4,0.02,1,0.02,0.01,0,0,0,40,0.65,0.01,21,0.34,0.02,1,0.02,0.02,0,0,0,35,0.57,0.01,27,0.44,0.02,0,0,0,0,0,0,40,0.65,0.02,20,0.32,0.01,2,0.03,0.01,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",6,0.33,0,12,0.67,0.01,0,0,0,0,0,0,6,0.33,0,12,0.67,0.01,0,0,0,0,0,0,6,0.33,0,11,0.61,0.01,1,0.06,0.02,0,0,0,6,0.33,0,11,0.61,0.01,1,0.06,0.01,0,0,0,6,0.33,0,11,0.61,0.01,1,0.06,0.01,0,0,0
Normal básica sin licenciatura,36,0.42,0.02,46,0.54,0.03,4,0.05,0.03,0,0,0,42,0.49,0.02,43,0.5,0.03,1,0.01,0.01,0,0,0,53,0.62,0.02,33,0.38,0.03,0,0,0,0,0,0,40,0.47,0.02,44,0.51,0.03,2,0.02,0.02,0,0,0,47,0.55,0.02,37,0.43,0.03,2,0.02,0.01,0,0,0
Normal superior,137,0.57,0.06,98,0.41,0.06,6,0.03,0.04,1,0,0.17,138,0.57,0.06,101,0.42,0.06,3,0.01,0.04,0,0,0,173,0.72,0.06,68,0.28,0.06,1,0,0.02,0,0,0,142,0.59,0.06,98,0.41,0.06,2,0.01,0.02,0,0,0,141,0.58,0.05,93,0.38,0.06,7,0.03,0.05,1,0,0.13
Normal Intercultural Bilingüe,3,0.6,0,2,0.4,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,4,0.8,0,1,0.2,0,0,0,0,0,0,0,4,0.8,0,1,0.2,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0
Licenciatura,995,0.54,0.42,782,0.43,0.46,55,0.03,0.4,2,0,0.33,1024,0.56,0.41,776,0.42,0.47,33,0.02,0.4,1,0,0.25,1320,0.72,0.42,497,0.27,0.47,16,0.01,0.31,1,0,0.25,1073,0.59,0.42,725,0.4,0.46,34,0.02,0.41,2,0,0.5,1111,0.61,0.43,676,0.37,0.45,47,0.03,0.34,0,0,0
Especialidad,26,0.53,0.01,22,0.45,0.01,1,0.02,0.01,0,0,0,27,0.55,0.01,21,0.43,0.01,1,0.02,0.01,0,0,0,37,0.76,0.01,9,0.18,0.01,3,0.06,0.06,0,0,0,32,0.65,0.01,15,0.31,0.01,2,0.04,0.02,0,0,0,32,0.65,0.01,13,0.27,0.01,4,0.08,0.03,0,0,0
Maestría,928,0.59,0.39,590,0.38,0.34,48,0.03,0.35,3,0,0.5,973,0.62,0.39,565,0.36,0.34,28,0.02,0.34,3,0,0.75,1215,0.77,0.39,337,0.22,0.32,15,0.01,0.29,2,0,0.5,996,0.64,0.39,542,0.35,0.34,29,0.02,0.35,2,0,0.5,989,0.63,0.38,515,0.33,0.34,60,0.04,0.43,5,0,0.63
Doctorado,255,0.59,0.11,159,0.37,0.09,22,0.05,0.16,0,0,0,273,0.63,0.11,147,0.34,0.09,16,0.04,0.2,0,0,0,321,0.74,0.1,98,0.23,0.09,16,0.04,0.31,1,0,0.25,283,0.65,0.11,140,0.32,0.09,13,0.03,0.16,0,0,0,262,0.6,0.1,153,0.35,0.1,19,0.04,0.14,2,0.01,0.25
Posdoctorado,10,0.71,0,4,0.29,0,0,0,0,0,0,0,11,0.79,0,3,0.21,0,0,0,0,0,0,0,9,0.64,0,5,0.36,0.01,0,0,0,0,0,0,10,0.71,0,4,0.29,0,0,0,0,0,0,0,8,0.57,0,6,0.43,0,0,0,0,0,0,0
Menor o igual a 10,1638,0.57,0.68,1149,0.4,0.67,97,0.03,0.71,4,0,0.67,1681,0.58,0.67,1147,0.4,0.69,56,0.02,0.68,4,0,1,2144,0.74,0.68,704,0.24,0.67,37,0.01,0.71,3,0,0.75,1777,0.62,0.69,1047,0.36,0.66,61,0.02,0.74,3,0,0.75,1787,0.62,0.69,989,0.34,0.66,106,0.04,0.76,6,0,0.75
11 a 20,507,0.57,0.21,366,0.41,0.21,19,0.02,0.14,1,0,0.17,548,0.61,0.22,329,0.37,0.2,16,0.02,0.2,0,0,0,672,0.75,0.21,216,0.24,0.2,4,0,0.08,1,0,0.25,545,0.61,0.21,334,0.37,0.21,14,0.02,0.17,0,0,0,541,0.61,0.21,329,0.37,0.22,21,0.02,0.15,2,0,0.25
21 a 30,251,0.53,0.11,200,0.42,0.12,20,0.04,0.15,1,0,0.17,268,0.57,0.11,194,0.41,0.12,10,0.02,0.12,0,0,0,322,0.68,0.1,139,0.29,0.13,11,0.02,0.21,0,0,0,264,0.56,0.1,199,0.42,0.13,8,0.02,0.1,1,0,0.25,271,0.57,0.1,188,0.4,0.13,13,0.03,0.09,0,0,0
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,1931,0.58,0.81,1300,0.39,0.76,109,0.03,0.8,6,0,1,2037,0.61,0.82,1240,0.37,0.74,65,0.02,0.79,4,0,1,2521,0.75,0.8,781,0.23,0.74,41,0.01,0.79,3,0,0.75,2095,0.63,0.81,1188,0.36,0.75,60,0.02,0.72,3,0,0.75,2070,0.62,0.8,1157,0.35,0.77,115,0.03,0.82,4,0,0.5
Interino,75,0.56,0.03,56,0.42,0.03,3,0.02,0.02,0,0,0,72,0.54,0.03,59,0.44,0.04,3,0.02,0.04,0,0,0,95,0.71,0.03,37,0.28,0.04,2,0.02,0.04,0,0,0,73,0.55,0.03,57,0.43,0.04,3,0.02,0.04,1,0.01,0.25,82,0.61,0.03,44,0.33,0.03,7,0.05,0.05,1,0.01,0.13
No tengo nombramiento,229,0.5,0.1,216,0.47,0.13,17,0.04,0.13,0,0,0,222,0.48,0.09,230,0.5,0.14,10,0.02,0.12,0,0,0,304,0.66,0.1,153,0.33,0.14,4,0.01,0.08,1,0,0.25,242,0.52,0.09,209,0.45,0.13,11,0.02,0.13,0,0,0,255,0.55,0.1,192,0.42,0.13,14,0.03,0.1,1,0,0.13
Otro,161,0.52,0.07,143,0.46,0.08,7,0.02,0.05,0,0,0,166,0.53,0.07,141,0.45,0.08,4,0.01,0.05,0,0,0,218,0.7,0.07,88,0.28,0.08,5,0.02,0.1,0,0,0,176,0.57,0.07,126,0.41,0.08,9,0.03,0.11,0,0,0,192,0.62,0.07,113,0.36,0.08,4,0.01,0.03,2,0.01,0.25
GENERAL PÚBLICA,1526,0.55,0.64,1159,0.42,0.68,93,0.03,0.68,2,0,0.33,1638,0.59,0.66,1081,0.39,0.65,58,0.02,0.71,3,0,0.75,2064,0.74,0.66,686,0.25,0.65,29,0.01,0.56,1,0,0.25,1697,0.61,0.66,1030,0.37,0.65,51,0.02,0.61,2,0,0.5,1702,0.61,0.66,983,0.35,0.65,89,0.03,0.64,6,0,0.75
INDÍGENAS,206,0.56,0.09,150,0.41,0.09,11,0.03,0.08,2,0.01,0.33,180,0.49,0.07,178,0.48,0.11,10,0.03,0.12,1,0,0.25,250,0.68,0.08,115,0.31,0.11,3,0.01,0.06,1,0,0.25,195,0.53,0.08,163,0.44,0.1,10,0.03,0.12,1,0,0.25,199,0.54,0.08,161,0.44,0.11,7,0.02,0.05,2,0.01,0.25
