Variable,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas,B5-F-Muy adecuado-Recuento,B5-F-Muy adecuado-% del N de fila,B5-F-Muy adecuado-% de N columnas,B5-F-Adecuado-Recuento,B5-F-Adecuado-% del N de fila,B5-F-Adecuado-% de N columnas,B5-F-Poco adecuado-Recuento,B5-F-Poco adecuado-% del N de fila,B5-F-Poco adecuado-% de N columnas,B5-F-Nada adecuado-Recuento,B5-F-Nada adecuado-% del N de fila,B5-F-Nada adecuado-% de N columnas,B5-G-Muy adecuado-Recuento,B5-G-Muy adecuado-% del N de fila,B5-G-Muy adecuado-% de N columnas,B5-G-Adecuado-Recuento,B5-G-Adecuado-% del N de fila,B5-G-Adecuado-% de N columnas,B5-G-Poco adecuado-Recuento,B5-G-Poco adecuado-% del N de fila,B5-G-Poco adecuado-% de N columnas,B5-G-Nada adecuado-Recuento,B5-G-Nada adecuado-% del N de fila,B5-G-Nada adecuado-% de N columnas,B5-H-Muy adecuado-Recuento,B5-H-Muy adecuado-% del N de fila,B5-H-Muy adecuado-% de N columnas,B5-H-Adecuado-Recuento,B5-H-Adecuado-% del N de fila,B5-H-Adecuado-% de N columnas,B5-H-Poco adecuado-Recuento,B5-H-Poco adecuado-% del N de fila,B5-H-Poco adecuado-% de N columnas,B5-H-Nada adecuado-Recuento,B5-H-Nada adecuado-% del N de fila,B5-H-Nada adecuado-% de N columnas
NAYARIT,66,0.35,0.03,112,0.59,0.04,12,0.06,0.04,0,0,0,73,0.38,0.04,107,0.56,0.04,9,0.05,0.03,1,0.01,0.06,83,0.44,0.04,87,0.46,0.03,17,0.09,0.03,3,0.02,0.03,84,0.44,0.04,96,0.51,0.04,10,0.05,0.04,0,0,0,85,0.45,0.04,88,0.46,0.03,17,0.09,0.05,0,0,0,94,0.5,0.04,87,0.46,0.03,8,0.04,0.03,1,0.01,0.03,74,0.39,0.03,99,0.52,0.04,17,0.09,0.05,0,0,0,63,0.33,0.04,94,0.5,0.03,32,0.17,0.06,1,0.01,0.01
NUEVO LEÓN,13,0.41,0.01,16,0.5,0.01,3,0.09,0.01,0,0,0,11,0.34,0.01,18,0.56,0.01,3,0.09,0.01,0,0,0,14,0.44,0.01,15,0.47,0.01,3,0.09,0.01,0,0,0,11,0.34,0.01,18,0.56,0.01,3,0.09,0.01,0,0,0,12,0.38,0.01,18,0.56,0.01,2,0.06,0.01,0,0,0,17,0.53,0.01,14,0.44,0.01,1,0.03,0,0,0,0,14,0.44,0.01,13,0.41,0.01,5,0.16,0.02,0,0,0,10,0.31,0.01,17,0.53,0.01,5,0.16,0.01,0,0,0
PUEBLA,79,0.41,0.04,106,0.56,0.04,6,0.03,0.02,0,0,0,79,0.41,0.04,105,0.55,0.04,7,0.04,0.02,0,0,0,76,0.4,0.04,88,0.46,0.03,25,0.13,0.05,2,0.01,0.02,84,0.44,0.04,103,0.54,0.04,4,0.02,0.02,0,0,0,87,0.46,0.04,96,0.5,0.04,7,0.04,0.02,1,0.01,0.02,94,0.49,0.04,90,0.47,0.04,6,0.03,0.03,1,0.01,0.03,80,0.42,0.04,107,0.56,0.04,4,0.02,0.01,0,0,0,64,0.34,0.04,112,0.59,0.04,15,0.08,0.03,0,0,0
QUERÉTARO,63,0.26,0.03,142,0.59,0.05,34,0.14,0.1,2,0.01,0.13,69,0.29,0.03,142,0.59,0.05,28,0.12,0.1,2,0.01,0.12,80,0.33,0.04,111,0.46,0.04,38,0.16,0.07,12,0.05,0.12,80,0.33,0.04,131,0.54,0.05,26,0.11,0.1,4,0.02,0.12,77,0.32,0.04,119,0.49,0.04,38,0.16,0.1,7,0.03,0.13,88,0.37,0.04,121,0.5,0.05,28,0.12,0.12,4,0.02,0.1,78,0.32,0.04,133,0.55,0.05,26,0.11,0.08,4,0.02,0.14,66,0.27,0.04,132,0.55,0.05,35,0.15,0.06,8,0.03,0.1
QUINTANA ROO,66,0.33,0.03,122,0.6,0.04,14,0.07,0.04,0,0,0,64,0.32,0.03,123,0.61,0.04,15,0.07,0.05,0,0,0,75,0.37,0.04,100,0.5,0.04,24,0.12,0.04,3,0.02,0.03,80,0.4,0.04,106,0.53,0.04,10,0.05,0.04,6,0.03,0.18,75,0.37,0.03,107,0.53,0.04,13,0.06,0.04,7,0.04,0.13,85,0.42,0.03,110,0.55,0.04,7,0.04,0.03,0,0,0,69,0.34,0.03,113,0.56,0.04,18,0.09,0.06,2,0.01,0.07,48,0.24,0.03,126,0.62,0.04,22,0.11,0.04,6,0.03,0.08
SAN LUIS POTOSÍ,97,0.4,0.05,133,0.55,0.05,13,0.05,0.04,0,0,0,90,0.37,0.05,146,0.6,0.05,7,0.03,0.02,0,0,0,92,0.38,0.04,129,0.53,0.05,18,0.07,0.03,4,0.02,0.04,97,0.4,0.04,135,0.56,0.05,10,0.04,0.04,1,0,0.03,100,0.41,0.05,131,0.54,0.05,10,0.04,0.03,2,0.01,0.04,117,0.48,0.05,116,0.48,0.05,10,0.04,0.04,0,0,0,100,0.41,0.05,127,0.52,0.05,16,0.07,0.05,0,0,0,80,0.33,0.05,141,0.58,0.05,22,0.09,0.04,0,0,0
SINALOA,149,0.39,0.07,211,0.55,0.07,22,0.06,0.06,0,0,0,160,0.42,0.08,208,0.55,0.07,14,0.04,0.05,0,0,0,148,0.39,0.07,209,0.55,0.08,23,0.06,0.04,2,0.01,0.02,169,0.44,0.08,195,0.51,0.07,16,0.04,0.06,2,0.01,0.06,172,0.45,0.08,193,0.51,0.07,16,0.04,0.04,1,0,0.02,195,0.51,0.08,182,0.48,0.07,5,0.01,0.02,0,0,0,162,0.42,0.07,201,0.53,0.07,17,0.05,0.05,2,0.01,0.07,125,0.33,0.07,223,0.58,0.08,30,0.08,0.05,4,0.01,0.05
SONORA,76,0.45,0.04,84,0.5,0.03,8,0.05,0.02,0,0,0,70,0.42,0.04,93,0.55,0.03,4,0.02,0.01,1,0.01,0.06,76,0.45,0.04,75,0.45,0.03,15,0.09,0.03,2,0.01,0.02,91,0.54,0.04,66,0.39,0.02,11,0.07,0.04,0,0,0,85,0.51,0.04,71,0.42,0.03,10,0.06,0.03,2,0.01,0.04,102,0.61,0.04,62,0.37,0.02,4,0.02,0.02,0,0,0,80,0.48,0.04,80,0.48,0.03,7,0.04,0.02,1,0.01,0.04,62,0.37,0.04,93,0.55,0.03,12,0.07,0.02,1,0.01,0.01
TABASCO,19,0.3,0.01,42,0.66,0.01,3,0.05,0.01,0,0,0,25,0.39,0.01,35,0.55,0.01,4,0.06,0.01,0,0,0,20,0.31,0.01,33,0.52,0.01,9,0.14,0.02,2,0.03,0.02,24,0.38,0.01,39,0.61,0.01,1,0.02,0,0,0,0,25,0.39,0.01,34,0.53,0.01,4,0.06,0.01,1,0.02,0.02,30,0.47,0.01,31,0.48,0.01,3,0.05,0.01,0,0,0,24,0.38,0.01,36,0.56,0.01,4,0.06,0.01,0,0,0,20,0.31,0.01,36,0.56,0.01,6,0.09,0.01,2,0.03,0.03
TAMAULIPAS,72,0.35,0.04,125,0.61,0.04,9,0.04,0.03,0,0,0,66,0.32,0.03,133,0.65,0.04,7,0.03,0.02,0,0,0,76,0.37,0.04,119,0.58,0.05,10,0.05,0.02,1,0.01,0.01,87,0.42,0.04,115,0.56,0.04,4,0.02,0.02,0,0,0,78,0.38,0.04,122,0.59,0.05,6,0.03,0.02,0,0,0,87,0.42,0.04,114,0.55,0.05,2,0.01,0.01,3,0.02,0.08,80,0.39,0.04,117,0.57,0.04,8,0.04,0.02,1,0.01,0.04,58,0.28,0.03,128,0.62,0.04,18,0.09,0.03,2,0.01,0.03
TLAXCALA,31,0.35,0.02,50,0.56,0.02,8,0.09,0.02,0,0,0,20,0.23,0.01,65,0.73,0.02,4,0.05,0.01,0,0,0,25,0.28,0.01,51,0.57,0.02,11,0.12,0.02,2,0.02,0.02,28,0.32,0.01,56,0.63,0.02,5,0.06,0.02,0,0,0,27,0.3,0.01,56,0.63,0.02,6,0.07,0.02,0,0,0,39,0.44,0.02,42,0.47,0.02,8,0.09,0.03,0,0,0,32,0.36,0.02,56,0.63,0.02,1,0.01,0,0,0,0,23,0.26,0.01,51,0.57,0.02,15,0.17,0.03,0,0,0
VERACRUZ,40,0.34,0.02,69,0.58,0.02,8,0.07,0.02,2,0.02,0.13,43,0.36,0.02,65,0.55,0.02,9,0.08,0.03,2,0.02,0.12,41,0.35,0.02,50,0.42,0.02,24,0.2,0.04,4,0.03,0.04,49,0.41,0.02,58,0.49,0.02,10,0.08,0.04,2,0.02,0.06,44,0.37,0.02,54,0.45,0.02,17,0.14,0.05,4,0.03,0.07,49,0.41,0.02,55,0.46,0.02,9,0.08,0.04,6,0.05,0.15,44,0.37,0.02,53,0.45,0.02,20,0.17,0.06,2,0.02,0.07,33,0.28,0.02,57,0.48,0.02,20,0.17,0.04,9,0.08,0.12
YUCATÁN,40,0.33,0.02,69,0.57,0.02,11,0.09,0.03,2,0.02,0.13,38,0.31,0.02,67,0.55,0.02,15,0.12,0.05,2,0.02,0.12,44,0.36,0.02,51,0.42,0.02,22,0.18,0.04,5,0.04,0.05,35,0.29,0.02,67,0.55,0.02,15,0.12,0.06,5,0.04,0.15,37,0.3,0.02,69,0.57,0.03,13,0.11,0.04,3,0.03,0.06,39,0.32,0.02,69,0.57,0.03,10,0.08,0.04,4,0.03,0.1,36,0.3,0.02,73,0.6,0.03,11,0.09,0.03,2,0.02,0.07,29,0.24,0.02,69,0.57,0.02,22,0.18,0.04,2,0.02,0.03
ZACATECAS,74,0.34,0.04,125,0.57,0.04,17,0.08,0.05,2,0.01,0.13,73,0.34,0.04,127,0.58,0.04,16,0.07,0.06,2,0.01,0.12,77,0.35,0.04,107,0.49,0.04,29,0.13,0.05,5,0.02,0.05,82,0.38,0.04,123,0.56,0.04,12,0.06,0.05,1,0.01,0.03,75,0.34,0.03,120,0.55,0.04,20,0.09,0.06,3,0.01,0.06,93,0.43,0.04,108,0.5,0.04,11,0.05,0.05,6,0.03,0.15,82,0.38,0.04,117,0.54,0.04,16,0.07,0.05,3,0.01,0.11,63,0.29,0.04,128,0.59,0.04,23,0.11,0.04,4,0.02,0.05
Hombre,87,0.38,0.04,131,0.57,0.05,12,0.05,0.04,1,0,0.06,81,0.35,0.04,137,0.59,0.05,11,0.05,0.04,2,0.01,0.12,95,0.41,0.05,123,0.53,0.05,12,0.05,0.02,1,0,0.01,96,0.42,0.04,123,0.53,0.04,8,0.04,0.03,4,0.02,0.12,97,0.42,0.04,120,0.52,0.04,12,0.05,0.03,2,0.01,0.04,106,0.46,0.04,116,0.5,0.05,7,0.03,0.03,2,0.01,0.05,91,0.39,0.04,126,0.55,0.05,14,0.06,0.04,0,0,0,86,0.37,0.05,124,0.54,0.04,20,0.09,0.04,1,0,0.01
Mujer,1977,0.39,0.96,2783,0.55,0.96,330,0.07,0.97,15,0,0.94,1938,0.38,0.96,2871,0.56,0.95,281,0.06,0.96,15,0,0.88,1984,0.39,0.95,2478,0.49,0.95,542,0.11,0.98,101,0.02,0.99,2165,0.42,0.96,2657,0.52,0.96,254,0.05,0.97,29,0.01,0.88,2111,0.41,0.96,2588,0.51,0.96,353,0.07,0.97,53,0.01,0.96,2410,0.47,0.96,2433,0.48,0.95,225,0.04,0.97,37,0.01,0.95,2086,0.41,0.96,2676,0.52,0.96,315,0.06,0.96,28,0.01,1,1633,0.32,0.95,2836,0.56,0.96,559,0.11,0.97,77,0.02,0.99
