Variable,B4-A-Siempre-Recuento,B4-A-Siempre-% del N de fila,B4-A-Siempre-% de N columnas,B4-A-Muchas veces-Recuento,B4-A-Muchas veces-% del N de fila,B4-A-Muchas veces-% de N columnas,B4-A-Pocas veces-Recuento,B4-A-Pocas veces-% del N de fila,B4-A-Pocas veces-% de N columnas,B4-A-Nunca-Recuento,B4-A-Nunca-% del N de fila,B4-A-Nunca-% de N columnas,B4-B-Siempre-Recuento,B4-B-Siempre-% del N de fila,B4-B-Siempre-% de N columnas,B4-B-Muchas veces-Recuento,B4-B-Muchas veces-% del N de fila,B4-B-Muchas veces-% de N columnas,B4-B-Pocas veces-Recuento,B4-B-Pocas veces-% del N de fila,B4-B-Pocas veces-% de N columnas,B4-B-Nunca-Recuento,B4-B-Nunca-% del N de fila,B4-B-Nunca-% de N columnas,B4-C-Siempre-Recuento,B4-C-Siempre-% del N de fila,B4-C-Siempre-% de N columnas,B4-C-Muchas veces-Recuento,B4-C-Muchas veces-% del N de fila,B4-C-Muchas veces-% de N columnas,B4-C-Pocas veces-Recuento,B4-C-Pocas veces-% del N de fila,B4-C-Pocas veces-% de N columnas,B4-C-Nunca-Recuento,B4-C-Nunca-% del N de fila,B4-C-Nunca-% de N columnas,B4-D-Siempre-Recuento,B4-D-Siempre-% del N de fila,B4-D-Siempre-% de N columnas,B4-D-Muchas veces-Recuento,B4-D-Muchas veces-% del N de fila,B4-D-Muchas veces-% de N columnas,B4-D-Pocas veces-Recuento,B4-D-Pocas veces-% del N de fila,B4-D-Pocas veces-% de N columnas,B4-D-Nunca-Recuento,B4-D-Nunca-% del N de fila,B4-D-Nunca-% de N columnas,B4-E-Siempre-Recuento,B4-E-Siempre-% del N de fila,B4-E-Siempre-% de N columnas,B4-E-Muchas veces-Recuento,B4-E-Muchas veces-% del N de fila,B4-E-Muchas veces-% de N columnas,B4-E-Pocas veces-Recuento,B4-E-Pocas veces-% del N de fila,B4-E-Pocas veces-% de N columnas,B4-E-Nunca-Recuento,B4-E-Nunca-% del N de fila,B4-E-Nunca-% de N columnas,B4-F-Siempre-Recuento,B4-F-Siempre-% del N de fila,B4-F-Siempre-% de N columnas,B4-F-Muchas veces-Recuento,B4-F-Muchas veces-% del N de fila,B4-F-Muchas veces-% de N columnas,B4-F-Pocas veces-Recuento,B4-F-Pocas veces-% del N de fila,B4-F-Pocas veces-% de N columnas,B4-F-Nunca-Recuento,B4-F-Nunca-% del N de fila,B4-F-Nunca-% de N columnas,B4-G-Siempre-Recuento,B4-G-Siempre-% del N de fila,B4-G-Siempre-% de N columnas,B4-G-Muchas veces-Recuento,B4-G-Muchas veces-% del N de fila,B4-G-Muchas veces-% de N columnas,B4-G-Pocas veces-Recuento,B4-G-Pocas veces-% del N de fila,B4-G-Pocas veces-% de N columnas,B4-G-Nunca-Recuento,B4-G-Nunca-% del N de fila,B4-G-Nunca-% de N columnas,B4-H-Siempre-Recuento,B4-H-Siempre-% del N de fila,B4-H-Siempre-% de N columnas,B4-H-Muchas veces-Recuento,B4-H-Muchas veces-% del N de fila,B4-H-Muchas veces-% de N columnas,B4-H-Pocas veces-Recuento,B4-H-Pocas veces-% del N de fila,B4-H-Pocas veces-% de N columnas,B4-H-Nunca-Recuento,B4-H-Nunca-% del N de fila,B4-H-Nunca-% de N columnas,B4-I-Siempre-Recuento,B4-I-Siempre-% del N de fila,B4-I-Siempre-% de N columnas,B4-I-Muchas veces-Recuento,B4-I-Muchas veces-% del N de fila,B4-I-Muchas veces-% de N columnas,B4-I-Pocas veces-Recuento,B4-I-Pocas veces-% del N de fila,B4-I-Pocas veces-% de N columnas,B4-I-Nunca-Recuento,B4-I-Nunca-% del N de fila,B4-I-Nunca-% de N columnas,B4-J-Siempre-Recuento,B4-J-Siempre-% del N de fila,B4-J-Siempre-% de N columnas,B4-J-Muchas veces-Recuento,B4-J-Muchas veces-% del N de fila,B4-J-Muchas veces-% de N columnas,B4-J-Pocas veces-Recuento,B4-J-Pocas veces-% del N de fila,B4-J-Pocas veces-% de N columnas,B4-J-Nunca-Recuento,B4-J-Nunca-% del N de fila,B4-J-Nunca-% de N columnas,B4-K-Siempre-Recuento,B4-K-Siempre-% del N de fila,B4-K-Siempre-% de N columnas,B4-K-Muchas veces-Recuento,B4-K-Muchas veces-% del N de fila,B4-K-Muchas veces-% de N columnas,B4-K-Pocas veces-Recuento,B4-K-Pocas veces-% del N de fila,B4-K-Pocas veces-% de N columnas,B4-K-Nunca-Recuento,B4-K-Nunca-% del N de fila,B4-K-Nunca-% de N columnas
ESTADO DE MÉXICO,265,0.53,0.04,157,0.32,0.04,72,0.15,0.05,3,0.01,0.05,269,0.54,0.04,172,0.35,0.05,54,0.11,0.07,2,0,0.06,81,0.16,0.05,99,0.2,0.06,202,0.41,0.04,115,0.23,0.03,184,0.37,0.03,197,0.4,0.05,106,0.21,0.06,10,0.02,0.09,204,0.41,0.04,218,0.44,0.05,68,0.14,0.05,7,0.01,0.07,59,0.12,0.05,104,0.21,0.06,190,0.38,0.04,144,0.29,0.04,191,0.38,0.04,205,0.41,0.05,91,0.18,0.05,10,0.02,0.05,201,0.4,0.04,207,0.42,0.04,85,0.17,0.05,4,0.01,0.03,230,0.46,0.04,202,0.41,0.04,61,0.12,0.06,4,0.01,0.06,229,0.46,0.04,205,0.41,0.05,59,0.12,0.05,4,0.01,0.05,216,0.44,0.04,207,0.42,0.05,66,0.13,0.05,8,0.02,0.07
GUANAJUATO,243,i,0.04,107,0.29,0.03,21,0.06,0.02,0,0,0,245,0.66,0.04,118,0.32,0.03,8,0.02,0.01,0,0,0,48,0.13,0.03,44,0.12,0.03,155,0.42,0.03,124,0.33,0.04,206,0.56,0.04,121,0.33,0.03,44,0.12,0.03,0,0,0,222,0.6,0.04,122,0.33,0.03,25,0.07,0.02,2,0.01,0.02,37,0.1,0.03,50,0.14,0.03,127,0.34,0.03,157,0.42,0.04,196,0.53,0.04,133,0.36,0.03,40,0.11,0.02,2,0.01,0.01,180,0.49,0.04,153,0.41,0.03,37,0.1,0.02,1,0,0.01,194,0.52,0.04,148,0.4,0.03,28,0.08,0.03,1,0,0.01,211,0.57,0.04,132,0.36,0.03,27,0.07,0.02,1,0,0.01,204,0.55,0.04,129,0.35,0.03,37,0.1,0.03,1,0,0.01
GUERRERO,12,0.6,0,6,0.3,0,2,0.1,0,0,0,0,9,0.45,0,10,0.5,0,1,0.05,0,0,0,0,3,0.15,0,4,0.2,0,8,0.4,0,5,0.25,0,9,0.45,0,5,0.25,0,6,0.3,0,0,0,0,7,0.35,0,7,0.35,0,6,0.3,0,0,0,0,1,0.05,0,2,0.1,0,9,0.45,0,8,0.4,0,7,0.35,0,7,0.35,0,6,0.3,0,0,0,0,6,0.3,0,8,0.4,0,5,0.25,0,1,0.05,0.01,8,0.4,0,9,0.45,0,3,0.15,0,0,0,0,9,0.45,0,6,0.3,0,5,0.25,0,0,0,0,10,0.5,0,4,0.2,0,6,0.3,0.01,0,0,0
HIDALGO,179,0.55,0.03,106,0.32,0.03,42,0.13,0.03,1,0,0.02,214,0.65,0.03,95,0.29,0.03,19,0.06,0.02,0,0,0,30,0.09,0.02,50,0.15,0.03,155,0.47,0.03,93,0.28,0.03,154,0.47,0.03,110,0.34,0.03,62,0.19,0.04,2,0.01,0.02,158,0.48,0.03,124,0.38,0.03,42,0.13,0.03,4,0.01,0.04,43,0.13,0.03,36,0.11,0.02,138,0.42,0.03,111,0.34,0.03,151,0.46,0.03,121,0.37,0.03,46,0.14,0.03,10,0.03,0.05,143,0.44,0.03,133,0.41,0.03,47,0.14,0.03,5,0.02,0.04,168,0.51,0.03,128,0.39,0.03,31,0.1,0.03,1,0,0.01,162,0.49,0.03,131,0.4,0.03,29,0.09,0.03,6,0.02,0.07,163,0.5,0.03,132,0.4,0.03,29,0.09,0.02,4,0.01,0.03
JALISCO,120,0.5,0.02,88,0.37,0.02,29,0.12,0.02,1,0,0.02,139,0.58,0.02,83,0.35,0.02,15,0.06,0.02,1,0,0.03,30,0.13,0.02,31,0.13,0.02,109,0.46,0.02,68,0.29,0.02,127,0.53,0.02,75,0.32,0.02,36,0.15,0.02,0,0,0,130,0.55,0.02,80,0.34,0.02,27,0.11,0.02,1,0,0.01,23,0.1,0.02,30,0.13,0.02,95,0.4,0.02,90,0.38,0.02,113,0.48,0.02,84,0.35,0.02,37,0.16,0.02,4,0.02,0.02,97,0.41,0.02,103,0.43,0.02,33,0.14,0.02,5,0.02,0.04,140,0.59,0.03,70,0.29,0.02,26,0.11,0.02,2,0.01,0.03,129,0.54,0.02,82,0.35,0.02,24,0.1,0.02,3,0.01,0.04,121,0.51,0.02,89,0.37,0.02,26,0.11,0.02,2,0.01,0.02
MICHOACÁN,19,0.51,0,11,0.3,0,7,0.19,0.01,0,0,0,16,0.43,0,18,0.49,0.01,3,0.08,0,0,0,0,2,0.05,0,2,0.05,0,11,0.3,0,22,0.6,0.01,16,0.43,0,11,0.3,0,9,0.24,0.01,1,0.03,0.01,14,0.38,0,17,0.46,0,6,0.16,0,0,0,0,2,0.05,0,2,0.05,0,11,0.3,0,22,0.6,0.01,17,0.46,0,13,0.35,0,5,0.14,0,2,0.05,0.01,17,0.46,0,15,0.41,0,5,0.14,0,0,0,0,17,0.46,0,15,0.41,0,5,0.14,0.01,0,0,0,16,0.43,0,14,0.38,0,7,0.19,0.01,0,0,0,15,0.41,0,17,0.46,0,5,0.14,0,0,0,0
MORELOS,189,0.53,0.03,123,0.34,0.03,44,0.12,0.03,3,0.01,0.05,201,0.56,0.03,134,0.37,0.04,21,0.06,0.03,3,0.01,0.08,38,0.11,0.03,56,0.16,0.03,169,0.47,0.04,96,0.27,0.03,154,0.43,0.03,143,0.4,0.03,56,0.16,0.03,6,0.02,0.06,145,0.4,0.03,157,0.44,0.04,51,0.14,0.04,6,0.02,0.06,33,0.09,0.03,60,0.17,0.03,147,0.41,0.03,119,0.33,0.03,144,0.4,0.03,141,0.39,0.03,65,0.18,0.04,9,0.03,0.04,151,0.42,0.03,142,0.4,0.03,59,0.16,0.04,7,0.02,0.05,160,0.45,0.03,158,0.44,0.03,39,0.11,0.04,2,0.01,0.03,180,0.5,0.03,133,0.37,0.03,40,0.11,0.04,6,0.02,0.07,165,0.46,0.03,146,0.41,0.03,46,0.13,0.04,2,0.01,0.02
NAYARIT,232,0.52,0.04,139,0.31,0.04,74,0.17,0.05,1,0,0.02,257,0.58,0.04,139,0.31,0.04,48,0.11,0.06,2,0,0.06,58,0.13,0.04,62,0.14,0.04,184,0.41,0.04,142,0.32,0.04,192,0.43,0.04,164,0.37,0.04,85,0.19,0.05,5,0.01,0.05,191,0.43,0.04,181,0.41,0.04,70,0.16,0.05,4,0.01,0.04,49,0.11,0.04,59,0.13,0.03,179,0.4,0.04,159,0.36,0.04,188,0.42,0.04,162,0.36,0.04,84,0.19,0.05,12,0.03,0.06,179,0.4,0.04,183,0.41,0.04,77,0.17,0.05,7,0.02,0.05,216,0.48,0.04,177,0.4,0.04,52,0.12,0.05,1,0,0.01,228,0.51,0.04,163,0.37,0.04,54,0.12,0.05,1,0,0.01,219,0.49,0.04,166,0.37,0.04,58,0.13,0.04,3,0.01,0.02
NUEVO LEÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUEBLA,216,0.55,0.03,132,0.34,0.04,43,0.11,0.03,2,0.01,0.03,238,0.61,0.04,134,0.34,0.04,19,0.05,0.02,2,0.01,0.06,24,0.06,0.02,53,0.14,0.03,165,0.42,0.03,151,0.38,0.04,178,0.45,0.03,155,0.39,0.04,58,0.15,0.03,2,0.01,0.02,175,0.45,0.03,164,0.42,0.04,50,0.13,0.04,4,0.01,0.04,31,0.08,0.03,51,0.13,0.03,134,0.34,0.03,177,0.45,0.04,188,0.48,0.04,148,0.38,0.03,50,0.13,0.03,7,0.02,0.03,194,0.49,0.04,150,0.38,0.03,46,0.12,0.03,3,0.01,0.02,218,0.56,0.04,138,0.35,0.03,34,0.09,0.03,3,0.01,0.04,207,0.53,0.04,153,0.39,0.04,31,0.08,0.03,2,0.01,0.02,218,0.56,0.04,132,0.34,0.03,41,0.1,0.03,2,0.01,0.02
QUERÉTARO,297,0.58,0.05,153,0.3,0.04,60,0.12,0.04,3,0.01,0.05,335,0.65,0.05,147,0.29,0.04,29,0.06,0.04,2,0,0.06,42,0.08,0.03,71,0.14,0.04,211,0.41,0.04,189,0.37,0.06,243,0.47,0.05,192,0.37,0.05,75,0.15,0.04,3,0.01,0.03,229,0.45,0.04,218,0.43,0.05,61,0.12,0.04,5,0.01,0.05,42,0.08,0.03,72,0.14,0.04,199,0.39,0.05,200,0.39,0.05,228,0.44,0.04,206,0.4,0.05,73,0.14,0.04,6,0.01,0.03,213,0.42,0.04,230,0.45,0.05,66,0.13,0.04,4,0.01,0.03,251,0.49,0.05,218,0.43,0.05,42,0.08,0.04,2,0,0.03,263,0.51,0.05,199,0.39,0.05,47,0.09,0.04,4,0.01,0.05,255,0.5,0.05,198,0.39,0.05,55,0.11,0.04,5,0.01,0.04
QUINTANA ROO,255,0.55,0.04,142,0.31,0.04,58,0.13,0.04,7,0.02,0.1,277,0.6,0.04,149,0.32,0.04,34,0.07,0.04,2,0,0.06,71,0.15,0.05,72,0.16,0.04,181,0.39,0.04,138,0.3,0.04,213,0.46,0.04,184,0.4,0.04,60,0.13,0.04,5,0.01,0.05,227,0.49,0.04,163,0.35,0.04,65,0.14,0.05,7,0.02,0.07,54,0.12,0.04,80,0.17,0.04,178,0.39,0.04,150,0.33,0.04,223,0.48,0.04,164,0.36,0.04,67,0.15,0.04,8,0.02,0.04,204,0.44,0.04,176,0.38,0.04,73,0.16,0.04,9,0.02,0.06,235,0.51,0.04,184,0.4,0.04,40,0.09,0.04,3,0.01,0.04,244,0.53,0.04,171,0.37,0.04,43,0.09,0.04,4,0.01,0.05,224,0.49,0.04,179,0.39,0.04,54,0.12,0.04,5,0.01,0.04
