Variable,B4-A-Muy pertinente-Recuento,B4-A-Muy pertinente-% del N de fila,B4-A-Muy pertinente-% de N columnas,B4-A-Pertinente-Recuento,B4-A-Pertinente-% del N de fila,B4-A-Pertinente-% de N columnas,B4-A-Poco pertinente-Recuento,B4-A-Poco pertinente-% del N de fila,B4-A-Poco pertinente-% de N columnas,B4-A-Nada pertinente-Recuento,B4-A-Nada pertinente-% del N de fila,B4-A-Nada pertinente-% de N columnas,B4-B-Muy pertinente-Recuento,B4-B-Muy pertinente-% del N de fila,B4-B-Muy pertinente-% de N columnas,B4-B-Pertinente-Recuento,B4-B-Pertinente-% del N de fila,B4-B-Pertinente-% de N columnas,B4-B-Poco pertinente-Recuento,B4-B-Poco pertinente-% del N de fila,B4-B-Poco pertinente-% de N columnas,B4-B-Nada pertinente-Recuento,B4-B-Nada pertinente-% del N de fila,B4-B-Nada pertinente-% de N columnas,B4-C-Muy pertinente-Recuento,B4-C-Muy pertinente-% del N de fila,B4-C-Muy pertinente-% de N columnas,B4-C-Pertinente-Recuento,B4-C-Pertinente-% del N de fila,B4-C-Pertinente-% de N columnas,B4-C-Poco pertinente-Recuento,B4-C-Poco pertinente-% del N de fila,B4-C-Poco pertinente-% de N columnas,B4-C-Nada pertinente-Recuento,B4-C-Nada pertinente-% del N de fila,B4-C-Nada pertinente-% de N columnas,B4-D-Muy pertinente-Recuento,B4-D-Muy pertinente-% del N de fila,B4-D-Muy pertinente-% de N columnas,B4-D-Pertinente-Recuento,B4-D-Pertinente-% del N de fila,B4-D-Pertinente-% de N columnas,B4-D-Poco pertinente-Recuento,B4-D-Poco pertinente-% del N de fila,B4-D-Poco pertinente-% de N columnas,B4-D-Nada pertinente-Recuento,B4-D-Nada pertinente-% del N de fila,B4-D-Nada pertinente-% de N columnas,B4-E-Muy pertinente-Recuento,B4-E-Muy pertinente-% del N de fila,B4-E-Muy pertinente-% de N columnas,B4-E-Pertinente-Recuento,B4-E-Pertinente-% del N de fila,B4-E-Pertinente-% de N columnas,B4-E-Poco pertinente-Recuento,B4-E-Poco pertinente-% del N de fila,B4-E-Poco pertinente-% de N columnas,B4-E-Nada pertinente-Recuento,B4-E-Nada pertinente-% del N de fila,B4-E-Nada pertinente-% de N columnas,B4-F-Muy pertinente-Recuento,B4-F-Muy pertinente-% del N de fila,B4-F-Muy pertinente-% de N columnas,B4-F-Pertinente-Recuento,B4-F-Pertinente-% del N de fila,B4-F-Pertinente-% de N columnas,B4-F-Poco pertinente-Recuento,B4-F-Poco pertinente-% del N de fila,B4-F-Poco pertinente-% de N columnas,B4-F-Nada pertinente-Recuento,B4-F-Nada pertinente-% del N de fila,B4-F-Nada pertinente-% de N columnas,B4-G-Muy pertinente-Recuento,B4-G-Muy pertinente-% del N de fila,B4-G-Muy pertinente-% de N columnas,B4-G-Pertinente-Recuento,B4-G-Pertinente-% del N de fila,B4-G-Pertinente-% de N columnas,B4-G-Poco pertinente-Recuento,B4-G-Poco pertinente-% del N de fila,B4-G-Poco pertinente-% de N columnas,B4-G-Nada pertinente-Recuento,B4-G-Nada pertinente-% del N de fila,B4-G-Nada pertinente-% de N columnas
ESTADO DE MÉXICO,100,0.62,0.04,59,0.37,0.04,2,0.01,0.03,0,0,0,93,0.58,0.04,67,0.42,0.04,1,0.01,0.01,0,0,0,81,0.5,0.04,74,0.46,0.04,6,0.04,0.04,0,0,0,62,0.39,0.03,91,0.57,0.04,8,0.05,0.05,0,0,0,52,0.32,0.03,88,0.55,0.04,20,0.12,0.06,1,0.01,0.04,58,0.36,0.03,90,0.56,0.04,13,0.08,0.05,0,0,0,55,0.34,0.03,89,0.55,0.04,16,0.1,0.05,1,0.01,0.03
GUANAJUATO,106,0.63,0.04,58,0.35,0.04,4,0.02,0.07,0,0,0,100,0.6,0.04,62,0.37,0.04,6,0.04,0.07,0,0,0,91,0.54,0.04,71,0.42,0.04,6,0.04,0.04,0,0,0,84,0.5,0.05,80,0.48,0.04,4,0.02,0.02,0,0,0,69,0.41,0.04,86,0.51,0.04,12,0.07,0.04,1,0.01,0.04,70,0.42,0.04,85,0.51,0.04,11,0.07,0.04,2,0.01,0.07,69,0.41,0.04,78,0.46,0.04,18,0.11,0.06,3,0.02,0.09
GUERRERO,27,0.64,0.01,15,0.36,0.01,0,0,0,0,0,0,23,0.55,0.01,19,0.45,0.01,0,0,0,0,0,0,22,0.52,0.01,18,0.43,0.01,2,0.05,0.01,0,0,0,20,0.48,0.01,21,0.5,0.01,1,0.02,0.01,0,0,0,15,0.36,0.01,25,0.6,0.01,2,0.05,0.01,0,0,0,20,0.48,0.01,20,0.48,0.01,2,0.05,0.01,0,0,0,18,0.43,0.01,21,0.5,0.01,3,0.07,0.01,0,0,0
HIDALGO,101,0.65,0.04,52,0.34,0.03,2,0.01,0.03,0,0,0,91,0.59,0.04,59,0.38,0.03,5,0.03,0.06,0,0,0,75,0.48,0.04,76,0.49,0.04,3,0.02,0.02,1,0.01,0.06,66,0.43,0.04,82,0.53,0.04,7,0.05,0.04,0,0,0,63,0.41,0.04,83,0.54,0.04,9,0.06,0.03,0,0,0,69,0.45,0.04,79,0.51,0.04,6,0.04,0.02,1,0.01,0.04,70,0.45,0.04,72,0.47,0.03,12,0.08,0.04,1,0.01,0.03
JALISCO,77,0.57,0.03,54,0.4,0.03,3,0.02,0.05,1,0.01,0.2,80,0.59,0.03,55,0.41,0.03,0,0,0,0,0,0,67,0.5,0.03,61,0.45,0.03,7,0.05,0.04,0,0,0,57,0.42,0.03,74,0.55,0.03,3,0.02,0.02,1,0.01,0.08,50,0.37,0.03,74,0.55,0.03,9,0.07,0.03,2,0.02,0.08,52,0.39,0.03,77,0.57,0.03,5,0.04,0.02,1,0.01,0.04,43,0.32,0.03,83,0.62,0.04,8,0.06,0.02,1,0.01,0.03
MICHOACÁN,19,0.58,0.01,12,0.36,0.01,2,0.06,0.03,0,0,0,21,0.64,0.01,12,0.36,0.01,0,0,0,0,0,0,16,0.49,0.01,16,0.49,0.01,1,0.03,0.01,0,0,0,10,0.3,0.01,22,0.67,0.01,1,0.03,0.01,0,0,0,12,0.36,0.01,15,0.46,0.01,6,0.18,0.02,0,0,0,11,0.33,0.01,20,0.61,0.01,2,0.06,0.01,0,0,0,11,0.33,0.01,14,0.42,0.01,8,0.24,0.02,0,0,0
MORELOS,113,0.64,0.04,58,0.33,0.04,5,0.03,0.08,1,0.01,0.2,100,0.57,0.04,71,0.4,0.04,5,0.03,0.06,1,0.01,0.13,93,0.53,0.04,79,0.45,0.04,5,0.03,0.03,0,0,0,78,0.44,0.04,94,0.53,0.04,5,0.03,0.03,0,0,0,65,0.37,0.04,96,0.54,0.04,14,0.08,0.04,2,0.01,0.08,75,0.42,0.04,91,0.51,0.04,8,0.05,0.03,3,0.02,0.11,67,0.38,0.04,97,0.55,0.04,11,0.06,0.03,2,0.01,0.06
NAYARIT,88,0.58,0.04,61,0.4,0.04,2,0.01,0.03,0,0,0,81,0.54,0.03,68,0.45,0.04,1,0.01,0.01,1,0.01,0.13,73,0.48,0.03,74,0.49,0.04,3,0.02,0.02,1,0.01,0.06,63,0.42,0.04,85,0.56,0.04,3,0.02,0.02,0,0,0,53,0.35,0.03,87,0.58,0.04,11,0.07,0.03,0,0,0,57,0.38,0.03,84,0.56,0.04,10,0.07,0.04,0,0,0,58,0.38,0.04,84,0.56,0.04,9,0.06,0.03,0,0,0
NUEVO LEÓN,25,0.81,0.01,5,0.16,0,1,0.03,0.02,0,0,0,24,0.77,0.01,6,0.19,0,1,0.03,0.01,0,0,0,20,0.65,0.01,10,0.32,0.01,1,0.03,0.01,0,0,0,20,0.65,0.01,11,0.36,0.01,0,0,0,0,0,0,17,0.55,0.01,11,0.36,0.01,3,0.1,0.01,0,0,0,16,0.52,0.01,11,0.36,0.01,4,0.13,0.02,0,0,0,17,0.55,0.01,9,0.29,0,5,0.16,0.02,0,0,0
PUEBLA,78,0.59,0.03,53,0.4,0.03,2,0.02,0.03,0,0,0,74,0.56,0.03,56,0.42,0.03,2,0.02,0.02,1,0.01,0.13,73,0.55,0.03,58,0.44,0.03,2,0.02,0.01,0,0,0,49,0.37,0.03,79,0.59,0.04,5,0.04,0.03,0,0,0,44,0.33,0.03,77,0.58,0.03,11,0.08,0.03,1,0.01,0.04,51,0.38,0.03,75,0.56,0.03,7,0.05,0.03,0,0,0,51,0.38,0.03,71,0.53,0.03,11,0.08,0.03,0,0,0
QUERÉTARO,110,0.58,0.04,75,0.39,0.05,5,0.03,0.08,1,0.01,0.2,107,0.56,0.05,75,0.39,0.04,7,0.04,0.08,2,0.01,0.25,94,0.49,0.04,89,0.47,0.05,6,0.03,0.04,2,0.01,0.13,82,0.43,0.05,100,0.52,0.04,8,0.04,0.05,1,0.01,0.08,63,0.33,0.04,107,0.56,0.05,20,0.11,0.06,1,0.01,0.04,79,0.41,0.05,94,0.49,0.04,16,0.08,0.06,2,0.01,0.07,70,0.37,0.04,103,0.54,0.05,15,0.08,0.05,3,0.02,0.09
QUINTANA ROO,105,0.62,0.04,64,0.38,0.04,0,0,0,1,0.01,0.2,103,0.61,0.04,64,0.38,0.04,2,0.01,0.02,1,0.01,0.13,85,0.5,0.04,75,0.44,0.04,8,0.05,0.05,2,0.01,0.13,80,0.47,0.04,80,0.47,0.04,10,0.06,0.06,0,0,0,72,0.42,0.05,85,0.5,0.04,13,0.08,0.04,0,0,0,76,0.45,0.05,84,0.49,0.04,10,0.06,0.04,0,0,0,75,0.44,0.05,85,0.5,0.04,10,0.06,0.03,0,0,0
SAN LUIS POTOSÍ,86,0.51,0.03,83,0.49,0.05,0,0,0,0,0,0,84,0.5,0.04,82,0.49,0.05,3,0.02,0.03,0,0,0,67,0.4,0.03,96,0.57,0.05,4,0.02,0.03,2,0.01,0.13,59,0.35,0.03,102,0.6,0.05,8,0.05,0.05,0,0,0,52,0.31,0.03,108,0.64,0.05,9,0.05,0.03,0,0,0,63,0.37,0.04,96,0.57,0.04,10,0.06,0.04,0,0,0,62,0.37,0.04,101,0.6,0.05,6,0.04,0.02,0,0,0
SINALOA,127,0.67,0.05,63,0.33,0.04,1,0.01,0.02,0,0,0,118,0.62,0.05,71,0.37,0.04,2,0.01,0.02,0,0,0,106,0.56,0.05,82,0.43,0.04,3,0.02,0.02,0,0,0,96,0.5,0.05,79,0.41,0.04,14,0.07,0.08,2,0.01,0.15,82,0.43,0.05,97,0.51,0.04,10,0.05,0.03,2,0.01,0.08,91,0.48,0.05,89,0.47,0.04,9,0.05,0.03,2,0.01,0.07,93,0.49,0.06,83,0.44,0.04,14,0.07,0.04,1,0.01,0.03
SONORA,87,0.59,0.03,55,0.37,0.03,5,0.03,0.08,0,0,0,90,0.61,0.04,53,0.36,0.03,4,0.03,0.04,0,0,0,80,0.54,0.04,63,0.43,0.03,4,0.03,0.03,0,0,0,64,0.44,0.04,75,0.51,0.03,8,0.05,0.05,0,0,0,62,0.42,0.04,70,0.48,0.03,15,0.1,0.04,0,0,0,64,0.44,0.04,71,0.48,0.03,12,0.08,0.04,0,0,0,58,0.4,0.04,73,0.5,0.03,13,0.09,0.04,3,0.02,0.09
TABASCO,67,0.52,0.03,62,0.48,0.04,1,0.01,0.02,0,0,0,74,0.57,0.03,54,0.42,0.03,2,0.02,0.02,0,0,0,64,0.49,0.03,61,0.47,0.03,5,0.04,0.03,0,0,0,51,0.39,0.03,71,0.55,0.03,7,0.05,0.04,1,0.01,0.08,52,0.4,0.03,68,0.52,0.03,10,0.08,0.03,0,0,0,52,0.4,0.03,70,0.54,0.03,8,0.06,0.03,0,0,0,50,0.39,0.03,71,0.55,0.03,8,0.06,0.02,1,0.01,0.03
TAMAULIPAS,92,0.61,0.04,58,0.38,0.04,1,0.01,0.02,0,0,0,75,0.5,0.03,73,0.48,0.04,3,0.02,0.03,0,0,0,73,0.48,0.03,74,0.49,0.04,3,0.02,0.02,1,0.01,0.06,67,0.44,0.04,79,0.52,0.04,5,0.03,0.03,0,0,0,59,0.39,0.04,81,0.54,0.04,10,0.07,0.03,1,0.01,0.04,60,0.4,0.04,83,0.55,0.04,8,0.05,0.03,0,0,0,60,0.4,0.04,83,0.55,0.04,8,0.05,0.02,0,0,0
TLAXCALA,88,0.56,0.04,66,0.42,0.04,3,0.02,0.05,0,0,0,83,0.53,0.04,71,0.45,0.04,3,0.02,0.03,0,0,0,72,0.46,0.03,78,0.5,0.04,7,0.05,0.04,0,0,0,55,0.35,0.03,92,0.59,0.04,10,0.06,0.06,0,0,0,45,0.29,0.03,98,0.62,0.04,14,0.09,0.04,0,0,0,46,0.29,0.03,97,0.62,0.04,12,0.08,0.04,2,0.01,0.07,51,0.33,0.03,92,0.59,0.04,13,0.08,0.04,1,0.01,0.03
VERACRUZ,59,0.53,0.02,50,0.45,0.03,3,0.03,0.05,0,0,0,56,0.5,0.02,49,0.44,0.03,7,0.06,0.08,0,0,0,45,0.4,0.02,57,0.51,0.03,10,0.09,0.06,0,0,0,39,0.35,0.02,71,0.63,0.03,1,0.01,0.01,1,0.01,0.08,38,0.34,0.02,64,0.57,0.03,9,0.08,0.03,1,0.01,0.04,39,0.35,0.02,66,0.59,0.03,6,0.05,0.02,1,0.01,0.04,40,0.36,0.02,62,0.55,0.03,8,0.07,0.02,2,0.02,0.06
YUCATÁN,59,0.58,0.02,39,0.39,0.02,3,0.03,0.05,0,0,0,52,0.52,0.02,42,0.42,0.02,7,0.07,0.08,0,0,0,42,0.42,0.02,55,0.55,0.03,4,0.04,0.03,0,0,0,36,0.36,0.02,61,0.6,0.03,4,0.04,0.02,0,0,0,34,0.34,0.02,59,0.58,0.03,8,0.08,0.02,0,0,0,37,0.37,0.02,55,0.55,0.02,8,0.08,0.03,1,0.01,0.04,34,0.34,0.02,58,0.57,0.03,9,0.09,0.03,0,0,0
ZACATECAS,96,0.51,0.04,90,0.48,0.06,1,0.01,0.02,0,0,0,92,0.49,0.04,90,0.48,0.05,5,0.03,0.06,0,0,0,79,0.42,0.04,96,0.51,0.05,12,0.06,0.08,0,0,0,65,0.35,0.04,115,0.62,0.05,5,0.03,0.03,2,0.01,0.15,56,0.3,0.04,111,0.59,0.05,17,0.09,0.05,3,0.02,0.12,70,0.37,0.04,97,0.52,0.04,17,0.09,0.06,3,0.02,0.11,63,0.34,0.04,109,0.58,0.05,14,0.08,0.04,1,0.01,0.03
Hombre,1115,0.6,0.44,710,0.38,0.43,27,0.02,0.44,1,0,0.2,1055,0.57,0.44,755,0.41,0.43,41,0.02,0.45,2,0,0.25,907,0.49,0.43,868,0.47,0.45,74,0.04,0.46,4,0,0.25,769,0.42,0.43,1005,0.54,0.45,75,0.04,0.43,4,0,0.31,675,0.36,0.43,1027,0.55,0.45,144,0.08,0.42,7,0,0.27,739,0.4,0.43,1005,0.54,0.45,97,0.05,0.36,12,0.01,0.43,737,0.4,0.44,965,0.52,0.43,138,0.07,0.42,13,0.01,0.41
Mujer,1430,0.6,0.56,931,0.39,0.57,35,0.02,0.57,4,0,0.8,1332,0.56,0.56,1012,0.42,0.57,50,0.02,0.55,6,0,0.75,1226,0.51,0.58,1075,0.45,0.55,87,0.04,0.54,12,0.01,0.75,1041,0.43,0.58,1249,0.52,0.55,101,0.04,0.57,9,0,0.69,902,0.38,0.57,1278,0.53,0.55,201,0.08,0.58,19,0.01,0.73,965,0.4,0.57,1246,0.52,0.55,173,0.07,0.64,16,0.01,0.57,936,0.39,0.56,1256,0.52,0.57,189,0.08,0.58,19,0.01,0.59
18 a 20 años,2,0.2,0,8,0.8,0.01,0,0,0,0,0,0,5,0.5,0,5,0.5,0,0,0,0,0,0,0,4,0.4,0,6,0.6,0,0,0,0,0,0,0,3,0.3,0,7,0.7,0,0,0,0,0,0,0,3,0.3,0,7,0.7,0,0,0,0,0,0,0,4,0.4,0,6,0.6,0,0,0,0,0,0,0,4,0.4,0,6,0.6,0,0,0,0,0,0,0
21 a 30 años,126,0.62,0.05,78,0.38,0.05,1,0.01,0.02,0,0,0,111,0.54,0.05,90,0.44,0.05,4,0.02,0.04,0,0,0,106,0.52,0.05,93,0.45,0.05,4,0.02,0.03,2,0.01,0.13,88,0.43,0.05,106,0.52,0.05,10,0.05,0.06,1,0.01,0.08,80,0.39,0.05,105,0.51,0.05,19,0.09,0.06,1,0.01,0.04,86,0.42,0.05,107,0.52,0.05,11,0.05,0.04,1,0.01,0.04,85,0.42,0.05,102,0.5,0.05,16,0.08,0.05,2,0.01,0.06
31 a 40 años,563,0.57,0.22,407,0.41,0.25,21,0.02,0.34,2,0,0.4,527,0.53,0.22,435,0.44,0.25,26,0.03,0.29,5,0.01,0.63,494,0.5,0.23,455,0.46,0.23,41,0.04,0.26,3,0,0.19,392,0.4,0.22,554,0.56,0.25,42,0.04,0.24,5,0.01,0.39,334,0.34,0.21,570,0.57,0.25,81,0.08,0.24,8,0.01,0.31,360,0.36,0.21,549,0.55,0.24,74,0.08,0.27,10,0.01,0.36,332,0.33,0.2,564,0.57,0.25,85,0.09,0.26,12,0.01,0.38
41 a 50 años,755,0.6,0.3,485,0.39,0.3,16,0.01,0.26,2,0,0.4,705,0.56,0.3,518,0.41,0.29,33,0.03,0.36,2,0,0.25,629,0.5,0.3,576,0.46,0.3,51,0.04,0.32,2,0,0.13,536,0.43,0.3,670,0.53,0.3,50,0.04,0.28,2,0,0.15,457,0.36,0.29,676,0.54,0.29,114,0.09,0.33,11,0.01,0.42,494,0.39,0.29,670,0.53,0.3,86,0.07,0.32,8,0.01,0.29,477,0.38,0.29,662,0.53,0.3,112,0.09,0.34,7,0.01,0.22
51 a 60 años,778,0.62,0.31,470,0.37,0.29,12,0.01,0.19,1,0,0.2,718,0.57,0.3,525,0.42,0.3,17,0.01,0.19,1,0,0.13,623,0.49,0.29,587,0.47,0.3,44,0.04,0.27,7,0.01,0.44,544,0.43,0.3,659,0.52,0.29,54,0.04,0.31,4,0,0.31,487,0.39,0.31,673,0.53,0.29,96,0.08,0.28,5,0,0.19,518,0.41,0.3,663,0.53,0.3,73,0.06,0.27,7,0.01,0.25,534,0.42,0.32,637,0.51,0.29,81,0.06,0.25,9,0.01,0.28
61 a 70 años,284,0.61,0.11,170,0.37,0.1,10,0.02,0.16,0,0,0,287,0.62,0.12,168,0.36,0.1,9,0.02,0.1,0,0,0,245,0.53,0.12,197,0.43,0.1,20,0.04,0.12,2,0,0.13,219,0.47,0.12,226,0.49,0.1,18,0.04,0.1,1,0,0.08,190,0.41,0.12,243,0.52,0.11,30,0.07,0.09,1,0,0.04,214,0.46,0.13,226,0.49,0.1,22,0.05,0.08,2,0,0.07,216,0.47,0.13,217,0.47,0.1,29,0.06,0.09,2,0,0.06
71 a 80 años,37,0.6,0.02,23,0.37,0.01,2,0.03,0.03,0,0,0,34,0.55,0.01,26,0.42,0.02,2,0.03,0.02,0,0,0,32,0.52,0.02,29,0.47,0.02,1,0.02,0.01,0,0,0,28,0.45,0.02,32,0.52,0.01,2,0.03,0.01,0,0,0,26,0.42,0.02,31,0.5,0.01,5,0.08,0.01,0,0,0,28,0.45,0.02,30,0.48,0.01,4,0.07,0.02,0,0,0,25,0.4,0.02,33,0.53,0.02,4,0.07,0.01,0,0,0
