Variable,B1-A-Mucho-Recuento,B1-A-Mucho-% del N de fila,B1-A-Mucho-% de N columnas,B1-A-Regular-Recuento,B1-A-Regular-% del N de fila,B1-A-Regular-% de N columnas,B1-A-Poco-Recuento,B1-A-Poco-% del N de fila,B1-A-Poco-% de N columnas,B1-A-Nada-Recuento,B1-A-Nada-% del N de fila,B1-A-Nada-% de N columnas,B1-B-Mucho-Recuento,B1-B-Mucho-% del N de fila,B1-B-Mucho-% de N columnas,B1-B-Regular-Recuento,B1-B-Regular-% del N de fila,B1-B-Regular-% de N columnas,B1-B-Poco-Recuento,B1-B-Poco-% del N de fila,B1-B-Poco-% de N columnas,B1-B-Nada-Recuento,B1-B-Nada-% del N de fila,B1-B-Nada-% de N columnas,B1-C-Mucho-Recuento,B1-C-Mucho-% del N de fila,B1-C-Mucho-% de N columnas,B1-C-Regular-Recuento,B1-C-Regular-% del N de fila,B1-C-Regular-% de N columnas,B1-C-Poco-Recuento,B1-C-Poco-% del N de fila,B1-C-Poco-% de N columnas,B1-C-Nada-Recuento,B1-C-Nada-% del N de fila,B1-C-Nada-% de N columnas,B1-D-Mucho-Recuento,B1-D-Mucho-% del N de fila,B1-D-Mucho-% de N columnas,B1-D-Regular-Recuento,B1-D-Regular-% del N de fila,B1-D-Regular-% de N columnas,B1-D-Poco-Recuento,B1-D-Poco-% del N de fila,B1-D-Poco-% de N columnas,B1-D-Nada-Recuento,B1-D-Nada-% del N de fila,B1-D-Nada-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Regular-Recuento,B1-E-Regular del N de fila,B1-E-Regular-% de N columnas,B1-E-Poco-Recuento,B1-E-Poco-% del N de fila,B1-E-Poco-% de N columnas,B1-E-Nada-Recuento,B1-E-Nada-% del N de fila,B1-E-Nada-% de N columnas,B1-F-Mucho-Recuento,B1-F-Mucho-% del N de fila,B1-F-Mucho-% de N columnas,B1-F-Regular-Recuento,B1-F-Regular-% del N de fila,B1-F-Regular-% de N columnas,B1-F-Poco-Recuento,B1-F-Poco-% del N de fila,B1-F-Poco-% de N columnas,B1-F-Nada-Recuento,B1-F-Nada-% del N de fila,B1-F-Nada-% de N columnas,B1-G-Mucho-Recuento,B1-G-Mucho-% del N de fila,B1-G-Mucho-% de N columnas,B1-G-Regular-Recuento,B1-G-Regular-% del N de fila,B1-G-Regular-% de N columnas,B1-G-Poco-Recuento,B1-G-Poco-% del N de fila,B1-G-Poco-% de N columnas,B1-G-Nada-Recuento,B1-G-Nada-% del N de fila,B1-G-Nada-% de N columnas,B1-H-Mucho-Recuento,B1-H-Mucho-% del N de fila,B1-H-Mucho-% de N columnas,B1-H-Regular-Recuento,B1-H-Regular-% del N de fila,B1-H-Regular-% de N columnas,B1-H-Poco-Recuento,B1-H-Poco-% del N de fila,B1-H-Poco-% de N columnas,B1-H-Nada-Recuento,B1-H-Nada-% del N de fila,B1-H-Nada-% de N columnas,B1-I-Mucho-Recuento,B1-I-Mucho--% del N de fila,B1-I-Mucho-% de N columnas,B1-I-Regular-Recuento,B1-I-Regular-% del N de fila,B1-I-Regular-% de N columnas,B1-I-Poco-Recuento,B1-I-Poco-% del N de fila,B1-I-Poco-% de N columnas,B1-I-Nada-Recuento,B1-I-Nada-% del N de fila,B1-I-Nada-% de N columnas
ESTADO DE MÉXICO,61,0.38,0.04,77,0.48,0.03,22,0.14,0.05,1,0.01,0.03,103,0.64,0.03,57,0.35,0.05,1,0.01,0.02,0,0,0,80,0.5,0.04,71,0.44,0.04,10,0.06,0.03,0,0,0,113,0.7,0.04,45,0.28,0.04,3,0.02,0.03,0,0,0,110,0.68,0.04,48,0.3,0.04,3,0.02,0.02,0,0,0,112,0.7,0.04,44,0.27,0.04,4,0.03,0.04,1,0.01,0.14,125,0.78,0.04,36,0.22,0.04,0,0,0,0,0,0,108,0.67,0.04,52,0.32,0.04,1,0.01,0.01,0,0,0,109,0.68,0.04,50,0.31,0.05,2,0.01,0.02,0,0,0
GUANAJUATO,64,0.38,0.04,81,0.48,0.04,21,0.13,0.05,2,0.01,0.06,124,0.74,0.04,41,0.24,0.04,2,0.01,0.03,1,0.01,0.33,101,0.6,0.05,53,0.32,0.03,14,0.08,0.05,0,0,0,134,0.8,0.05,33,0.2,0.03,1,0.01,0.01,0,0,0,122,0.73,0.04,41,0.24,0.03,5,0.03,0.04,0,0,0,126,0.75,0.04,38,0.23,0.03,4,0.02,0.04,0,0,0,137,0.82,0.04,30,0.18,0.04,1,0.01,0.02,0,0,0,123,0.73,0.04,42,0.25,0.03,3,0.02,0.03,0,0,0,133,0.79,0.04,30,0.18,0.03,5,0.03,0.06,0,0,0
GUERRERO,14,0.33,0.01,24,0.57,0.01,4,0.1,0.01,0,0,0,25,0.6,0.01,17,0.41,0.01,0,0,0,0,0,0,16,0.38,0.01,23,0.55,0.01,3,0.07,0.01,0,0,0,27,0.64,0.01,15,0.36,0.01,0,0,0,0,0,0,28,0.67,0.01,13,0.31,0.01,1,0.02,0.01,0,0,0,32,0.76,0.01,10,0.24,0.01,0,0,0,0,0,0,32,0.76,0.01,9,0.21,0.01,1,0.02,0.02,0,0,0,32,0.76,0.01,10,0.24,0.01,0,0,0,0,0,0,28,0.67,0.01,12,0.29,0.01,2,0.05,0.02,0,0,0
HIDALGO,68,0.44,0.05,81,0.52,0.04,6,0.04,0.01,0,0,0,118,0.76,0.04,35,0.23,0.03,2,0.01,0.03,0,0,0,85,0.55,0.04,58,0.37,0.03,12,0.08,0.04,0,0,0,107,0.69,0.04,44,0.28,0.04,4,0.03,0.04,0,0,0,117,0.76,0.04,36,0.23,0.03,2,0.01,0.02,0,0,0,116,0.75,0.04,37,0.24,0.03,2,0.01,0.02,0,0,0,132,0.85,0.04,22,0.14,0.03,1,0.01,0.02,0,0,0,115,0.74,0.04,37,0.24,0.03,3,0.02,0.03,0,0,0,126,0.81,0.04,27,0.17,0.03,2,0.01,0.02,0,0,0
JALISCO,45,0.33,0.03,73,0.54,0.03,14,0.1,0.03,3,0.02,0.09,99,0.73,0.03,33,0.24,0.03,3,0.02,0.05,0,0,0,72,0.53,0.03,56,0.42,0.03,7,0.05,0.02,0,0,0,93,0.69,0.03,41,0.3,0.03,1,0.01,0.01,0,0,0,95,0.7,0.03,37,0.27,0.03,3,0.02,0.02,0,0,0,93,0.69,0.03,38,0.28,0.03,4,0.03,0.04,0,0,0,105,0.78,0.03,29,0.22,0.04,1,0.01,0.02,0,0,0,96,0.71,0.03,37,0.27,0.03,2,0.02,0.02,0,0,0,101,0.75,0.03,32,0.24,0.03,2,0.02,0.02,0,0,0
MICHOACÁN,11,0.33,0.01,20,0.61,0.01,2,0.06,0.01,0,0,0,18,0.55,0.01,12,0.36,0.01,3,0.09,0.05,0,0,0,13,0.39,0.01,16,0.49,0.01,4,0.12,0.01,0,0,0,18,0.55,0.01,14,0.42,0.01,1,0.03,0.01,0,0,0,21,0.64,0.01,10,0.3,0.01,2,0.06,0.02,0,0,0,23,0.7,0.01,7,0.21,0.01,2,0.06,0.02,1,0.03,0.14,24,0.73,0.01,7,0.21,0.01,2,0.06,0.04,0,0,0,21,0.64,0.01,11,0.33,0.01,0,0,0,1,0.03,0.14,21,0.64,0.01,11,0.33,0.01,1,0.03,0.01,0,0,0
MORELOS,67,0.38,0.05,92,0.52,0.04,16,0.09,0.04,2,0.01,0.06,130,0.73,0.04,44,0.25,0.04,2,0.01,0.03,1,0.01,0.33,90,0.51,0.04,76,0.43,0.04,11,0.06,0.04,0,0,0,126,0.71,0.04,48,0.27,0.04,2,0.01,0.02,1,0.01,0.33,125,0.71,0.04,45,0.25,0.04,4,0.02,0.03,3,0.02,0.25,130,0.73,0.05,44,0.25,0.04,3,0.02,0.03,0,0,0,150,0.85,0.05,25,0.14,0.03,1,0.01,0.02,1,0.01,0.33,132,0.75,0.05,43,0.24,0.04,1,0.01,0.01,1,0.01,0.14,139,0.79,0.05,34,0.19,0.03,3,0.02,0.03,1,0.01,0.2
NAYARIT,39,0.26,0.03,94,0.62,0.04,17,0.11,0.04,1,0.01,0.03,96,0.64,0.03,52,0.34,0.04,3,0.02,0.05,0,0,0,60,0.4,0.03,77,0.51,0.04,13,0.09,0.04,1,0.01,0.14,86,0.57,0.03,59,0.39,0.05,6,0.04,0.07,0,0,0,101,0.67,0.04,46,0.31,0.04,4,0.03,0.03,0,0,0,88,0.58,0.03,55,0.36,0.04,7,0.05,0.06,1,0.01,0.14,111,0.74,0.03,37,0.25,0.04,3,0.02,0.06,0,0,0,94,0.62,0.03,49,0.33,0.04,7,0.05,0.07,1,0.01,0.14,106,0.7,0.03,42,0.28,0.04,2,0.01,0.02,1,0.01,0.2
NUEVO LEÓN,12,0.39,0.01,14,0.45,0.01,5,0.16,0.01,0,0,0,21,0.68,0.01,9,0.29,0.01,1,0.03,0.02,0,0,0,18,0.58,0.01,12,0.39,0.01,1,0.03,0,0,0,0,23,0.74,0.01,7,0.23,0.01,1,0.03,0.01,0,0,0,19,0.61,0.01,11,0.36,0.01,1,0.03,0.01,0,0,0,18,0.58,0.01,12,0.39,0.01,1,0.03,0.01,0,0,0,28,0.9,0.01,2,0.07,0,1,0.03,0.02,0,0,0,22,0.71,0.01,8,0.26,0.01,1,0.03,0.01,0,0,0,24,0.77,0.01,5,0.16,0.01,2,0.07,0.02,0,0,0
PUEBLA,59,0.44,0.04,69,0.52,0.03,4,0.03,0.01,1,0.01,0.03,98,0.74,0.03,34,0.26,0.03,1,0.01,0.02,0,0,0,64,0.48,0.03,58,0.44,0.03,11,0.08,0.04,0,0,0,89,0.67,0.03,41,0.31,0.03,3,0.02,0.03,0,0,0,91,0.68,0.03,37,0.28,0.03,4,0.03,0.03,1,0.01,0.08,86,0.65,0.03,41,0.31,0.03,6,0.05,0.06,0,0,0,101,0.76,0.03,30,0.23,0.04,2,0.02,0.04,0,0,0,91,0.68,0.03,41,0.31,0.03,1,0.01,0.01,0,0,0,103,0.77,0.03,28,0.21,0.03,2,0.02,0.02,0,0,0
QUERÉTARO,60,0.31,0.04,104,0.55,0.05,24,0.13,0.06,3,0.02,0.09,130,0.68,0.04,54,0.28,0.05,6,0.03,0.1,1,0.01,0.33,86,0.45,0.04,86,0.45,0.05,18,0.09,0.06,1,0.01,0.14,124,0.65,0.04,59,0.31,0.05,7,0.04,0.08,1,0.01,0.33,128,0.67,0.04,54,0.28,0.05,8,0.04,0.07,1,0.01,0.08,118,0.62,0.04,63,0.33,0.05,8,0.04,0.07,2,0.01,0.29,145,0.76,0.04,41,0.22,0.05,4,0.02,0.07,1,0.01,0.33,122,0.64,0.04,62,0.33,0.05,6,0.03,0.06,1,0.01,0.14,132,0.69,0.04,55,0.29,0.05,3,0.02,0.03,1,0.01,0.2
QUINTANA ROO,57,0.34,0.04,94,0.55,0.04,18,0.11,0.04,1,0.01,0.03,121,0.71,0.04,47,0.28,0.04,2,0.01,0.03,0,0,0,82,0.48,0.04,73,0.43,0.04,14,0.08,0.05,1,0.01,0.14,113,0.67,0.04,53,0.31,0.04,4,0.02,0.04,0,0,0,119,0.7,0.04,47,0.28,0.04,3,0.02,0.02,1,0.01,0.08,115,0.68,0.04,49,0.29,0.04,6,0.04,0.06,0,0,0,140,0.82,0.04,29,0.17,0.04,1,0.01,0.02,0,0,0,122,0.72,0.04,43,0.25,0.04,5,0.03,0.05,0,0,0,126,0.74,0.04,40,0.24,0.04,4,0.02,0.05,0,0,0
SAN LUIS POTOSÍ,58,0.34,0.04,96,0.57,0.04,15,0.09,0.04,0,0,0,118,0.7,0.04,49,0.29,0.04,2,0.01,0.03,0,0,0,83,0.49,0.04,76,0.45,0.04,10,0.06,0.03,0,0,0,112,0.66,0.04,54,0.32,0.04,3,0.02,0.03,0,0,0,120,0.71,0.04,46,0.27,0.04,2,0.01,0.02,1,0.01,0.08,103,0.61,0.04,62,0.37,0.05,4,0.02,0.04,0,0,0,142,0.84,0.04,26,0.15,0.03,1,0.01,0.02,0,0,0,118,0.7,0.04,47,0.28,0.04,4,0.02,0.04,0,0,0,127,0.75,0.04,40,0.24,0.04,2,0.01,0.02,0,0,0
SINALOA,67,0.35,0.05,102,0.53,0.04,19,0.1,0.04,3,0.02,0.09,156,0.82,0.05,35,0.18,0.03,0,0,0,0,0,0,119,0.62,0.06,64,0.34,0.04,7,0.04,0.02,1,0.01,0.14,153,0.8,0.05,34,0.18,0.03,3,0.02,0.03,1,0.01,0.33,142,0.74,0.05,44,0.23,0.04,5,0.03,0.04,0,0,0,140,0.73,0.05,46,0.24,0.04,5,0.03,0.05,0,0,0,163,0.85,0.05,25,0.13,0.03,2,0.01,0.04,1,0.01,0.33,150,0.79,0.05,37,0.19,0.03,2,0.01,0.02,2,0.01,0.29,152,0.8,0.05,36,0.19,0.03,3,0.02,0.03,0,0,0
SONORA,51,0.35,0.03,78,0.53,0.03,15,0.1,0.04,3,0.02,0.09,104,0.71,0.04,41,0.28,0.04,2,0.01,0.03,0,0,0,69,0.47,0.03,64,0.44,0.04,14,0.1,0.05,0,0,0,99,0.67,0.03,43,0.29,0.04,5,0.03,0.05,0,0,0,101,0.69,0.04,41,0.28,0.03,4,0.03,0.03,1,0.01,0.08,104,0.71,0.04,38,0.26,0.03,5,0.03,0.05,0,0,0,107,0.73,0.03,35,0.24,0.04,5,0.03,0.09,0,0,0,95,0.65,0.03,44,0.3,0.04,7,0.05,0.07,1,0.01,0.14,99,0.67,0.03,43,0.29,0.04,5,0.03,0.06,0,0,0
TABASCO,55,0.42,0.04,65,0.5,0.03,10,0.08,0.02,0,0,0,94,0.72,0.03,36,0.28,0.03,0,0,0,0,0,0,68,0.52,0.03,55,0.42,0.03,7,0.05,0.02,0,0,0,93,0.72,0.03,33,0.25,0.03,4,0.03,0.04,0,0,0,93,0.72,0.03,29,0.22,0.02,8,0.06,0.07,0,0,0,93,0.72,0.03,36,0.28,0.03,1,0.01,0.01,0,0,0,108,0.83,0.03,21,0.16,0.03,1,0.01,0.02,0,0,0,90,0.69,0.03,34,0.26,0.03,6,0.05,0.06,0,0,0,97,0.75,0.03,30,0.23,0.03,3,0.02,0.03,0,0,0
TAMAULIPAS,43,0.29,0.03,96,0.64,0.04,11,0.07,0.03,1,0.01,0.03,116,0.77,0.04,33,0.22,0.03,2,0.01,0.03,0,0,0,82,0.54,0.04,61,0.4,0.03,8,0.05,0.03,0,0,0,112,0.74,0.04,36,0.24,0.03,3,0.02,0.03,0,0,0,105,0.7,0.04,44,0.29,0.04,2,0.01,0.02,0,0,0,103,0.68,0.04,43,0.29,0.03,5,0.03,0.05,0,0,0,120,0.8,0.04,29,0.19,0.04,2,0.01,0.04,0,0,0,106,0.7,0.04,41,0.27,0.03,4,0.03,0.04,0,0,0,118,0.78,0.04,31,0.21,0.03,2,0.01,0.02,0,0,0
TLAXCALA,56,0.36,0.04,79,0.5,0.03,21,0.13,0.05,1,0.01,0.03,110,0.7,0.04,43,0.27,0.04,4,0.03,0.06,0,0,0,84,0.54,0.04,60,0.38,0.03,13,0.08,0.04,0,0,0,101,0.64,0.04,50,0.32,0.04,6,0.04,0.07,0,0,0,113,0.72,0.04,39,0.25,0.03,5,0.03,0.04,0,0,0,114,0.73,0.04,40,0.26,0.03,3,0.02,0.03,0,0,0,118,0.75,0.04,35,0.22,0.04,4,0.03,0.07,0,0,0,103,0.66,0.04,49,0.31,0.04,5,0.03,0.05,0,0,0,109,0.69,0.04,41,0.26,0.04,7,0.05,0.08,0,0,0
VERACRUZ,34,0.3,0.02,62,0.55,0.03,15,0.13,0.04,1,0.01,0.03,70,0.63,0.02,40,0.36,0.03,2,0.02,0.03,0,0,0,46,0.41,0.02,54,0.48,0.03,12,0.11,0.04,0,0,0,69,0.62,0.02,40,0.36,0.03,3,0.03,0.03,0,0,0,73,0.65,0.03,37,0.33,0.03,2,0.02,0.02,0,0,0,70,0.63,0.02,39,0.35,0.03,3,0.03,0.03,0,0,0,84,0.75,0.03,26,0.23,0.03,2,0.02,0.04,0,0,0,64,0.57,0.02,46,0.41,0.04,2,0.02,0.02,0,0,0,68,0.61,0.02,44,0.39,0.04,0,0,0,0,0,0
YUCATÁN,39,0.39,0.03,51,0.51,0.02,10,0.1,0.02,1,0.01,0.03,79,0.78,0.03,21,0.21,0.02,1,0.01,0.02,0,0,0,49,0.49,0.02,43,0.43,0.02,8,0.08,0.03,1,0.01,0.14,73,0.72,0.03,25,0.25,0.02,3,0.03,0.03,0,0,0,75,0.74,0.03,24,0.24,0.02,2,0.02,0.02,0,0,0,70,0.69,0.02,29,0.29,0.02,2,0.02,0.02,0,0,0,83,0.82,0.03,17,0.17,0.02,1,0.01,0.02,0,0,0,71,0.7,0.02,27,0.27,0.02,3,0.03,0.03,0,0,0,74,0.73,0.02,24,0.24,0.02,2,0.02,0.02,1,0.01,0.2
ZACATECAS,49,0.26,0.03,110,0.59,0.05,24,0.13,0.06,4,0.02,0.11,113,0.6,0.04,65,0.35,0.06,9,0.05,0.14,0,0,0,87,0.47,0.04,82,0.44,0.05,18,0.1,0.06,0,0,0,105,0.56,0.04,73,0.39,0.06,9,0.05,0.1,0,0,0,108,0.58,0.04,65,0.35,0.05,13,0.07,0.11,1,0.01,0.08,111,0.59,0.04,69,0.37,0.06,6,0.03,0.06,1,0.01,0.14,130,0.7,0.04,54,0.29,0.07,3,0.02,0.06,0,0,0,106,0.57,0.04,71,0.38,0.06,10,0.05,0.1,0,0,0,116,0.62,0.04,63,0.34,0.06,8,0.04,0.09,0,0,0
