Variable,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas,B5-F-Muy adecuado-Recuento,B5-F-Muy adecuado-% del N de fila,B5-F-Muy adecuado-% de N columnas,B5-F-Adecuado-Recuento,B5-F-Adecuado-% del N de fila,B5-F-Adecuado-% de N columnas,B5-F-Poco adecuado-Recuento,B5-F-Poco adecuado-% del N de fila,B5-F-Poco adecuado-% de N columnas,B5-F-Nada adecuado-Recuento,B5-F-Nada adecuado-% del N de fila,B5-F-Nada adecuado-% de N columnas,B5-G-Muy adecuado-Recuento,B5-G-Muy adecuado-% del N de fila,B5-G-Muy adecuado-% de N columnas,B5-G-Adecuado-Recuento,B5-G-Adecuado-% del N de fila,B5-G-Adecuado-% de N columnas,B5-G-Poco adecuado-Recuento,B5-G-Poco adecuado-% del N de fila,B5-G-Poco adecuado-% de N columnas,B5-G-Nada adecuado-Recuento,B5-G-Nada adecuado-% del N de fila,B5-G-Nada adecuado-% de N columnas,B5-H-Muy adecuado-Recuento,B5-H-Muy adecuado-% del N de fila,B5-H-Muy adecuado-% de N columnas,B5-H-Adecuado-Recuento,B5-H-Adecuado-% del N de fila,B5-H-Adecuado-% de N columnas,B5-H-Poco adecuado-Recuento,B5-H-Poco adecuado-% del N de fila,B5-H-Poco adecuado-% de N columnas,B5-H-Nada adecuado-Recuento,B5-H-Nada adecuado-% del N de fila,B5-H-Nada adecuado-% de N columnas
NAYARIT,70,0.464,0.03,71,0.47,0.039,10,0.066,0.125,0,0,0,75,0.497,0.033,73,0.483,0.038,3,0.02,0.033,0,0,0,81,0.536,0.037,61,0.404,0.036,8,0.053,0.028,1,0.007,0.019,86,0.57,0.035,56,0.371,0.034,9,0.06,0.084,0,0,0,73,0.483,0.031,69,0.457,0.04,8,0.053,0.049,1,0.007,0.077,95,0.629,0.034,54,0.358,0.039,1,0.007,0.019,1,0.007,0.1,83,0.55,0.033,64,0.424,0.039,4,0.026,0.037,0,0,0,72,0.477,0.034,74,0.49,0.04,3,0.02,0.012,2,0.013,0.065
NUEVO LEÓN,19,0.613,0.008,11,0.355,0.006,1,0.032,0.013,0,0,0,22,0.71,0.01,8,0.258,0.004,1,0.032,0.011,0,0,0,22,0.71,0.01,6,0.194,0.004,3,0.097,0.011,0,0,0,20,0.645,0.008,11,0.355,0.007,0,0,0,0,0,0,21,0.677,0.009,9,0.29,0.005,1,0.032,0.006,0,0,0,24,0.774,0.009,7,0.226,0.005,0,0,0,0,0,0,19,0.613,0.008,10,0.323,0.006,2,0.065,0.019,0,0,0,19,0.613,0.009,11,0.355,0.006,1,0.032,0.004,0,0,0
PUEBLA,61,0.459,0.026,72,0.541,0.04,0,0,0,0,0,0,65,0.489,0.029,68,0.511,0.036,0,0,0,0,0,0,67,0.504,0.03,54,0.406,0.032,11,0.083,0.039,1,0.008,0.019,83,0.624,0.034,49,0.368,0.03,1,0.008,0.009,0,0,0,78,0.586,0.033,51,0.383,0.029,4,0.03,0.025,0,0,0,84,0.632,0.03,48,0.361,0.035,1,0.008,0.019,0,0,0,76,0.571,0.031,57,0.429,0.034,0,0,0,0,0,0,61,0.459,0.029,64,0.481,0.034,6,0.045,0.024,2,0.015,0.065
QUERÉTARO,97,0.508,0.041,87,0.455,0.048,6,0.031,0.075,1,0.005,0.25,93,0.487,0.041,91,0.476,0.048,6,0.031,0.067,1,0.005,0.25,81,0.424,0.037,84,0.44,0.049,21,0.11,0.074,5,0.026,0.093,98,0.513,0.04,81,0.424,0.049,9,0.047,0.084,3,0.016,0.25,95,0.497,0.041,79,0.414,0.046,14,0.073,0.086,3,0.016,0.231,110,0.576,0.039,76,0.398,0.055,3,0.016,0.057,2,0.01,0.2,95,0.497,0.038,83,0.435,0.05,12,0.063,0.112,1,0.005,0.333,76,0.398,0.036,95,0.497,0.051,15,0.079,0.061,5,0.026,0.161
QUINTANA ROO,84,0.494,0.036,83,0.488,0.046,3,0.018,0.038,0,0,0,85,0.5,0.038,82,0.482,0.043,3,0.018,0.033,0,0,0,79,0.465,0.036,82,0.482,0.048,9,0.053,0.032,0,0,0,80,0.471,0.032,89,0.524,0.054,1,0.006,0.009,0,0,0,86,0.506,0.037,81,0.476,0.047,3,0.018,0.019,0,0,0,111,0.653,0.04,56,0.329,0.041,3,0.018,0.057,0,0,0,101,0.594,0.041,66,0.388,0.04,3,0.018,0.028,0,0,0,84,0.494,0.04,78,0.459,0.042,7,0.041,0.028,1,0.006,0.032
SAN LUIS POTOSÍ,89,0.527,0.038,79,0.467,0.044,1,0.006,0.013,0,0,0,78,0.462,0.035,85,0.503,0.044,6,0.036,0.067,0,0,0,73,0.432,0.033,87,0.515,0.051,7,0.041,0.025,2,0.012,0.037,94,0.556,0.038,75,0.444,0.045,0,0,0,0,0,0,83,0.491,0.035,83,0.491,0.048,3,0.018,0.019,0,0,0,108,0.639,0.038,60,0.355,0.043,1,0.006,0.019,0,0,0,91,0.538,0.037,72,0.426,0.043,6,0.036,0.056,0,0,0,74,0.438,0.035,84,0.497,0.045,10,0.059,0.04,1,0.006,0.032
SINALOA,125,0.654,0.053,63,0.33,0.035,3,0.016,0.038,0,0,0,119,0.623,0.053,70,0.366,0.037,2,0.01,0.022,0,0,0,114,0.597,0.051,67,0.351,0.039,9,0.047,0.032,1,0.005,0.019,127,0.665,0.051,62,0.325,0.037,2,0.01,0.019,0,0,0,120,0.628,0.051,68,0.356,0.039,3,0.016,0.019,0,0,0,143,0.749,0.051,47,0.246,0.034,1,0.005,0.019,0,0,0,129,0.675,0.052,58,0.304,0.035,4,0.021,0.037,0,0,0,104,0.545,0.049,81,0.424,0.044,6,0.031,0.024,0,0,0
SONORA,100,0.68,0.042,43,0.293,0.024,3,0.02,0.038,1,0.007,0.25,88,0.599,0.039,54,0.367,0.028,4,0.027,0.044,1,0.007,0.25,86,0.585,0.039,53,0.361,0.031,6,0.041,0.021,2,0.014,0.037,94,0.639,0.038,49,0.333,0.03,3,0.02,0.028,1,0.007,0.083,99,0.673,0.042,43,0.293,0.025,4,0.027,0.025,1,0.007,0.077,102,0.694,0.036,44,0.299,0.032,0,0,0,1,0.007,0.1,100,0.68,0.04,41,0.279,0.025,5,0.034,0.047,1,0.007,0.333,86,0.585,0.041,53,0.361,0.029,7,0.048,0.028,1,0.007,0.032
TABASCO,73,0.562,0.031,53,0.408,0.029,4,0.031,0.05,0,0,0,67,0.515,0.03,61,0.469,0.032,2,0.015,0.022,0,0,0,72,0.554,0.032,49,0.377,0.029,7,0.054,0.025,2,0.015,0.037,70,0.538,0.028,57,0.438,0.034,3,0.023,0.028,0,0,0,72,0.554,0.031,54,0.415,0.031,3,0.023,0.019,1,0.008,0.077,89,0.685,0.032,40,0.308,0.029,1,0.008,0.019,0,0,0,77,0.592,0.031,51,0.392,0.031,2,0.015,0.019,0,0,0,68,0.523,0.032,58,0.446,0.031,3,0.023,0.012,1,0.008,0.032
TAMAULIPAS,75,0.497,0.032,76,0.503,0.042,0,0,0,0,0,0,72,0.477,0.032,74,0.49,0.039,5,0.033,0.056,0,0,0,69,0.457,0.031,63,0.417,0.037,14,0.093,0.049,5,0.033,0.093,84,0.556,0.034,65,0.43,0.039,0,0,0,2,0.013,0.167,75,0.497,0.032,71,0.47,0.041,5,0.033,0.031,0,0,0,97,0.642,0.035,49,0.325,0.035,5,0.033,0.094,0,0,0,88,0.583,0.035,60,0.397,0.036,3,0.02,0.028,0,0,0,73,0.483,0.034,66,0.437,0.036,11,0.073,0.045,1,0.007,0.032
TLAXCALA,77,0.49,0.033,78,0.497,0.043,2,0.013,0.025,0,0,0,68,0.433,0.03,86,0.548,0.045,3,0.019,0.033,0,0,0,73,0.465,0.033,70,0.446,0.041,13,0.083,0.046,1,0.006,0.019,87,0.554,0.035,63,0.401,0.038,6,0.038,0.056,1,0.006,0.083,87,0.554,0.037,61,0.389,0.035,8,0.051,0.049,1,0.006,0.077,92,0.586,0.033,64,0.408,0.046,1,0.006,0.019,0,0,0,84,0.535,0.034,71,0.452,0.043,2,0.013,0.019,0,0,0,72,0.459,0.034,76,0.484,0.041,8,0.051,0.032,1,0.006,0.032
VERACRUZ,55,0.491,0.023,53,0.473,0.029,4,0.036,0.05,0,0,0,53,0.473,0.024,54,0.482,0.028,5,0.045,0.056,0,0,0,52,0.464,0.023,48,0.429,0.028,11,0.098,0.039,1,0.009,0.019,69,0.616,0.028,38,0.339,0.023,5,0.045,0.047,0,0,0,62,0.554,0.026,46,0.411,0.027,4,0.036,0.025,0,0,0,74,0.661,0.026,36,0.321,0.026,2,0.018,0.038,0,0,0,57,0.509,0.023,54,0.482,0.033,1,0.009,0.009,0,0,0,53,0.473,0.025,49,0.438,0.026,10,0.089,0.04,0,0,0
YUCATÁN,56,0.554,0.024,42,0.416,0.023,3,0.03,0.038,0,0,0,53,0.525,0.024,45,0.446,0.024,3,0.03,0.033,0,0,0,52,0.515,0.023,41,0.406,0.024,4,0.04,0.014,4,0.04,0.074,51,0.505,0.021,45,0.446,0.027,5,0.05,0.047,0,0,0,53,0.525,0.023,44,0.436,0.025,4,0.04,0.025,0,0,0,61,0.604,0.022,37,0.366,0.027,3,0.03,0.057,0,0,0,56,0.554,0.023,43,0.426,0.026,2,0.02,0.019,0,0,0,45,0.446,0.021,49,0.485,0.026,7,0.069,0.028,0,0,0
ZACATECAS,95,0.508,0.04,88,0.471,0.049,3,0.016,0.038,1,0.005,0.25,87,0.465,0.039,96,0.513,0.05,4,0.021,0.044,0,0,0,94,0.503,0.042,78,0.417,0.046,13,0.07,0.046,2,0.011,0.037,100,0.535,0.04,82,0.439,0.049,5,0.027,0.047,0,0,0,94,0.503,0.04,83,0.444,0.048,9,0.048,0.056,1,0.005,0.077,114,0.61,0.041,69,0.369,0.05,4,0.021,0.075,0,0,0,111,0.594,0.045,74,0.396,0.045,2,0.011,0.019,0,0,0,88,0.471,0.042,85,0.455,0.046,13,0.07,0.053,1,0.005,0.032
Hombre,1009,0.545,0.428,806,0.435,0.444,36,0.019,0.45,2,0.001,0.5,941,0.508,0.419,871,0.47,0.456,39,0.021,0.433,2,0.001,0.5,962,0.519,0.434,737,0.398,0.434,133,0.072,0.47,21,0.011,0.389,1052,0.568,0.425,744,0.402,0.448,49,0.026,0.458,8,0.004,0.667,1019,0.55,0.435,762,0.411,0.439,66,0.036,0.407,6,0.003,0.462,1221,0.659,0.435,606,0.327,0.439,23,0.012,0.434,3,0.002,0.3,1081,0.583,0.435,739,0.399,0.445,32,0.017,0.299,1,0.001,0.333,959,0.518,0.453,796,0.43,0.429,85,0.046,0.344,13,0.007,0.419
Mujer,1346,0.561,0.572,1008,0.42,0.556,44,0.018,0.55,2,0.001,0.5,1306,0.544,0.581,1041,0.434,0.544,51,0.021,0.567,2,0.001,0.5,1256,0.523,0.566,961,0.4,0.566,150,0.063,0.53,33,0.014,0.611,1421,0.592,0.575,917,0.382,0.552,58,0.024,0.542,4,0.002,0.333,1325,0.552,0.565,972,0.405,0.561,96,0.04,0.593,7,0.003,0.538,1588,0.662,0.565,775,0.323,0.561,30,0.013,0.566,7,0.003,0.7,1402,0.584,0.565,921,0.384,0.555,75,0.031,0.701,2,0.001,0.667,1159,0.483,0.547,1061,0.442,0.571,162,0.068,0.656,18,0.008,0.581
