Variable,B3-A-Totalmente de acuerdo-Recuento,B3-A-Totalmente de acuerdo-% del N de fila,B3-A-Totalmente de acuerdo-% de N columnas,B3-A-De acuerdo-Recuento,B3-A-De acuerdo-% del N de fila,B3-A-De acuerdo-% de N columnas,B3-A-En desacuerdo-Recuento,B3-A-En desacuerdo-% del N de fila,B3-A-En desacuerdo-% de N columnas,B3-A-Totalmente en desacuerdo-Recuento,B3-A-Totalmente en desacuerdo-% del N de fila,B3-A-Totalmente en desacuerdo-% de N columnas,B3-B-Totalmente de acuerdo-Recuento,B3-B-Totalmente de acuerdo-% del N de fila,B3-B-Totalmente de acuerdo-% de N columnas,B3-B-De acuerdo-Recuento,B3-B-De acuerdo-% del N de fila,B3-B-De acuerdo-% de N columnas,B3-B-En desacuerdo-Recuento,B3-B-En desacuerdo-% del N de fila,B3-B-En desacuerdo-% de N columnas,B3-B-Totalmente en desacuerdo-Recuento,B3-B-Totalmente en desacuerdo-% del N de fila,B3-B-Totalmente en desacuerdo-% de N columnas,B3-C-Totalmente de acuerdo-Recuento,B3-C-Totalmente de acuerdo-% del N de fila,B3-C-Totalmente de acuerdo-% de N columnas,B3-C-De acuerdo-Recuento,B3-C-De acuerdo-% del N de fila,B3-C-De acuerdo-% de N columnas,B3-C-En desacuerdo-Recuento,B3-C-En desacuerdo-% del N de fila,B3-C-En desacuerdo-% de N columnas,B3-C-Totalmente en desacuerdo-Recuento,B3-C-Totalmente en desacuerdo-% del N de fila,B3-C-Totalmente en desacuerdo-% de N columnas,B3-D-Totalmente de acuerdo-Recuento,B3-D-Totalmente de acuerdo-% del N de fila,B3-D-Totalmente de acuerdo-% de N columnas,B3-D-De acuerdo-Recuento,B3-D-De acuerdo-% del N de fila,B3-D-De acuerdo-% de N columnas,B3-D-En desacuerdo-Recuento,B3-D-En desacuerdo-% del N de fila,B3-D-En desacuerdo-% de N columnas,B3-D-Totalmente en desacuerdo-Recuento,B3-D-Totalmente en desacuerdo-% del N de fila,B3-D-Totalmente en desacuerdo-% de N columnas,B3-E-Totalmente de acuerdo-Recuento,B3-E-Totalmente de acuerdo-% del N de fila,B3-E-Totalmente de acuerdo-% de N columnas,B3-E-De acuerdo-Recuento,B3-E-De acuerdo-% del N de fila,B3-E-De acuerdo-% de N columnas,B3-E-En desacuerdo-Recuento,B3-E-En desacuerdo-% del N de fila,B3-E-En desacuerdo-% de N columnas,B3-E-Totalmente en desacuerdo-Recuento,B3-E-Totalmente en desacuerdo-% del N de fila,B3-E-Totalmente en desacuerdo-% de N columnas
ESTADO DE MÉXICO,501,0.426,0.044,632,0.537,0.037,41,0.035,0.044,3,0.003,0.043,505,0.429,0.041,634,0.539,0.039,35,0.03,0.038,3,0.003,0.036,519,0.441,0.041,598,0.508,0.038,53,0.045,0.053,7,0.006,0.088,470,0.399,0.041,656,0.557,0.039,46,0.039,0.046,5,0.004,0.065,446,0.379,0.042,640,0.544,0.038,81,0.069,0.044,10,0.008,0.046
GUANAJUATO,746,0.436,0.066,913,0.534,0.053,50,0.029,0.053,2,0.001,0.029,815,0.476,0.066,841,0.492,0.052,51,0.03,0.055,4,0.002,0.048,840,0.491,0.066,801,0.468,0.051,65,0.038,0.065,5,0.003,0.063,752,0.44,0.066,901,0.527,0.053,57,0.033,0.057,1,0.001,0.013,661,0.386,0.063,923,0.539,0.055,108,0.063,0.059,19,0.011,0.088
GUERRERO,90,0.361,0.008,151,0.606,0.009,7,0.028,0.007,1,0.004,0.014,97,0.39,0.008,147,0.59,0.009,4,0.016,0.004,1,0.004,0.012,110,0.442,0.009,136,0.546,0.009,3,0.012,0.003,0,0,0,98,0.394,0.009,147,0.59,0.009,4,0.016,0.004,0,0,0,97,0.39,0.009,142,0.57,0.008,6,0.024,0.003,4,0.016,0.019
HIDALGO,439,0.421,0.039,578,0.554,0.034,25,0.024,0.027,1,0.001,0.014,476,0.456,0.038,540,0.518,0.034,25,0.024,0.027,2,0.002,0.024,493,0.473,0.039,533,0.511,0.034,16,0.015,0.016,1,0.001,0.013,459,0.44,0.04,566,0.543,0.033,16,0.015,0.016,2,0.002,0.026,417,0.4,0.04,568,0.545,0.034,55,0.053,0.03,3,0.003,0.014
JALISCO,481,0.383,0.042,735,0.585,0.043,38,0.03,0.041,3,0.002,0.043,514,0.409,0.042,691,0.55,0.043,47,0.037,0.051,5,0.004,0.06,510,0.406,0.04,698,0.555,0.044,47,0.037,0.047,2,0.002,0.025,459,0.365,0.04,746,0.593,0.044,46,0.037,0.046,6,0.005,0.078,394,0.313,0.037,738,0.587,0.044,112,0.089,0.061,13,0.01,0.06
MICHOACÁN,3,0.25,0,8,0.667,0,1,0.083,0.001,0,0,0,4,0.333,0,8,0.667,0,0,0,0,0,0,0,4,0.333,0,8,0.667,0.001,0,0,0,0,0,0,4,0.333,0,8,0.667,0,0,0,0,0,0,0,4,0.333,0,5,0.417,0,3,0.25,0.002,0,0,0
MORELOS,595,0.394,0.052,869,0.575,0.051,44,0.029,0.047,2,0.001,0.029,690,0.457,0.056,772,0.512,0.048,44,0.029,0.048,3,0.002,0.036,683,0.453,0.054,782,0.518,0.05,41,0.027,0.041,3,0.002,0.038,614,0.407,0.054,854,0.566,0.05,38,0.025,0.038,3,0.002,0.039,583,0.386,0.055,838,0.555,0.05,80,0.053,0.044,8,0.005,0.037
NAYARIT,260,0.402,0.023,373,0.577,0.022,11,0.017,0.012,2,0.003,0.029,285,0.441,0.023,343,0.531,0.021,14,0.022,0.015,4,0.006,0.048,286,0.443,0.023,339,0.525,0.021,20,0.031,0.02,1,0.002,0.013,251,0.389,0.022,371,0.574,0.022,24,0.037,0.024,0,0,0,234,0.362,0.022,363,0.562,0.021,48,0.074,0.026,1,0.002,0.005
NUEVO LEÓN,48,0.466,0.004,50,0.485,0.003,5,0.049,0.005,0,0,0,51,0.495,0.004,47,0.456,0.003,5,0.049,0.005,0,0,0,47,0.456,0.004,52,0.505,0.003,4,0.039,0.004,0,0,0,47,0.456,0.004,53,0.515,0.003,3,0.029,0.003,0,0,0,35,0.34,0.003,61,0.592,0.004,4,0.039,0.002,3,0.029,0.014
PUEBLA,344,0.385,0.03,519,0.581,0.03,26,0.029,0.028,4,0.004,0.058,367,0.411,0.03,496,0.555,0.031,27,0.03,0.029,3,0.003,0.036,373,0.418,0.03,496,0.555,0.031,22,0.025,0.022,2,0.002,0.025,320,0.358,0.028,540,0.605,0.032,29,0.032,0.029,4,0.004,0.052,282,0.316,0.027,554,0.62,0.033,51,0.057,0.028,6,0.007,0.028
QUERÉTARO,628,0.42,0.055,817,0.547,0.048,44,0.029,0.047,5,0.003,0.072,645,0.432,0.052,802,0.537,0.05,42,0.028,0.046,5,0.003,0.06,668,0.447,0.053,771,0.516,0.049,49,0.033,0.049,6,0.004,0.075,597,0.4,0.052,844,0.565,0.05,47,0.031,0.047,6,0.004,0.078,562,0.376,0.053,841,0.563,0.05,82,0.055,0.045,9,0.006,0.042
QUINTANA ROO,522,0.384,0.046,800,0.588,0.047,35,0.026,0.037,3,0.002,0.043,585,0.43,0.047,730,0.537,0.045,39,0.029,0.042,6,0.004,0.072,604,0.444,0.048,716,0.526,0.045,35,0.026,0.035,5,0.004,0.063,569,0.418,0.05,752,0.553,0.044,34,0.025,0.034,5,0.004,0.065,502,0.369,0.048,766,0.563,0.045,78,0.057,0.042,14,0.01,0.065
SAN LUIS POTOSÍ,275,0.35,0.024,477,0.607,0.028,33,0.042,0.035,1,0.001,0.014,298,0.379,0.024,458,0.583,0.028,27,0.034,0.029,3,0.004,0.036,301,0.383,0.024,450,0.573,0.028,33,0.042,0.033,2,0.003,0.025,271,0.345,0.024,479,0.609,0.028,32,0.041,0.032,4,0.005,0.052,260,0.331,0.025,467,0.594,0.028,56,0.071,0.03,3,0.004,0.014
SINALOA,606,0.404,0.053,848,0.566,0.05,44,0.029,0.047,1,0.001,0.014,678,0.452,0.055,764,0.51,0.047,55,0.037,0.06,2,0.001,0.024,673,0.449,0.053,776,0.518,0.049,47,0.031,0.047,3,0.002,0.038,617,0.412,0.054,827,0.552,0.049,54,0.036,0.054,1,0.001,0.013,526,0.351,0.05,865,0.577,0.051,93,0.062,0.051,15,0.01,0.069
SONORA,375,0.385,0.033,575,0.59,0.034,23,0.024,0.025,2,0.002,0.029,390,0.4,0.031,561,0.575,0.035,24,0.025,0.026,0,0,0,428,0.439,0.034,523,0.536,0.033,21,0.022,0.021,3,0.003,0.038,366,0.375,0.032,583,0.598,0.034,26,0.027,0.026,0,0,0,340,0.349,0.032,578,0.593,0.034,53,0.054,0.029,4,0.004,0.019
TABASCO,329,0.354,0.029,571,0.615,0.033,27,0.029,0.029,2,0.002,0.029,390,0.42,0.031,517,0.557,0.032,21,0.023,0.023,1,0.001,0.012,410,0.441,0.032,492,0.53,0.031,24,0.026,0.024,3,0.003,0.038,356,0.383,0.031,539,0.58,0.032,31,0.033,0.031,3,0.003,0.039,326,0.351,0.031,534,0.575,0.032,62,0.067,0.034,7,0.008,0.032
TAMAULIPAS,411,0.351,0.036,719,0.615,0.042,38,0.032,0.041,2,0.002,0.029,455,0.389,0.037,683,0.583,0.042,30,0.026,0.033,3,0.003,0.036,480,0.41,0.038,661,0.564,0.042,29,0.025,0.029,1,0.001,0.013,425,0.363,0.037,710,0.606,0.042,34,0.029,0.034,2,0.002,0.026,393,0.336,0.037,713,0.609,0.042,63,0.054,0.034,2,0.002,0.009
TLAXCALA,339,0.316,0.03,687,0.64,0.04,47,0.044,0.05,1,0.001,0.014,370,0.345,0.03,659,0.614,0.041,41,0.038,0.045,4,0.004,0.048,392,0.365,0.031,639,0.595,0.04,42,0.039,0.042,1,0.001,0.013,355,0.331,0.031,674,0.628,0.04,42,0.039,0.042,3,0.003,0.039,329,0.306,0.031,670,0.624,0.04,62,0.058,0.034,13,0.012,0.06
VERACRUZ,242,0.381,0.021,372,0.586,0.022,19,0.03,0.02,2,0.003,0.029,269,0.424,0.022,346,0.545,0.021,17,0.027,0.018,3,0.005,0.036,281,0.443,0.022,334,0.526,0.021,20,0.031,0.02,0,0,0,260,0.409,0.023,359,0.565,0.021,16,0.025,0.016,0,0,0,233,0.367,0.022,365,0.575,0.022,33,0.052,0.018,4,0.006,0.019
YUCATÁN,287,0.407,0.025,390,0.553,0.023,26,0.037,0.028,2,0.003,0.029,319,0.452,0.026,357,0.506,0.022,26,0.037,0.028,3,0.004,0.036,328,0.465,0.026,354,0.502,0.022,21,0.03,0.021,2,0.003,0.025,304,0.431,0.027,372,0.528,0.022,26,0.037,0.026,3,0.004,0.039,277,0.393,0.026,378,0.536,0.022,42,0.06,0.023,8,0.011,0.037
ZACATECAS,410,0.369,0.036,652,0.586,0.038,48,0.043,0.051,2,0.002,0.029,453,0.407,0.037,619,0.557,0.038,39,0.035,0.042,1,0.001,0.012,472,0.424,0.037,593,0.533,0.038,46,0.041,0.046,1,0.001,0.013,405,0.364,0.035,658,0.592,0.039,48,0.043,0.048,1,0.001,0.013,385,0.346,0.037,620,0.558,0.037,96,0.086,0.052,11,0.01,0.051
Hombre,4654,0.374,0.409,7356,0.591,0.429,397,0.032,0.424,38,0.003,0.551,4992,0.401,0.403,6976,0.561,0.433,430,0.035,0.468,47,0.004,0.566,5118,0.411,0.405,6824,0.548,0.432,458,0.037,0.46,45,0.004,0.563,4548,0.365,0.397,7412,0.596,0.437,447,0.036,0.447,38,0.003,0.494,4398,0.353,0.418,7181,0.577,0.424,768,0.062,0.418,98,0.008,0.454
Mujer,6716,0.394,0.591,9771,0.573,0.571,540,0.032,0.576,31,0.002,0.449,7392,0.433,0.597,9141,0.536,0.567,489,0.029,0.532,36,0.002,0.434,7517,0.441,0.595,8969,0.526,0.568,537,0.031,0.54,35,0.002,0.438,6898,0.404,0.603,9568,0.561,0.563,553,0.032,0.553,39,0.002,0.506,6123,0.359,0.582,9748,0.571,0.576,1069,0.063,0.582,118,0.007,0.546
18 a 20 años,90,0.395,0.008,134,0.588,0.008,4,0.018,0.004,0,0,0,92,0.404,0.007,130,0.57,0.008,6,0.026,0.007,0,0,0,97,0.425,0.008,125,0.548,0.008,6,0.026,0.006,0,0,0,91,0.399,0.008,127,0.557,0.007,10,0.044,0.01,0,0,0,87,0.382,0.008,125,0.548,0.007,15,0.066,0.008,1,0.004,0.005
21 a 30 años,1512,0.421,0.133,1973,0.549,0.115,100,0.028,0.107,7,0.002,0.101,1581,0.44,0.128,1877,0.523,0.116,125,0.035,0.136,9,0.003,0.108,1653,0.46,0.131,1832,0.51,0.116,95,0.026,0.095,12,0.003,0.15,1524,0.424,0.133,1949,0.543,0.115,108,0.03,0.108,11,0.003,0.143,1412,0.393,0.134,1982,0.552,0.117,179,0.05,0.097,19,0.005,0.088
31 a 40 años,3719,0.388,0.327,5503,0.574,0.321,342,0.036,0.365,27,0.003,0.391,3948,0.412,0.319,5282,0.551,0.328,325,0.034,0.354,36,0.004,0.434,4032,0.42,0.319,5160,0.538,0.327,373,0.039,0.375,26,0.003,0.325,3569,0.372,0.312,5628,0.587,0.331,359,0.037,0.359,35,0.004,0.455,3393,0.354,0.322,5553,0.579,0.328,573,0.06,0.312,72,0.008,0.333
41 a 50 años,3402,0.364,0.299,5611,0.6,0.328,308,0.033,0.329,23,0.002,0.333,3724,0.399,0.301,5289,0.566,0.328,305,0.033,0.332,25,0.003,0.301,3799,0.407,0.301,5201,0.557,0.329,316,0.034,0.318,27,0.003,0.338,3418,0.366,0.299,5559,0.595,0.327,341,0.036,0.341,25,0.003,0.325,3098,0.332,0.294,5546,0.594,0.328,621,0.066,0.338,78,0.008,0.361
51 a 60 años,2227,0.387,0.196,3363,0.584,0.196,158,0.027,0.169,9,0.002,0.13,2557,0.444,0.206,3056,0.531,0.19,137,0.024,0.149,8,0.001,0.096,2580,0.448,0.204,2989,0.519,0.189,177,0.031,0.178,12,0.002,0.15,2390,0.415,0.209,3213,0.558,0.189,152,0.026,0.152,3,0.001,0.039,2127,0.369,0.202,3192,0.554,0.189,402,0.07,0.219,37,0.006,0.171
61 a 70 años,401,0.426,0.035,513,0.545,0.03,24,0.026,0.026,3,0.003,0.043,461,0.49,0.037,457,0.486,0.028,18,0.019,0.02,5,0.005,0.06,454,0.482,0.036,461,0.49,0.029,23,0.024,0.023,3,0.003,0.038,433,0.46,0.038,479,0.509,0.028,26,0.028,0.026,3,0.003,0.039,387,0.411,0.037,502,0.533,0.03,43,0.046,0.023,9,0.01,0.042
71 a 80 años,19,0.38,0.002,30,0.6,0.002,1,0.02,0.001,0,0,0,21,0.42,0.002,26,0.52,0.002,3,0.06,0.003,0,0,0,20,0.4,0.002,25,0.5,0.002,5,0.1,0.005,0,0,0,21,0.42,0.002,25,0.5,0.001,4,0.08,0.004,0,0,0,17,0.34,0.002,29,0.58,0.002,4,0.08,0.002,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",225,0.325,0.02,455,0.657,0.027,12,0.017,0.013,1,0.001,0.014,253,0.365,0.02,417,0.602,0.026,21,0.03,0.023,2,0.003,0.024,255,0.368,0.02,414,0.597,0.026,20,0.029,0.02,4,0.006,0.05,231,0.333,0.02,444,0.641,0.026,16,0.023,0.016,2,0.003,0.026,238,0.343,0.023,415,0.599,0.025,37,0.053,0.02,3,0.004,0.014
Normal básica sin licenciatura,47,0.307,0.004,99,0.647,0.006,7,0.046,0.007,0,0,0,50,0.327,0.004,96,0.627,0.006,6,0.039,0.007,1,0.007,0.012,56,0.366,0.004,91,0.595,0.006,5,0.033,0.005,1,0.007,0.013,50,0.327,0.004,100,0.654,0.006,3,0.02,0.003,0,0,0,48,0.314,0.005,93,0.608,0.005,9,0.059,0.005,3,0.02,0.014
Normal superior,1598,0.369,0.141,2599,0.6,0.152,128,0.03,0.137,6,0.001,0.087,1746,0.403,0.141,2455,0.567,0.152,121,0.028,0.132,9,0.002,0.108,1787,0.413,0.141,2410,0.556,0.153,123,0.028,0.124,11,0.003,0.138,1594,0.368,0.139,2610,0.603,0.154,117,0.027,0.117,10,0.002,0.13,1461,0.337,0.139,2574,0.594,0.152,268,0.062,0.146,28,0.006,0.13
Normal Intercultural Bilingüe,4,0.267,0,11,0.733,0.001,0,0,0,0,0,0,5,0.333,0,9,0.6,0.001,1,0.067,0.001,0,0,0,4,0.267,0,11,0.733,0.001,0,0,0,0,0,0,5,0.333,0,9,0.6,0.001,1,0.067,0.001,0,0,0,4,0.267,0,9,0.6,0.001,1,0.067,0.001,1,0.067,0.005
Licenciatura,5939,0.37,0.522,9547,0.595,0.557,516,0.032,0.551,38,0.002,0.551,6558,0.409,0.53,8933,0.557,0.554,504,0.031,0.548,45,0.003,0.542,6683,0.417,0.529,8780,0.547,0.556,537,0.033,0.54,40,0.002,0.5,6043,0.377,0.528,9408,0.587,0.554,552,0.034,0.552,37,0.002,0.481,5579,0.348,0.53,9357,0.583,0.553,997,0.062,0.543,107,0.007,0.495
Especialidad,298,0.401,0.026,404,0.544,0.024,38,0.051,0.041,3,0.004,0.043,309,0.416,0.025,413,0.556,0.026,17,0.023,0.018,4,0.005,0.048,318,0.428,0.025,391,0.526,0.025,32,0.043,0.032,2,0.003,0.025,286,0.385,0.025,422,0.568,0.025,32,0.043,0.032,3,0.004,0.039,269,0.362,0.026,411,0.553,0.024,56,0.075,0.03,7,0.009,0.032
Maestría,2911,0.431,0.256,3620,0.536,0.211,207,0.031,0.221,18,0.003,0.261,3094,0.458,0.25,3424,0.507,0.212,219,0.032,0.238,19,0.003,0.229,3147,0.466,0.249,3352,0.496,0.212,237,0.035,0.238,20,0.003,0.25,2891,0.428,0.253,3602,0.533,0.212,240,0.036,0.24,23,0.003,0.299,2594,0.384,0.247,3689,0.546,0.218,416,0.062,0.226,57,0.008,0.264
Doctorado,327,0.44,0.029,385,0.517,0.022,29,0.039,0.031,3,0.004,0.043,351,0.472,0.028,361,0.485,0.022,29,0.039,0.032,3,0.004,0.036,366,0.492,0.029,337,0.453,0.021,39,0.052,0.039,2,0.003,0.025,327,0.44,0.029,376,0.505,0.022,39,0.052,0.039,2,0.003,0.026,310,0.417,0.029,372,0.5,0.022,53,0.071,0.029,9,0.012,0.042
Posdoctorado,21,0.75,0.002,7,0.25,0,0,0,0,0,0,0,18,0.643,0.001,9,0.321,0.001,1,0.036,0.001,0,0,0,19,0.679,0.002,7,0.25,0,2,0.071,0.002,0,0,0,19,0.679,0.002,9,0.321,0.001,0,0,0,0,0,0,18,0.643,0.002,9,0.321,0.001,0,0,0,1,0.036,0.005
Menor o igual a 10,3850,0.411,0.339,5209,0.556,0.304,291,0.031,0.311,26,0.003,0.377,4102,0.438,0.331,4924,0.525,0.306,322,0.034,0.35,28,0.003,0.337,4212,0.449,0.333,4834,0.516,0.306,299,0.032,0.301,31,0.003,0.388,3795,0.405,0.332,5211,0.556,0.307,336,0.036,0.336,34,0.004,0.442,3536,0.377,0.336,5201,0.555,0.307,567,0.06,0.309,72,0.008,0.333
11 a 20,4177,0.369,0.367,6749,0.596,0.394,376,0.033,0.401,23,0.002,0.333,4499,0.397,0.363,6419,0.567,0.398,377,0.033,0.41,29,0.003,0.349,4634,0.409,0.367,6266,0.553,0.397,399,0.035,0.401,25,0.002,0.313,4142,0.366,0.362,6752,0.596,0.398,406,0.036,0.406,24,0.002,0.312,3846,0.34,0.366,6685,0.59,0.395,714,0.063,0.389,79,0.007,0.366
21 a 30,3343,0.38,0.294,5169,0.587,0.302,270,0.031,0.288,20,0.002,0.29,3783,0.43,0.305,4774,0.542,0.296,220,0.025,0.239,26,0.003,0.313,3789,0.43,0.3,4693,0.533,0.297,297,0.034,0.298,24,0.003,0.3,3509,0.399,0.307,5017,0.57,0.295,258,0.029,0.258,19,0.002,0.247,3139,0.357,0.298,5043,0.573,0.298,556,0.063,0.303,65,0.007,0.301
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
