Variable,B2-A-Totalmente de acuerdo-Recuento,B2-A-Totalmente de acuerdo-% del N de fila,B2-A-Totalmente de acuerdo-% de N columnas,B2-A-De acuerdo-Recuento,B2-A-De acuerdo-% del N de fila,B2-A-De acuerdo-% de N columnas,B2-A-En desacuerdo-Recuento,B2-A-En desacuerdo-% del N de fila,B2-A-En desacuerdo-% de N columnas,B2-A-Totalmente en desacuerdo-Recuento,B2-A-Totalmente en desacuerdo-% del N de fila,B2-A-Totalmente en desacuerdo-% de N columnas,B2-B-Totalmente de acuerdo-Recuento,B2-B-Totalmente de acuerdo-% del N de fila,B2-B-Totalmente de acuerdo-% de N columnas,B2-B-De acuerdo-Recuento,B2-B-De acuerdo-% del N de fila,B2-B-De acuerdo-% de N columnas,B2-B-En desacuerdo-Recuento,B2-B-En desacuerdo-% del N de fila,B2-B-En desacuerdo-% de N columnas,B2-B-Totalmente en desacuerdo-Recuento,B2-B-Totalmente en desacuerdo-% del N de fila,B2-B-Totalmente en desacuerdo-% de N columnas,B2-C-Totalmente de acuerdo-Recuento,B2-C-Totalmente de acuerdo-% del N de fila,B2-C-Totalmente de acuerdo-% de N columnas,B2-C-De acuerdo-Recuento,B2-C-De acuerdo-% del N de fila,B2-C-De acuerdo-% de N columnas,B2-C-En desacuerdo-Recuento,B2-C-En desacuerdo-% del N de fila,B2-C-En desacuerdo-% de N columnas,B2-C-Totalmente en desacuerdo-Recuento,B2-C-Totalmente en desacuerdo-% del N de fila,B2-C-Totalmente en desacuerdo-% de N columnas,B2-D-Totalmente de acuerdo-Recuento,B2-D-Totalmente de acuerdo-% del N de fila,B2-D-Totalmente de acuerdo-% de N columnas,B2-D-De acuerdo-Recuento,B2-D-De acuerdo-% del N de fila,B2-D-De acuerdo-% de N columnas,B2-D-En desacuerdo-Recuento,B2-D-En desacuerdo-% del N de fila,B2-D-En desacuerdo-% de N columnas,B2-D-Totalmente en desacuerdo-Recuento,B2-D-Totalmente en desacuerdo-% del N de fila,B2-D-Totalmente en desacuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-En desacuerdo-Recuento,B2-E-En desacuerdo-% del N de fila,B2-E-En desacuerdo-% de N columnas,B2-E-Totalmente en desacuerdo-Recuento,B2-E-Totalmente en desacuerdo-% del N de fila,B2-E-Totalmente en desacuerdo-% de N columnas,B2-F-Totalmente de acuerdo-Recuento,B2-F-Totalmente de acuerdo-% del N de fila,B2-F-Totalmente de acuerdo-% de N columnas,B2-F-De acuerdo-Recuento,B2-F-De acuerdo-% del N de fila,B2-F-De acuerdo-% de N columnas,B2-F-En desacuerdo-Recuento,B2-F-En desacuerdo-% del N de fila,B2-F-En desacuerdo-% de N columnas,B2-F-Totalmente en desacuerdo-Recuento,B2-F-Totalmente en desacuerdo-% del N de fila,B2-F-Totalmente en desacuerdo-% de N columnas,B2-G-Totalmente de acuerdo-Recuento,B2-G-Totalmente de acuerdo-% del N de fila,B2-G-Totalmente de acuerdo-% de N columnas,B2-G-De acuerdo-Recuento,B2-G-De acuerdo-% del N de fila,B2-G-De acuerdo-% de N columnas,B2-G-En desacuerdo-Recuento,B2-G-En desacuerdo-% del N de fila,B2-G-En desacuerdo-% de N columnas,B2-G-Totalmente en desacuerdo-Recuento,B2-G-Totalmente en desacuerdo-% del N de fila,B2-G-Totalmente en desacuerdo-% de N columnas,B2-H-Totalmente de acuerdo-Recuento,B2-H-Totalmente de acuerdo-% del N de fila,B2-H-Totalmente de acuerdo-% de N columnas,B2-H-De acuerdo-Recuento,B2-H-De acuerdo-% del N de fila,B2-H-De acuerdo-% de N columnas,B2-H-En desacuerdo-Recuento,B2-H-En desacuerdo-% del N de fila,B2-H-En desacuerdo-% de N columnas,B2-H-Totalmente en desacuerdo-Recuento,B2-H-Totalmente en desacuerdo-% del N de fila,B2-H-Totalmente en desacuerdo-% de N columnas,B2-I-Totalmente de acuerdo-Recuento,B2-I-Totalmente de acuerdo-% del N de fila,B2-I-Totalmente de acuerdo-% de N columnas,B2-I-De acuerdo-Recuento,B2-I-De acuerdo-% del N de fila,B2-I-De acuerdo-% de N columnas,B2-I-En desacuerdo-Recuento,B2-I-En desacuerdo-% del N de fila,B2-I-En desacuerdo-% de N columnas,B2-I-Totalmente en desacuerdo-Recuento,B2-I-Totalmente en desacuerdo-% del N de fila,B2-I-Totalmente en desacuerdo-% de N columnas
ESTADO DE MÉXICO,247,0.497,0.039,240,0.483,0.049,9,0.018,0.058,1,0.002,0.05,234,0.471,0.039,254,0.511,0.049,9,0.018,0.05,0,0,0,240,0.483,0.041,252,0.507,0.046,5,0.01,0.05,0,0,0,214,0.431,0.04,266,0.535,0.046,17,0.034,0.062,0,0,0,240,0.483,0.039,244,0.491,0.047,12,0.024,0.066,1,0.002,0.05,200,0.402,0.042,281,0.565,0.044,16,0.032,0.057,0,0,0,209,0.421,0.041,276,0.555,0.046,11,0.022,0.035,1,0.002,0.03,224,0.451,0.044,264,0.531,0.044,9,0.018,0.038,0,0,0,228,0.459,0.041,259,0.521,0.046,10,0.02,0.047,0,0,0
GUANAJUATO,234,0.631,0.037,134,0.361,0.027,3,0.008,0.019,0,0,0,229,0.617,0.038,140,0.377,0.027,2,0.005,0.011,0,0,0,216,0.582,0.037,152,0.41,0.028,3,0.008,0.03,0,0,0,193,0.52,0.036,168,0.453,0.029,10,0.027,0.036,0,0,0,222,0.598,0.036,145,0.391,0.028,4,0.011,0.022,0,0,0,184,0.496,0.039,180,0.485,0.028,6,0.016,0.022,1,0.003,0.063,194,0.523,0.038,166,0.447,0.028,10,0.027,0.032,1,0.003,0.03,196,0.528,0.038,169,0.456,0.028,6,0.016,0.026,0,0,0,202,0.544,0.036,165,0.445,0.029,4,0.011,0.019,0,0,0
GUERRERO,12,0.6,0.002,8,0.4,0.002,0,0,0,0,0,0,10,0.5,0.002,10,0.5,0.002,0,0,0,0,0,0,10,0.5,0.002,10,0.5,0.002,0,0,0,0,0,0,8,0.4,0.001,12,0.6,0.002,0,0,0,0,0,0,11,0.55,0.002,8,0.4,0.002,1,0.05,0.005,0,0,0,6,0.3,0.001,14,0.7,0.002,0,0,0,0,0,0,8,0.4,0.002,12,0.6,0.002,0,0,0,0,0,0,10,0.5,0.002,10,0.5,0.002,0,0,0,0,0,0,10,0.5,0.002,10,0.5,0.002,0,0,0,0,0,0
HIDALGO,189,0.573,0.03,137,0.415,0.028,2,0.006,0.013,2,0.006,0.1,192,0.582,0.032,132,0.4,0.025,5,0.015,0.028,1,0.003,0.063,178,0.539,0.03,149,0.452,0.027,3,0.009,0.03,0,0,0,156,0.473,0.029,164,0.497,0.028,9,0.027,0.033,1,0.003,0.059,179,0.542,0.029,146,0.442,0.028,3,0.009,0.016,2,0.006,0.1,144,0.436,0.03,180,0.545,0.028,6,0.018,0.022,0,0,0,145,0.439,0.029,173,0.524,0.029,12,0.036,0.038,0,0,0,143,0.433,0.028,182,0.552,0.03,4,0.012,0.017,1,0.003,0.056,157,0.476,0.028,165,0.5,0.029,7,0.021,0.033,1,0.003,0.067
JALISCO,138,0.587,0.022,91,0.387,0.019,5,0.021,0.032,1,0.004,0.05,128,0.545,0.021,98,0.417,0.019,8,0.034,0.045,1,0.004,0.063,125,0.532,0.021,106,0.451,0.02,4,0.017,0.04,0,0,0,115,0.489,0.022,112,0.477,0.019,8,0.034,0.029,0,0,0,140,0.596,0.023,91,0.387,0.018,4,0.017,0.022,0,0,0,104,0.443,0.022,127,0.54,0.02,4,0.017,0.014,0,0,0,86,0.366,0.017,115,0.489,0.019,29,0.123,0.091,5,0.021,0.152,102,0.434,0.02,125,0.532,0.021,7,0.03,0.03,1,0.004,0.056,107,0.455,0.019,124,0.528,0.022,4,0.017,0.019,0,0,0
MICHOACÁN,17,0.486,0.003,17,0.486,0.003,1,0.029,0.006,0,0,0,17,0.486,0.003,18,0.514,0.003,0,0,0,0,0,0,19,0.543,0.003,16,0.457,0.003,0,0,0,0,0,0,18,0.514,0.003,17,0.486,0.003,0,0,0,0,0,0,16,0.457,0.003,18,0.514,0.004,1,0.029,0.005,0,0,0,13,0.371,0.003,21,0.6,0.003,1,0.029,0.004,0,0,0,16,0.457,0.003,19,0.543,0.003,0,0,0,0,0,0,18,0.514,0.004,17,0.486,0.003,0,0,0,0,0,0,22,0.629,0.004,13,0.371,0.002,0,0,0,0,0,0
MORELOS,205,0.571,0.032,147,0.409,0.03,6,0.017,0.039,1,0.003,0.05,187,0.521,0.031,163,0.454,0.031,9,0.025,0.05,0,0,0,178,0.496,0.03,175,0.487,0.032,5,0.014,0.05,1,0.003,0.125,172,0.479,0.032,173,0.482,0.03,13,0.036,0.047,1,0.003,0.059,191,0.532,0.031,160,0.446,0.031,7,0.019,0.038,1,0.003,0.05,155,0.432,0.033,194,0.54,0.03,10,0.028,0.036,0,0,0,161,0.448,0.032,185,0.515,0.031,10,0.028,0.032,3,0.008,0.091,166,0.462,0.032,180,0.501,0.03,11,0.031,0.047,2,0.006,0.111,180,0.501,0.033,171,0.476,0.03,7,0.019,0.033,1,0.003,0.067
NAYARIT,245,0.549,0.039,195,0.437,0.04,6,0.013,0.039,0,0,0,241,0.54,0.04,200,0.448,0.039,5,0.011,0.028,0,0,0,237,0.531,0.04,206,0.462,0.038,3,0.007,0.03,0,0,0,204,0.457,0.038,234,0.525,0.04,8,0.018,0.029,0,0,0,228,0.511,0.037,214,0.48,0.042,4,0.009,0.022,0,0,0,159,0.357,0.033,267,0.599,0.042,19,0.043,0.068,1,0.002,0.063,207,0.464,0.041,230,0.516,0.038,8,0.018,0.025,1,0.002,0.03,193,0.433,0.038,245,0.549,0.04,8,0.018,0.034,0,0,0,222,0.498,0.04,219,0.491,0.039,4,0.009,0.019,1,0.002,0.067
NUEVO LEÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUEBLA,195,0.496,0.031,195,0.496,0.04,3,0.008,0.019,0,0,0,205,0.522,0.034,185,0.471,0.036,3,0.008,0.017,0,0,0,202,0.514,0.034,184,0.468,0.034,6,0.015,0.059,1,0.003,0.125,192,0.489,0.036,193,0.491,0.033,7,0.018,0.025,1,0.003,0.059,229,0.583,0.038,156,0.397,0.03,8,0.02,0.044,0,0,0,165,0.42,0.035,223,0.567,0.035,4,0.01,0.014,1,0.003,0.063,177,0.45,0.035,204,0.519,0.034,11,0.028,0.035,1,0.003,0.03,182,0.463,0.036,204,0.519,0.034,7,0.018,0.03,0,0,0,185,0.471,0.033,205,0.522,0.036,3,0.008,0.014,0,0,0
QUERÉTARO,281,0.546,0.044,228,0.443,0.046,6,0.012,0.039,0,0,0,283,0.55,0.047,223,0.433,0.043,9,0.017,0.05,0,0,0,269,0.522,0.046,242,0.47,0.045,4,0.008,0.04,0,0,0,240,0.466,0.045,261,0.507,0.045,14,0.027,0.051,0,0,0,278,0.54,0.046,231,0.449,0.045,6,0.012,0.033,0,0,0,219,0.425,0.046,285,0.553,0.045,10,0.019,0.036,1,0.002,0.063,242,0.47,0.048,262,0.509,0.044,10,0.019,0.032,1,0.002,0.03,240,0.466,0.047,269,0.522,0.044,5,0.01,0.021,1,0.002,0.056,256,0.497,0.046,247,0.48,0.044,12,0.023,0.056,0,0,0
QUINTANA ROO,262,0.566,0.041,197,0.425,0.04,4,0.009,0.026,0,0,0,249,0.538,0.041,212,0.458,0.041,2,0.004,0.011,0,0,0,250,0.54,0.042,211,0.456,0.039,2,0.004,0.02,0,0,0,243,0.525,0.046,214,0.462,0.037,6,0.013,0.022,0,0,0,261,0.564,0.043,200,0.432,0.039,2,0.004,0.011,0,0,0,202,0.436,0.042,253,0.546,0.04,8,0.017,0.029,0,0,0,214,0.462,0.042,240,0.518,0.04,7,0.015,0.022,2,0.004,0.061,214,0.462,0.042,241,0.521,0.04,8,0.017,0.034,0,0,0,242,0.523,0.044,215,0.464,0.038,5,0.011,0.023,1,0.002,0.067
SAN LUIS POTOSÍ,203,0.531,0.032,172,0.45,0.035,7,0.018,0.045,0,0,0,205,0.537,0.034,177,0.463,0.034,0,0,0,0,0,0,190,0.497,0.032,192,0.503,0.035,0,0,0,0,0,0,168,0.44,0.031,205,0.537,0.035,9,0.024,0.033,0,0,0,200,0.524,0.033,174,0.455,0.034,8,0.021,0.044,0,0,0,144,0.377,0.03,229,0.599,0.036,9,0.024,0.032,0,0,0,159,0.416,0.031,215,0.563,0.036,8,0.021,0.025,0,0,0,165,0.432,0.032,207,0.542,0.034,10,0.026,0.043,0,0,0,187,0.49,0.034,183,0.479,0.032,12,0.031,0.056,0,0,0
SINALOA,340,0.606,0.054,211,0.376,0.043,10,0.018,0.065,0,0,0,353,0.629,0.058,198,0.353,0.038,9,0.016,0.05,1,0.002,0.063,322,0.574,0.055,234,0.417,0.043,4,0.007,0.04,1,0.002,0.125,298,0.531,0.056,249,0.444,0.043,12,0.021,0.043,2,0.004,0.118,337,0.601,0.055,217,0.387,0.042,6,0.011,0.033,1,0.002,0.05,252,0.449,0.053,290,0.517,0.045,17,0.03,0.061,2,0.004,0.125,276,0.492,0.054,258,0.46,0.043,23,0.041,0.073,4,0.007,0.121,290,0.517,0.057,253,0.451,0.042,17,0.03,0.073,1,0.002,0.056,318,0.567,0.057,232,0.414,0.041,10,0.018,0.047,1,0.002,0.067
SONORA,186,0.571,0.029,135,0.414,0.027,3,0.009,0.019,2,0.006,0.1,186,0.571,0.031,137,0.42,0.026,2,0.006,0.011,1,0.003,0.063,182,0.558,0.031,142,0.436,0.026,2,0.006,0.02,0,0,0,158,0.485,0.03,162,0.497,0.028,6,0.018,0.022,0,0,0,173,0.531,0.028,150,0.46,0.029,2,0.006,0.011,1,0.003,0.05,144,0.442,0.03,172,0.528,0.027,10,0.031,0.036,0,0,0,165,0.506,0.033,151,0.463,0.025,10,0.031,0.032,0,0,0,160,0.491,0.031,159,0.488,0.026,7,0.021,0.03,0,0,0,168,0.515,0.03,151,0.463,0.027,7,0.021,0.033,0,0,0
TABASCO,220,0.561,0.035,165,0.421,0.034,6,0.015,0.039,1,0.003,0.05,208,0.531,0.034,174,0.444,0.034,8,0.02,0.045,2,0.005,0.125,188,0.48,0.032,200,0.51,0.037,3,0.008,0.03,1,0.003,0.125,200,0.51,0.037,184,0.469,0.032,7,0.018,0.025,1,0.003,0.059,198,0.505,0.033,183,0.467,0.036,9,0.023,0.049,2,0.005,0.1,157,0.401,0.033,222,0.566,0.035,12,0.031,0.043,1,0.003,0.063,167,0.426,0.033,212,0.541,0.035,12,0.031,0.038,1,0.003,0.03,178,0.454,0.035,204,0.52,0.034,9,0.023,0.038,1,0.003,0.056,197,0.503,0.036,185,0.472,0.033,9,0.023,0.042,1,0.003,0.067
TAMAULIPAS,236,0.549,0.037,188,0.437,0.038,6,0.014,0.039,0,0,0,210,0.488,0.035,213,0.495,0.041,6,0.014,0.034,1,0.002,0.063,200,0.465,0.034,227,0.528,0.042,3,0.007,0.03,0,0,0,185,0.43,0.035,239,0.556,0.041,6,0.014,0.022,0,0,0,208,0.484,0.034,213,0.495,0.041,8,0.019,0.044,1,0.002,0.05,169,0.393,0.036,250,0.581,0.039,11,0.026,0.039,0,0,0,180,0.419,0.035,243,0.565,0.04,7,0.016,0.022,0,0,0,176,0.409,0.034,248,0.577,0.041,5,0.012,0.021,1,0.002,0.056,193,0.449,0.035,225,0.523,0.04,12,0.028,0.056,0,0,0
