Variable,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas,B5-F-Muy adecuado-Recuento,B5-F-Muy adecuado-% del N de fila,B5-F-Muy adecuado-% de N columnas,B5-F-Adecuado-Recuento,B5-F-Adecuado-% del N de fila,B5-F-Adecuado-% de N columnas,B5-F-Poco adecuado-Recuento,B5-F-Poco adecuado-% del N de fila,B5-F-Poco adecuado-% de N columnas,B5-F-Nada adecuado-Recuento,B5-F-Nada adecuado-% del N de fila,B5-F-Nada adecuado-% de N columnas,B5-G-Muy adecuado-Recuento,B5-G-Muy adecuado-% del N de fila,B5-G-Muy adecuado-% de N columnas,B5-G-Adecuado-Recuento,B5-G-Adecuado-% del N de fila,B5-G-Adecuado-% de N columnas,B5-G-Poco adecuado-Recuento,B5-G-Poco adecuado-% del N de fila,B5-G-Poco adecuado-% de N columnas,B5-G-Nada adecuado-Recuento,B5-G-Nada adecuado-% del N de fila,B5-G-Nada adecuado-% de N columnas,B5-H-Muy adecuado-Recuento,B5-H-Muy adecuado-% del N de fila,B5-H-Muy adecuado-% de N columnas,B5-H-Adecuado-Recuento,B5-H-Adecuado-% del N de fila,B5-H-Adecuado-% de N columnas,B5-H-Poco adecuado-Recuento,B5-H-Poco adecuado-% del N de fila,B5-H-Poco adecuado-% de N columnas,B5-H-Nada adecuado-Recuento,B5-H-Nada adecuado-% del N de fila,B5-H-Nada adecuado-% de N columnas
ESTADO DE MÉXICO,170,0.34,0.05,290,0.58,0.04,35,0.07,0.04,2,0,0.05,150,0.3,0.04,312,0.63,0.05,34,0.07,0.05,1,0,0.03,180,0.36,0.04,252,0.51,0.04,54,0.11,0.04,11,0.02,0.05,193,0.39,0.04,281,0.57,0.05,21,0.04,0.03,2,0,0.03,189,0.38,0.04,269,0.54,0.04,33,0.07,0.04,6,0.01,0.06,188,0.38,0.04,282,0.57,0.05,21,0.04,0.04,6,0.01,0.07,176,0.35,0.04,290,0.58,0.05,27,0.05,0.04,4,0.01,0.06,159,0.32,0.05,290,0.58,0.04,45,0.09,0.05,3,0.01,0.03
GUANAJUATO,150,0.4,0.04,206,0.56,0.03,15,0.04,0.02,0,0,0,145,0.39,0.04,215,0.58,0.03,11,0.03,0.02,0,0,0,160,0.43,0.04,170,0.46,0.03,36,0.1,0.03,5,0.01,0.02,163,0.44,0.04,192,0.52,0.03,16,0.04,0.02,0,0,0,162,0.44,0.04,188,0.51,0.03,20,0.05,0.02,1,0,0.01,167,0.45,0.04,194,0.52,0.03,9,0.02,0.02,1,0,0.01,155,0.42,0.04,204,0.55,0.03,12,0.03,0.02,0,0,0,130,0.35,0.04,215,0.58,0.03,24,0.07,0.02,2,0.01,0.02
GUERRERO,3,0.15,0,16,0.8,0,1,0.05,0,0,0,0,7,0.35,0,13,0.65,0,0,0,0,0,0,0,2,0.1,0,14,0.7,0,3,0.15,0,1,0.05,0,7,0.35,0,12,0.6,0,1,0.05,0,0,0,0,6,0.3,0,11,0.55,0,2,0.1,0,1,0.05,0.01,9,0.45,0,10,0.5,0,0,0,0,1,0.05,0.01,5,0.25,0,12,0.6,0,3,0.15,0,0,0,0,4,0.2,0,14,0.7,0,2,0.1,0,0,0,0
HIDALGO,126,0.38,0.03,177,0.54,0.03,26,0.08,0.03,1,0,0.02,119,0.36,0.03,192,0.58,0.03,18,0.06,0.03,1,0,0.03,125,0.38,0.03,158,0.48,0.03,36,0.11,0.03,11,0.03,0.05,143,0.43,0.03,161,0.49,0.03,26,0.08,0.04,0,0,0,131,0.4,0.03,166,0.5,0.03,30,0.09,0.04,3,0.01,0.03,131,0.4,0.03,175,0.53,0.03,20,0.06,0.03,4,0.01,0.05,128,0.39,0.03,178,0.54,0.03,20,0.06,0.03,4,0.01,0.06,102,0.31,0.03,194,0.59,0.03,29,0.09,0.03,5,0.02,0.05
JALISCO,92,0.39,0.02,119,0.51,0.02,24,0.1,0.03,0,0,0,90,0.38,0.02,125,0.53,0.02,19,0.08,0.03,1,0,0.03,95,0.4,0.02,108,0.46,0.02,29,0.12,0.02,3,0.01,0.01,113,0.48,0.03,100,0.43,0.02,21,0.09,0.03,1,0,0.02,101,0.43,0.02,113,0.48,0.02,19,0.08,0.02,2,0.01,0.02,110,0.47,0.02,110,0.47,0.02,12,0.05,0.02,3,0.01,0.04,97,0.41,0.02,119,0.51,0.02,18,0.08,0.03,1,0,0.02,81,0.35,0.02,128,0.55,0.02,24,0.1,0.02,2,0.01,0.02
MICHOACÁN,6,0.17,0,29,0.83,0,0,0,0,0,0,0,13,0.37,0,21,0.6,0,1,0.03,0,0,0,0,13,0.37,0,14,0.4,0,8,0.23,0.01,0,0,0,15,0.43,0,19,0.54,0,1,0.03,0,0,0,0,14,0.4,0,21,0.6,0,0,0,0,0,0,0,11,0.31,0,24,0.69,0,0,0,0,0,0,0,11,0.31,0,24,0.69,0,0,0,0,0,0,0,10,0.29,0,22,0.63,0,2,0.06,0,1,0.03,0.01
MORELOS,110,0.31,0.03,218,0.61,0.03,29,0.08,0.04,2,0.01,0.05,103,0.29,0.03,220,0.61,0.03,34,0.1,0.05,2,0.01,0.05,131,0.37,0.03,172,0.48,0.03,46,0.13,0.04,10,0.03,0.04,128,0.36,0.03,194,0.54,0.03,33,0.09,0.05,4,0.01,0.06,143,0.4,0.03,186,0.52,0.03,24,0.07,0.03,6,0.02,0.06,141,0.39,0.03,195,0.54,0.03,23,0.06,0.04,0,0,0,137,0.38,0.03,193,0.54,0.03,27,0.08,0.04,2,0.01,0.03,117,0.33,0.03,210,0.59,0.03,28,0.08,0.03,4,0.01,0.04
NAYARIT,135,0.3,0.04,269,0.6,0.04,40,0.09,0.05,2,0,0.05,135,0.3,0.04,280,0.63,0.04,27,0.06,0.04,4,0.01,0.1,143,0.32,0.04,247,0.55,0.04,45,0.1,0.04,11,0.03,0.05,178,0.4,0.04,234,0.53,0.04,29,0.07,0.04,5,0.01,0.08,159,0.36,0.04,247,0.55,0.04,34,0.08,0.04,6,0.01,0.06,172,0.39,0.04,250,0.56,0.04,18,0.04,0.03,6,0.01,0.07,149,0.33,0.04,268,0.6,0.04,26,0.06,0.04,3,0.01,0.05,124,0.28,0.04,273,0.61,0.04,43,0.1,0.04,6,0.01,0.06
NUEVO LEÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUEBLA,136,0.35,0.04,237,0.6,0.04,20,0.05,0.02,0,0,0,128,0.33,0.03,245,0.62,0.04,20,0.05,0.03,0,0,0,145,0.37,0.04,204,0.52,0.04,42,0.11,0.03,2,0.01,0.01,170,0.43,0.04,208,0.53,0.03,15,0.04,0.02,0,0,0,150,0.38,0.04,219,0.56,0.04,24,0.06,0.03,0,0,0,179,0.46,0.04,197,0.5,0.03,17,0.04,0.03,0,0,0,161,0.41,0.04,217,0.55,0.03,15,0.04,0.02,0,0,0,124,0.32,0.04,235,0.6,0.04,33,0.08,0.03,1,0,0.01
QUERÉTARO,144,0.28,0.04,322,0.63,0.05,48,0.09,0.06,1,0,0.02,146,0.28,0.04,334,0.65,0.05,34,0.07,0.05,1,0,0.03,176,0.34,0.04,260,0.51,0.04,67,0.13,0.05,12,0.02,0.05,192,0.37,0.04,285,0.55,0.05,37,0.07,0.05,1,0,0.02,189,0.37,0.04,274,0.53,0.05,46,0.09,0.06,6,0.01,0.06,196,0.38,0.04,283,0.55,0.05,32,0.06,0.06,4,0.01,0.05,169,0.33,0.04,304,0.59,0.05,36,0.07,0.05,6,0.01,0.1,137,0.27,0.04,320,0.62,0.05,53,0.1,0.05,5,0.01,0.05
QUINTANA ROO,150,0.32,0.04,282,0.61,0.04,28,0.06,0.03,3,0.01,0.07,147,0.32,0.04,291,0.63,0.04,21,0.05,0.03,4,0.01,0.1,169,0.37,0.04,244,0.53,0.04,45,0.1,0.04,5,0.01,0.02,198,0.43,0.04,235,0.51,0.04,28,0.06,0.04,2,0,0.03,188,0.41,0.04,244,0.53,0.04,29,0.06,0.03,2,0,0.02,217,0.47,0.05,226,0.49,0.04,18,0.04,0.03,2,0,0.02,181,0.39,0.04,259,0.56,0.04,19,0.04,0.03,4,0.01,0.06,159,0.34,0.05,268,0.58,0.04,33,0.07,0.03,3,0.01,0.03
SAN LUIS POTOSÍ,103,0.27,0.03,244,0.64,0.04,35,0.09,0.04,0,0,0,105,0.28,0.03,249,0.65,0.04,28,0.07,0.04,0,0,0,106,0.28,0.03,220,0.58,0.04,48,0.13,0.04,8,0.02,0.03,132,0.35,0.03,220,0.58,0.04,29,0.08,0.04,1,0,0.02,116,0.3,0.03,234,0.61,0.04,30,0.08,0.04,2,0.01,0.02,148,0.39,0.03,206,0.54,0.03,28,0.07,0.05,0,0,0,137,0.36,0.03,218,0.57,0.03,26,0.07,0.04,1,0,0.02,109,0.29,0.03,238,0.62,0.04,30,0.08,0.03,5,0.01,0.05
SINALOA,259,0.46,0.07,269,0.48,0.04,32,0.06,0.04,1,0,0.02,242,0.43,0.07,293,0.52,0.04,26,0.05,0.04,0,0,0,261,0.47,0.06,255,0.46,0.04,42,0.08,0.03,3,0.01,0.01,292,0.52,0.06,246,0.44,0.04,21,0.04,0.03,2,0,0.03,282,0.5,0.07,250,0.45,0.04,29,0.05,0.03,0,0,0,282,0.5,0.06,252,0.45,0.04,26,0.05,0.05,1,0,0.01,262,0.47,0.06,272,0.49,0.04,27,0.05,0.04,0,0,0,222,0.4,0.06,297,0.53,0.04,41,0.07,0.04,1,0,0.01
SONORA,134,0.41,0.04,169,0.52,0.03,22,0.07,0.03,1,0,0.02,136,0.42,0.04,168,0.52,0.02,20,0.06,0.03,2,0.01,0.05,130,0.4,0.03,159,0.49,0.03,29,0.09,0.02,8,0.03,0.03,149,0.46,0.03,156,0.48,0.03,19,0.06,0.03,2,0.01,0.03,141,0.43,0.03,164,0.5,0.03,17,0.05,0.02,4,0.01,0.04,157,0.48,0.03,153,0.47,0.03,14,0.04,0.02,2,0.01,0.02,145,0.45,0.04,159,0.49,0.03,20,0.06,0.03,2,0.01,0.03,125,0.38,0.04,172,0.53,0.03,24,0.07,0.02,5,0.02,0.05
TABASCO,121,0.31,0.03,227,0.58,0.03,42,0.11,0.05,2,0.01,0.05,126,0.32,0.03,242,0.62,0.04,23,0.06,0.03,1,0,0.03,118,0.3,0.03,205,0.52,0.04,56,0.14,0.05,13,0.03,0.06,140,0.36,0.03,212,0.54,0.04,35,0.09,0.05,5,0.01,0.08,138,0.35,0.03,214,0.55,0.04,38,0.1,0.05,2,0.01,0.02,171,0.44,0.04,199,0.51,0.03,16,0.04,0.03,6,0.02,0.07,137,0.35,0.03,230,0.59,0.04,23,0.06,0.03,2,0.01,0.03,112,0.29,0.03,229,0.58,0.03,46,0.12,0.05,5,0.01,0.05
TAMAULIPAS,134,0.31,0.04,277,0.64,0.04,19,0.04,0.02,0,0,0,132,0.31,0.04,275,0.64,0.04,22,0.05,0.03,1,0,0.03,151,0.35,0.04,232,0.54,0.04,40,0.09,0.03,7,0.02,0.03,152,0.35,0.03,252,0.59,0.04,24,0.06,0.03,1,0,0.02,171,0.4,0.04,225,0.52,0.04,34,0.08,0.04,0,0,0,173,0.4,0.04,236,0.55,0.04,18,0.04,0.03,3,0.01,0.04,146,0.34,0.04,253,0.59,0.04,29,0.07,0.04,2,0.01,0.03,135,0.31,0.04,257,0.6,0.04,38,0.09,0.04,0,0,0
TLAXCALA,107,0.32,0.03,207,0.62,0.03,18,0.05,0.02,0,0,0,96,0.29,0.03,219,0.66,0.03,16,0.05,0.02,1,0,0.03,113,0.34,0.03,177,0.53,0.03,36,0.11,0.03,6,0.02,0.03,133,0.4,0.03,184,0.55,0.03,15,0.05,0.02,0,0,0,125,0.38,0.03,183,0.55,0.03,23,0.07,0.03,1,0,0.01,119,0.36,0.03,194,0.58,0.03,17,0.05,0.03,2,0.01,0.02,122,0.37,0.03,192,0.58,0.03,17,0.05,0.02,1,0,0.02,97,0.29,0.03,210,0.63,0.03,22,0.07,0.02,3,0.01,0.03
VERACRUZ,38,0.3,0.01,83,0.66,0.01,5,0.04,0.01,0,0,0,38,0.3,0.01,84,0.67,0.01,4,0.03,0.01,0,0,0,49,0.39,0.01,63,0.5,0.01,12,0.1,0.01,2,0.02,0.01,44,0.35,0.01,74,0.59,0.01,8,0.06,0.01,0,0,0,45,0.36,0.01,76,0.6,0.01,4,0.03,0.01,1,0.01,0.01,45,0.36,0.01,75,0.6,0.01,6,0.05,0.01,0,0,0,35,0.28,0.01,82,0.65,0.01,7,0.06,0.01,2,0.02,0.03,29,0.23,0.01,86,0.68,0.01,10,0.08,0.01,1,0.01,0.01
YUCATÁN,101,0.39,0.03,144,0.55,0.02,13,0.05,0.02,2,0.01,0.05,93,0.36,0.03,155,0.6,0.02,11,0.04,0.02,1,0,0.03,95,0.37,0.02,128,0.49,0.02,32,0.12,0.03,5,0.02,0.02,109,0.42,0.02,134,0.52,0.02,14,0.05,0.02,3,0.01,0.05,97,0.37,0.02,141,0.54,0.02,19,0.07,0.02,3,0.01,0.03,107,0.41,0.02,144,0.55,0.02,7,0.03,0.01,2,0.01,0.02,102,0.39,0.02,139,0.54,0.02,17,0.07,0.02,2,0.01,0.03,81,0.31,0.02,158,0.61,0.02,18,0.07,0.02,3,0.01,0.03
ZACATECAS,218,0.3,0.06,463,0.63,0.07,51,0.07,0.06,7,0.01,0.17,223,0.3,0.06,467,0.63,0.07,43,0.06,0.06,6,0.01,0.15,228,0.31,0.06,416,0.56,0.07,78,0.11,0.06,17,0.02,0.07,266,0.36,0.06,414,0.56,0.07,48,0.07,0.07,11,0.02,0.16,251,0.34,0.06,417,0.56,0.07,60,0.08,0.07,11,0.02,0.11,269,0.36,0.06,417,0.56,0.07,44,0.06,0.08,9,0.01,0.11,231,0.31,0.06,437,0.59,0.07,61,0.08,0.09,10,0.01,0.16,190,0.26,0.05,458,0.62,0.07,82,0.11,0.08,9,0.01,0.09
Hombre,1098,0.32,0.29,2086,0.61,0.31,241,0.07,0.29,13,0,0.31,1104,0.32,0.29,2122,0.62,0.31,203,0.06,0.3,9,0,0.23,1163,0.34,0.29,1842,0.54,0.31,353,0.1,0.28,80,0.02,0.34,1328,0.39,0.29,1878,0.55,0.31,212,0.06,0.3,19,0.01,0.28,1237,0.36,0.29,1938,0.56,0.32,231,0.07,0.27,32,0.01,0.32,1390,0.4,0.3,1854,0.54,0.3,169,0.05,0.29,25,0.01,0.3,1242,0.36,0.3,1986,0.58,0.31,194,0.06,0.28,16,0.01,0.25,1075,0.31,0.3,2074,0.6,0.31,254,0.07,0.25,35,0.01,0.35
Mujer,2695,0.34,0.71,4685,0.59,0.69,582,0.07,0.71,29,0,0.69,2647,0.33,0.71,4828,0.6,0.7,486,0.06,0.71,30,0,0.77,2917,0.37,0.72,4025,0.5,0.69,895,0.11,0.72,154,0.02,0.66,3215,0.4,0.71,4229,0.53,0.69,499,0.06,0.7,48,0.01,0.72,3106,0.39,0.72,4206,0.53,0.69,611,0.08,0.73,68,0.01,0.68,3282,0.41,0.7,4238,0.53,0.7,413,0.05,0.71,58,0.01,0.7,2941,0.37,0.7,4499,0.56,0.69,504,0.06,0.72,47,0.01,0.75,2486,0.31,0.7,4693,0.59,0.69,747,0.09,0.75,65,0.01,0.65
