Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas
ESTADO DE MÉXICO,1021,0.87,0.04,156,0.13,0.03,1061,0.9,0.04,116,0.1,0.03,1046,0.89,0.04,131,0.11,0.03,767,0.65,0.04,410,0.35,0.04,1076,0.91,0.04,101,0.09,0.04,1110,0.94,0.04,67,0.06,0.03,929,0.79,0.04,248,0.21,0.03,829,0.7,0.04,348,0.3,0.04,1006,0.86,0.04,171,0.15,0.04
GUANAJUATO,1378,0.81,0.06,333,0.2,0.06,1521,0.89,0.06,191,0.11,0.05,1468,0.86,0.06,244,0.14,0.05,1024,0.6,0.06,687,0.4,0.06,1580,0.92,0.06,131,0.08,0.05,1558,0.91,0.06,154,0.09,0.06,1283,0.75,0.06,428,0.25,0.06,1181,0.69,0.06,530,0.31,0.06,1469,0.86,0.06,242,0.14,0.06
GUERRERO,215,0.86,0.01,35,0.14,0.01,219,0.88,0.01,31,0.12,0.01,213,0.85,0.01,37,0.15,0.01,167,0.67,0.01,83,0.33,0.01,228,0.91,0.01,22,0.09,0.01,236,0.94,0.01,14,0.06,0.01,195,0.78,0.01,55,0.22,0.01,182,0.73,0.01,68,0.27,0.01,214,0.86,0.01,36,0.14,0.01
HIDALGO,899,0.86,0.04,142,0.14,0.03,936,0.9,0.04,104,0.1,0.02,918,0.88,0.04,122,0.12,0.03,715,0.69,0.04,325,0.31,0.03,982,0.94,0.04,58,0.06,0.02,974,0.94,0.04,66,0.06,0.03,802,0.77,0.04,238,0.23,0.03,721,0.69,0.04,319,0.31,0.03,899,0.86,0.04,141,0.14,0.03
JALISCO,1056,0.84,0.04,202,0.16,0.04,1094,0.87,0.04,164,0.13,0.04,1051,0.84,0.04,207,0.17,0.04,729,0.58,0.04,529,0.42,0.05,1156,0.92,0.04,102,0.08,0.04,1132,0.9,0.04,126,0.1,0.05,966,0.77,0.04,292,0.23,0.04,863,0.69,0.04,395,0.31,0.04,1097,0.87,0.04,161,0.13,0.04
MICHOACÁN,9,0.82,0,2,0.18,0,8,0.73,0,3,0.27,0,7,0.64,0,4,0.36,0,8,0.73,0,3,0.27,0,9,0.82,0,2,0.18,0,10,0.91,0,1,0.09,0,7,0.64,0,4,0.36,0,8,0.73,0,3,0.27,0,9,0.82,0,2,0.18,0
MORELOS,1247,0.83,0.05,261,0.17,0.05,1300,0.86,0.05,210,0.14,0.05,1261,0.84,0.05,249,0.17,0.05,918,0.61,0.05,591,0.39,0.05,1401,0.93,0.05,109,0.07,0.04,1401,0.93,0.05,108,0.07,0.04,1153,0.76,0.05,357,0.24,0.05,1038,0.69,0.05,472,0.31,0.05,1300,0.86,0.05,210,0.14,0.05
NAYARIT,514,0.8,0.02,131,0.2,0.02,540,0.84,0.02,105,0.16,0.03,524,0.81,0.02,121,0.19,0.03,376,0.58,0.02,269,0.42,0.02,566,0.88,0.02,79,0.12,0.03,572,0.89,0.02,73,0.11,0.03,453,0.7,0.02,192,0.3,0.03,433,0.67,0.02,212,0.33,0.02,551,0.85,0.02,94,0.15,0.02
NUEVO LEÓN,88,0.85,0,15,0.15,0,86,0.84,0,17,0.17,0,87,0.85,0,16,0.16,0,69,0.67,0,34,0.33,0,97,0.94,0,6,0.06,0,95,0.92,0,8,0.08,0,90,0.87,0,13,0.13,0,81,0.79,0,22,0.21,0,92,0.89,0,11,0.11,0
PUEBLA,782,0.88,0.03,111,0.12,0.02,798,0.89,0.03,95,0.11,0.02,762,0.85,0.03,131,0.15,0.03,537,0.6,0.03,356,0.4,0.03,850,0.95,0.03,43,0.05,0.02,833,0.93,0.03,60,0.07,0.02,704,0.79,0.03,189,0.21,0.03,582,0.65,0.03,311,0.35,0.03,766,0.86,0.03,127,0.14,0.03
QUERÉTARO,1116,0.75,0.05,374,0.25,0.07,1269,0.85,0.05,221,0.15,0.05,1226,0.82,0.05,264,0.18,0.05,853,0.57,0.05,637,0.43,0.06,1390,0.93,0.05,100,0.07,0.04,1356,0.91,0.05,134,0.09,0.05,1082,0.73,0.05,408,0.27,0.06,963,0.65,0.05,527,0.35,0.06,1233,0.83,0.05,257,0.17,0.06
QUINTANA ROO,1115,0.82,0.05,248,0.18,0.05,1168,0.86,0.05,195,0.14,0.05,1150,0.84,0.05,213,0.16,0.04,915,0.67,0.05,449,0.33,0.04,1260,0.92,0.05,103,0.08,0.04,1227,0.9,0.05,136,0.1,0.05,1000,0.73,0.05,363,0.27,0.05,940,0.69,0.05,423,0.31,0.04,1141,0.84,0.05,222,0.16,0.05
SAN LUIS POTOSÍ,656,0.84,0.03,130,0.17,0.02,680,0.87,0.03,106,0.14,0.03,641,0.82,0.03,145,0.18,0.03,500,0.64,0.03,286,0.36,0.03,706,0.9,0.03,80,0.1,0.03,728,0.93,0.03,58,0.07,0.02,563,0.72,0.03,223,0.28,0.03,515,0.66,0.03,271,0.35,0.03,664,0.85,0.03,122,0.16,0.03
SINALOA,1216,0.81,0.05,280,0.19,0.05,1244,0.83,0.05,252,0.17,0.06,1219,0.82,0.05,277,0.19,0.06,910,0.61,0.05,586,0.39,0.05,1354,0.91,0.05,142,0.1,0.06,1352,0.9,0.05,144,0.1,0.06,1129,0.76,0.05,367,0.25,0.05,1035,0.69,0.05,461,0.31,0.05,1298,0.87,0.05,198,0.13,0.05
SONORA,774,0.8,0.03,198,0.2,0.04,821,0.85,0.03,151,0.16,0.04,798,0.82,0.03,174,0.18,0.04,569,0.59,0.03,403,0.42,0.04,876,0.9,0.03,96,0.1,0.04,889,0.92,0.03,83,0.09,0.03,670,0.69,0.03,302,0.31,0.04,658,0.68,0.03,314,0.32,0.03,833,0.86,0.03,139,0.14,0.03
TABASCO,763,0.82,0.03,166,0.18,0.03,800,0.86,0.03,129,0.14,0.03,791,0.85,0.03,138,0.15,0.03,635,0.68,0.04,294,0.32,0.03,873,0.94,0.03,56,0.06,0.02,869,0.94,0.03,60,0.07,0.02,711,0.77,0.03,218,0.24,0.03,627,0.68,0.03,302,0.33,0.03,772,0.83,0.03,157,0.17,0.04
TAMAULIPAS,964,0.82,0.04,209,0.18,0.04,986,0.84,0.04,188,0.16,0.04,959,0.82,0.04,215,0.18,0.04,755,0.64,0.04,419,0.36,0.04,1007,0.86,0.04,166,0.14,0.06,1051,0.9,0.04,122,0.1,0.05,821,0.7,0.04,351,0.3,0.05,819,0.7,0.04,354,0.3,0.04,1007,0.86,0.04,165,0.14,0.04
TLAXCALA,882,0.82,0.04,190,0.18,0.04,951,0.89,0.04,121,0.11,0.03,922,0.86,0.04,150,0.14,0.03,622,0.58,0.03,450,0.42,0.04,971,0.91,0.04,101,0.09,0.04,965,0.9,0.04,107,0.1,0.04,810,0.76,0.04,262,0.24,0.04,717,0.67,0.04,355,0.33,0.04,913,0.85,0.04,159,0.15,0.04
VERACRUZ,515,0.81,0.02,118,0.19,0.02,566,0.89,0.02,67,0.11,0.02,551,0.87,0.02,82,0.13,0.02,399,0.63,0.02,234,0.37,0.02,571,0.9,0.02,62,0.1,0.02,589,0.93,0.02,44,0.07,0.02,478,0.76,0.02,155,0.25,0.02,414,0.65,0.02,219,0.35,0.02,540,0.85,0.02,93,0.15,0.02
YUCATÁN,539,0.76,0.02,168,0.24,0.03,569,0.81,0.02,138,0.2,0.03,555,0.79,0.02,152,0.22,0.03,442,0.63,0.02,265,0.38,0.02,634,0.9,0.02,73,0.1,0.03,630,0.89,0.02,77,0.11,0.03,505,0.71,0.02,202,0.29,0.03,444,0.63,0.02,262,0.37,0.03,583,0.83,0.02,124,0.18,0.03
ZACATECAS,825,0.74,0.03,286,0.26,0.05,870,0.78,0.03,241,0.22,0.06,846,0.76,0.03,265,0.24,0.05,667,0.6,0.04,444,0.4,0.04,978,0.88,0.04,133,0.12,0.05,1003,0.9,0.04,108,0.1,0.04,813,0.73,0.04,298,0.27,0.04,705,0.64,0.04,406,0.37,0.04,878,0.79,0.04,233,0.21,0.05
Hombre,9852,0.79,0.41,2580,0.21,0.47,10603,0.85,0.42,1831,0.15,0.43,10371,0.83,0.42,2063,0.17,0.42,7616,0.61,0.42,4817,0.39,0.42,11184,0.9,0.42,1249,0.1,0.48,11186,0.9,0.42,1245,0.1,0.48,9185,0.74,0.42,3248,0.26,0.44,8514,0.69,0.43,3918,0.32,0.41,10337,0.83,0.41,2095,0.17,0.47
Mujer,14141,0.83,0.59,2899,0.17,0.53,14618,0.86,0.58,2423,0.14,0.57,14175,0.83,0.58,2866,0.17,0.58,10495,0.62,0.58,6546,0.38,0.58,15691,0.92,0.58,1349,0.08,0.52,15698,0.92,0.58,1342,0.08,0.52,12843,0.75,0.58,4195,0.25,0.56,11445,0.67,0.57,5594,0.33,0.59,14703,0.86,0.59,2336,0.14,0.53
18 a 20 años,182,0.8,0.01,47,0.21,0.01,197,0.86,0.01,32,0.14,0.01,192,0.84,0.01,37,0.16,0.01,161,0.7,0.01,68,0.3,0.01,206,0.9,0.01,23,0.1,0.01,210,0.92,0.01,19,0.08,0.01,176,0.77,0.01,53,0.23,0.01,175,0.76,0.01,54,0.24,0.01,197,0.86,0.01,32,0.14,0.01
21 a 30 años,2903,0.81,0.12,685,0.19,0.13,2985,0.83,0.12,602,0.17,0.14,2892,0.81,0.12,695,0.19,0.14,2377,0.66,0.13,1210,0.34,0.11,3321,0.93,0.12,266,0.07,0.1,3263,0.91,0.12,323,0.09,0.13,2793,0.78,0.13,794,0.22,0.11,2666,0.74,0.13,921,0.26,0.1,3068,0.86,0.12,519,0.15,0.12
31 a 40 años,7650,0.8,0.32,1934,0.2,0.35,8059,0.84,0.32,1525,0.16,0.36,7828,0.82,0.32,1756,0.18,0.36,5926,0.62,0.33,3659,0.38,0.32,8759,0.91,0.33,825,0.09,0.32,8731,0.91,0.33,852,0.09,0.33,7129,0.74,0.32,2454,0.26,0.33,6452,0.67,0.32,3132,0.33,0.33,8149,0.85,0.33,1435,0.15,0.32
41 a 50 años,7604,0.82,0.32,1722,0.19,0.31,8006,0.86,0.32,1324,0.14,0.31,7795,0.84,0.32,1535,0.17,0.31,5628,0.6,0.31,3701,0.4,0.33,8467,0.91,0.32,861,0.09,0.33,8509,0.91,0.32,820,0.09,0.32,6862,0.74,0.31,2466,0.26,0.33,6175,0.66,0.31,3152,0.34,0.33,7918,0.85,0.32,1410,0.15,0.32
51 a 60 años,4804,0.84,0.2,950,0.17,0.17,5071,0.88,0.2,683,0.12,0.16,4958,0.86,0.2,796,0.14,0.16,3424,0.6,0.19,2329,0.41,0.21,5225,0.91,0.19,529,0.09,0.2,5266,0.92,0.2,487,0.09,0.19,4326,0.75,0.2,1427,0.25,0.19,3825,0.67,0.19,1928,0.34,0.2,4865,0.85,0.19,887,0.15,0.2
61 a 70 años,809,0.86,0.03,132,0.14,0.02,862,0.92,0.03,79,0.08,0.02,837,0.89,0.03,104,0.11,0.02,560,0.6,0.03,381,0.41,0.03,853,0.91,0.03,88,0.09,0.03,860,0.91,0.03,81,0.09,0.03,703,0.75,0.03,238,0.25,0.03,631,0.67,0.03,310,0.33,0.03,799,0.85,0.03,142,0.15,0.03
71 a 80 años,41,0.82,0,9,0.18,0,41,0.82,0,9,0.18,0,44,0.88,0,6,0.12,0,35,0.7,0,15,0.3,0,44,0.88,0,6,0.12,0,45,0.9,0,5,0.1,0,39,0.78,0,11,0.22,0,35,0.7,0,15,0.3,0,44,0.88,0,6,0.12,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",550,0.8,0.02,140,0.2,0.03,595,0.86,0.02,96,0.14,0.02,592,0.86,0.02,99,0.14,0.02,420,0.61,0.02,269,0.39,0.02,624,0.9,0.02,66,0.1,0.03,626,0.91,0.02,65,0.09,0.03,527,0.76,0.02,163,0.24,0.02,505,0.73,0.03,185,0.27,0.02,584,0.85,0.02,106,0.15,0.02
Normal básica sin licenciatura,130,0.85,0.01,23,0.15,0,136,0.89,0.01,17,0.11,0,138,0.9,0.01,15,0.1,0,102,0.67,0.01,51,0.33,0,133,0.87,0.01,20,0.13,0.01,136,0.89,0.01,17,0.11,0.01,121,0.79,0.01,32,0.21,0,113,0.74,0.01,40,0.26,0,132,0.86,0.01,21,0.14,0.01
Normal superior,3552,0.82,0.15,776,0.18,0.14,3698,0.85,0.15,631,0.15,0.15,3595,0.83,0.15,734,0.17,0.15,2653,0.61,0.15,1676,0.39,0.15,3936,0.91,0.15,393,0.09,0.15,3912,0.9,0.15,416,0.1,0.16,3205,0.74,0.15,1123,0.26,0.15,2888,0.67,0.15,1439,0.33,0.15,3671,0.85,0.15,657,0.15,0.15
Normal Intercultural Bilingüe,14,0.93,0,1,0.07,0,14,0.93,0,1,0.07,0,15,1,0,0,0,0,7,0.47,0,8,0.53,0,15,1,0,0,0,0,14,0.93,0,1,0.07,0,12,0.8,0,3,0.2,0,9,0.6,0,6,0.4,0,12,0.8,0,3,0.2,0
Licenciatura,13010,0.81,0.54,2993,0.19,0.55,13702,0.86,0.54,2302,0.14,0.54,13328,0.83,0.54,2676,0.17,0.54,9855,0.62,0.54,6150,0.38,0.54,14615,0.91,0.54,1388,0.09,0.53,14647,0.92,0.55,1355,0.09,0.52,11972,0.75,0.54,4031,0.25,0.54,10921,0.68,0.55,5083,0.32,0.53,13619,0.85,0.54,2384,0.15,0.54
Especialidad,618,0.83,0.03,126,0.17,0.02,630,0.85,0.03,114,0.15,0.03,605,0.81,0.03,139,0.19,0.03,470,0.63,0.03,274,0.37,0.02,669,0.9,0.03,75,0.1,0.03,675,0.91,0.03,69,0.09,0.03,544,0.73,0.03,200,0.27,0.03,512,0.69,0.03,232,0.31,0.02,626,0.84,0.03,118,0.16,0.03
Maestría,5496,0.81,0.23,1272,0.19,0.23,5790,0.86,0.23,978,0.15,0.23,5631,0.83,0.23,1137,0.17,0.23,4104,0.61,0.23,2664,0.39,0.23,6181,0.91,0.23,587,0.09,0.23,6171,0.91,0.23,597,0.09,0.23,5080,0.75,0.23,1688,0.25,0.23,4493,0.66,0.23,2275,0.34,0.24,5738,0.85,0.23,1030,0.15,0.23
Doctorado,601,0.81,0.03,144,0.19,0.03,632,0.85,0.03,113,0.15,0.03,620,0.83,0.03,125,0.17,0.03,482,0.65,0.03,263,0.35,0.02,678,0.91,0.03,67,0.09,0.03,677,0.91,0.03,67,0.09,0.03,547,0.74,0.03,197,0.27,0.03,499,0.67,0.03,245,0.33,0.03,632,0.85,0.03,112,0.15,0.03
Posdoctorado,22,0.85,0,4,0.15,0,24,0.92,0,2,0.08,0,22,0.85,0,4,0.15,0,18,0.69,0,8,0.31,0,24,0.92,0,2,0.08,0,26,1,0,0,0,0,20,0.77,0,6,0.23,0,19,0.73,0,7,0.27,0,26,1,0,0,0,0
Menor o igual a 10,7583,0.81,0.32,1794,0.19,0.33,7861,0.84,0.31,1515,0.16,0.36,7664,0.82,0.31,1712,0.18,0.35,5924,0.63,0.33,3453,0.37,0.3,8679,0.93,0.32,697,0.07,0.27,8546,0.91,0.32,830,0.09,0.32,7124,0.76,0.32,2251,0.24,0.3,6562,0.7,0.33,2814,0.3,0.3,8003,0.85,0.32,1373,0.15,0.31
11 a 20,9102,0.81,0.38,2199,0.2,0.4,9589,0.85,0.38,1714,0.15,0.4,9312,0.82,0.38,1991,0.18,0.4,6816,0.6,0.38,4487,0.4,0.4,10221,0.9,0.38,1082,0.1,0.42,10270,0.91,0.38,1031,0.09,0.4,8293,0.73,0.38,3009,0.27,0.4,7491,0.66,0.38,3811,0.34,0.4,9560,0.85,0.38,1741,0.15,0.39
21 a 30,7308,0.83,0.31,1486,0.17,0.27,7771,0.88,0.31,1025,0.12,0.24,7570,0.86,0.31,1226,0.14,0.25,5371,0.61,0.3,3423,0.39,0.3,7975,0.91,0.3,819,0.09,0.32,8068,0.92,0.3,726,0.08,0.28,6611,0.75,0.3,2183,0.25,0.29,5906,0.67,0.3,2887,0.33,0.3,7477,0.85,0.3,1317,0.15,0.3
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,22503,0.81,0.94,5149,0.19,0.94,23680,0.86,0.94,3975,0.14,0.93,23024,0.83,0.94,4631,0.17,0.94,16892,0.61,0.93,10762,0.39,0.95,25205,0.91,0.94,2448,0.09,0.94,25255,0.91,0.94,2396,0.09,0.93,20616,0.75,0.94,7035,0.25,0.95,18595,0.67,0.93,9056,0.33,0.95,23472,0.85,0.94,4179,0.15,0.94
Interino,838,0.82,0.04,180,0.18,0.03,870,0.86,0.03,148,0.15,0.04,858,0.84,0.04,160,0.16,0.03,706,0.69,0.04,312,0.31,0.03,946,0.93,0.04,72,0.07,0.03,922,0.91,0.03,96,0.09,0.04,800,0.79,0.04,218,0.21,0.03,785,0.77,0.04,233,0.23,0.02,884,0.87,0.04,134,0.13,0.03
Tiempo fijo,374,0.83,0.02,75,0.17,0.01,383,0.85,0.02,66,0.15,0.02,383,0.85,0.02,66,0.15,0.01,303,0.68,0.02,146,0.33,0.01,414,0.92,0.02,35,0.08,0.01,407,0.91,0.02,42,0.09,0.02,361,0.8,0.02,88,0.2,0.01,341,0.76,0.02,108,0.24,0.01,387,0.86,0.02,62,0.14,0.01
No tengo nombramiento,37,0.74,0,13,0.26,0,40,0.8,0,10,0.2,0,39,0.78,0,11,0.22,0,33,0.66,0,17,0.34,0,46,0.92,0,4,0.08,0,39,0.78,0,11,0.22,0,35,0.7,0,15,0.3,0,36,0.72,0,14,0.28,0,43,0.86,0,7,0.14,0
Otro,239,0.79,0.01,62,0.21,0.01,246,0.82,0.01,55,0.18,0.01,240,0.8,0.01,61,0.2,0.01,177,0.59,0.01,124,0.41,0.01,263,0.87,0.01,38,0.13,0.02,259,0.86,0.01,42,0.14,0.02,215,0.71,0.01,86,0.29,0.01,201,0.67,0.01,100,0.33,0.01,252,0.84,0.01,49,0.16,0.01
GENERAL PÚBLICA,11426,0.8,0.48,2828,0.2,0.52,12070,0.85,0.48,2185,0.15,0.51,11731,0.82,0.48,2524,0.18,0.51,8800,0.62,0.49,5454,0.38,0.48,12930,0.91,0.48,1323,0.09,0.51,12927,0.91,0.48,1327,0.09,0.51,10533,0.74,0.48,3720,0.26,0.5,9566,0.67,0.48,4686,0.33,0.49,12050,0.85,0.48,2203,0.16,0.5
TÉCNICA,9989,0.81,0.42,2329,0.19,0.43,10547,0.86,0.42,1773,0.14,0.42,10263,0.83,0.42,2057,0.17,0.42,7373,0.6,0.41,4947,0.4,0.44,11281,0.92,0.42,1039,0.08,0.4,11245,0.91,0.42,1072,0.09,0.41,9180,0.75,0.42,3138,0.26,0.42,8297,0.67,0.42,4022,0.33,0.42,10483,0.85,0.42,1836,0.15,0.41
TELESECUNDARIA,2578,0.89,0.11,322,0.11,0.06,2604,0.9,0.1,296,0.1,0.07,2552,0.88,0.1,348,0.12,0.07,1938,0.67,0.11,962,0.33,0.09,2664,0.92,0.1,236,0.08,0.09,2712,0.94,0.1,188,0.07,0.07,2315,0.8,0.11,585,0.2,0.08,2096,0.72,0.11,804,0.28,0.09,2507,0.87,0.1,392,0.14,0.09
Total,23993,0.81,1,5479,0.19,1,25221,0.86,1,4254,0.14,1,24546,0.83,1,4929,0.17,1,18111,0.61,1,11363,0.39,1,26875,0.91,1,2598,0.09,1,26884,0.91,1,2587,0.09,1,22028,0.75,1,7443,0.25,1,19959,0.68,1,9512,0.32,1,25040,0.85,1,4431,0.15,1
