Variable,B2-A-Mucho-Recuento,B2-A-Mucho-% del N de fila,B2-A-Mucho-% de N columnas,B2-A-Regular-Recuento,B2-A-Regular-% del N de fila,B2-A-Regular-% de N columnas,B2-A-Poco-Recuento,B2-A-Poco-% del N de fila,B2-A-Poco-% de N columnas,B2-A-Nada-Recuento,B2-A-Nada-% del N de fila,B2-A-Nada-% de N columnas,B2-B-Mucho-Recuento,B2-B-Mucho-% del N de fila,B2-B-Mucho-% de N columnas,B2-B-Regular-Recuento,B2-B-Regular-% del N de fila,B2-B-Regular-% de N columnas,B2-B-Poco-Recuento,B2-B-Poco-% del N de fila,B2-B-Poco-% de N columnas,B2-B-Nada-Recuento,B2-B-Nada-% del N de fila,B2-B-Nada-% de N columnas,B2-C-Mucho-Recuento,B2-C-Mucho-% del N de fila,B2-C-Mucho-% de N columnas,B2-C-Regular-Recuento,B2-C-Regular-% del N de fila,B2-C-Regular-% de N columnas,B2-C-Poco-Recuento,B2-C-Poco-% del N de fila,B2-C-Poco-% de N columnas,B2-C-Nada-Recuento,B2-C-Nada-% del N de fila,B2-C-Nada-% de N columnas,B2-D-Mucho-Recuento,B2-D-Mucho-% del N de fila,B2-D-Mucho-% de N columnas,B2-D-Regular-Recuento,B2-D-Regular-% del N de fila,B2-D-Regular-% de N columnas,B2-D-Poco-Recuento,B2-D-Poco-% del N de fila,B2-D-Poco-% de N columnas,B2-D-Nada-Recuento,B2-D-Nada-% del N de fila,B2-D-Nada-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Poco-Recuento,B2-E-Poco-% del N de fila,B2-E-Poco-% de N columnas,B2-E-Nada-Recuento,B2-E-Nada-% del N de fila,B2-E-Nada-% de N columnas,B2-F-Mucho-Recuento,B2-F-Mucho-% del N de fila,B2-F-Mucho-% de N columnas,B2-F-Regular-Recuento,B2-F-Regular-% del N de fila,B2-F-Regular-% de N columnas,B2-F-Poco-Recuento,B2-F-Poco-% del N de fila,B2-F-Poco-% de N columnas,B2-F-Nada-Recuento,B2-F-Nada-% del N de fila,B2-F-Nada-% de N columnas
ESTADO DE MÉXICO,113,0.61,0.04,63,0.34,0.03,7,0.04,0.04,1,0.01,0.04,108,0.59,0.04,71,0.39,0.03,5,0.03,0.02,0,0,0,100,0.54,0.04,79,0.43,0.04,5,0.03,0.02,0,0,0,92,0.5,0.04,84,0.46,0.04,8,0.04,0.02,0,0,0,90,0.49,0.03,81,0.44,0.04,13,0.07,0.04,0,0,0,74,0.4,0.03,96,0.52,0.04,13,0.07,0.03,1,0.01,0.04
GUANAJUATO,171,0.67,0.05,77,0.3,0.04,6,0.02,0.03,0,0,0,155,0.61,0.05,88,0.35,0.04,11,0.04,0.04,0,0,0,149,0.59,0.05,90,0.35,0.04,15,0.06,0.05,0,0,0,140,0.55,0.06,98,0.39,0.04,16,0.06,0.04,0,0,0,146,0.58,0.06,93,0.37,0.04,15,0.06,0.04,0,0,0,128,0.5,0.05,107,0.42,0.05,19,0.08,0.04,0,0,0
GUERRERO,12,0.67,0,6,0.33,0,0,0,0,0,0,0,11,0.61,0,7,0.39,0,0,0,0,0,0,0,12,0.67,0,6,0.33,0,0,0,0,0,0,0,10,0.56,0,6,0.33,0,2,0.11,0.01,0,0,0,10,0.56,0,7,0.39,0,1,0.06,0,0,0,0,10,0.56,0,8,0.44,0,0,0,0,0,0,0
HIDALGO,101,0.58,0.03,62,0.36,0.03,11,0.06,0.06,0,0,0,99,0.57,0.03,63,0.36,0.03,12,0.07,0.04,0,0,0,92,0.53,0.03,69,0.4,0.03,13,0.08,0.04,0,0,0,86,0.49,0.03,74,0.43,0.03,14,0.08,0.04,0,0,0,86,0.49,0.03,76,0.44,0.03,12,0.07,0.03,0,0,0,81,0.47,0.03,71,0.41,0.03,22,0.13,0.04,0,0,0
JALISCO,103,0.56,0.03,77,0.42,0.04,4,0.02,0.02,0,0,0,97,0.53,0.03,77,0.42,0.04,10,0.05,0.04,0,0,0,86,0.47,0.03,87,0.47,0.04,11,0.06,0.04,0,0,0,77,0.42,0.03,96,0.52,0.04,9,0.05,0.02,2,0.01,0.12,84,0.46,0.03,89,0.48,0.04,11,0.06,0.03,0,0,0,80,0.44,0.03,84,0.46,0.04,19,0.1,0.04,1,0.01,0.04
MICHOACÁN,20,0.43,0.01,25,0.53,0.01,2,0.04,0.01,0,0,0,18,0.38,0.01,26,0.55,0.01,3,0.06,0.01,0,0,0,16,0.34,0.01,28,0.6,0.01,3,0.06,0.01,0,0,0,15,0.32,0.01,29,0.62,0.01,3,0.06,0.01,0,0,0,15,0.32,0.01,30,0.64,0.01,2,0.04,0.01,0,0,0,17,0.36,0.01,27,0.57,0.01,3,0.06,0.01,0,0,0
MORELOS,124,0.74,0.04,41,0.25,0.02,2,0.01,0.01,0,0,0,117,0.7,0.04,47,0.28,0.02,3,0.02,0.01,0,0,0,109,0.65,0.04,55,0.33,0.03,3,0.02,0.01,0,0,0,99,0.59,0.04,63,0.38,0.03,5,0.03,0.01,0,0,0,101,0.61,0.04,62,0.37,0.03,4,0.02,0.01,0,0,0,93,0.56,0.04,65,0.39,0.03,9,0.05,0.02,0,0,0
NAYARIT,118,0.62,0.04,65,0.34,0.03,5,0.03,0.03,1,0.01,0.04,109,0.58,0.04,73,0.39,0.04,7,0.04,0.03,0,0,0,100,0.53,0.04,79,0.42,0.04,8,0.04,0.03,2,0.01,0.25,87,0.46,0.03,80,0.42,0.03,22,0.12,0.06,0,0,0,92,0.49,0.04,79,0.42,0.04,17,0.09,0.05,1,0.01,0.08,76,0.4,0.03,89,0.47,0.04,23,0.12,0.04,1,0.01,0.04
NUEVO LEÓN,19,0.58,0.01,12,0.36,0.01,2,0.06,0.01,0,0,0,18,0.55,0.01,10,0.3,0.01,5,0.15,0.02,0,0,0,15,0.46,0.01,13,0.39,0.01,5,0.15,0.02,0,0,0,14,0.42,0.01,13,0.39,0.01,6,0.18,0.02,0,0,0,15,0.46,0.01,11,0.33,0.01,6,0.18,0.02,1,0.03,0.08,14,0.42,0.01,13,0.39,0.01,6,0.18,0.01,0,0,0
PUEBLA,133,0.7,0.04,52,0.27,0.03,5,0.03,0.03,1,0.01,0.04,129,0.68,0.04,57,0.3,0.03,5,0.03,0.02,0,0,0,123,0.64,0.04,63,0.33,0.03,5,0.03,0.02,0,0,0,113,0.59,0.04,67,0.35,0.03,11,0.06,0.03,0,0,0,111,0.58,0.04,70,0.37,0.03,10,0.05,0.03,0,0,0,102,0.53,0.04,74,0.39,0.03,15,0.08,0.03,0,0,0
QUERÉTARO,129,0.54,0.04,104,0.43,0.05,6,0.03,0.03,2,0.01,0.07,130,0.54,0.04,100,0.42,0.05,11,0.05,0.04,0,0,0,118,0.49,0.04,112,0.47,0.05,11,0.05,0.04,0,0,0,103,0.43,0.04,115,0.48,0.05,23,0.1,0.06,0,0,0,110,0.46,0.04,110,0.46,0.05,21,0.09,0.06,0,0,0,94,0.39,0.04,119,0.49,0.05,27,0.11,0.05,1,0,0.04
QUINTANA ROO,106,0.52,0.03,85,0.42,0.04,11,0.05,0.06,1,0.01,0.04,106,0.52,0.04,87,0.43,0.04,10,0.05,0.04,0,0,0,91,0.45,0.03,96,0.47,0.04,15,0.07,0.05,1,0.01,0.13,89,0.44,0.04,94,0.46,0.04,19,0.09,0.05,1,0.01,0.06,97,0.48,0.04,87,0.43,0.04,19,0.09,0.05,0,0,0,83,0.41,0.04,93,0.46,0.04,25,0.12,0.05,2,0.01,0.08
SAN LUIS POTOSÍ,142,0.58,0.05,91,0.37,0.05,10,0.04,0.05,0,0,0,134,0.55,0.05,91,0.37,0.04,16,0.07,0.06,2,0.01,0.1,136,0.56,0.05,91,0.37,0.04,16,0.07,0.06,0,0,0,118,0.49,0.05,107,0.44,0.05,16,0.07,0.04,2,0.01,0.12,108,0.44,0.04,111,0.46,0.05,23,0.1,0.06,1,0,0.08,103,0.42,0.04,109,0.45,0.05,30,0.12,0.06,1,0,0.04
SINALOA,242,0.64,0.08,123,0.32,0.06,13,0.03,0.07,2,0.01,0.07,219,0.58,0.07,136,0.36,0.07,25,0.07,0.09,0,0,0,241,0.63,0.09,120,0.32,0.06,19,0.05,0.07,0,0,0,211,0.56,0.08,143,0.38,0.06,24,0.06,0.06,2,0.01,0.12,219,0.58,0.08,135,0.36,0.06,24,0.06,0.06,2,0.01,0.17,200,0.53,0.08,144,0.38,0.06,34,0.09,0.07,2,0.01,0.08
SONORA,97,0.58,0.03,65,0.39,0.03,5,0.03,0.03,1,0.01,0.04,86,0.51,0.03,73,0.44,0.04,9,0.05,0.03,0,0,0,87,0.52,0.03,71,0.42,0.03,9,0.05,0.03,1,0.01,0.13,73,0.44,0.03,84,0.5,0.04,10,0.06,0.03,1,0.01,0.06,83,0.49,0.03,74,0.44,0.03,10,0.06,0.03,1,0.01,0.08,75,0.45,0.03,75,0.45,0.03,16,0.1,0.03,2,0.01,0.08
TABASCO,40,0.64,0.01,21,0.33,0.01,2,0.03,0.01,0,0,0,38,0.6,0.01,22,0.35,0.01,3,0.05,0.01,0,0,0,37,0.59,0.01,22,0.35,0.01,4,0.06,0.01,0,0,0,41,0.65,0.02,18,0.29,0.01,2,0.03,0.01,2,0.03,0.12,38,0.6,0.01,22,0.35,0.01,3,0.05,0.01,0,0,0,34,0.54,0.01,23,0.37,0.01,6,0.1,0.01,0,0,0
TAMAULIPAS,120,0.58,0.04,78,0.38,0.04,5,0.02,0.03,4,0.02,0.14,121,0.59,0.04,74,0.36,0.04,12,0.06,0.04,0,0,0,127,0.61,0.05,72,0.35,0.03,8,0.04,0.03,0,0,0,113,0.55,0.04,84,0.41,0.04,9,0.04,0.02,1,0.01,0.06,113,0.55,0.04,81,0.39,0.04,13,0.06,0.04,0,0,0,107,0.52,0.05,88,0.43,0.04,12,0.06,0.02,0,0,0
TLAXCALA,65,0.72,0.02,23,0.26,0.01,1,0.01,0.01,1,0.01,0.04,60,0.67,0.02,28,0.31,0.01,2,0.02,0.01,0,0,0,55,0.61,0.02,35,0.39,0.02,0,0,0,0,0,0,52,0.58,0.02,34,0.38,0.01,4,0.04,0.01,0,0,0,56,0.62,0.02,32,0.36,0.01,2,0.02,0.01,0,0,0,44,0.49,0.02,42,0.47,0.02,3,0.03,0.01,1,0.01,0.04
VERACRUZ,67,0.56,0.02,43,0.36,0.02,8,0.07,0.04,1,0.01,0.04,62,0.52,0.02,44,0.37,0.02,11,0.09,0.04,2,0.02,0.1,49,0.41,0.02,54,0.45,0.03,13,0.11,0.04,3,0.03,0.38,41,0.35,0.02,60,0.5,0.03,18,0.15,0.05,0,0,0,46,0.39,0.02,58,0.49,0.03,15,0.13,0.04,0,0,0,42,0.35,0.02,58,0.49,0.02,17,0.14,0.03,2,0.02,0.08
YUCATÁN,63,0.5,0.02,49,0.39,0.03,11,0.09,0.06,2,0.02,0.07,58,0.46,0.02,57,0.46,0.03,10,0.08,0.04,0,0,0,51,0.41,0.02,58,0.46,0.03,15,0.12,0.05,1,0.01,0.13,43,0.34,0.02,66,0.53,0.03,16,0.13,0.04,0,0,0,48,0.38,0.02,67,0.54,0.03,9,0.07,0.02,1,0.01,0.08,40,0.32,0.02,69,0.55,0.03,15,0.12,0.03,1,0.01,0.04
ZACATECAS,120,0.55,0.04,86,0.39,0.04,11,0.05,0.06,1,0.01,0.04,110,0.51,0.04,96,0.44,0.05,10,0.05,0.04,2,0.01,0.1,110,0.51,0.04,97,0.45,0.04,11,0.05,0.04,0,0,0,94,0.43,0.04,103,0.47,0.04,20,0.09,0.05,1,0.01,0.06,99,0.45,0.04,99,0.45,0.04,19,0.09,0.05,1,0.01,0.08,90,0.41,0.04,101,0.46,0.04,25,0.12,0.05,2,0.01,0.08
Hombre,128,0.55,0.04,91,0.39,0.05,12,0.05,0.06,0,0,0,119,0.52,0.04,98,0.42,0.05,14,0.06,0.05,0,0,0,110,0.48,0.04,105,0.46,0.05,16,0.07,0.06,0,0,0,102,0.44,0.04,107,0.46,0.05,22,0.1,0.06,0,0,0,98,0.42,0.04,113,0.49,0.05,19,0.08,0.05,1,0,0.08,97,0.42,0.04,106,0.46,0.04,26,0.11,0.05,2,0.01,0.08
Mujer,3042,0.6,0.96,1855,0.36,0.95,181,0.04,0.94,28,0.01,1,2849,0.56,0.96,1975,0.39,0.95,262,0.05,0.95,20,0,1,2736,0.54,0.96,2085,0.41,0.95,277,0.05,0.95,8,0,1,2459,0.48,0.96,2257,0.44,0.96,373,0.07,0.94,17,0,1,2568,0.5,0.96,2170,0.43,0.95,357,0.07,0.95,11,0,0.92,2290,0.45,0.96,2297,0.45,0.96,496,0.1,0.95,23,0.01,0.92
18 a 20 años,18,0.56,0.01,14,0.44,0.01,0,0,0,0,0,0,18,0.56,0.01,13,0.41,0.01,1,0.03,0,0,0,0,15,0.47,0.01,17,0.53,0.01,0,0,0,0,0,0,13,0.41,0.01,19,0.59,0.01,0,0,0,0,0,0,16,0.5,0.01,16,0.5,0.01,0,0,0,0,0,0,11,0.34,0.01,21,0.66,0.01,0,0,0,0,0,0
21 a 30 años,758,0.65,0.24,370,0.32,0.19,30,0.03,0.16,4,0,0.14,673,0.58,0.23,427,0.37,0.21,58,0.05,0.21,4,0,0.2,645,0.56,0.23,464,0.4,0.21,53,0.05,0.18,0,0,0,584,0.5,0.23,507,0.44,0.21,67,0.06,0.17,4,0,0.24,630,0.54,0.24,472,0.41,0.21,56,0.05,0.15,4,0,0.33,527,0.45,0.22,516,0.44,0.22,115,0.1,0.22,4,0,0.16
31 a 40 años,1105,0.59,0.35,683,0.37,0.35,71,0.04,0.37,12,0.01,0.43,1035,0.55,0.35,736,0.39,0.36,97,0.05,0.35,3,0,0.15,972,0.52,0.34,793,0.42,0.36,104,0.06,0.36,2,0,0.25,832,0.45,0.33,888,0.48,0.38,147,0.08,0.37,4,0,0.24,882,0.47,0.33,847,0.45,0.37,136,0.07,0.36,6,0,0.5,768,0.41,0.32,896,0.48,0.37,195,0.1,0.37,12,0.01,0.48
41 a 50 años,872,0.55,0.28,629,0.4,0.32,67,0.04,0.35,8,0.01,0.29,843,0.54,0.28,636,0.4,0.31,87,0.06,0.32,10,0.01,0.5,815,0.52,0.29,651,0.41,0.3,105,0.07,0.36,5,0,0.63,756,0.48,0.3,679,0.43,0.29,136,0.09,0.34,5,0,0.29,772,0.49,0.29,669,0.42,0.29,133,0.08,0.35,2,0,0.17,710,0.45,0.3,700,0.44,0.29,159,0.1,0.31,7,0,0.28
51 a 60 años,401,0.6,0.13,241,0.36,0.12,24,0.04,0.12,4,0.01,0.14,384,0.57,0.13,252,0.38,0.12,31,0.05,0.11,3,0,0.15,384,0.57,0.14,255,0.38,0.12,30,0.05,0.1,1,0,0.13,361,0.54,0.14,262,0.39,0.11,44,0.07,0.11,3,0,0.18,350,0.52,0.13,271,0.4,0.12,49,0.07,0.13,0,0,0,352,0.53,0.15,264,0.39,0.11,52,0.08,0.1,2,0,0.08
61 a 70 años,16,0.62,0.01,9,0.35,0.01,1,0.04,0.01,0,0,0,15,0.58,0.01,9,0.35,0,2,0.08,0.01,0,0,0,15,0.58,0.01,10,0.39,0.01,1,0.04,0,0,0,0,15,0.58,0.01,9,0.35,0,1,0.04,0,1,0.04,0.06,16,0.62,0.01,8,0.31,0,2,0.08,0.01,0,0,0,19,0.73,0.01,6,0.23,0,1,0.04,0,0,0,0
71 a 80 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",24,0.53,0.01,17,0.38,0.01,4,0.09,0.02,0,0,0,19,0.42,0.01,21,0.47,0.01,5,0.11,0.02,0,0,0,24,0.53,0.01,16,0.36,0.01,5,0.11,0.02,0,0,0,19,0.42,0.01,21,0.47,0.01,5,0.11,0.01,0,0,0,23,0.51,0.01,16,0.36,0.01,6,0.13,0.02,0,0,0,20,0.44,0.01,18,0.4,0.01,7,0.16,0.01,0,0,0
Normal básica sin licenciatura,84,0.6,0.03,50,0.36,0.03,5,0.04,0.03,0,0,0,82,0.59,0.03,48,0.35,0.02,8,0.06,0.03,1,0.01,0.05,84,0.6,0.03,51,0.37,0.02,4,0.03,0.01,0,0,0,76,0.55,0.03,55,0.4,0.02,6,0.04,0.02,2,0.01,0.12,77,0.55,0.03,55,0.4,0.02,7,0.05,0.02,0,0,0,78,0.56,0.03,51,0.37,0.02,10,0.07,0.02,0,0,0
Normal superior,44,0.6,0.01,26,0.35,0.01,3,0.04,0.02,1,0.01,0.04,42,0.57,0.01,25,0.34,0.01,7,0.1,0.03,0,0,0,42,0.57,0.02,26,0.35,0.01,6,0.08,0.02,0,0,0,38,0.51,0.02,30,0.41,0.01,5,0.07,0.01,1,0.01,0.06,40,0.54,0.02,28,0.38,0.01,6,0.08,0.02,0,0,0,39,0.53,0.02,29,0.39,0.01,6,0.08,0.01,0,0,0
Normal Intercultural Bilingüe,2,0.4,0,3,0.6,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0
Licenciatura,2505,0.6,0.79,1520,0.36,0.78,144,0.03,0.75,22,0.01,0.79,2339,0.56,0.79,1633,0.39,0.79,202,0.05,0.73,17,0,0.85,2255,0.54,0.79,1707,0.41,0.78,222,0.05,0.76,7,0,0.88,2040,0.49,0.8,1848,0.44,0.78,291,0.07,0.74,12,0,0.71,2115,0.51,0.79,1781,0.43,0.78,285,0.07,0.76,10,0,0.83,1888,0.45,0.79,1889,0.45,0.79,395,0.09,0.76,19,0.01,0.76
Especialidad,10,0.46,0,9,0.41,0.01,3,0.14,0.02,0,0,0,9,0.41,0,8,0.36,0,5,0.23,0.02,0,0,0,6,0.27,0,13,0.59,0.01,3,0.14,0.01,0,0,0,10,0.46,0,9,0.41,0,3,0.14,0.01,0,0,0,6,0.27,0,13,0.59,0.01,3,0.14,0.01,0,0,0,9,0.41,0,9,0.41,0,4,0.18,0.01,0,0,0
Maestría,464,0.58,0.15,305,0.38,0.16,29,0.04,0.15,5,0.01,0.18,440,0.55,0.15,315,0.39,0.15,46,0.06,0.17,2,0,0.1,401,0.5,0.14,352,0.44,0.16,49,0.06,0.17,1,0,0.13,346,0.43,0.14,375,0.47,0.16,80,0.1,0.2,2,0,0.12,372,0.46,0.14,364,0.45,0.16,66,0.08,0.18,1,0,0.08,328,0.41,0.14,375,0.47,0.16,95,0.12,0.18,5,0.01,0.2
Doctorado,36,0.63,0.01,16,0.28,0.01,5,0.09,0.03,0,0,0,33,0.58,0.01,21,0.37,0.01,3,0.05,0.01,0,0,0,31,0.54,0.01,22,0.39,0.01,4,0.07,0.01,0,0,0,29,0.51,0.01,23,0.4,0.01,5,0.09,0.01,0,0,0,29,0.51,0.01,24,0.42,0.01,3,0.05,0.01,1,0.02,0.08,22,0.39,0.01,29,0.51,0.01,5,0.09,0.01,1,0.02,0.04
Posdoctorado,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Menor o igual a 10,1190,0.64,0.38,603,0.32,0.31,61,0.03,0.32,6,0,0.21,1073,0.58,0.36,685,0.37,0.33,98,0.05,0.36,4,0,0.2,1017,0.55,0.36,754,0.41,0.34,89,0.05,0.3,0,0,0,904,0.49,0.35,834,0.45,0.35,120,0.07,0.3,2,0,0.12,984,0.53,0.37,773,0.42,0.34,97,0.05,0.26,6,0,0.5,809,0.44,0.34,858,0.46,0.36,187,0.1,0.36,6,0,0.24
