Variable,B2-A-Totalmente de acuerdo-Recuento,B2-A-Totalmente de acuerdo-% del N de fila,B2-A-Totalmente de acuerdo-% de N columnas,B2-A-De acuerdo-Recuento,B2-A-De acuerdo-% del N de fila,B2-A-De acuerdo-% de N columnas,B2-A-En desacuerdo-Recuento,B2-A-En desacuerdo-% del N de fila,B2-A-En desacuerdo-% de N columnas,B2-A-Totalmente en desacuerdo-Recuento,B2-A-Totalmente en desacuerdo-% del N de fila,B2-A-Totalmente en desacuerdo-% de N columnas,B2-B-Totalmente de acuerdo-Recuento,B2-B-Totalmente de acuerdo-% del N de fila,B2-B-Totalmente de acuerdo-% de N columnas,B2-B-De acuerdo-Recuento,B2-B-De acuerdo-% del N de fila,B2-B-De acuerdo-% de N columnas,B2-B-En desacuerdo-Recuento,B2-B-En desacuerdo-% del N de fila,B2-B-En desacuerdo-% de N columnas,B2-B-Totalmente en desacuerdo-Recuento,B2-B-Totalmente en desacuerdo-% del N de fila,B2-B-Totalmente en desacuerdo-% de N columnas,B2-C-Totalmente de acuerdo-Recuento,B2-C-Totalmente de acuerdo-% del N de fila,B2-C-Totalmente de acuerdo-% de N columnas,B2-C-De acuerdo-Recuento,B2-C-De acuerdo-% del N de fila,B2-C-De acuerdo-% de N columnas,B2-C-En desacuerdo-Recuento,B2-C-En desacuerdo-% del N de fila,B2-C-En desacuerdo-% de N columnas,B2-C-Totalmente en desacuerdo-Recuento,B2-C-Totalmente en desacuerdo-% del N de fila,B2-C-Totalmente en desacuerdo-% de N columnas,B2-D-Totalmente de acuerdo-Recuento,B2-D-Totalmente de acuerdo-% del N de fila,B2-D-Totalmente de acuerdo-% de N columnas,B2-D-De acuerdo-Recuento,B2-D-De acuerdo-% del N de fila,B2-D-De acuerdo-% de N columnas,B2-D-En desacuerdo-Recuento,B2-D-En desacuerdo-% del N de fila,B2-D-En desacuerdo-% de N columnas,B2-D-Totalmente en desacuerdo-Recuento,B2-D-Totalmente en desacuerdo-% del N de fila,B2-D-Totalmente en desacuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-En desacuerdo-Recuento,B2-E-En desacuerdo-% del N de fila,B2-E-En desacuerdo-% de N columnas,B2-E-Totalmente en desacuerdo-Recuento,B2-E-Totalmente en desacuerdo-% del N de fila,B2-E-Totalmente en desacuerdo-% de N columnas,B2-F-Totalmente de acuerdo-Recuento,B2-F-Totalmente de acuerdo-% del N de fila,B2-F-Totalmente de acuerdo-% de N columnas,B2-F-De acuerdo-Recuento,B2-F-De acuerdo-% del N de fila,B2-F-De acuerdo-% de N columnas,B2-F-En desacuerdo-Recuento,B2-F-En desacuerdo-% del N de fila,B2-F-En desacuerdo-% de N columnas,B2-F-Totalmente en desacuerdo-Recuento,B2-F-Totalmente en desacuerdo-% del N de fila,B2-F-Totalmente en desacuerdo-% de N columnas,B2-G-Totalmente de acuerdo-Recuento,B2-G-Totalmente de acuerdo-% del N de fila,B2-G-Totalmente de acuerdo-% de N columnas,B2-G-De acuerdo-Recuento,B2-G-De acuerdo-% del N de fila,B2-G-De acuerdo-% de N columnas,B2-G-En desacuerdo-Recuento,B2-G-En desacuerdo-% del N de fila,B2-G-En desacuerdo-% de N columnas,B2-G-Totalmente en desacuerdo-Recuento,B2-G-Totalmente en desacuerdo-% del N de fila,B2-G-Totalmente en desacuerdo-% de N columnas,B2-H-Totalmente de acuerdo-Recuento,B2-H-Totalmente de acuerdo-% del N de fila,B2-H-Totalmente de acuerdo-% de N columnas,B2-H-De acuerdo-Recuento,B2-H-De acuerdo-% del N de fila,B2-H-De acuerdo-% de N columnas,B2-H-En desacuerdo-Recuento,B2-H-En desacuerdo-% del N de fila,B2-H-En desacuerdo-% de N columnas,B2-H-Totalmente en desacuerdo-Recuento,B2-H-Totalmente en desacuerdo-% del N de fila,B2-H-Totalmente en desacuerdo-% de N columnas,B2-I-Totalmente de acuerdo-Recuento,B2-I-Totalmente de acuerdo-% del N de fila,B2-I-Totalmente de acuerdo-% de N columnas,B2-I-De acuerdo-Recuento,B2-I-De acuerdo-% del N de fila,B2-I-De acuerdo-% de N columnas,B2-I-En desacuerdo-Recuento,B2-I-En desacuerdo-% del N de fila,B2-I-En desacuerdo-% de N columnas,B2-I-Totalmente en desacuerdo-Recuento,B2-I-Totalmente en desacuerdo-% del N de fila,B2-I-Totalmente en desacuerdo-% de N columnas
ESTADO DE MÉXICO,97,0.6,0.04,61,0.38,0.04,3,0.02,0.03,0,0,0,103,0.64,0.04,53,0.33,0.03,4,0.03,0.02,1,0.01,0.04,102,0.63,0.04,58,0.36,0.04,1,0.01,0.01,0,0,0,99,0.62,0.04,56,0.35,0.03,6,0.04,0.05,0,0,0,88,0.55,0.04,64,0.4,0.04,8,0.05,0.03,1,0.01,0.03,84,0.52,0.04,76,0.47,0.04,1,0.01,0.01,0,0,0,83,0.52,0.03,75,0.47,0.05,2,0.01,0.02,1,0.01,0.09,95,0.59,0.04,64,0.4,0.04,1,0.01,0.01,1,0.01,0.06,98,0.61,0.04,61,0.38,0.04,2,0.01,0.02,0,0,0
GUANAJUATO,108,0.64,0.04,54,0.32,0.04,6,0.04,0.05,0,0,0,108,0.64,0.04,55,0.33,0.04,4,0.02,0.02,1,0.01,0.04,110,0.66,0.04,53,0.32,0.03,4,0.02,0.06,1,0.01,0.08,94,0.56,0.04,67,0.4,0.04,7,0.04,0.05,0,0,0,105,0.63,0.04,50,0.3,0.03,13,0.08,0.05,0,0,0,103,0.61,0.05,58,0.35,0.03,7,0.04,0.07,0,0,0,108,0.64,0.04,55,0.33,0.03,5,0.03,0.05,0,0,0,101,0.6,0.04,61,0.36,0.04,6,0.04,0.04,0,0,0,106,0.63,0.04,54,0.32,0.03,8,0.05,0.07,0,0,0
GUERRERO,30,0.71,0.01,10,0.24,0.01,1,0.02,0.01,1,0.02,0.06,27,0.64,0.01,11,0.26,0.01,4,0.1,0.02,0,0,0,30,0.71,0.01,10,0.24,0.01,2,0.05,0.03,0,0,0,26,0.62,0.01,13,0.31,0.01,3,0.07,0.02,0,0,0,30,0.71,0.01,9,0.21,0.01,3,0.07,0.01,0,0,0,25,0.6,0.01,15,0.36,0.01,2,0.05,0.02,0,0,0,27,0.64,0.01,14,0.33,0.01,1,0.02,0.01,0,0,0,26,0.62,0.01,13,0.31,0.01,3,0.07,0.02,0,0,0,27,0.64,0.01,12,0.29,0.01,3,0.07,0.03,0,0,0
HIDALGO,93,0.6,0.04,58,0.37,0.04,3,0.02,0.03,1,0.01,0.06,92,0.59,0.04,51,0.33,0.03,11,0.07,0.06,1,0.01,0.04,102,0.66,0.04,48,0.31,0.03,4,0.03,0.06,1,0.01,0.08,85,0.55,0.04,64,0.41,0.04,5,0.03,0.04,1,0.01,0.14,90,0.58,0.04,56,0.36,0.04,8,0.05,0.03,1,0.01,0.03,90,0.58,0.04,61,0.39,0.03,4,0.03,0.04,0,0,0,93,0.6,0.04,55,0.36,0.03,7,0.05,0.07,0,0,0,89,0.57,0.04,59,0.38,0.04,7,0.05,0.05,0,0,0,98,0.63,0.04,51,0.33,0.03,6,0.04,0.05,0,0,0
JALISCO,86,0.64,0.03,46,0.34,0.03,3,0.02,0.03,0,0,0,79,0.59,0.03,49,0.36,0.03,5,0.04,0.03,2,0.02,0.08,83,0.62,0.03,50,0.37,0.03,2,0.02,0.03,0,0,0,79,0.59,0.03,53,0.39,0.03,3,0.02,0.02,0,0,0,78,0.58,0.03,53,0.39,0.03,4,0.03,0.02,0,0,0,74,0.55,0.03,56,0.42,0.03,4,0.03,0.04,1,0.01,0.11,67,0.5,0.03,56,0.42,0.03,9,0.07,0.09,3,0.02,0.27,70,0.52,0.03,58,0.43,0.04,5,0.04,0.04,2,0.02,0.11,76,0.56,0.03,54,0.4,0.03,3,0.02,0.03,2,0.02,0.13
MICHOACÁN,22,0.67,0.01,11,0.33,0.01,0,0,0,0,0,0,15,0.46,0.01,18,0.55,0.01,0,0,0,0,0,0,15,0.46,0.01,18,0.55,0.01,0,0,0,0,0,0,14,0.42,0.01,17,0.52,0.01,2,0.06,0.02,0,0,0,16,0.49,0.01,16,0.49,0.01,1,0.03,0,0,0,0,11,0.33,0.01,22,0.67,0.01,0,0,0,0,0,0,13,0.39,0.01,19,0.58,0.01,1,0.03,0.01,0,0,0,17,0.52,0.01,16,0.49,0.01,0,0,0,0,0,0,18,0.55,0.01,15,0.46,0.01,0,0,0,0,0,0
MORELOS,114,0.64,0.04,58,0.33,0.04,5,0.03,0.04,0,0,0,111,0.63,0.04,57,0.32,0.04,8,0.05,0.05,1,0.01,0.04,117,0.66,0.04,57,0.32,0.04,3,0.02,0.04,0,0,0,98,0.55,0.04,73,0.41,0.04,6,0.03,0.05,0,0,0,103,0.58,0.04,62,0.35,0.04,9,0.05,0.04,3,0.02,0.09,101,0.57,0.05,71,0.4,0.04,5,0.03,0.05,0,0,0,109,0.62,0.04,66,0.37,0.04,2,0.01,0.02,0,0,0,109,0.62,0.05,60,0.34,0.04,7,0.04,0.05,1,0.01,0.06,113,0.64,0.04,53,0.3,0.03,9,0.05,0.08,2,0.01,0.13
NAYARIT,99,0.66,0.04,49,0.33,0.03,2,0.01,0.02,1,0.01,0.06,95,0.63,0.04,52,0.34,0.03,3,0.02,0.02,1,0.01,0.04,94,0.62,0.04,55,0.36,0.04,1,0.01,0.01,1,0.01,0.08,84,0.56,0.04,64,0.42,0.04,3,0.02,0.02,0,0,0,81,0.54,0.03,65,0.43,0.04,3,0.02,0.01,2,0.01,0.06,74,0.49,0.03,72,0.48,0.04,4,0.03,0.04,1,0.01,0.11,89,0.59,0.04,58,0.38,0.04,3,0.02,0.03,1,0.01,0.09,85,0.56,0.04,60,0.4,0.04,3,0.02,0.02,3,0.02,0.17,94,0.62,0.04,52,0.34,0.03,3,0.02,0.03,2,0.01,0.13
NUEVO LEÓN,24,0.77,0.01,4,0.13,0,2,0.07,0.02,1,0.03,0.06,21,0.68,0.01,7,0.23,0,2,0.07,0.01,1,0.03,0.04,22,0.71,0.01,8,0.26,0.01,1,0.03,0.01,0,0,0,19,0.61,0.01,12,0.39,0.01,0,0,0,0,0,0,21,0.68,0.01,7,0.23,0,3,0.1,0.01,0,0,0,20,0.65,0.01,11,0.36,0.01,0,0,0,0,0,0,23,0.74,0.01,8,0.26,0.01,0,0,0,0,0,0,20,0.65,0.01,10,0.32,0.01,1,0.03,0.01,0,0,0,20,0.65,0.01,10,0.32,0.01,1,0.03,0.01,0,0,0
PUEBLA,62,0.47,0.02,66,0.5,0.04,4,0.03,0.04,1,0.01,0.06,72,0.54,0.03,52,0.39,0.03,8,0.06,0.05,1,0.01,0.04,71,0.53,0.03,58,0.44,0.04,4,0.03,0.06,0,0,0,60,0.45,0.03,66,0.5,0.04,6,0.05,0.05,1,0.01,0.14,68,0.51,0.03,57,0.43,0.04,6,0.05,0.02,2,0.02,0.06,62,0.47,0.03,69,0.52,0.04,2,0.02,0.02,0,0,0,71,0.53,0.03,57,0.43,0.03,5,0.04,0.05,0,0,0,79,0.59,0.03,49,0.37,0.03,4,0.03,0.03,1,0.01,0.06,81,0.61,0.03,50,0.38,0.03,1,0.01,0.01,1,0.01,0.06
QUERÉTARO,102,0.53,0.04,81,0.42,0.05,7,0.04,0.06,1,0.01,0.06,107,0.56,0.04,67,0.35,0.04,16,0.08,0.09,1,0.01,0.04,124,0.65,0.05,64,0.34,0.04,2,0.01,0.03,1,0.01,0.08,102,0.53,0.04,83,0.44,0.05,5,0.03,0.04,1,0.01,0.14,98,0.51,0.04,75,0.39,0.05,17,0.09,0.07,1,0.01,0.03,98,0.51,0.04,87,0.46,0.05,5,0.03,0.05,1,0.01,0.11,112,0.59,0.05,74,0.39,0.05,4,0.02,0.04,1,0.01,0.09,105,0.55,0.04,78,0.41,0.05,7,0.04,0.05,1,0.01,0.06,107,0.56,0.04,78,0.41,0.05,4,0.02,0.04,2,0.01,0.13
QUINTANA ROO,98,0.58,0.04,66,0.39,0.04,6,0.04,0.05,0,0,0,101,0.59,0.04,62,0.37,0.04,7,0.04,0.04,0,0,0,96,0.57,0.04,71,0.42,0.05,3,0.02,0.04,0,0,0,86,0.51,0.04,78,0.46,0.05,6,0.04,0.05,0,0,0,92,0.54,0.04,65,0.38,0.04,13,0.08,0.05,0,0,0,79,0.47,0.04,90,0.53,0.05,1,0.01,0.01,0,0,0,98,0.58,0.04,68,0.4,0.04,4,0.02,0.04,0,0,0,93,0.55,0.04,71,0.42,0.04,6,0.04,0.04,0,0,0,100,0.59,0.04,65,0.38,0.04,5,0.03,0.05,0,0,0
SAN LUIS POTOSÍ,108,0.64,0.04,58,0.34,0.04,3,0.02,0.03,0,0,0,101,0.6,0.04,62,0.37,0.04,5,0.03,0.03,1,0.01,0.04,110,0.65,0.04,57,0.34,0.04,2,0.01,0.03,0,0,0,92,0.54,0.04,75,0.44,0.04,2,0.01,0.02,0,0,0,96,0.57,0.04,63,0.37,0.04,10,0.06,0.04,0,0,0,87,0.52,0.04,79,0.47,0.04,3,0.02,0.03,0,0,0,97,0.57,0.04,70,0.41,0.04,2,0.01,0.02,0,0,0,91,0.54,0.04,75,0.44,0.05,3,0.02,0.02,0,0,0,109,0.65,0.04,57,0.34,0.04,3,0.02,0.03,0,0,0
SINALOA,121,0.63,0.05,64,0.34,0.04,6,0.03,0.05,0,0,0,121,0.63,0.05,66,0.35,0.04,4,0.02,0.02,0,0,0,126,0.66,0.05,61,0.32,0.04,4,0.02,0.06,0,0,0,115,0.6,0.05,69,0.36,0.04,7,0.04,0.05,0,0,0,112,0.59,0.05,68,0.36,0.04,9,0.05,0.04,2,0.01,0.06,106,0.56,0.05,81,0.42,0.04,4,0.02,0.04,0,0,0,112,0.59,0.05,76,0.4,0.05,3,0.02,0.03,0,0,0,115,0.6,0.05,71,0.37,0.04,5,0.03,0.04,0,0,0,120,0.63,0.05,65,0.34,0.04,6,0.03,0.05,0,0,0
SONORA,98,0.67,0.04,43,0.29,0.03,5,0.03,0.04,1,0.01,0.06,92,0.63,0.04,50,0.34,0.03,3,0.02,0.02,2,0.01,0.08,97,0.66,0.04,49,0.33,0.03,1,0.01,0.01,0,0,0,88,0.6,0.04,56,0.38,0.03,3,0.02,0.02,0,0,0,78,0.53,0.03,56,0.38,0.04,10,0.07,0.04,3,0.02,0.09,85,0.58,0.04,59,0.4,0.03,3,0.02,0.03,0,0,0,95,0.65,0.04,48,0.33,0.03,4,0.03,0.04,0,0,0,96,0.65,0.04,47,0.32,0.03,4,0.03,0.03,0,0,0,98,0.67,0.04,47,0.32,0.03,2,0.01,0.02,0,0,0
TABASCO,74,0.57,0.03,54,0.42,0.04,2,0.02,0.02,0,0,0,82,0.63,0.03,46,0.35,0.03,2,0.02,0.01,0,0,0,74,0.57,0.03,55,0.42,0.04,1,0.01,0.01,0,0,0,78,0.6,0.03,46,0.35,0.03,5,0.04,0.04,1,0.01,0.14,73,0.56,0.03,53,0.41,0.03,4,0.03,0.02,0,0,0,66,0.51,0.03,62,0.48,0.03,2,0.02,0.02,0,0,0,74,0.57,0.03,54,0.42,0.03,2,0.02,0.02,0,0,0,73,0.56,0.03,55,0.42,0.03,1,0.01,0.01,1,0.01,0.06,86,0.66,0.03,43,0.33,0.03,1,0.01,0.01,0,0,0
TAMAULIPAS,77,0.51,0.03,71,0.47,0.05,3,0.02,0.03,0,0,0,76,0.5,0.03,69,0.46,0.04,6,0.04,0.03,0,0,0,86,0.57,0.03,64,0.42,0.04,1,0.01,0.01,0,0,0,71,0.47,0.03,71,0.47,0.04,8,0.05,0.06,1,0.01,0.14,78,0.52,0.03,65,0.43,0.04,8,0.05,0.03,0,0,0,70,0.46,0.03,78,0.52,0.04,3,0.02,0.03,0,0,0,78,0.52,0.03,69,0.46,0.04,4,0.03,0.04,0,0,0,73,0.48,0.03,72,0.48,0.04,6,0.04,0.04,0,0,0,76,0.5,0.03,70,0.46,0.04,5,0.03,0.05,0,0,0
