Variable,B4-A-Muy pertinente-Recuento,B4-A-Muy pertinente-% del N de fila,B4-A-Muy pertinente-% de N columnas,B4-A-Pertinente-Recuento,B4-A-Pertinente-% del N de fila,B4-A-Pertinente-% de N columnas,B4-A-Poco pertinente-Recuento,B4-A-Poco pertinente-% del N de fila,B4-A-Poco pertinente-% de N columnas,B4-A-Nada pertinente-Recuento,B4-A-Nada pertinente-% del N de fila,B4-A-Nada pertinente-% de N columnas,B4-B-Muy pertinente-Recuento,B4-B-Muy pertinente-% del N de fila,B4-B-Muy pertinente-% de N columnas,B4-B-Pertinente-Recuento,B4-B-Pertinente-% del N de fila,B4-B-Pertinente-% de N columnas,B4-B-Poco pertinente-Recuento,B4-B-Poco pertinente-% del N de fila,B4-B-Poco pertinente-% de N columnas,B4-B-Nada pertinente-Recuento,B4-B-Nada pertinente-% del N de fila,B4-B-Nada pertinente-% de N columnas,B4-C-Muy pertinente-Recuento,B4-C-Muy pertinente-% del N de fila,B4-C-Muy pertinente-% de N columnas,B4-C-Pertinente-Recuento,B4-C-Pertinente-% del N de fila,B4-C-Pertinente-% de N columnas,B4-C-Poco pertinente-Recuento,B4-C-Poco pertinente-% del N de fila,B4-C-Poco pertinente-% de N columnas,B4-C-Nada pertinente-Recuento,B4-C-Nada pertinente-% del N de fila,B4-C-Nada pertinente-% de N columnas,B4-D-Muy pertinente-Recuento,B4-D-Muy pertinente-% del N de fila,B4-D-Muy pertinente-% de N columnas,B4-D-Pertinente-Recuento,B4-D-Pertinente-% del N de fila,B4-D-Pertinente-% de N columnas,B4-D-Poco pertinente-Recuento,B4-D-Poco pertinente-% del N de fila,B4-D-Poco pertinente-% de N columnas,B4-D-Nada pertinente-Recuento,B4-D-Nada pertinente-% del N de fila,B4-D-Nada pertinente-% de N columnas,B4-E-Muy pertinente-Recuento,B4-E-Muy pertinente-% del N de fila,B4-E-Muy pertinente-% de N columnas,B4-E-Pertinente-Recuento,B4-E-Pertinente-% del N de fila,B4-E-Pertinente-% de N columnas,B4-E-Poco pertinente-Recuento,B4-E-Poco pertinente-% del N de fila,B4-E-Poco pertinente-% de N columnas,B4-E-Nada pertinente-Recuento,B4-E-Nada pertinente-% del N de fila,B4-E-Nada pertinente-% de N columnas,B4-F-Muy pertinente-Recuento,B4-F-Muy pertinente-% del N de fila,B4-F-Muy pertinente-% de N columnas,B4-F-Pertinente-Recuento,B4-F-Pertinente-% del N de fila,B4-F-Pertinente-% de N columnas,B4-F-Poco pertinente-Recuento,B4-F-Poco pertinente-% del N de fila,B4-F-Poco pertinente-% de N columnas,B4-F-Nada pertinente-Recuento,B4-F-Nada pertinente-% del N de fila,B4-F-Nada pertinente-% de N columnas,B4-G-Muy pertinente-Recuento,B4-G-Muy pertinente-% del N de fila,B4-G-Muy pertinente-% de N columnas,B4-G-Pertinente-Recuento,B4-G-Pertinente-% del N de fila,B4-G-Pertinente-% de N columnas,B4-G-Poco pertinente-Recuento,B4-G-Poco pertinente-% del N de fila,B4-G-Poco pertinente-% de N columnas,B4-G-Nada pertinente-Recuento,B4-G-Nada pertinente-% del N de fila,B4-G-Nada pertinente-% de N columnas
ESTADO DE MÉXICO,75,0.41,0.04,101,0.55,0.04,7,0.04,0.02,1,0.01,0.04,75,0.41,0.04,98,0.53,0.03,11,0.06,0.03,0,0,0,68,0.37,0.04,103,0.56,0.03,12,0.07,0.03,1,0.01,0.04,45,0.25,0.04,127,0.69,0.04,12,0.07,0.03,0,0,0,42,0.23,0.04,126,0.69,0.04,11,0.06,0.02,5,0.03,0.11,43,0.23,0.04,124,0.67,0.04,16,0.09,0.03,1,0.01,0.03,45,0.25,0.04,116,0.63,0.03,22,0.12,0.03,1,0.01,0.02
GUANAJUATO,118,0.47,0.06,123,0.48,0.04,12,0.05,0.04,1,0,0.04,111,0.44,0.06,134,0.53,0.04,9,0.04,0.03,0,0,0,105,0.41,0.06,135,0.53,0.04,14,0.06,0.03,0,0,0,93,0.37,0.07,147,0.58,0.04,14,0.06,0.03,0,0,0,74,0.29,0.07,154,0.61,0.05,26,0.1,0.04,0,0,0,75,0.3,0.06,156,0.61,0.05,22,0.09,0.04,1,0,0.03,65,0.26,0.06,159,0.63,0.05,29,0.11,0.04,1,0,0.02
GUERRERO,6,0.33,0,12,0.67,0,0,0,0,0,0,0,5,0.28,0,13,0.72,0,0,0,0,0,0,0,6,0.33,0,11,0.61,0,1,0.06,0,0,0,0,5,0.28,0,12,0.67,0,1,0.06,0,0,0,0,4,0.22,0,14,0.78,0,0,0,0,0,0,0,4,0.22,0,12,0.67,0,1,0.06,0,1,0.06,0.03,4,0.22,0,13,0.72,0,1,0.06,0,0,0,0
HIDALGO,71,0.41,0.03,90,0.52,0.03,12,0.07,0.04,1,0.01,0.04,59,0.34,0.03,100,0.58,0.03,15,0.09,0.04,0,0,0,58,0.33,0.03,97,0.56,0.03,17,0.1,0.04,2,0.01,0.07,44,0.25,0.03,111,0.64,0.03,17,0.1,0.04,2,0.01,0.06,35,0.2,0.03,118,0.68,0.03,20,0.12,0.03,1,0.01,0.02,43,0.25,0.04,111,0.64,0.03,16,0.09,0.03,4,0.02,0.1,38,0.22,0.03,115,0.66,0.03,19,0.11,0.03,2,0.01,0.03
JALISCO,57,0.31,0.03,118,0.64,0.04,7,0.04,0.02,2,0.01,0.08,56,0.3,0.03,115,0.63,0.04,11,0.06,0.03,2,0.01,0.13,46,0.25,0.03,114,0.62,0.04,22,0.12,0.05,2,0.01,0.07,40,0.22,0.03,130,0.71,0.04,14,0.08,0.03,0,0,0,29,0.16,0.03,127,0.69,0.04,28,0.15,0.04,0,0,0,38,0.21,0.03,128,0.7,0.04,17,0.09,0.03,1,0.01,0.03,40,0.22,0.04,113,0.61,0.03,29,0.16,0.04,2,0.01,0.03
MICHOACÁN,19,0.4,0.01,27,0.57,0.01,1,0.02,0,0,0,0,14,0.3,0.01,31,0.66,0.01,2,0.04,0.01,0,0,0,14,0.3,0.01,30,0.64,0.01,3,0.06,0.01,0,0,0,9,0.19,0.01,37,0.79,0.01,1,0.02,0,0,0,0,8,0.17,0.01,29,0.62,0.01,10,0.21,0.01,0,0,0,8,0.17,0.01,33,0.7,0.01,6,0.13,0.01,0,0,0,6,0.13,0.01,34,0.72,0.01,7,0.15,0.01,0,0,0
MORELOS,78,0.47,0.04,81,0.49,0.03,7,0.04,0.02,1,0.01,0.04,74,0.44,0.04,87,0.52,0.03,6,0.04,0.02,0,0,0,73,0.44,0.04,86,0.52,0.03,8,0.05,0.02,0,0,0,55,0.33,0.04,98,0.59,0.03,12,0.07,0.03,2,0.01,0.06,40,0.24,0.04,111,0.67,0.03,15,0.09,0.02,1,0.01,0.02,40,0.24,0.03,109,0.65,0.03,17,0.1,0.03,1,0.01,0.03,38,0.23,0.03,112,0.67,0.03,15,0.09,0.02,2,0.01,0.03
NAYARIT,78,0.41,0.04,100,0.53,0.04,10,0.05,0.03,1,0.01,0.04,66,0.35,0.03,107,0.57,0.04,15,0.08,0.04,1,0.01,0.06,65,0.34,0.04,109,0.58,0.04,15,0.08,0.04,0,0,0,45,0.24,0.04,123,0.65,0.04,21,0.11,0.05,0,0,0,42,0.22,0.04,124,0.66,0.04,21,0.11,0.03,2,0.01,0.04,47,0.25,0.04,122,0.65,0.04,17,0.09,0.03,3,0.02,0.08,45,0.24,0.04,115,0.61,0.03,27,0.14,0.04,2,0.01,0.03
NUEVO LEÓN,15,0.46,0.01,14,0.42,0.01,4,0.12,0.01,0,0,0,13,0.39,0.01,14,0.42,0.01,6,0.18,0.02,0,0,0,12,0.36,0.01,15,0.46,0.01,6,0.18,0.01,0,0,0,9,0.27,0.01,19,0.58,0.01,5,0.15,0.01,0,0,0,10,0.3,0.01,15,0.46,0,8,0.24,0.01,0,0,0,9,0.27,0.01,18,0.55,0.01,6,0.18,0.01,0,0,0,8,0.24,0.01,17,0.52,0.01,8,0.24,0.01,0,0,0
PUEBLA,86,0.45,0.04,99,0.52,0.03,6,0.03,0.02,0,0,0,87,0.46,0.05,98,0.51,0.03,5,0.03,0.01,1,0.01,0.06,78,0.41,0.04,100,0.52,0.03,11,0.06,0.03,2,0.01,0.07,50,0.26,0.04,127,0.67,0.04,12,0.06,0.03,2,0.01,0.06,41,0.22,0.04,133,0.7,0.04,15,0.08,0.02,2,0.01,0.04,51,0.27,0.04,123,0.64,0.04,17,0.09,0.03,0,0,0,53,0.28,0.05,126,0.66,0.04,9,0.05,0.01,3,0.02,0.05
QUERÉTARO,81,0.34,0.04,133,0.55,0.05,27,0.11,0.09,0,0,0,72,0.3,0.04,136,0.56,0.04,30,0.12,0.09,3,0.01,0.19,66,0.27,0.04,151,0.63,0.05,23,0.1,0.05,1,0,0.04,43,0.18,0.03,157,0.65,0.04,34,0.14,0.07,7,0.03,0.19,37,0.15,0.03,152,0.63,0.04,48,0.2,0.07,4,0.02,0.09,40,0.17,0.03,147,0.61,0.04,50,0.21,0.08,4,0.02,0.1,32,0.13,0.03,141,0.59,0.04,63,0.26,0.09,5,0.02,0.08
QUINTANA ROO,73,0.36,0.04,118,0.58,0.04,11,0.05,0.04,1,0.01,0.04,59,0.29,0.03,128,0.63,0.04,16,0.08,0.05,0,0,0,61,0.3,0.03,125,0.62,0.04,17,0.08,0.04,0,0,0,46,0.23,0.04,141,0.7,0.04,16,0.08,0.03,0,0,0,40,0.2,0.04,137,0.68,0.04,26,0.13,0.04,0,0,0,44,0.22,0.04,124,0.61,0.04,34,0.17,0.05,1,0.01,0.03,35,0.17,0.03,132,0.65,0.04,29,0.14,0.04,7,0.03,0.12
SAN LUIS POTOSÍ,86,0.35,0.04,145,0.6,0.05,11,0.05,0.04,1,0,0.04,76,0.31,0.04,154,0.63,0.05,13,0.05,0.04,0,0,0,85,0.35,0.05,138,0.57,0.05,20,0.08,0.05,0,0,0,65,0.27,0.05,158,0.65,0.05,19,0.08,0.04,1,0,0.03,49,0.2,0.04,164,0.68,0.05,27,0.11,0.04,3,0.01,0.07,56,0.23,0.05,164,0.68,0.05,22,0.09,0.04,1,0,0.03,59,0.24,0.05,156,0.64,0.05,25,0.1,0.04,3,0.01,0.05
SINALOA,152,0.4,0.07,207,0.55,0.07,20,0.05,0.07,1,0,0.04,142,0.37,0.07,209,0.55,0.07,27,0.07,0.08,2,0.01,0.13,139,0.37,0.08,214,0.56,0.07,21,0.06,0.05,6,0.02,0.21,98,0.26,0.08,239,0.63,0.07,34,0.09,0.07,9,0.02,0.25,100,0.26,0.09,227,0.6,0.07,51,0.13,0.07,2,0.01,0.04,100,0.26,0.08,233,0.61,0.07,45,0.12,0.07,2,0.01,0.05,89,0.23,0.08,241,0.63,0.07,47,0.12,0.07,3,0.01,0.05
SONORA,81,0.48,0.04,81,0.48,0.03,6,0.04,0.02,0,0,0,71,0.42,0.04,88,0.52,0.03,9,0.05,0.03,0,0,0,75,0.45,0.04,83,0.49,0.03,8,0.05,0.02,2,0.01,0.07,49,0.29,0.04,111,0.66,0.03,8,0.05,0.02,0,0,0,53,0.32,0.05,98,0.58,0.03,15,0.09,0.02,2,0.01,0.04,57,0.34,0.05,94,0.56,0.03,15,0.09,0.02,2,0.01,0.05,56,0.33,0.05,92,0.55,0.03,19,0.11,0.03,1,0.01,0.02
TABASCO,19,0.3,0.01,35,0.56,0.01,8,0.13,0.03,1,0.02,0.04,21,0.33,0.01,37,0.59,0.01,5,0.08,0.01,0,0,0,18,0.29,0.01,38,0.6,0.01,7,0.11,0.02,0,0,0,16,0.25,0.01,41,0.65,0.01,6,0.1,0.01,0,0,0,16,0.25,0.01,40,0.64,0.01,6,0.1,0.01,1,0.02,0.02,15,0.24,0.01,43,0.68,0.01,5,0.08,0.01,0,0,0,13,0.21,0.01,44,0.7,0.01,5,0.08,0.01,1,0.02,0.02
TAMAULIPAS,78,0.38,0.04,124,0.6,0.04,5,0.02,0.02,0,0,0,70,0.34,0.04,130,0.63,0.04,7,0.03,0.02,0,0,0,63,0.3,0.04,131,0.63,0.04,13,0.06,0.03,0,0,0,42,0.2,0.03,158,0.76,0.05,7,0.03,0.02,0,0,0,39,0.19,0.03,149,0.72,0.04,19,0.09,0.03,0,0,0,40,0.19,0.03,153,0.74,0.04,14,0.07,0.02,0,0,0,39,0.19,0.03,149,0.72,0.04,18,0.09,0.03,1,0.01,0.02
TLAXCALA,42,0.47,0.02,45,0.5,0.02,3,0.03,0.01,0,0,0,36,0.4,0.02,52,0.58,0.02,2,0.02,0.01,0,0,0,36,0.4,0.02,49,0.54,0.02,5,0.06,0.01,0,0,0,28,0.31,0.02,53,0.59,0.02,9,0.1,0.02,0,0,0,23,0.26,0.02,56,0.62,0.02,10,0.11,0.01,1,0.01,0.02,20,0.22,0.02,60,0.67,0.02,10,0.11,0.02,0,0,0,23,0.26,0.02,56,0.62,0.02,11,0.12,0.02,0,0,0
VERACRUZ,39,0.33,0.02,72,0.61,0.03,8,0.07,0.03,0,0,0,37,0.31,0.02,73,0.61,0.02,8,0.07,0.02,1,0.01,0.06,29,0.24,0.02,69,0.58,0.02,20,0.17,0.05,1,0.01,0.04,24,0.2,0.02,81,0.68,0.02,14,0.12,0.03,0,0,0,22,0.19,0.02,77,0.65,0.02,20,0.17,0.03,0,0,0,16,0.13,0.01,82,0.69,0.02,20,0.17,0.03,1,0.01,0.03,19,0.16,0.02,76,0.64,0.02,22,0.19,0.03,2,0.02,0.03
YUCATÁN,43,0.34,0.02,66,0.53,0.02,14,0.11,0.05,2,0.02,0.08,43,0.34,0.02,64,0.51,0.02,17,0.14,0.05,1,0.01,0.06,39,0.31,0.02,70,0.56,0.02,15,0.12,0.04,1,0.01,0.04,25,0.2,0.02,77,0.62,0.02,21,0.17,0.05,2,0.02,0.06,22,0.18,0.02,66,0.53,0.02,35,0.28,0.05,2,0.02,0.04,24,0.19,0.02,69,0.55,0.02,29,0.23,0.05,3,0.02,0.08,22,0.18,0.02,67,0.54,0.02,33,0.26,0.05,3,0.02,0.05
ZACATECAS,80,0.37,0.04,120,0.55,0.04,16,0.07,0.05,2,0.01,0.08,67,0.31,0.04,135,0.62,0.04,15,0.07,0.04,1,0.01,0.06,65,0.3,0.04,126,0.58,0.04,24,0.11,0.06,3,0.01,0.11,58,0.27,0.05,131,0.6,0.04,27,0.12,0.06,2,0.01,0.06,54,0.25,0.05,129,0.59,0.04,32,0.15,0.05,3,0.01,0.07,46,0.21,0.04,141,0.65,0.04,29,0.13,0.05,2,0.01,0.05,41,0.19,0.04,140,0.64,0.04,36,0.17,0.05,1,0.01,0.02
Hombre,94,0.41,0.04,122,0.53,0.04,12,0.05,0.04,3,0.01,0.13,95,0.41,0.05,123,0.53,0.04,12,0.05,0.04,1,0,0.06,80,0.35,0.04,137,0.59,0.04,13,0.06,0.03,1,0,0.04,62,0.27,0.05,145,0.63,0.04,19,0.08,0.04,5,0.02,0.14,58,0.25,0.05,137,0.59,0.04,34,0.15,0.05,2,0.01,0.04,62,0.27,0.05,141,0.61,0.04,25,0.11,0.04,3,0.01,0.08,64,0.28,0.06,134,0.58,0.04,29,0.13,0.04,4,0.02,0.07
Mujer,2020,0.4,0.96,2772,0.54,0.96,293,0.06,0.96,21,0,0.88,1822,0.36,0.95,2934,0.58,0.96,335,0.07,0.97,15,0,0.94,1719,0.34,0.96,2948,0.58,0.96,412,0.08,0.97,27,0.01,0.96,1239,0.24,0.95,3387,0.66,0.96,449,0.09,0.96,31,0.01,0.86,1085,0.21,0.95,3300,0.65,0.96,678,0.13,0.95,43,0.01,0.96,1138,0.22,0.95,3322,0.65,0.96,610,0.12,0.96,36,0.01,0.92,1073,0.21,0.94,3288,0.64,0.96,689,0.14,0.96,56,0.01,0.93
18 a 20 años,11,0.34,0.01,20,0.63,0.01,1,0.03,0,0,0,0,11,0.34,0.01,20,0.63,0.01,1,0.03,0,0,0,0,10,0.31,0.01,20,0.63,0.01,2,0.06,0.01,0,0,0,3,0.09,0,28,0.88,0.01,1,0.03,0,0,0,0,5,0.16,0,23,0.72,0.01,3,0.09,0,1,0.03,0.02,6,0.19,0.01,24,0.75,0.01,1,0.03,0,1,0.03,0.03,7,0.22,0.01,20,0.63,0.01,4,0.13,0.01,1,0.03,0.02
21 a 30 años,517,0.45,0.25,573,0.49,0.2,67,0.06,0.22,5,0,0.21,461,0.4,0.24,611,0.53,0.2,87,0.08,0.25,3,0,0.19,444,0.38,0.25,608,0.52,0.2,106,0.09,0.25,4,0,0.14,331,0.29,0.25,727,0.63,0.21,93,0.08,0.2,11,0.01,0.31,294,0.25,0.26,696,0.6,0.2,158,0.14,0.22,14,0.01,0.31,315,0.27,0.26,697,0.6,0.2,138,0.12,0.22,12,0.01,0.31,288,0.25,0.25,710,0.61,0.21,152,0.13,0.21,12,0.01,0.2
31 a 40 años,726,0.39,0.34,1018,0.54,0.35,117,0.06,0.38,10,0.01,0.42,637,0.34,0.33,1099,0.59,0.36,128,0.07,0.37,7,0,0.44,607,0.32,0.34,1098,0.59,0.36,155,0.08,0.37,11,0.01,0.39,426,0.23,0.33,1255,0.67,0.36,180,0.1,0.39,10,0.01,0.28,366,0.2,0.32,1223,0.65,0.36,268,0.14,0.38,14,0.01,0.31,389,0.21,0.32,1228,0.66,0.36,238,0.13,0.38,16,0.01,0.41,364,0.2,0.32,1221,0.65,0.36,269,0.14,0.38,17,0.01,0.28
41 a 50 años,582,0.37,0.28,895,0.57,0.31,92,0.06,0.3,7,0,0.29,548,0.35,0.29,926,0.59,0.3,96,0.06,0.28,6,0,0.38,489,0.31,0.27,962,0.61,0.31,117,0.07,0.28,8,0.01,0.29,370,0.24,0.28,1053,0.67,0.3,142,0.09,0.3,11,0.01,0.31,329,0.21,0.29,1030,0.65,0.3,208,0.13,0.29,9,0.01,0.2,333,0.21,0.28,1051,0.67,0.3,184,0.12,0.29,8,0.01,0.21,324,0.21,0.29,1028,0.65,0.3,208,0.13,0.29,16,0.01,0.27
51 a 60 años,269,0.4,0.13,372,0.56,0.13,27,0.04,0.09,2,0,0.08,251,0.38,0.13,385,0.58,0.13,34,0.05,0.1,0,0,0,241,0.36,0.13,381,0.57,0.12,43,0.06,0.1,5,0.01,0.18,165,0.25,0.13,450,0.67,0.13,51,0.08,0.11,4,0.01,0.11,145,0.22,0.13,446,0.67,0.13,72,0.11,0.1,7,0.01,0.16,153,0.23,0.13,445,0.66,0.13,70,0.1,0.11,2,0,0.05,150,0.22,0.13,427,0.64,0.13,80,0.12,0.11,13,0.02,0.22
61 a 70 años,9,0.35,0,16,0.62,0.01,1,0.04,0,0,0,0,9,0.35,0.01,16,0.62,0.01,1,0.04,0,0,0,0,8,0.31,0,16,0.62,0.01,2,0.08,0.01,0,0,0,6,0.23,0.01,19,0.73,0.01,1,0.04,0,0,0,0,4,0.15,0,19,0.73,0.01,3,0.12,0,0,0,0,4,0.15,0,18,0.69,0.01,4,0.15,0.01,0,0,0,4,0.15,0,16,0.62,0.01,5,0.19,0.01,1,0.04,0.02
