Variable,B2-A-Mucho-Recuento,B2-A-Mucho-% del N de fila,B2-A-Mucho-% de N columnas,B2-A-Regular-Recuento,B2-A-Regular-% del N de fila,B2-A-Regular-% de N columnas,B2-A-Poco-Recuento,B2-A-Poco-% del N de fila,B2-A-Poco-% de N columnas,B2-A-Nada-Recuento,B2-A-Nada-% del N de fila,B2-A-Nada-% de N columnas,B2-B-Mucho-Recuento,B2-B-Mucho-% del N de fila,B2-B-Mucho-% de N columnas,B2-B-Regular-Recuento,B2-B-Regular-% del N de fila,B2-B-Regular-% de N columnas,B2-B-Poco-Recuento,B2-B-Poco-% del N de fila,B2-B-Poco-% de N columnas,B2-B-Nada-Recuento,B2-B-Nada-% del N de fila,B2-B-Nada-% de N columnas,B2-C-Mucho-Recuento,B2-C-Mucho-% del N de fila,B2-C-Mucho-% de N columnas,B2-C-Regular-Recuento,B2-C-Regular-% del N de fila,B2-C-Regular-% de N columnas,B2-C-Poco-Recuento,B2-C-Poco-% del N de fila,B2-C-Poco-% de N columnas,B2-C-Nada-Recuento,B2-C-Nada-% del N de fila,B2-C-Nada-% de N columnas,B2-D-Mucho-Recuento,B2-D-Mucho-% del N de fila,B2-D-Mucho-% de N columnas,B2-D-Regular-Recuento,B2-D-Regular-% del N de fila,B2-D-Regular-% de N columnas,B2-D-Poco-Recuento,B2-D-Poco-% del N de fila,B2-D-Poco-% de N columnas,B2-D-Nada-Recuento,B2-D-Nada-% del N de fila,B2-D-Nada-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Poco-Recuento,B2-E-Poco-% del N de fila,B2-E-Poco-% de N columnas,B2-E-Nada-Recuento,B2-E-Nada-% del N de fila,B2-E-Nada-% de N columnas,B2-F-Mucho-Recuento,B2-F-Mucho-% del N de fila,B2-F-Mucho-% de N columnas,B2-F-Regular-Recuento,B2-F-Regular-% del N de fila,B2-F-Regular-% de N columnas,B2-F-Poco-Recuento,B2-F-Poco-% del N de fila,B2-F-Poco-% de N columnas,B2-F-Nada-Recuento,B2-F-Nada-% del N de fila,B2-F-Nada-% de N columnas
ESTADO DE MÉXICO,128,0.8,0.04,32,0.2,0.04,0,0,0,1,0.01,0.17,128,0.8,0.04,32,0.2,0.04,1,0.01,0.02,0,0,0,117,0.73,0.04,44,0.27,0.04,0,0,0,0,0,0,111,0.69,0.04,47,0.29,0.03,3,0.02,0.04,0,0,0,110,0.68,0.04,48,0.3,0.03,3,0.02,0.03,0,0,0,100,0.62,0.04,56,0.35,0.04,5,0.03,0.04,0,0,0
GUANAJUATO,141,0.84,0.04,25,0.15,0.03,2,0.01,0.07,0,0,0,136,0.81,0.04,31,0.19,0.04,1,0.01,0.02,0,0,0,129,0.77,0.04,35,0.21,0.03,4,0.02,0.08,0,0,0,112,0.67,0.04,53,0.32,0.04,3,0.02,0.04,0,0,0,108,0.64,0.04,56,0.33,0.04,4,0.02,0.04,0,0,0,115,0.69,0.04,48,0.29,0.03,5,0.03,0.04,0,0,0
GUERRERO,34,0.81,0.01,8,0.19,0.01,0,0,0,0,0,0,35,0.83,0.01,7,0.17,0.01,0,0,0,0,0,0,31,0.74,0.01,11,0.26,0.01,0,0,0,0,0,0,27,0.64,0.01,15,0.36,0.01,0,0,0,0,0,0,29,0.69,0.01,13,0.31,0.01,0,0,0,0,0,0,26,0.62,0.01,15,0.36,0.01,1,0.02,0.01,0,0,0
HIDALGO,125,0.81,0.04,30,0.19,0.04,0,0,0,0,0,0,122,0.79,0.04,32,0.21,0.04,1,0.01,0.02,0,0,0,118,0.76,0.04,36,0.23,0.03,1,0.01,0.02,0,0,0,106,0.68,0.04,47,0.3,0.03,2,0.01,0.02,0,0,0,110,0.71,0.04,44,0.28,0.03,1,0.01,0.01,0,0,0,98,0.63,0.04,52,0.34,0.04,5,0.03,0.04,0,0,0
JALISCO,109,0.81,0.03,25,0.19,0.03,1,0.01,0.03,0,0,0,114,0.84,0.03,20,0.15,0.02,1,0.01,0.02,0,0,0,108,0.8,0.03,22,0.16,0.02,4,0.03,0.08,1,0.01,0.25,104,0.77,0.04,28,0.21,0.02,3,0.02,0.04,0,0,0,96,0.71,0.04,37,0.27,0.03,2,0.02,0.02,0,0,0,96,0.71,0.04,37,0.27,0.03,2,0.02,0.02,0,0,0
MICHOACÁN,23,0.7,0.01,8,0.24,0.01,2,0.06,0.07,0,0,0,23,0.7,0.01,8,0.24,0.01,2,0.06,0.05,0,0,0,22,0.67,0.01,9,0.27,0.01,2,0.06,0.04,0,0,0,16,0.49,0.01,15,0.46,0.01,1,0.03,0.01,1,0.03,0.2,20,0.61,0.01,11,0.33,0.01,1,0.03,0.01,1,0.03,0.25,18,0.55,0.01,13,0.39,0.01,1,0.03,0.01,1,0.03,0.14
MORELOS,152,0.86,0.05,24,0.14,0.03,1,0.01,0.03,0,0,0,151,0.85,0.05,26,0.15,0.03,0,0,0,0,0,0,138,0.78,0.04,38,0.22,0.04,1,0.01,0.02,0,0,0,129,0.73,0.05,45,0.25,0.03,2,0.01,0.02,1,0.01,0.2,116,0.66,0.04,58,0.33,0.04,3,0.02,0.03,0,0,0,129,0.73,0.05,44,0.25,0.03,4,0.02,0.03,0,0,0
NAYARIT,110,0.73,0.03,41,0.27,0.05,0,0,0,0,0,0,100,0.66,0.03,48,0.32,0.06,3,0.02,0.07,0,0,0,97,0.64,0.03,51,0.34,0.05,3,0.02,0.06,0,0,0,87,0.58,0.03,54,0.36,0.04,10,0.07,0.12,0,0,0,83,0.55,0.03,61,0.4,0.04,7,0.05,0.07,0,0,0,80,0.53,0.03,61,0.4,0.04,10,0.07,0.08,0,0,0
NUEVO LEÓN,26,0.84,0.01,5,0.16,0.01,0,0,0,0,0,0,25,0.81,0.01,6,0.19,0.01,0,0,0,0,0,0,24,0.77,0.01,7,0.23,0.01,0,0,0,0,0,0,21,0.68,0.01,10,0.32,0.01,0,0,0,0,0,0,20,0.65,0.01,11,0.36,0.01,0,0,0,0,0,0,20,0.65,0.01,10,0.32,0.01,1,0.03,0.01,0,0,0
PUEBLA,107,0.81,0.03,25,0.19,0.03,0,0,0,1,0.01,0.17,103,0.77,0.03,29,0.22,0.03,1,0.01,0.02,0,0,0,106,0.8,0.03,26,0.2,0.03,1,0.01,0.02,0,0,0,87,0.65,0.03,46,0.35,0.03,0,0,0,0,0,0,87,0.65,0.03,46,0.35,0.03,0,0,0,0,0,0,83,0.62,0.03,50,0.38,0.04,0,0,0,0,0,0
QUERÉTARO,152,0.8,0.05,37,0.19,0.04,1,0.01,0.03,1,0.01,0.17,149,0.78,0.05,37,0.19,0.04,4,0.02,0.1,1,0.01,0.11,133,0.7,0.04,55,0.29,0.05,2,0.01,0.04,1,0.01,0.25,121,0.63,0.04,64,0.34,0.05,4,0.02,0.05,2,0.01,0.4,119,0.62,0.04,70,0.37,0.05,1,0.01,0.01,1,0.01,0.25,112,0.59,0.04,72,0.38,0.05,6,0.03,0.05,1,0.01,0.14
QUINTANA ROO,126,0.74,0.04,44,0.26,0.05,0,0,0,0,0,0,125,0.74,0.04,44,0.26,0.05,1,0.01,0.02,0,0,0,119,0.7,0.04,49,0.29,0.05,2,0.01,0.04,0,0,0,107,0.63,0.04,59,0.35,0.04,4,0.02,0.05,0,0,0,97,0.57,0.04,71,0.42,0.05,2,0.01,0.02,0,0,0,101,0.59,0.04,64,0.38,0.05,5,0.03,0.04,0,0,0
SAN LUIS POTOSÍ,126,0.75,0.04,42,0.25,0.05,1,0.01,0.03,0,0,0,128,0.76,0.04,41,0.24,0.05,0,0,0,0,0,0,117,0.69,0.04,50,0.3,0.05,2,0.01,0.04,0,0,0,110,0.65,0.04,55,0.33,0.04,4,0.02,0.05,0,0,0,112,0.66,0.04,51,0.3,0.04,6,0.04,0.06,0,0,0,108,0.64,0.04,59,0.35,0.04,2,0.01,0.02,0,0,0
SINALOA,161,0.84,0.05,28,0.15,0.03,2,0.01,0.07,0,0,0,159,0.83,0.05,31,0.16,0.04,0,0,0,1,0.01,0.11,154,0.81,0.05,36,0.19,0.03,1,0.01,0.02,0,0,0,133,0.7,0.05,55,0.29,0.04,3,0.02,0.04,0,0,0,133,0.7,0.05,55,0.29,0.04,3,0.02,0.03,0,0,0,135,0.71,0.05,51,0.27,0.04,5,0.03,0.04,0,0,0
SONORA,118,0.8,0.04,27,0.18,0.03,1,0.01,0.03,1,0.01,0.17,115,0.78,0.03,30,0.2,0.04,2,0.01,0.05,0,0,0,104,0.71,0.03,41,0.28,0.04,1,0.01,0.02,1,0.01,0.25,90,0.61,0.03,55,0.37,0.04,2,0.01,0.02,0,0,0,104,0.71,0.04,35,0.24,0.03,7,0.05,0.07,1,0.01,0.25,97,0.66,0.04,45,0.31,0.03,4,0.03,0.03,1,0.01,0.14
TABASCO,104,0.8,0.03,25,0.19,0.03,0,0,0,1,0.01,0.17,97,0.75,0.03,30,0.23,0.04,1,0.01,0.02,2,0.02,0.22,104,0.8,0.03,26,0.2,0.03,0,0,0,0,0,0,88,0.68,0.03,42,0.32,0.03,0,0,0,0,0,0,87,0.67,0.03,39,0.3,0.03,4,0.03,0.04,0,0,0,86,0.66,0.03,40,0.31,0.03,4,0.03,0.03,0,0,0
TAMAULIPAS,117,0.78,0.04,33,0.22,0.04,1,0.01,0.03,0,0,0,121,0.8,0.04,28,0.19,0.03,1,0.01,0.02,1,0.01,0.11,117,0.78,0.04,32,0.21,0.03,2,0.01,0.04,0,0,0,105,0.7,0.04,45,0.3,0.03,1,0.01,0.01,0,0,0,97,0.64,0.04,51,0.34,0.04,3,0.02,0.03,0,0,0,101,0.67,0.04,45,0.3,0.03,5,0.03,0.04,0,0,0
TLAXCALA,135,0.86,0.04,19,0.12,0.02,3,0.02,0.1,0,0,0,131,0.83,0.04,21,0.13,0.02,5,0.03,0.12,0,0,0,126,0.8,0.04,27,0.17,0.03,4,0.03,0.08,0,0,0,107,0.68,0.04,44,0.28,0.03,6,0.04,0.07,0,0,0,106,0.68,0.04,47,0.3,0.03,4,0.03,0.04,0,0,0,113,0.72,0.04,37,0.24,0.03,7,0.05,0.05,0,0,0
VERACRUZ,84,0.75,0.03,28,0.25,0.03,0,0,0,0,0,0,84,0.75,0.03,28,0.25,0.03,0,0,0,0,0,0,80,0.71,0.03,32,0.29,0.03,0,0,0,0,0,0,68,0.61,0.02,44,0.39,0.03,0,0,0,0,0,0,65,0.58,0.02,44,0.39,0.03,3,0.03,0.03,0,0,0,65,0.58,0.02,45,0.4,0.03,2,0.02,0.02,0,0,0
YUCATÁN,84,0.83,0.03,16,0.16,0.02,1,0.01,0.03,0,0,0,78,0.77,0.02,22,0.22,0.03,1,0.01,0.02,0,0,0,76,0.75,0.02,24,0.24,0.02,1,0.01,0.02,0,0,0,63,0.62,0.02,35,0.35,0.03,3,0.03,0.04,0,0,0,65,0.64,0.02,33,0.33,0.02,3,0.03,0.03,0,0,0,64,0.63,0.02,33,0.33,0.02,3,0.03,0.02,1,0.01,0.14
ZACATECAS,138,0.74,0.04,46,0.25,0.05,3,0.02,0.1,0,0,0,141,0.75,0.04,43,0.23,0.05,3,0.02,0.07,0,0,0,121,0.65,0.04,61,0.33,0.06,5,0.03,0.1,0,0,0,107,0.57,0.04,72,0.39,0.05,8,0.04,0.09,0,0,0,96,0.51,0.04,82,0.44,0.06,9,0.05,0.1,0,0,0,97,0.52,0.04,79,0.42,0.06,10,0.05,0.08,1,0.01,0.14
Hombre,1465,0.79,0.44,375,0.2,0.44,13,0.01,0.43,0,0,0,1444,0.78,0.43,391,0.21,0.45,15,0.01,0.37,3,0,0.33,1382,0.75,0.44,450,0.24,0.43,21,0.01,0.41,0,0,0,1199,0.65,0.43,618,0.33,0.45,35,0.02,0.41,1,0,0.2,1153,0.62,0.42,662,0.36,0.47,37,0.02,0.39,1,0,0.25,1180,0.64,0.44,625,0.34,0.44,45,0.02,0.34,3,0,0.43
Mujer,1901,0.79,0.57,476,0.2,0.56,17,0.01,0.57,6,0,1,1896,0.79,0.57,472,0.2,0.55,26,0.01,0.63,6,0,0.67,1772,0.74,0.56,594,0.25,0.57,30,0.01,0.59,4,0,1,1581,0.66,0.57,764,0.32,0.55,51,0.02,0.59,4,0,0.8,1582,0.66,0.58,758,0.32,0.53,57,0.02,0.61,3,0,0.75,1504,0.63,0.56,804,0.34,0.56,88,0.04,0.66,4,0,0.57
18 a 20 años,8,0.8,0,2,0.2,0,0,0,0,0,0,0,8,0.8,0,2,0.2,0,0,0,0,0,0,0,8,0.8,0,2,0.2,0,0,0,0,0,0,0,6,0.6,0,4,0.4,0,0,0,0,0,0,0,6,0.6,0,4,0.4,0,0,0,0,0,0,0,6,0.6,0,4,0.4,0,0,0,0,0,0,0
21 a 30 años,151,0.74,0.05,51,0.25,0.06,3,0.02,0.1,0,0,0,149,0.73,0.05,52,0.25,0.06,4,0.02,0.1,0,0,0,139,0.68,0.04,62,0.3,0.06,4,0.02,0.08,0,0,0,123,0.6,0.04,73,0.36,0.05,9,0.04,0.11,0,0,0,126,0.62,0.05,77,0.38,0.05,2,0.01,0.02,0,0,0,108,0.53,0.04,86,0.42,0.06,11,0.05,0.08,0,0,0
31 a 40 años,768,0.77,0.23,216,0.22,0.25,7,0.01,0.23,2,0,0.33,759,0.76,0.23,220,0.22,0.26,10,0.01,0.24,4,0,0.44,693,0.7,0.22,281,0.28,0.27,17,0.02,0.33,2,0,0.5,611,0.62,0.22,359,0.36,0.26,20,0.02,0.23,3,0,0.6,624,0.63,0.23,342,0.34,0.24,25,0.03,0.27,2,0,0.5,584,0.59,0.22,373,0.38,0.26,33,0.03,0.25,3,0,0.43
41 a 50 años,997,0.79,0.3,245,0.2,0.29,13,0.01,0.43,3,0,0.5,978,0.78,0.29,263,0.21,0.31,15,0.01,0.37,2,0,0.22,933,0.74,0.3,305,0.24,0.29,18,0.01,0.35,2,0,0.5,814,0.65,0.29,408,0.32,0.3,34,0.03,0.4,2,0,0.4,787,0.63,0.29,434,0.35,0.31,35,0.03,0.37,2,0,0.5,762,0.61,0.28,444,0.35,0.31,48,0.04,0.36,4,0,0.57
51 a 60 años,1001,0.79,0.3,253,0.2,0.3,6,0.01,0.2,1,0,0.17,1008,0.8,0.3,240,0.19,0.28,10,0.01,0.24,3,0,0.33,953,0.76,0.3,299,0.24,0.29,9,0.01,0.18,0,0,0,849,0.67,0.31,396,0.31,0.29,16,0.01,0.19,0,0,0,814,0.65,0.3,423,0.34,0.3,24,0.02,0.26,0,0,0,834,0.66,0.31,390,0.31,0.27,37,0.03,0.28,0,0,0
61 a 70 años,386,0.83,0.12,77,0.17,0.09,1,0,0.03,0,0,0,383,0.83,0.12,79,0.17,0.09,2,0,0.05,0,0,0,376,0.81,0.12,86,0.19,0.08,2,0,0.04,0,0,0,331,0.71,0.12,129,0.28,0.09,4,0.01,0.05,0,0,0,335,0.72,0.12,122,0.26,0.09,7,0.02,0.07,0,0,0,341,0.74,0.13,120,0.26,0.08,3,0.01,0.02,0,0,0
71 a 80 años,55,0.89,0.02,7,0.11,0.01,0,0,0,0,0,0,55,0.89,0.02,7,0.11,0.01,0,0,0,0,0,0,52,0.84,0.02,9,0.15,0.01,1,0.02,0.02,0,0,0,46,0.74,0.02,13,0.21,0.01,3,0.05,0.04,0,0,0,43,0.69,0.02,18,0.29,0.01,1,0.02,0.01,0,0,0,49,0.79,0.02,12,0.19,0.01,1,0.02,0.01,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",11,0.61,0,7,0.39,0.01,0,0,0,0,0,0,9,0.5,0,9,0.5,0.01,0,0,0,0,0,0,11,0.61,0,7,0.39,0.01,0,0,0,0,0,0,10,0.56,0,8,0.44,0.01,0,0,0,0,0,0,9,0.5,0,9,0.5,0.01,0,0,0,0,0,0,8,0.44,0,9,0.5,0.01,1,0.06,0.01,0,0,0
Normal básica sin licenciatura,65,0.76,0.02,21,0.24,0.03,0,0,0,0,0,0,65,0.76,0.02,20,0.23,0.02,1,0.01,0.02,0,0,0,66,0.77,0.02,20,0.23,0.02,0,0,0,0,0,0,57,0.66,0.02,28,0.33,0.02,1,0.01,0.01,0,0,0,53,0.62,0.02,32,0.37,0.02,1,0.01,0.01,0,0,0,54,0.63,0.02,30,0.35,0.02,2,0.02,0.02,0,0,0
Normal superior,187,0.77,0.06,55,0.23,0.07,0,0,0,0,0,0,182,0.75,0.05,60,0.25,0.07,0,0,0,0,0,0,177,0.73,0.06,63,0.26,0.06,2,0.01,0.04,0,0,0,153,0.63,0.06,84,0.35,0.06,5,0.02,0.06,0,0,0,148,0.61,0.05,93,0.38,0.07,1,0,0.01,0,0,0,147,0.61,0.06,92,0.38,0.06,3,0.01,0.02,0,0,0
Normal Intercultural Bilingüe,4,0.8,0,1,0.2,0,0,0,0,0,0,0,2,0.4,0,2,0.4,0,1,0.2,0.02,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
Licenciatura,1360,0.74,0.4,450,0.25,0.53,20,0.01,0.67,4,0,0.67,1354,0.74,0.41,451,0.25,0.52,25,0.01,0.61,4,0,0.44,1267,0.69,0.4,534,0.29,0.51,31,0.02,0.61,2,0,0.5,1121,0.61,0.4,664,0.36,0.48,47,0.03,0.55,2,0,0.4,1088,0.59,0.4,693,0.38,0.49,52,0.03,0.55,1,0,0.25,1051,0.57,0.39,702,0.38,0.49,79,0.04,0.59,2,0,0.29
Especialidad,43,0.88,0.01,5,0.1,0.01,1,0.02,0.03,0,0,0,41,0.84,0.01,6,0.12,0.01,1,0.02,0.02,1,0.02,0.11,39,0.8,0.01,9,0.18,0.01,1,0.02,0.02,0,0,0,36,0.74,0.01,11,0.22,0.01,2,0.04,0.02,0,0,0,36,0.74,0.01,11,0.22,0.01,2,0.04,0.02,0,0,0,37,0.76,0.01,11,0.22,0.01,1,0.02,0.01,0,0,0
Maestría,1313,0.84,0.39,249,0.16,0.29,5,0,0.17,2,0,0.33,1308,0.83,0.39,250,0.16,0.29,9,0.01,0.22,2,0,0.22,1226,0.78,0.39,329,0.21,0.32,13,0.01,0.26,1,0,0.25,1074,0.69,0.39,473,0.3,0.34,20,0.01,0.23,2,0,0.4,1060,0.68,0.39,481,0.31,0.34,27,0.02,0.29,1,0,0.25,1053,0.67,0.39,476,0.3,0.33,37,0.02,0.28,3,0,0.43
Doctorado,372,0.85,0.11,60,0.14,0.07,4,0.01,0.13,0,0,0,367,0.84,0.11,63,0.14,0.07,4,0.01,0.1,2,0.01,0.22,354,0.81,0.11,77,0.18,0.07,4,0.01,0.08,1,0,0.25,316,0.73,0.11,108,0.25,0.08,11,0.03,0.13,1,0,0.2,327,0.75,0.12,97,0.22,0.07,11,0.03,0.12,1,0,0.25,322,0.74,0.12,103,0.24,0.07,9,0.02,0.07,2,0.01,0.29
Posdoctorado,11,0.79,0,3,0.21,0,0,0,0,0,0,0,12,0.86,0,2,0.14,0,0,0,0,0,0,0,11,0.79,0,3,0.21,0,0,0,0,0,0,0,8,0.57,0,6,0.43,0,0,0,0,0,0,0,9,0.64,0,4,0.29,0,0,0,0,1,0.07,0.25,7,0.5,0,6,0.43,0,1,0.07,0.01,0,0,0
Menor o igual a 10,2300,0.8,0.68,559,0.19,0.66,24,0.01,0.8,5,0,0.83,2278,0.79,0.68,573,0.2,0.66,31,0.01,0.76,6,0,0.67,2134,0.74,0.68,709,0.25,0.68,42,0.02,0.82,3,0,0.75,1871,0.65,0.67,948,0.33,0.69,65,0.02,0.76,4,0,0.8,1847,0.64,0.68,975,0.34,0.69,64,0.02,0.68,2,0,0.5,1799,0.62,0.67,983,0.34,0.69,101,0.04,0.76,5,0,0.71
11 a 20,688,0.77,0.2,198,0.22,0.23,6,0.01,0.2,1,0,0.17,688,0.77,0.21,194,0.22,0.23,8,0.01,0.2,3,0,0.33,668,0.75,0.21,216,0.24,0.21,8,0.01,0.16,1,0,0.25,594,0.67,0.21,280,0.31,0.2,18,0.02,0.21,1,0,0.2,581,0.65,0.21,289,0.32,0.2,21,0.02,0.22,2,0,0.5,581,0.65,0.22,286,0.32,0.2,25,0.03,0.19,1,0,0.14
