Variable,B6-A-Totalmente de acuerdo-Recuento,B6-A-Totalmente de acuerdo-% del N de fila,B6-A-Totalmente de acuerdo-% de N columnas,B6-A-De acuerdo-Recuento,B6-A-De acuerdo-% del N de fila,B6-A-De acuerdo-% de N columnas,B6-A-En desacuerdo-Recuento,B6-A-En desacuerdo-% del N de fila,B6-A-En desacuerdo-% de N columnas,B6-A-Totalmente en desacuerdo-Recuento,B6-A-Totalmente en desacuerdo-% del N de fila,B6-A-Totalmente en desacuerdo-% de N columnas,B6-A-No sé o no estoy seguro-Recuento,B6-A-No sé o no estoy seguro-% del N de fila,B6-A-No sé o no estoy seguro-% de N columnas,B6-B-Totalmente de acuerdo-Recuento,B6-B-Totalmente de acuerdo-% del N de fila,B6-B-Totalmente de acuerdo-% de N columnas,B6-B-De acuerdo-Recuento,B6-B-De acuerdo-% del N de fila,B6-B-De acuerdo-% de N columnas,B6-B-En desacuerdo-Recuento,B6-B-En desacuerdo-% del N de fila,B6-B-En desacuerdo-% de N columnas,B6-B-Totalmente en desacuerdo-Recuento,B6-B-Totalmente en desacuerdo-% del N de fila,B6-B-Totalmente en desacuerdo-% de N columnas,B6-B-No sé o no estoy seguro-Recuento,B6-B-No sé o no estoy seguro-% del N de fila,B6-B-No sé o no estoy seguro-% de N columnas,B6-C-Totalmente de acuerdo-Recuento,B6-C-Totalmente de acuerdo-% del N de fila,B6-C-Totalmente de acuerdo-% de N columnas,B6-C-De acuerdo-Recuento,B6-C-De acuerdo-% del N de fila,B6-C-De acuerdo-% de N columnas,B6-C-En desacuerdo-Recuento,B6-C-En desacuerdo-% del N de fila,B6-C-En desacuerdo-% de N columnas,B6-C-Totalmente en desacuerdo-Recuento,B6-C-Totalmente en desacuerdo-% del N de fila,B6-C-Totalmente en desacuerdo-% de N columnas,B6-C-No sé o no estoy seguro-Recuento,B6-C-No sé o no estoy seguro-% del N de fila,B6-C-No sé o no estoy seguro-% de N columnas,B6-D-Totalmente de acuerdo-Recuento,B6-D-Totalmente de acuerdo-% del N de fila,B6-D-Totalmente de acuerdo-% de N columnas,B6-D-De acuerdo-Recuento,B6-D-De acuerdo-% del N de fila,B6-D-De acuerdo-% de N columnas,B6-D-En desacuerdo-Recuento,B6-D-En desacuerdo-% del N de fila,B6-D-En desacuerdo-% de N columnas,B6-D-Totalmente en desacuerdo-Recuento,B6-D-Totalmente en desacuerdo-% del N de fila,B6-D-Totalmente en desacuerdo-% de N columnas,B6-D-No sé o no estoy seguro-Recuento,B6-D-No sé o no estoy seguro-% del N de fila,B6-D-No sé o no estoy seguro-% de N columnas,B6-E-Totalmente de acuerdo-Recuento,B6-E-Totalmente de acuerdo-% del N de fila,B6-E-Totalmente de acuerdo-% de N columnas,B6-E-De acuerdo-Recuento,B6-E-De acuerdo-% del N de fila,B6-E-De acuerdo-% de N columnas,B6-E-En desacuerdo-Recuento,B6-E-En desacuerdo-% del N de fila,B6-E-En desacuerdo-% de N columnas,B6-E-Totalmente en desacuerdo-Recuento,B6-E-Totalmente en desacuerdo-% del N de fila,B6-E-Totalmente en desacuerdo-% de N columnas,B6-E-No sé o no estoy seguro-Recuento,B6-E-No sé o no estoy seguro-% del N de fila,B6-E-No sé o no estoy seguro-% de N columnas,B6-F-Totalmente de acuerdo-Recuento,B6-F-Totalmente de acuerdo-% del N de fila,B6-F-Totalmente de acuerdo-% de N columnas,B6-F-De acuerdo-Recuento,B6-F-De acuerdo-% del N de fila,B6-F-De acuerdo-% de N columnas,B6-F-En desacuerdo-Recuento,B6-F-En desacuerdo-% del N de fila,B6-F-En desacuerdo-% de N columnas,B6-F-Totalmente en desacuerdo-Recuento,B6-F-Totalmente en desacuerdo-% del N de fila,B6-F-Totalmente en desacuerdo-% de N columnas,B6-F-No sé o no estoy seguro-Recuento,B6-F-No sé o no estoy seguro-% del N de fila,B6-F-No sé o no estoy seguro-% de N columnas,B6-G-Totalmente de acuerdo-Recuento,B6-G-Totalmente de acuerdo-% del N de fila,B6-G-Totalmente de acuerdo-% de N columnas,B6-G-De acuerdo-Recuento,B6-G-De acuerdo-% del N de fila,B6-G-De acuerdo-% de N columnas,B6-G-En desacuerdo-Recuento,B6-G-En desacuerdo-% del N de fila,B6-G-En desacuerdo-% de N columnas,B6-G-Totalmente en desacuerdo-Recuento,B6-G-Totalmente en desacuerdo-% del N de fila,B6-G-Totalmente en desacuerdo-% de N columnas,B6-G-No sé o no estoy seguro-Recuento,B6-G-No sé o no estoy seguro-% del N de fila,B6-G-No sé o no estoy seguro-% de N columnas,B6-H-Totalmente de acuerdo-Recuento,B6-H-Totalmente de acuerdo-% del N de fila,B6-H-Totalmente de acuerdo-% de N columnas,B6-H-De acuerdo-Recuento,B6-H-De acuerdo-% del N de fila,B6-H-De acuerdo-% de N columnas,B6-H-En desacuerdo-Recuento,B6-H-En desacuerdo-% del N de fila,B6-H-En desacuerdo-% de N columnas,B6-H-Totalmente en desacuerdo-Recuento,B6-H-Totalmente en desacuerdo-% del N de fila,B6-H-Totalmente en desacuerdo-% de N columnas,B6-H-No sé o no estoy seguro-Recuento,B6-H-No sé o no estoy seguro-% del N de fila,B6-H-No sé o no estoy seguro-% de N columnas,B6-I-Totalmente de acuerdo-Recuento,B6-I-Totalmente de acuerdo-% del N de fila,B6-I-Totalmente de acuerdo-% de N columnas,B6-I-De acuerdo-Recuento,B6-I-De acuerdo-% del N de fila,B6-I-De acuerdo-% de N columnas,B6-I-En desacuerdo-Recuento,B6-I-En desacuerdo-% del N de fila,B6-I-En desacuerdo-% de N columnas,B6-I-Totalmente en desacuerdo-Recuento,B6-I-Totalmente en desacuerdo-% del N de fila,B6-I-Totalmente en desacuerdo-% de N columnas,B6-I-No sé o no estoy seguro-Recuento,B6-I-No sé o no estoy seguro-% del N de fila,B6-I-No sé o no estoy seguro-% de N columnas
31 a 40 años,677,0.168,0.324,2806,0.694,0.362,350,0.087,0.36,45,0.011,0.437,163,0.04,0.309,904,0.224,0.335,2728,0.675,0.358,292,0.072,0.376,24,0.006,0.304,93,0.023,0.352,1040,0.257,0.332,2644,0.654,0.358,257,0.064,0.407,20,0.005,0.222,80,0.02,0.4,1159,0.287,0.329,2627,0.65,0.364,173,0.043,0.357,22,0.005,0.338,60,0.015,0.423,849,0.21,0.334,2800,0.693,0.359,219,0.054,0.356,21,0.005,0.362,152,0.038,0.361,1361,0.337,0.338,2392,0.592,0.358,208,0.051,0.414,18,0.004,0.24,62,0.015,0.446,1656,0.41,0.347,2272,0.562,0.356,82,0.02,0.404,10,0.002,0.294,21,0.005,0.457,1144,0.283,0.343,2536,0.628,0.359,217,0.054,0.355,21,0.005,0.333,123,0.03,0.346,887,0.22,0.343,2649,0.656,0.355,310,0.077,0.39,29,0.007,0.319,166,0.041,0.336
41 a 50 años,565,0.177,0.271,2149,0.673,0.277,283,0.089,0.291,29,0.009,0.282,168,0.053,0.319,747,0.234,0.277,2135,0.668,0.28,209,0.065,0.269,25,0.008,0.316,78,0.024,0.295,864,0.271,0.276,2066,0.647,0.28,174,0.054,0.275,34,0.011,0.378,56,0.018,0.28,995,0.312,0.282,2008,0.629,0.278,134,0.042,0.277,19,0.006,0.292,38,0.012,0.268,690,0.216,0.272,2197,0.688,0.282,165,0.052,0.268,18,0.006,0.31,124,0.039,0.295,1122,0.351,0.278,1887,0.591,0.282,131,0.041,0.26,21,0.007,0.28,33,0.01,0.237,1294,0.405,0.271,1831,0.573,0.287,49,0.015,0.241,9,0.003,0.265,11,0.003,0.239,896,0.281,0.269,1990,0.623,0.282,184,0.058,0.301,16,0.005,0.254,108,0.034,0.303,691,0.216,0.267,2112,0.661,0.283,210,0.066,0.264,22,0.007,0.242,159,0.05,0.322
51 a 60 años,284,0.186,0.136,1066,0.698,0.138,98,0.064,0.101,10,0.007,0.097,69,0.045,0.131,381,0.25,0.141,1009,0.661,0.133,98,0.064,0.126,5,0.003,0.063,34,0.022,0.129,442,0.289,0.141,987,0.646,0.134,70,0.046,0.111,5,0.003,0.056,23,0.015,0.115,523,0.343,0.148,931,0.61,0.129,56,0.037,0.116,3,0.002,0.046,14,0.009,0.099,378,0.248,0.149,1005,0.658,0.129,87,0.057,0.141,5,0.003,0.086,52,0.034,0.124,570,0.373,0.141,877,0.574,0.131,59,0.039,0.117,10,0.007,0.133,11,0.007,0.079,653,0.428,0.137,847,0.555,0.133,18,0.012,0.089,5,0.003,0.147,4,0.003,0.087,443,0.29,0.133,929,0.608,0.131,91,0.06,0.149,13,0.009,0.206,51,0.033,0.143,350,0.229,0.135,1001,0.656,0.134,96,0.063,0.121,13,0.009,0.143,67,0.044,0.136
61 a 70 años,45,0.241,0.022,126,0.674,0.016,11,0.059,0.011,1,0.005,0.01,4,0.021,0.008,48,0.257,0.018,123,0.658,0.016,11,0.059,0.014,2,0.011,0.025,3,0.016,0.011,63,0.337,0.02,111,0.594,0.015,7,0.037,0.011,2,0.011,0.022,4,0.021,0.02,67,0.358,0.019,112,0.599,0.016,6,0.032,0.012,1,0.005,0.015,1,0.005,0.007,52,0.278,0.02,123,0.658,0.016,6,0.032,0.01,2,0.011,0.034,4,0.021,0.01,74,0.396,0.018,105,0.561,0.016,6,0.032,0.012,2,0.011,0.027,0,0,0,86,0.46,0.018,96,0.513,0.015,4,0.021,0.02,0,0,0,1,0.005,0.022,58,0.31,0.017,118,0.631,0.017,9,0.048,0.015,0,0,0,2,0.011,0.006,50,0.267,0.019,123,0.658,0.016,9,0.048,0.011,1,0.005,0.011,4,0.021,0.008
71 a 80 años,5,0.385,0.002,8,0.615,0.001,0,0,0,0,0,0,0,0,0,5,0.385,0.002,8,0.615,0.001,0,0,0,0,0,0,0,0,0,6,0.462,0.002,7,0.538,0.001,0,0,0,0,0,0,0,0,0,6,0.462,0.002,7,0.538,0.001,0,0,0,0,0,0,0,0,0,6,0.462,0.002,6,0.462,0.001,0,0,0,0,0,0,1,0.077,0.002,8,0.615,0.002,5,0.385,0.001,0,0,0,0,0,0,0,0,0,7,0.538,0.001,6,0.462,0.001,0,0,0,0,0,0,0,0,0,6,0.462,0.002,6,0.462,0.001,0,0,0,0,0,0,1,0.077,0.003,5,0.385,0.002,6,0.462,0.001,1,0.077,0.001,0,0,0,1,0.077,0.002
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",6,0.167,0.003,25,0.694,0.003,3,0.083,0.003,1,0.028,0.01,1,0.028,0.002,11,0.306,0.004,23,0.639,0.003,1,0.028,0.001,0,0,0,1,0.028,0.004,12,0.333,0.004,23,0.639,0.003,0,0,0,0,0,0,1,0.028,0.005,14,0.389,0.004,20,0.556,0.003,2,0.056,0.004,0,0,0,0,0,0,10,0.278,0.004,23,0.639,0.003,1,0.028,0.002,0,0,0,2,0.056,0.005,16,0.444,0.004,18,0.5,0.003,2,0.056,0.004,0,0,0,0,0,0,19,0.528,0.004,16,0.444,0.003,1,0.028,0.005,0,0,0,0,0,0,13,0.361,0.004,22,0.611,0.003,1,0.028,0.002,0,0,0,0,0,0,13,0.361,0.005,19,0.528,0.003,1,0.028,0.001,1,0.028,0.011,2,0.056,0.004
Normal básica sin licenciatura,68,0.149,0.033,330,0.722,0.043,34,0.074,0.035,3,0.007,0.029,22,0.048,0.042,91,0.199,0.034,313,0.685,0.041,41,0.09,0.053,2,0.004,0.025,10,0.022,0.038,120,0.263,0.038,298,0.652,0.04,27,0.059,0.043,2,0.004,0.022,10,0.022,0.05,129,0.282,0.037,298,0.652,0.041,25,0.055,0.052,0,0,0,5,0.011,0.035,100,0.219,0.039,306,0.67,0.039,38,0.083,0.062,1,0.002,0.017,12,0.026,0.029,160,0.35,0.04,276,0.604,0.041,15,0.033,0.03,4,0.009,0.053,2,0.004,0.014,179,0.392,0.037,270,0.591,0.042,6,0.013,0.03,2,0.004,0.059,0,0,0,112,0.245,0.034,288,0.63,0.041,33,0.072,0.054,5,0.011,0.079,19,0.042,0.053,86,0.188,0.033,309,0.676,0.041,35,0.077,0.044,5,0.011,0.055,22,0.048,0.045
Normal superior,48,0.203,0.023,165,0.696,0.021,15,0.063,0.015,1,0.004,0.01,8,0.034,0.015,53,0.224,0.02,159,0.671,0.021,18,0.076,0.023,1,0.004,0.013,6,0.025,0.023,64,0.27,0.02,157,0.662,0.021,12,0.051,0.019,1,0.004,0.011,3,0.013,0.015,69,0.291,0.02,156,0.658,0.022,9,0.038,0.019,2,0.008,0.031,1,0.004,0.007,50,0.211,0.02,165,0.696,0.021,10,0.042,0.016,0,0,0,12,0.051,0.029,83,0.35,0.021,135,0.57,0.02,12,0.051,0.024,3,0.013,0.04,4,0.017,0.029,92,0.388,0.019,138,0.582,0.022,5,0.021,0.025,1,0.004,0.029,1,0.004,0.022,63,0.266,0.019,154,0.65,0.022,10,0.042,0.016,0,0,0,10,0.042,0.028,54,0.228,0.021,161,0.679,0.022,11,0.046,0.014,1,0.004,0.011,10,0.042,0.02
Normal Intercultural Bilingüe,21,0.196,0.01,70,0.654,0.009,14,0.131,0.014,0,0,0,2,0.019,0.004,23,0.215,0.009,75,0.701,0.01,5,0.047,0.006,1,0.009,0.013,3,0.028,0.011,32,0.299,0.01,69,0.645,0.009,4,0.037,0.006,0,0,0,2,0.019,0.01,28,0.262,0.008,74,0.692,0.01,2,0.019,0.004,2,0.019,0.031,1,0.009,0.007,24,0.224,0.009,77,0.72,0.01,3,0.028,0.005,0,0,0,3,0.028,0.007,40,0.374,0.01,61,0.57,0.009,5,0.047,0.01,1,0.009,0.013,0,0,0,43,0.402,0.009,64,0.598,0.01,0,0,0,0,0,0,0,0,0,35,0.327,0.01,67,0.626,0.009,3,0.028,0.005,0,0,0,2,0.019,0.006,27,0.252,0.01,72,0.673,0.01,4,0.037,0.005,0,0,0,4,0.037,0.008
Licenciatura,1504,0.175,0.721,5884,0.686,0.76,719,0.084,0.74,78,0.009,0.757,393,0.046,0.746,1932,0.225,0.716,5802,0.676,0.762,577,0.067,0.743,62,0.007,0.785,205,0.024,0.777,2279,0.266,0.728,5611,0.654,0.76,474,0.055,0.75,67,0.008,0.744,147,0.017,0.735,2556,0.298,0.724,5487,0.64,0.76,375,0.044,0.775,53,0.006,0.815,107,0.012,0.754,1822,0.212,0.717,5926,0.691,0.76,459,0.054,0.745,47,0.005,0.81,324,0.038,0.77,2918,0.34,0.724,5094,0.594,0.762,396,0.046,0.787,57,0.007,0.76,113,0.013,0.813,3485,0.406,0.73,4887,0.57,0.766,150,0.017,0.739,21,0.002,0.618,35,0.004,0.761,2459,0.287,0.737,5342,0.623,0.756,455,0.053,0.743,46,0.005,0.73,276,0.032,0.775,1876,0.219,0.725,5673,0.661,0.76,599,0.07,0.753,65,0.008,0.714,365,0.043,0.739
Especialidad,18,0.24,0.009,38,0.507,0.005,12,0.16,0.012,0,0,0,7,0.093,0.013,23,0.307,0.009,43,0.573,0.006,7,0.093,0.009,0,0,0,2,0.027,0.008,24,0.32,0.008,42,0.56,0.006,7,0.093,0.011,1,0.013,0.011,1,0.013,0.005,27,0.36,0.008,42,0.56,0.006,5,0.067,0.01,0,0,0,1,0.013,0.007,26,0.347,0.01,41,0.547,0.005,4,0.053,0.006,0,0,0,4,0.053,0.01,29,0.387,0.007,40,0.533,0.006,5,0.067,0.01,0,0,0,1,0.013,0.007,33,0.44,0.007,39,0.52,0.006,3,0.04,0.015,0,0,0,0,0,0,30,0.4,0.009,36,0.48,0.005,6,0.08,0.01,1,0.013,0.016,2,0.027,0.006,25,0.333,0.01,39,0.52,0.005,8,0.107,0.01,1,0.013,0.011,2,0.027,0.004
Maestría,375,0.21,0.18,1145,0.643,0.148,157,0.088,0.162,19,0.011,0.184,86,0.048,0.163,512,0.287,0.19,1104,0.62,0.145,118,0.066,0.152,13,0.007,0.165,35,0.02,0.133,541,0.304,0.173,1092,0.613,0.148,95,0.053,0.15,19,0.011,0.211,35,0.02,0.175,640,0.359,0.181,1047,0.588,0.145,61,0.034,0.126,8,0.004,0.123,26,0.015,0.183,450,0.253,0.177,1166,0.654,0.15,96,0.054,0.156,10,0.006,0.172,60,0.034,0.143,708,0.397,0.176,980,0.55,0.147,65,0.036,0.129,10,0.006,0.133,19,0.011,0.137,832,0.467,0.174,894,0.502,0.14,37,0.021,0.182,9,0.005,0.265,10,0.006,0.217,563,0.316,0.169,1064,0.597,0.151,99,0.056,0.162,11,0.006,0.175,45,0.025,0.126,452,0.254,0.175,1102,0.618,0.148,126,0.071,0.158,16,0.009,0.176,86,0.048,0.174
Doctorado,42,0.271,0.02,88,0.568,0.011,16,0.103,0.016,1,0.006,0.01,8,0.052,0.015,50,0.323,0.019,93,0.6,0.012,10,0.065,0.013,0,0,0,2,0.013,0.008,55,0.355,0.018,86,0.555,0.012,13,0.084,0.021,0,0,0,1,0.006,0.005,61,0.394,0.017,88,0.568,0.012,5,0.032,0.01,0,0,0,1,0.006,0.007,54,0.348,0.021,92,0.594,0.012,5,0.032,0.008,0,0,0,4,0.026,0.01,72,0.465,0.018,80,0.516,0.012,3,0.019,0.006,0,0,0,0,0,0,88,0.568,0.018,65,0.419,0.01,1,0.006,0.005,1,0.006,0.029,0,0,0,58,0.374,0.017,90,0.581,0.013,5,0.032,0.008,0,0,0,2,0.013,0.006,52,0.335,0.02,87,0.561,0.012,11,0.071,0.014,2,0.013,0.022,3,0.019,0.006
Posdoctorado,5,0.714,0.002,1,0.143,0,1,0.143,0.001,0,0,0,0,0,0,5,0.714,0.002,2,0.286,0,0,0,0,0,0,0,0,0,0,4,0.571,0.001,3,0.429,0,0,0,0,0,0,0,0,0,0,4,0.571,0.001,3,0.429,0,0,0,0,0,0,0,0,0,0,4,0.571,0.002,3,0.429,0,0,0,0,0,0,0,0,0,0,4,0.571,0.001,3,0.429,0,0,0,0,0,0,0,0,0,0,4,0.571,0.001,3,0.429,0,0,0,0,0,0,0,0,0,0,4,0.571,0.001,3,0.429,0,0,0,0,0,0,0,0,0,0,4,0.571,0.002,3,0.429,0,0,0,0,0,0,0,0,0,0
Menor o igual a 10,836,0.198,0.401,2801,0.662,0.362,362,0.086,0.373,37,0.009,0.359,192,0.045,0.364,1041,0.246,0.386,2764,0.654,0.363,281,0.066,0.362,33,0.008,0.418,109,0.026,0.413,1215,0.287,0.388,2655,0.628,0.36,238,0.056,0.377,37,0.009,0.411,83,0.02,0.415,1330,0.315,0.377,2622,0.62,0.363,187,0.044,0.386,27,0.006,0.415,62,0.015,0.437,980,0.232,0.386,2859,0.676,0.367,221,0.052,0.359,22,0.005,0.379,146,0.035,0.347,1563,0.37,0.388,2385,0.564,0.357,181,0.043,0.36,33,0.008,0.44,66,0.016,0.475,1871,0.443,0.392,2240,0.53,0.351,88,0.021,0.433,11,0.003,0.324,18,0.004,0.391,1345,0.318,0.403,2537,0.6,0.359,191,0.045,0.312,20,0.005,0.317,135,0.032,0.379,1034,0.245,0.399,2688,0.636,0.36,292,0.069,0.367,38,0.009,0.418,176,0.042,0.356
11 a 20,628,0.163,0.301,2635,0.683,0.34,369,0.096,0.38,45,0.012,0.437,181,0.047,0.343,848,0.22,0.314,2617,0.678,0.344,280,0.073,0.36,29,0.008,0.367,84,0.022,0.318,960,0.249,0.307,2563,0.664,0.347,232,0.06,0.367,34,0.009,0.378,69,0.018,0.345,1118,0.29,0.317,2492,0.646,0.345,177,0.046,0.366,24,0.006,0.369,47,0.012,0.331,796,0.206,0.313,2653,0.688,0.34,228,0.059,0.37,19,0.005,0.328,162,0.042,0.385,1272,0.33,0.316,2324,0.602,0.348,191,0.05,0.38,20,0.005,0.267,51,0.013,0.367,1520,0.394,0.318,2237,0.58,0.351,69,0.018,0.34,13,0.003,0.382,19,0.005,0.413,1021,0.265,0.306,2465,0.639,0.349,227,0.059,0.371,23,0.006,0.365,122,0.032,0.343,796,0.206,0.307,2563,0.664,0.343,290,0.075,0.365,29,0.008,0.319,180,0.047,0.364
21 a 30,623,0.186,0.299,2310,0.69,0.298,240,0.072,0.247,21,0.006,0.204,154,0.046,0.292,811,0.242,0.3,2233,0.667,0.293,216,0.065,0.278,17,0.005,0.215,71,0.021,0.269,956,0.286,0.305,2163,0.646,0.293,162,0.048,0.256,19,0.006,0.211,48,0.014,0.24,1080,0.323,0.306,2101,0.628,0.291,120,0.036,0.248,14,0.004,0.215,33,0.01,0.232,764,0.228,0.301,2287,0.683,0.293,167,0.05,0.271,17,0.005,0.293,113,0.034,0.268,1195,0.357,0.297,1978,0.591,0.296,131,0.039,0.26,22,0.007,0.293,22,0.007,0.158,1384,0.413,0.29,1899,0.567,0.298,46,0.014,0.227,10,0.003,0.294,9,0.003,0.196,971,0.29,0.291,2064,0.616,0.292,194,0.058,0.317,20,0.006,0.317,99,0.03,0.278,759,0.227,0.293,2214,0.661,0.297,213,0.064,0.268,24,0.007,0.264,138,0.041,0.279
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,1912,0.179,0.916,7266,0.68,0.938,908,0.085,0.935,96,0.009,0.932,498,0.047,0.945,2498,0.234,0.925,7123,0.667,0.936,736,0.069,0.947,72,0.007,0.911,251,0.024,0.951,2900,0.272,0.926,6905,0.647,0.936,599,0.056,0.948,82,0.008,0.911,194,0.018,0.97,3270,0.306,0.927,6761,0.633,0.937,453,0.042,0.936,59,0.006,0.908,137,0.013,0.965,2345,0.22,0.923,7304,0.684,0.937,580,0.054,0.942,56,0.005,0.966,395,0.037,0.938,3740,0.35,0.928,6268,0.587,0.937,473,0.044,0.94,68,0.006,0.907,131,0.012,0.942,4448,0.416,0.932,5966,0.559,0.936,190,0.018,0.936,31,0.003,0.912,45,0.004,0.978,3084,0.289,0.924,6625,0.62,0.938,577,0.054,0.943,58,0.005,0.921,336,0.031,0.944,2379,0.223,0.919,6993,0.655,0.937,753,0.071,0.947,83,0.008,0.912,472,0.044,0.955
Interino,85,0.227,0.041,237,0.634,0.031,34,0.091,0.035,4,0.011,0.039,14,0.037,0.027,107,0.286,0.04,241,0.644,0.032,19,0.051,0.024,3,0.008,0.038,4,0.011,0.015,114,0.305,0.036,239,0.639,0.032,16,0.043,0.025,4,0.011,0.044,1,0.003,0.005,133,0.356,0.038,218,0.583,0.03,19,0.051,0.039,3,0.008,0.046,1,0.003,0.007,93,0.249,0.037,256,0.684,0.033,17,0.045,0.028,2,0.005,0.034,6,0.016,0.014,144,0.385,0.036,209,0.559,0.031,16,0.043,0.032,3,0.008,0.04,2,0.005,0.014,158,0.422,0.033,206,0.551,0.032,8,0.021,0.039,2,0.005,0.059,0,0,0,122,0.326,0.037,219,0.586,0.031,18,0.048,0.029,2,0.005,0.032,13,0.035,0.037,99,0.265,0.038,232,0.62,0.031,26,0.07,0.033,3,0.008,0.033,14,0.037,0.028
Tiempo fijo,63,0.241,0.03,167,0.64,0.022,23,0.088,0.024,0,0,0,8,0.031,0.015,69,0.264,0.026,169,0.648,0.022,14,0.054,0.018,3,0.011,0.038,6,0.023,0.023,85,0.326,0.027,159,0.609,0.022,10,0.038,0.016,3,0.011,0.033,4,0.015,0.02,89,0.341,0.025,160,0.613,0.022,5,0.019,0.01,3,0.011,0.046,4,0.015,0.028,76,0.291,0.03,161,0.617,0.021,11,0.042,0.018,0,0,0,13,0.05,0.031,104,0.398,0.026,143,0.548,0.021,7,0.027,0.014,3,0.011,0.04,4,0.015,0.029,119,0.456,0.025,137,0.525,0.021,3,0.011,0.015,1,0.004,0.029,1,0.004,0.022,100,0.383,0.03,143,0.548,0.02,10,0.038,0.016,2,0.008,0.032,6,0.023,0.017,85,0.326,0.033,158,0.605,0.021,9,0.034,0.011,3,0.011,0.033,6,0.023,0.012
No tengo nombramiento,1,0.083,0,7,0.583,0.001,1,0.083,0.001,2,0.167,0.019,1,0.083,0.002,0,0,0,10,0.833,0.001,1,0.083,0.001,1,0.083,0.013,0,0,0,0,0,0,10,0.833,0.001,1,0.083,0.002,1,0.083,0.011,0,0,0,1,0.083,0,10,0.833,0.001,1,0.083,0.002,0,0,0,0,0,0,2,0.167,0.001,8,0.667,0.001,2,0.167,0.003,0,0,0,0,0,0,3,0.25,0.001,7,0.583,0.001,2,0.167,0.004,0,0,0,0,0,0,3,0.25,0.001,7,0.583,0.001,2,0.167,0.01,0,0,0,0,0,0,1,0.083,0,7,0.583,0.001,3,0.25,0.005,1,0.083,0.016,0,0,0,0,0,0,10,0.833,0.001,0,0,0,2,0.167,0.022,0,0,0
