Variable,B4-A-Siempre-Recuento,B4-A-Siempre-% del N de fila,B4-A-Siempre-% de N columnas,B4-A-Muchas veces-Recuento,B4-A-Muchas veces-% del N de fila,B4-A-Muchas veces-% de N columnas,B4-A-Pocas veces-Recuento,B4-A-Pocas veces-% del N de fila,B4-A-Pocas veces-% de N columnas,B4-A-Nunca-Recuento,B4-A-Nunca-% del N de fila,B4-A-Nunca-% de N columnas,B4-B-Siempre-Recuento,B4-B-Siempre-% del N de fila,B4-B-Siempre-% de N columnas,B4-B-Muchas veces-Recuento,B4-B-Muchas veces-% del N de fila,B4-B-Muchas veces-% de N columnas,B4-B-Pocas veces-Recuento,B4-B-Pocas veces-% del N de fila,B4-B-Pocas veces-% de N columnas,B4-B-Nunca-Recuento,B4-B-Nunca-% del N de fila,B4-B-Nunca-% de N columnas,B4-C-Siempre-Recuento,B4-C-Siempre-% del N de fila,B4-C-Siempre-% de N columnas,B4-C-Muchas veces-Recuento,B4-C-Muchas veces-% del N de fila,B4-C-Muchas veces-% de N columnas,B4-C-Pocas veces-Recuento,B4-C-Pocas veces-% del N de fila,B4-C-Pocas veces-% de N columnas,B4-C-Nunca-Recuento,B4-C-Nunca-% del N de fila,B4-C-Nunca-% de N columnas,B4-D-Siempre-Recuento,B4-D-Siempre-% del N de fila,B4-D-Siempre-% de N columnas,B4-D-Muchas veces-Recuento,B4-D-Muchas veces-% del N de fila,B4-D-Muchas veces-% de N columnas,B4-D-Pocas veces-Recuento,B4-D-Pocas veces-% del N de fila,B4-D-Pocas veces-% de N columnas,B4-D-Nunca-Recuento,B4-D-Nunca-% del N de fila,B4-D-Nunca-% de N columnas,B4-E-Siempre-Recuento,B4-E-Siempre-% del N de fila,B4-E-Siempre-% de N columnas,B4-E-Muchas veces-Recuento,B4-E-Muchas veces-% del N de fila,B4-E-Muchas veces-% de N columnas,B4-E-Pocas veces-Recuento,B4-E-Pocas veces-% del N de fila,B4-E-Pocas veces-% de N columnas,B4-E-Nunca-Recuento,B4-E-Nunca-% del N de fila,B4-E-Nunca-% de N columnas,B4-F-Siempre-Recuento,B4-F-Siempre-% del N de fila,B4-F-Siempre-% de N columnas,B4-F-Muchas veces-Recuento,B4-F-Muchas veces-% del N de fila,B4-F-Muchas veces-% de N columnas,B4-F-Pocas veces-Recuento,B4-F-Pocas veces-% del N de fila,B4-F-Pocas veces-% de N columnas,B4-F-Nunca-Recuento,B4-F-Nunca-% del N de fila,B4-F-Nunca-% de N columnas,B4-G-Siempre-Recuento,B4-G-Siempre-% del N de fila,B4-G-Siempre-% de N columnas,B4-G-Muchas veces-Recuento,B4-G-Muchas veces-% del N de fila,B4-G-Muchas veces-% de N columnas,B4-G-Pocas veces-Recuento,B4-G-Pocas veces-% del N de fila,B4-G-Pocas veces-% de N columnas,B4-G-Nunca-Recuento,B4-G-Nunca-% del N de fila,B4-G-Nunca-% de N columnas,B4-H-Siempre-Recuento,B4-H-Siempre-% del N de fila,B4-H-Siempre-% de N columnas,B4-H-Muchas veces-Recuento,B4-H-Muchas veces-% del N de fila,B4-H-Muchas veces-% de N columnas,B4-H-Pocas veces-Recuento,B4-H-Pocas veces-% del N de fila,B4-H-Pocas veces-% de N columnas,B4-H-Nunca-Recuento,B4-H-Nunca-% del N de fila,B4-H-Nunca-% de N columnas,B4-I-Siempre-Recuento,B4-I-Siempre-% del N de fila,B4-I-Siempre-% de N columnas,B4-I-Muchas veces-Recuento,B4-I-Muchas veces-% del N de fila,B4-I-Muchas veces-% de N columnas,B4-I-Pocas veces-Recuento,B4-I-Pocas veces-% del N de fila,B4-I-Pocas veces-% de N columnas,B4-I-Nunca-Recuento,B4-I-Nunca-% del N de fila,B4-I-Nunca-% de N columnas,B4-J-Siempre-Recuento,B4-J-Siempre-% del N de fila,B4-J-Siempre-% de N columnas,B4-J-Muchas veces-Recuento,B4-J-Muchas veces-% del N de fila,B4-J-Muchas veces-% de N columnas,B4-J-Pocas veces-Recuento,B4-J-Pocas veces-% del N de fila,B4-J-Pocas veces-% de N columnas,B4-J-Nunca-Recuento,B4-J-Nunca-% del N de fila,B4-J-Nunca-% de N columnas,B4-K-Siempre-Recuento,B4-K-Siempre-% del N de fila,B4-K-Siempre-% de N columnas,B4-K-Muchas veces-Recuento,B4-K-Muchas veces-% del N de fila,B4-K-Muchas veces-% de N columnas,B4-K-Pocas veces-Recuento,B4-K-Pocas veces-% del N de fila,B4-K-Pocas veces-% de N columnas,B4-K-Nunca-Recuento,B4-K-Nunca-% del N de fila,B4-K-Nunca-% de N columnas
ESTADO DE MÉXICO,106,0.58,0.03,62,0.34,0.04,16,0.09,0.04,0,0,0,100,0.54,0.03,70,0.38,0.05,14,0.08,0.06,0,0,0,17,0.09,0.04,31,0.17,0.07,79,0.43,0.04,57,0.31,0.02,91,0.5,0.03,68,0.37,0.04,24,0.13,0.04,1,0.01,0.03,89,0.48,0.03,73,0.4,0.04,20,0.11,0.05,2,0.01,0.06,18,0.1,0.04,35,0.19,0.06,61,0.33,0.03,70,0.38,0.03,74,0.4,0.03,77,0.42,0.04,30,0.16,0.05,3,0.02,0.04,71,0.39,0.03,86,0.47,0.04,26,0.14,0.05,1,0.01,0.02,95,0.52,0.03,74,0.4,0.04,14,0.08,0.04,1,0.01,0.03,87,0.47,0.03,78,0.42,0.05,17,0.09,0.05,2,0.01,0.07,76,0.41,0.02,76,0.41,0.04,29,0.16,0.07,3,0.02,0.08
GUANAJUATO,190,0.75,0.05,58,0.23,0.04,6,0.02,0.02,0,0,0,187,0.74,0.05,63,0.25,0.04,4,0.02,0.02,0,0,0,28,0.11,0.07,15,0.06,0.03,77,0.3,0.04,134,0.53,0.05,159,0.63,0.05,80,0.32,0.05,15,0.06,0.03,0,0,0,173,0.68,0.06,76,0.3,0.04,3,0.01,0.01,2,0.01,0.06,24,0.09,0.05,23,0.09,0.04,90,0.35,0.05,117,0.46,0.05,168,0.66,0.06,73,0.29,0.04,12,0.05,0.02,1,0,0.01,159,0.63,0.06,88,0.35,0.04,7,0.03,0.01,0,0,0,165,0.65,0.06,73,0.29,0.04,14,0.06,0.04,2,0.01,0.05,178,0.7,0.05,69,0.27,0.04,6,0.02,0.02,1,0,0.03,171,0.67,0.05,73,0.29,0.04,8,0.03,0.02,2,0.01,0.05
GUERRERO,10,0.56,0,6,0.33,0,1,0.06,0,1,0.06,0.05,15,0.83,0,3,0.17,0,0,0,0,0,0,0,1,0.06,0,1,0.06,0,8,0.44,0,8,0.44,0,14,0.78,0,3,0.17,0,1,0.06,0,0,0,0,13,0.72,0,5,0.28,0,0,0,0,0,0,0,2,0.11,0,1,0.06,0,10,0.56,0.01,5,0.28,0,13,0.72,0.01,3,0.17,0,1,0.06,0,1,0.06,0.01,14,0.78,0.01,4,0.22,0,0,0,0,0,0,0,11,0.61,0,7,0.39,0,0,0,0,0,0,0,12,0.67,0,6,0.33,0,0,0,0,0,0,0,15,0.83,0.01,2,0.11,0,1,0.06,0,0,0,0
HIDALGO,111,0.63,0.03,52,0.29,0.04,14,0.08,0.04,0,0,0,119,0.67,0.03,51,0.29,0.04,7,0.04,0.03,0,0,0,14,0.08,0.03,15,0.09,0.03,67,0.38,0.04,81,0.46,0.03,95,0.54,0.03,64,0.36,0.04,16,0.09,0.03,2,0.01,0.06,97,0.55,0.03,58,0.33,0.03,21,0.12,0.05,1,0.01,0.03,19,0.11,0.04,18,0.1,0.03,64,0.36,0.03,76,0.43,0.03,90,0.51,0.03,60,0.34,0.03,25,0.14,0.04,2,0.01,0.03,87,0.49,0.03,65,0.37,0.03,22,0.12,0.04,3,0.02,0.07,101,0.57,0.03,60,0.34,0.03,16,0.09,0.04,0,0,0,108,0.61,0.03,54,0.31,0.03,15,0.09,0.04,0,0,0,103,0.58,0.03,57,0.32,0.03,17,0.1,0.04,0,0,0
JALISCO,116,0.63,0.03,58,0.32,0.04,9,0.05,0.02,0,0,0,106,0.58,0.03,71,0.39,0.05,6,0.03,0.03,0,0,0,9,0.05,0.02,22,0.12,0.05,82,0.45,0.04,70,0.38,0.03,89,0.49,0.03,72,0.39,0.04,21,0.12,0.04,1,0.01,0.03,107,0.59,0.04,66,0.36,0.04,10,0.06,0.02,0,0,0,7,0.04,0.02,27,0.15,0.04,59,0.32,0.03,90,0.49,0.04,80,0.44,0.03,82,0.45,0.05,17,0.09,0.03,4,0.02,0.05,87,0.48,0.03,80,0.44,0.04,14,0.08,0.03,2,0.01,0.05,106,0.58,0.04,65,0.36,0.03,12,0.07,0.03,0,0,0,106,0.58,0.03,66,0.36,0.04,11,0.06,0.03,0,0,0,93,0.51,0.03,76,0.42,0.04,14,0.08,0.03,0,0,0
MICHOACÁN,30,0.64,0.01,14,0.3,0.01,3,0.06,0.01,0,0,0,32,0.68,0.01,13,0.28,0.01,2,0.04,0.01,0,0,0,5,0.11,0.01,5,0.11,0.01,19,0.4,0.01,18,0.38,0.01,28,0.6,0.01,16,0.34,0.01,3,0.06,0.01,0,0,0,24,0.51,0.01,19,0.4,0.01,4,0.09,0.01,0,0,0,3,0.06,0.01,3,0.06,0.01,20,0.43,0.01,21,0.45,0.01,24,0.51,0.01,16,0.34,0.01,5,0.11,0.01,2,0.04,0.03,25,0.53,0.01,17,0.36,0.01,3,0.06,0.01,2,0.04,0.05,30,0.64,0.01,15,0.32,0.01,1,0.02,0,1,0.02,0.03,28,0.6,0.01,17,0.36,0.01,1,0.02,0,1,0.02,0.03,26,0.55,0.01,17,0.36,0.01,3,0.06,0.01,1,0.02,0.03
MORELOS,118,0.71,0.03,44,0.27,0.03,4,0.02,0.01,0,0,0,131,0.79,0.04,32,0.19,0.02,3,0.02,0.01,0,0,0,20,0.12,0.05,10,0.06,0.02,53,0.32,0.03,83,0.5,0.03,102,0.61,0.03,45,0.27,0.03,19,0.11,0.04,0,0,0,104,0.63,0.03,53,0.32,0.03,9,0.05,0.02,0,0,0,18,0.11,0.04,17,0.1,0.03,53,0.32,0.03,78,0.47,0.03,101,0.61,0.04,49,0.3,0.03,16,0.1,0.03,0,0,0,103,0.62,0.04,51,0.31,0.03,11,0.07,0.02,1,0.01,0.02,101,0.61,0.03,52,0.31,0.03,11,0.07,0.03,2,0.01,0.05,123,0.74,0.04,33,0.2,0.02,10,0.06,0.03,0,0,0,114,0.69,0.04,38,0.23,0.02,13,0.08,0.03,1,0.01,0.03
NAYARIT,120,0.64,0.03,45,0.24,0.03,21,0.11,0.06,3,0.02,0.16,129,0.68,0.04,46,0.24,0.03,12,0.06,0.05,2,0.01,0.18,16,0.09,0.04,19,0.1,0.04,60,0.32,0.03,94,0.5,0.04,102,0.54,0.03,57,0.3,0.04,26,0.14,0.05,4,0.02,0.11,98,0.52,0.03,72,0.38,0.04,18,0.1,0.04,1,0.01,0.03,22,0.12,0.05,21,0.11,0.03,53,0.28,0.03,93,0.49,0.04,101,0.53,0.04,54,0.29,0.03,31,0.16,0.05,3,0.02,0.04,96,0.51,0.04,66,0.35,0.03,24,0.13,0.04,3,0.02,0.07,114,0.6,0.04,56,0.3,0.03,17,0.09,0.04,2,0.01,0.05,115,0.61,0.04,54,0.29,0.03,20,0.11,0.06,0,0,0,109,0.58,0.04,53,0.28,0.03,25,0.13,0.06,2,0.01,0.05
NUEVO LEÓN,20,0.59,0.01,11,0.32,0.01,3,0.09,0.01,0,0,0,21,0.62,0.01,13,0.38,0.01,0,0,0,0,0,0,3,0.09,0.01,4,0.12,0.01,7,0.21,0,20,0.59,0.01,20,0.59,0.01,7,0.21,0,6,0.18,0.01,1,0.03,0.03,17,0.5,0.01,12,0.35,0.01,5,0.15,0.01,0,0,0,5,0.15,0.01,7,0.21,0.01,6,0.18,0,16,0.47,0.01,16,0.47,0.01,12,0.35,0.01,6,0.18,0.01,0,0,0,18,0.53,0.01,10,0.29,0.01,6,0.18,0.01,0,0,0,18,0.53,0.01,14,0.41,0.01,2,0.06,0.01,0,0,0,19,0.56,0.01,12,0.35,0.01,2,0.06,0.01,1,0.03,0.03,21,0.62,0.01,9,0.27,0.01,4,0.12,0.01,0,0,0
PUEBLA,137,0.72,0.04,38,0.2,0.03,14,0.07,0.04,2,0.01,0.11,142,0.74,0.04,40,0.21,0.03,8,0.04,0.03,1,0.01,0.09,10,0.05,0.02,12,0.06,0.03,58,0.3,0.03,111,0.58,0.04,109,0.57,0.04,57,0.3,0.04,23,0.12,0.04,2,0.01,0.06,119,0.62,0.04,51,0.27,0.03,19,0.1,0.04,2,0.01,0.06,13,0.07,0.03,15,0.08,0.02,59,0.31,0.03,104,0.55,0.04,125,0.65,0.04,50,0.26,0.03,14,0.07,0.02,2,0.01,0.03,118,0.62,0.04,62,0.33,0.03,11,0.06,0.02,0,0,0,115,0.6,0.04,66,0.35,0.03,10,0.05,0.03,0,0,0,131,0.69,0.04,45,0.24,0.03,14,0.07,0.04,1,0.01,0.03,127,0.67,0.04,51,0.27,0.03,12,0.06,0.03,1,0.01,0.03
QUERÉTARO,157,0.65,0.04,64,0.27,0.05,20,0.08,0.05,0,0,0,153,0.64,0.04,76,0.32,0.05,12,0.05,0.05,0,0,0,17,0.07,0.04,15,0.06,0.03,82,0.34,0.04,127,0.53,0.05,133,0.55,0.04,83,0.34,0.05,23,0.1,0.04,2,0.01,0.06,132,0.55,0.04,89,0.37,0.05,19,0.08,0.04,1,0,0.03,14,0.06,0.03,20,0.08,0.03,94,0.39,0.05,113,0.47,0.05,129,0.54,0.05,72,0.3,0.04,37,0.15,0.06,3,0.01,0.04,118,0.49,0.04,95,0.39,0.05,27,0.11,0.05,1,0,0.02,125,0.52,0.04,97,0.4,0.05,17,0.07,0.04,2,0.01,0.05,133,0.55,0.04,87,0.36,0.05,20,0.08,0.06,1,0,0.03,132,0.55,0.04,88,0.37,0.05,18,0.08,0.04,3,0.01,0.08
