Variable,B3-A-Totalmente de acuerdo-Recuento,B3-A-Totalmente de acuerdo-% del N de fila,B3-A-Totalmente de acuerdo-% de N columnas,B3-A-De acuerdo-Recuento,B3-A-De acuerdo-% del N de fila,B3-A-De acuerdo-% de N columnas,B3-A-En desacuerdo-Recuento,B3-A-En desacuerdo-% del N de fila,B3-A-En desacuerdo-% de N columnas,B3-A-Totalmente en desacuerdo-Recuento,B3-A-Totalmente en desacuerdo-% del N de fila,B3-A-Totalmente en desacuerdo-% de N columnas,B3-B-Totalmente de acuerdo-Recuento,B3-B-Totalmente de acuerdo-% del N de fila,B3-B-Totalmente de acuerdo-% de N columnas,B3-B-De acuerdo-Recuento,B3-B-De acuerdo-% del N de fila,B3-B-De acuerdo-% de N columnas,B3-B-En desacuerdo-Recuento,B3-B-En desacuerdo-% del N de fila,B3-B-En desacuerdo-% de N columnas,B3-B-Totalmente en desacuerdo-Recuento,B3-B-Totalmente en desacuerdo-% del N de fila,B3-B-Totalmente en desacuerdo-% de N columnas,B3-C-Totalmente de acuerdo-Recuento,B3-C-Totalmente de acuerdo-% del N de fila,B3-C-Totalmente de acuerdo-% de N columnas,B3-C-De acuerdo-Recuento,B3-C-De acuerdo-% del N de fila,B3-C-De acuerdo-% de N columnas,B3-C-En desacuerdo-Recuento,B3-C-En desacuerdo-% del N de fila,B3-C-En desacuerdo-% de N columnas,B3-C-Totalmente en desacuerdo-Recuento,B3-C-Totalmente en desacuerdo-% del N de fila,B3-C-Totalmente en desacuerdo-% de N columnas,B3-D-Totalmente de acuerdo-Recuento,B3-D-Totalmente de acuerdo-% del N de fila,B3-D-Totalmente de acuerdo-% de N columnas,B3-D-De acuerdo-Recuento,B3-D-De acuerdo-% del N de fila,B3-D-De acuerdo-% de N columnas,B3-D-En desacuerdo-Recuento,B3-D-En desacuerdo-% del N de fila,B3-D-En desacuerdo-% de N columnas,B3-D-Totalmente en desacuerdo-Recuento,B3-D-Totalmente en desacuerdo-% del N de fila,B3-D-Totalmente en desacuerdo-% de N columnas,B3-E-Totalmente de acuerdo-Recuento,B3-E-Totalmente de acuerdo-% del N de fila,B3-E-Totalmente de acuerdo-% de N columnas,B3-E-De acuerdo-Recuento,B3-E-De acuerdo-% del N de fila,B3-E-De acuerdo-% de N columnas,B3-E-En desacuerdo-Recuento,B3-E-En desacuerdo-% del N de fila,B3-E-En desacuerdo-% de N columnas,B3-E-Totalmente en desacuerdo-Recuento,B3-E-Totalmente en desacuerdo-% del N de fila,B3-E-Totalmente en desacuerdo-% de N columnas
ESTADO DE MÉXICO,163,0.33,0.04,317,0.64,0.05,17,0.03,0.06,0,0,0,181,0.36,0.04,301,0.61,0.04,15,0.03,0.06,0,0,0,198,0.4,0.04,278,0.56,0.04,19,0.04,0.07,2,0,0.11,163,0.33,0.04,318,0.64,0.05,16,0.03,0.05,0,0,0,155,0.31,0.04,292,0.59,0.04,45,0.09,0.06,5,0.01,0.07
GUANAJUATO,145,0.39,0.04,218,0.59,0.03,7,0.02,0.03,0,0,0,153,0.41,0.04,212,0.57,0.03,5,0.01,0.02,0,0,0,167,0.45,0.04,192,0.52,0.03,10,0.03,0.04,1,0,0.06,147,0.4,0.04,213,0.58,0.03,10,0.03,0.03,0,0,0,125,0.34,0.04,215,0.58,0.03,30,0.08,0.04,0,0,0
GUERRERO,6,0.3,0,14,0.7,0,0,0,0,0,0,0,7,0.35,0,11,0.55,0,2,0.1,0.01,0,0,0,8,0.4,0,12,0.6,0,0,0,0,0,0,0,7,0.35,0,13,0.65,0,0,0,0,0,0,0,4,0.2,0,15,0.75,0,1,0.05,0,0,0,0
HIDALGO,128,0.39,0.03,195,0.59,0.03,6,0.02,0.02,1,0,0.05,133,0.4,0.03,190,0.58,0.03,6,0.02,0.02,1,0,0.06,134,0.41,0.03,190,0.58,0.03,6,0.02,0.02,0,0,0,126,0.38,0.03,193,0.59,0.03,10,0.03,0.03,1,0,0.07,107,0.32,0.03,202,0.61,0.03,21,0.06,0.03,0,0,0
JALISCO,83,0.35,0.02,145,0.61,0.02,8,0.03,0.03,1,0,0.05,92,0.39,0.02,133,0.56,0.02,10,0.04,0.04,2,0.01,0.13,101,0.43,0.02,128,0.54,0.02,6,0.03,0.02,2,0.01,0.11,88,0.37,0.02,141,0.6,0.02,6,0.03,0.02,2,0.01,0.14,74,0.31,0.02,137,0.58,0.02,22,0.09,0.03,4,0.02,0.06
MICHOACÁN,12,0.33,0,23,0.64,0,1,0.03,0,0,0,0,12,0.33,0,24,0.67,0,0,0,0,0,0,0,14,0.39,0,22,0.61,0,0,0,0,0,0,0,14,0.39,0,22,0.61,0,0,0,0,0,0,0,9,0.25,0,23,0.64,0,4,0.11,0.01,0,0,0
MORELOS,111,0.31,0.03,234,0.65,0.03,13,0.04,0.05,1,0,0.05,130,0.36,0.03,216,0.6,0.03,11,0.03,0.04,2,0.01,0.13,136,0.38,0.03,217,0.6,0.03,5,0.01,0.02,1,0,0.06,121,0.34,0.03,227,0.63,0.03,10,0.03,0.03,1,0,0.07,109,0.3,0.03,229,0.64,0.03,18,0.05,0.02,3,0.01,0.04
NAYARIT,170,0.38,0.04,263,0.59,0.04,12,0.03,0.04,1,0,0.05,158,0.35,0.04,274,0.61,0.04,13,0.03,0.05,1,0,0.06,182,0.41,0.04,256,0.57,0.04,7,0.02,0.02,1,0,0.06,154,0.35,0.04,277,0.62,0.04,14,0.03,0.05,1,0,0.07,127,0.29,0.04,279,0.63,0.04,36,0.08,0.05,4,0.01,0.06
NUEVO LEÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUEBLA,162,0.41,0.04,223,0.57,0.03,9,0.02,0.03,0,0,0,169,0.43,0.04,217,0.55,0.03,8,0.02,0.03,0,0,0,187,0.48,0.04,201,0.51,0.03,6,0.02,0.02,0,0,0,150,0.38,0.04,237,0.6,0.03,7,0.02,0.02,0,0,0,152,0.39,0.04,215,0.55,0.03,24,0.06,0.03,3,0.01,0.04
QUERÉTARO,191,0.37,0.05,311,0.6,0.04,14,0.03,0.05,0,0,0,203,0.39,0.05,304,0.59,0.04,8,0.02,0.03,1,0,0.06,218,0.42,0.05,284,0.55,0.04,14,0.03,0.05,0,0,0,189,0.37,0.05,318,0.62,0.05,9,0.02,0.03,0,0,0,147,0.29,0.04,336,0.65,0.05,30,0.06,0.04,3,0.01,0.04
QUINTANA ROO,177,0.38,0.04,275,0.6,0.04,7,0.02,0.03,2,0,0.11,179,0.39,0.04,267,0.58,0.04,14,0.03,0.05,1,0,0.06,188,0.41,0.04,262,0.57,0.04,10,0.02,0.04,1,0,0.06,168,0.36,0.04,280,0.61,0.04,11,0.02,0.04,2,0,0.14,150,0.33,0.04,286,0.62,0.04,21,0.05,0.03,4,0.01,0.06
SAN LUIS POTOSÍ,117,0.31,0.03,255,0.67,0.04,8,0.02,0.03,1,0,0.05,147,0.39,0.03,226,0.59,0.03,8,0.02,0.03,0,0,0,150,0.39,0.03,227,0.6,0.04,3,0.01,0.01,1,0,0.06,126,0.33,0.03,250,0.66,0.04,5,0.01,0.02,0,0,0,105,0.28,0.03,250,0.66,0.04,24,0.06,0.03,2,0.01,0.03
SINALOA,245,0.44,0.06,299,0.53,0.04,16,0.03,0.06,2,0,0.11,267,0.48,0.06,284,0.51,0.04,9,0.02,0.03,2,0,0.13,292,0.52,0.06,260,0.46,0.04,10,0.02,0.04,0,0,0,261,0.46,0.06,285,0.51,0.04,15,0.03,0.05,1,0,0.07,236,0.42,0.07,283,0.5,0.04,41,0.07,0.05,2,0,0.03
SONORA,128,0.39,0.03,195,0.6,0.03,3,0.01,0.01,0,0,0,145,0.45,0.03,178,0.55,0.03,3,0.01,0.01,0,0,0,151,0.46,0.03,170,0.52,0.03,5,0.02,0.02,0,0,0,145,0.45,0.04,173,0.53,0.03,8,0.03,0.03,0,0,0,119,0.37,0.03,187,0.57,0.03,18,0.06,0.02,2,0.01,0.03
TABASCO,135,0.34,0.03,245,0.63,0.04,11,0.03,0.04,1,0,0.05,151,0.39,0.04,232,0.59,0.03,9,0.02,0.03,0,0,0,157,0.4,0.03,223,0.57,0.03,12,0.03,0.04,0,0,0,145,0.37,0.04,236,0.6,0.03,11,0.03,0.04,0,0,0,132,0.34,0.04,229,0.58,0.03,25,0.06,0.03,6,0.02,0.08
TAMAULIPAS,154,0.36,0.04,267,0.62,0.04,8,0.02,0.03,0,0,0,151,0.35,0.04,272,0.63,0.04,6,0.01,0.02,0,0,0,152,0.35,0.03,265,0.62,0.04,12,0.03,0.04,0,0,0,140,0.33,0.03,284,0.66,0.04,5,0.01,0.02,0,0,0,131,0.31,0.04,278,0.65,0.04,20,0.05,0.03,0,0,0
TLAXCALA,114,0.34,0.03,212,0.64,0.03,6,0.02,0.02,1,0,0.05,124,0.37,0.03,205,0.62,0.03,4,0.01,0.02,0,0,0,139,0.42,0.03,185,0.56,0.03,9,0.03,0.03,0,0,0,114,0.34,0.03,211,0.63,0.03,8,0.02,0.03,0,0,0,101,0.3,0.03,205,0.62,0.03,27,0.08,0.04,0,0,0
VERACRUZ,41,0.33,0.01,81,0.64,0.01,4,0.03,0.01,0,0,0,41,0.33,0.01,84,0.67,0.01,1,0.01,0,0,0,0,49,0.39,0.01,76,0.6,0.01,1,0.01,0,0,0,0,43,0.34,0.01,82,0.65,0.01,1,0.01,0,0,0,0,42,0.33,0.01,77,0.61,0.01,6,0.05,0.01,1,0.01,0.01
YUCATÁN,103,0.39,0.03,150,0.57,0.02,8,0.03,0.03,1,0,0.05,97,0.37,0.02,159,0.61,0.02,6,0.02,0.02,0,0,0,120,0.46,0.03,134,0.51,0.02,8,0.03,0.03,0,0,0,110,0.42,0.03,144,0.55,0.02,8,0.03,0.03,0,0,0,98,0.37,0.03,153,0.58,0.02,11,0.04,0.01,0,0,0
ZACATECAS,213,0.29,0.05,494,0.67,0.07,30,0.04,0.11,2,0,0.11,227,0.31,0.05,479,0.65,0.07,31,0.04,0.12,2,0,0.13,252,0.34,0.06,464,0.63,0.07,20,0.03,0.07,3,0,0.17,229,0.31,0.06,475,0.64,0.07,34,0.05,0.11,1,0,0.07,200,0.27,0.06,471,0.64,0.07,61,0.08,0.08,7,0.01,0.1
Hombre,1219,0.35,0.3,2134,0.62,0.3,82,0.02,0.29,6,0,0.32,1246,0.36,0.29,2113,0.61,0.31,78,0.02,0.29,4,0,0.25,1353,0.39,0.29,1994,0.58,0.31,89,0.03,0.31,5,0,0.28,1212,0.35,0.29,2127,0.62,0.31,97,0.03,0.32,5,0,0.36,1076,0.31,0.3,2126,0.62,0.3,219,0.06,0.28,20,0.01,0.27
Mujer,2822,0.35,0.7,4960,0.62,0.7,199,0.03,0.71,13,0,0.68,3067,0.38,0.71,4724,0.59,0.69,190,0.02,0.71,12,0,0.75,3270,0.41,0.71,4513,0.57,0.69,197,0.03,0.69,13,0,0.72,2920,0.37,0.71,4857,0.61,0.7,207,0.03,0.68,9,0,0.64,2526,0.32,0.7,4858,0.61,0.7,556,0.07,0.72,53,0.01,0.73
18 a 20 años,27,0.33,0.01,51,0.61,0.01,5,0.06,0.02,0,0,0,34,0.41,0.01,48,0.58,0.01,1,0.01,0,0,0,0,34,0.41,0.01,46,0.55,0.01,3,0.04,0.01,0,0,0,31,0.37,0.01,47,0.57,0.01,5,0.06,0.02,0,0,0,30,0.36,0.01,49,0.59,0.01,4,0.05,0.01,0,0,0
21 a 30 años,933,0.39,0.23,1391,0.58,0.2,59,0.03,0.21,7,0,0.37,976,0.41,0.23,1347,0.56,0.2,60,0.03,0.22,6,0,0.38,1032,0.43,0.22,1283,0.54,0.2,68,0.03,0.24,6,0,0.33,903,0.38,0.22,1411,0.59,0.2,70,0.03,0.23,5,0,0.36,826,0.35,0.23,1405,0.59,0.2,142,0.06,0.18,16,0.01,0.22
31 a 40 años,1393,0.35,0.35,2547,0.63,0.36,96,0.02,0.34,6,0,0.32,1459,0.36,0.34,2470,0.61,0.36,109,0.03,0.41,4,0,0.25,1561,0.39,0.34,2363,0.59,0.36,113,0.03,0.4,5,0,0.28,1370,0.34,0.33,2554,0.63,0.37,114,0.03,0.38,4,0,0.29,1221,0.3,0.34,2508,0.62,0.36,287,0.07,0.37,26,0.01,0.36
41 a 50 años,1081,0.34,0.27,2027,0.64,0.29,82,0.03,0.29,4,0,0.21,1144,0.36,0.27,1982,0.62,0.29,65,0.02,0.24,3,0,0.19,1237,0.39,0.27,1878,0.59,0.29,73,0.02,0.26,6,0,0.33,1136,0.36,0.28,1978,0.62,0.28,77,0.02,0.25,3,0,0.21,936,0.29,0.26,2010,0.63,0.29,227,0.07,0.29,21,0.01,0.29
51 a 60 años,521,0.34,0.13,965,0.63,0.14,38,0.03,0.14,2,0,0.11,604,0.4,0.14,887,0.58,0.13,32,0.02,0.12,3,0,0.19,657,0.43,0.14,841,0.55,0.13,27,0.02,0.09,1,0,0.06,593,0.39,0.14,895,0.59,0.13,37,0.02,0.12,1,0,0.07,509,0.33,0.14,902,0.59,0.13,106,0.07,0.14,9,0.01,0.12
61 a 70 años,80,0.43,0.02,106,0.57,0.02,1,0.01,0,0,0,0,90,0.48,0.02,96,0.51,0.01,1,0.01,0,0,0,0,95,0.51,0.02,90,0.48,0.01,2,0.01,0.01,0,0,0,92,0.49,0.02,93,0.5,0.01,1,0.01,0,1,0.01,0.07,75,0.4,0.02,103,0.55,0.02,8,0.04,0.01,1,0.01,0.01
71 a 80 años,6,0.46,0,7,0.54,0,0,0,0,0,0,0,6,0.46,0,7,0.54,0,0,0,0,0,0,0,7,0.54,0,6,0.46,0,0,0,0,0,0,0,7,0.54,0,6,0.46,0,0,0,0,0,0,0,5,0.39,0,7,0.54,0,1,0.08,0,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",13,0.36,0,22,0.61,0,1,0.03,0,0,0,0,12,0.33,0,23,0.64,0,1,0.03,0,0,0,0,13,0.36,0,22,0.61,0,1,0.03,0,0,0,0,10,0.28,0,25,0.69,0,1,0.03,0,0,0,0,12,0.33,0,23,0.64,0,1,0.03,0,0,0,0
Normal básica sin licenciatura,150,0.33,0.04,289,0.63,0.04,15,0.03,0.05,2,0,0.11,172,0.38,0.04,275,0.6,0.04,7,0.02,0.03,2,0,0.13,178,0.39,0.04,270,0.59,0.04,6,0.01,0.02,2,0,0.11,171,0.38,0.04,277,0.61,0.04,7,0.02,0.02,1,0,0.07,156,0.34,0.04,259,0.57,0.04,37,0.08,0.05,4,0.01,0.06
Normal superior,88,0.37,0.02,146,0.62,0.02,3,0.01,0.01,0,0,0,90,0.38,0.02,137,0.58,0.02,9,0.04,0.03,1,0,0.06,100,0.42,0.02,129,0.54,0.02,8,0.03,0.03,0,0,0,94,0.4,0.02,132,0.56,0.02,10,0.04,0.03,1,0,0.07,81,0.34,0.02,137,0.58,0.02,18,0.08,0.02,1,0,0.01
Normal Intercultural Bilingüe,41,0.38,0.01,65,0.61,0.01,1,0.01,0,0,0,0,43,0.4,0.01,61,0.57,0.01,3,0.03,0.01,0,0,0,47,0.44,0.01,57,0.53,0.01,2,0.02,0.01,1,0.01,0.06,42,0.39,0.01,64,0.6,0.01,1,0.01,0,0,0,0,40,0.37,0.01,63,0.59,0.01,4,0.04,0.01,0,0,0
Licenciatura,2955,0.34,0.73,5384,0.63,0.76,225,0.03,0.8,16,0,0.84,3160,0.37,0.73,5204,0.61,0.76,204,0.02,0.76,11,0,0.69,3412,0.4,0.74,4942,0.58,0.76,215,0.03,0.75,10,0,0.56,3028,0.35,0.73,5320,0.62,0.76,220,0.03,0.72,11,0,0.79,2644,0.31,0.73,5292,0.62,0.76,588,0.07,0.76,55,0.01,0.75
Especialidad,30,0.4,0.01,44,0.59,0.01,1,0.01,0,0,0,0,31,0.41,0.01,42,0.56,0.01,2,0.03,0.01,0,0,0,36,0.48,0.01,36,0.48,0.01,2,0.03,0.01,1,0.01,0.06,34,0.45,0.01,36,0.48,0.01,5,0.07,0.02,0,0,0,30,0.4,0.01,38,0.51,0.01,7,0.09,0.01,0,0,0
Maestría,692,0.39,0.17,1054,0.59,0.15,35,0.02,0.13,1,0,0.05,733,0.41,0.17,1010,0.57,0.15,37,0.02,0.14,2,0,0.13,763,0.43,0.17,966,0.54,0.15,49,0.03,0.17,4,0,0.22,682,0.38,0.17,1047,0.59,0.15,52,0.03,0.17,1,0,0.07,574,0.32,0.16,1089,0.61,0.16,107,0.06,0.14,12,0.01,0.16
Doctorado,68,0.44,0.02,87,0.56,0.01,0,0,0,0,0,0,68,0.44,0.02,82,0.53,0.01,5,0.03,0.02,0,0,0,70,0.45,0.02,82,0.53,0.01,3,0.02,0.01,0,0,0,67,0.43,0.02,80,0.52,0.01,8,0.05,0.03,0,0,0,60,0.39,0.02,81,0.52,0.01,13,0.08,0.02,1,0.01,0.01
Posdoctorado,4,0.57,0,3,0.43,0,0,0,0,0,0,0,4,0.57,0,3,0.43,0,0,0,0,0,0,0,4,0.57,0,3,0.43,0,0,0,0,0,0,0,4,0.57,0,3,0.43,0,0,0,0,0,0,0,5,0.71,0,2,0.29,0,0,0,0,0,0,0
Menor o igual a 10,1598,0.38,0.4,2513,0.59,0.35,106,0.03,0.38,12,0,0.63,1701,0.4,0.39,2420,0.57,0.35,100,0.02,0.37,7,0,0.44,1824,0.43,0.4,2290,0.54,0.35,104,0.03,0.36,10,0,0.56,1593,0.38,0.39,2513,0.59,0.36,115,0.03,0.38,7,0,0.5,1428,0.34,0.4,2525,0.6,0.36,251,0.06,0.32,24,0.01,0.33
11 a 20,1293,0.34,0.32,2470,0.64,0.35,93,0.02,0.33,3,0,0.16,1341,0.35,0.31,2410,0.63,0.35,104,0.03,0.39,4,0,0.25,1435,0.37,0.31,2303,0.6,0.35,117,0.03,0.41,4,0,0.22,1274,0.33,0.31,2474,0.64,0.35,108,0.03,0.36,3,0,0.21,1104,0.29,0.31,2432,0.63,0.35,298,0.08,0.39,25,0.01,0.34
21 a 30,1150,0.34,0.29,2111,0.63,0.3,82,0.02,0.29,4,0,0.21,1271,0.38,0.3,2007,0.6,0.29,64,0.02,0.24,5,0,0.31,1364,0.41,0.3,1914,0.57,0.29,65,0.02,0.23,4,0,0.22,1265,0.38,0.31,1997,0.6,0.29,81,0.02,0.27,4,0,0.29,1070,0.32,0.3,2027,0.61,0.29,226,0.07,0.29,24,0.01,0.33
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,3760,0.35,0.93,6648,0.62,0.94,259,0.02,0.92,13,0,0.68,4007,0.38,0.93,6412,0.6,0.94,248,0.02,0.93,13,0,0.81,4283,0.4,0.93,6116,0.57,0.94,267,0.03,0.93,14,0,0.78,3812,0.36,0.92,6570,0.62,0.94,287,0.03,0.94,11,0,0.79,3345,0.31,0.93,6551,0.61,0.94,716,0.07,0.92,68,0.01,0.93
Interino,150,0.4,0.04,209,0.56,0.03,12,0.03,0.04,3,0.01,0.16,161,0.43,0.04,203,0.54,0.03,9,0.02,0.03,1,0,0.06,177,0.47,0.04,189,0.51,0.03,7,0.02,0.02,1,0,0.06,166,0.44,0.04,198,0.53,0.03,9,0.02,0.03,1,0,0.07,134,0.36,0.04,208,0.56,0.03,29,0.08,0.04,3,0.01,0.04
Tiempo fijo,93,0.36,0.02,161,0.62,0.02,6,0.02,0.02,2,0.01,0.11,101,0.39,0.02,154,0.59,0.02,5,0.02,0.02,1,0,0.06,117,0.45,0.03,136,0.52,0.02,6,0.02,0.02,2,0.01,0.11,112,0.43,0.03,143,0.55,0.02,5,0.02,0.02,1,0,0.07,89,0.34,0.03,153,0.59,0.02,18,0.07,0.02,1,0,0.01
No tengo nombramiento,1,0.08,0,9,0.75,0,1,0.08,0,1,0.08,0.05,3,0.25,0,5,0.42,0,3,0.25,0.01,1,0.08,0.06,3,0.25,0,5,0.42,0,3,0.25,0.01,1,0.08,0.06,2,0.17,0,8,0.67,0,1,0.08,0,1,0.08,0.07,2,0.17,0,6,0.5,0,3,0.25,0,1,0.08,0.01
