Variable,B2-A-Mucho-Recuento,B2-A-Mucho-% del N de fila,B2-A-Mucho-% de N columnas,B2-A-Regular-Recuento,B2-A-Regular-% del N de fila,B2-A-Regular-% de N columnas,B2-A-Poco-Recuento,B2-A-Poco-% del N de fila,B2-A-Poco-% de N columnas,B2-A-Nada-Recuento,B2-A-Nada-% del N de fila,B2-A-Nada-% de N columnas,B2-B-Mucho-Recuento,B2-B-Mucho-% del N de fila,B2-B-Mucho-% de N columnas,B2-B-Regular-Recuento,B2-B-Regular-% del N de fila,B2-B-Regular-% de N columnas,B2-B-Poco-Recuento,B2-B-Poco-% del N de fila,B2-B-Poco-% de N columnas,B2-B-Nada-Recuento,B2-B-Nada-% del N de fila,B2-B-Nada-% de N columnas,B2-C-Mucho-Recuento,B2-C-Mucho-% del N de fila,B2-C-Mucho-% de N columnas,B2-C-Regular-Recuento,B2-C-Regular-% del N de fila,B2-C-Regular-% de N columnas,B2-C-Poco-Recuento,B2-C-Poco-% del N de fila,B2-C-Poco-% de N columnas,B2-C-Nada-Recuento,B2-C-Nada-% del N de fila,B2-C-Nada-% de N columnas,B2-D-Mucho-Recuento,B2-D-Mucho-% del N de fila,B2-D-Mucho-% de N columnas,B2-D-Regular-Recuento,B2-D-Regular-% del N de fila,B2-D-Regular-% de N columnas,B2-D-Poco-Recuento,B2-D-Poco-% del N de fila,B2-D-Poco-% de N columnas,B2-D-Nada-Recuento,B2-D-Nada-% del N de fila,B2-D-Nada-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Poco-Recuento,B2-E-Poco-% del N de fila,B2-E-Poco-% de N columnas,B2-E-Nada-Recuento,B2-E-Nada-% del N de fila,B2-E-Nada-% de N columnas,B2-F-Mucho-Recuento,B2-F-Mucho-% del N de fila,B2-F-Mucho-% de N columnas,B2-F-Regular-Recuento,B2-F-Regular-% del N de fila,B2-F-Regular-% de N columnas,B2-F-Poco-Recuento,B2-F-Poco-% del N de fila,B2-F-Poco-% de N columnas,B2-F-Nada-Recuento,B2-F-Nada-% del N de fila,B2-F-Nada-% de N columnas
ESTADO DE MÉXICO,762,0.65,0.04,376,0.32,0.04,36,0.03,0.04,3,0,0.03,695,0.59,0.04,435,0.37,0.04,40,0.03,0.04,7,0.01,0.07,727,0.62,0.04,414,0.35,0.04,35,0.03,0.04,1,0,0.01,609,0.52,0.04,509,0.43,0.04,55,0.05,0.04,4,0,0.04,629,0.53,0.04,487,0.41,0.04,55,0.05,0.04,6,0.01,0.06,603,0.51,0.04,500,0.43,0.04,66,0.06,0.04,8,0.01,0.06
GUANAJUATO,1129,0.66,0.06,558,0.33,0.06,20,0.01,0.03,4,0,0.04,1047,0.61,0.06,627,0.37,0.06,36,0.02,0.04,1,0,0.01,1048,0.61,0.06,627,0.37,0.06,36,0.02,0.04,0,0,0,902,0.53,0.06,750,0.44,0.06,55,0.03,0.04,4,0,0.04,977,0.57,0.06,680,0.4,0.05,52,0.03,0.04,2,0,0.02,902,0.53,0.06,733,0.43,0.06,72,0.04,0.04,4,0,0.03
GUERRERO,151,0.61,0.01,91,0.37,0.01,5,0.02,0.01,2,0.01,0.02,140,0.56,0.01,100,0.4,0.01,9,0.04,0.01,0,0,0,147,0.59,0.01,97,0.39,0.01,5,0.02,0.01,0,0,0,138,0.55,0.01,104,0.42,0.01,7,0.03,0.01,0,0,0,131,0.53,0.01,108,0.43,0.01,10,0.04,0.01,0,0,0,119,0.48,0.01,118,0.47,0.01,12,0.05,0.01,0,0,0
HIDALGO,688,0.66,0.04,329,0.32,0.03,22,0.02,0.03,4,0,0.04,636,0.61,0.04,372,0.36,0.03,34,0.03,0.03,1,0,0.01,663,0.64,0.04,356,0.34,0.03,21,0.02,0.02,3,0,0.04,568,0.55,0.04,445,0.43,0.03,25,0.02,0.02,5,0.01,0.05,569,0.55,0.04,436,0.42,0.03,36,0.04,0.03,2,0,0.02,554,0.53,0.04,444,0.43,0.03,42,0.04,0.03,3,0,0.02
JALISCO,787,0.63,0.04,434,0.35,0.04,32,0.03,0.04,4,0,0.04,718,0.57,0.04,482,0.38,0.04,52,0.04,0.05,5,0,0.05,731,0.58,0.04,473,0.38,0.04,48,0.04,0.05,5,0,0.07,608,0.48,0.04,575,0.46,0.04,72,0.06,0.05,2,0,0.02,631,0.5,0.04,540,0.43,0.04,80,0.06,0.06,6,0.01,0.06,597,0.48,0.04,566,0.45,0.04,90,0.07,0.05,4,0,0.03
MICHOACÁN,10,0.83,0,2,0.17,0,0,0,0,0,0,0,7,0.58,0,5,0.42,0,0,0,0,0,0,0,7,0.58,0,5,0.42,0,0,0,0,0,0,0,7,0.58,0,5,0.42,0,0,0,0,0,0,0,4,0.33,0,8,0.67,0,0,0,0,0,0,0,4,0.33,0,7,0.58,0,0,0,0,1,0.08,0.01
MORELOS,1002,0.66,0.06,471,0.31,0.05,33,0.02,0.04,3,0,0.03,967,0.64,0.06,507,0.34,0.05,31,0.02,0.03,5,0,0.05,973,0.64,0.06,501,0.33,0.05,33,0.02,0.03,3,0,0.04,852,0.56,0.06,593,0.39,0.05,62,0.04,0.05,3,0,0.03,867,0.57,0.06,572,0.38,0.05,69,0.05,0.05,2,0,0.02,785,0.52,0.06,638,0.42,0.05,82,0.05,0.05,5,0,0.04
NAYARIT,401,0.62,0.02,228,0.35,0.02,16,0.03,0.02,1,0,0.01,371,0.57,0.02,255,0.4,0.02,20,0.03,0.02,0,0,0,400,0.62,0.02,224,0.35,0.02,21,0.03,0.02,1,0,0.01,334,0.52,0.02,280,0.43,0.02,28,0.04,0.02,4,0.01,0.04,331,0.51,0.02,280,0.43,0.02,33,0.05,0.02,2,0,0.02,298,0.46,0.02,308,0.48,0.02,36,0.06,0.02,4,0.01,0.03
NUEVO LEÓN,68,0.66,0,32,0.31,0,2,0.02,0,1,0.01,0.01,69,0.67,0,32,0.31,0,2,0.02,0,0,0,0,63,0.61,0,35,0.34,0,4,0.04,0,1,0.01,0.01,49,0.48,0,48,0.47,0,6,0.06,0.01,0,0,0,54,0.52,0,45,0.44,0,3,0.03,0,1,0.01,0.01,60,0.58,0,39,0.38,0,3,0.03,0,1,0.01,0.01
PUEBLA,594,0.67,0.03,279,0.31,0.03,20,0.02,0.03,0,0,0,568,0.64,0.03,299,0.34,0.03,23,0.03,0.02,3,0,0.03,555,0.62,0.03,325,0.36,0.03,12,0.01,0.01,1,0,0.01,469,0.53,0.03,391,0.44,0.03,31,0.04,0.02,2,0,0.02,474,0.53,0.03,374,0.42,0.03,45,0.05,0.03,0,0,0,434,0.49,0.03,408,0.46,0.03,50,0.06,0.03,1,0,0.01
QUERÉTARO,918,0.61,0.05,536,0.36,0.05,36,0.02,0.04,4,0,0.04,854,0.57,0.05,591,0.4,0.05,47,0.03,0.05,2,0,0.02,843,0.56,0.05,593,0.4,0.05,55,0.04,0.06,3,0,0.04,681,0.46,0.05,749,0.5,0.06,57,0.04,0.04,7,0.01,0.07,736,0.49,0.05,681,0.46,0.05,71,0.05,0.05,6,0,0.06,684,0.46,0.05,716,0.48,0.05,90,0.06,0.05,4,0,0.03
QUINTANA ROO,791,0.58,0.04,525,0.39,0.05,39,0.03,0.05,5,0,0.05,762,0.56,0.04,556,0.41,0.05,37,0.03,0.04,5,0,0.05,778,0.57,0.04,536,0.39,0.05,39,0.03,0.04,7,0.01,0.1,695,0.51,0.05,611,0.45,0.05,50,0.04,0.04,4,0,0.04,681,0.5,0.05,627,0.46,0.05,45,0.03,0.03,7,0.01,0.07,656,0.48,0.05,623,0.46,0.05,72,0.05,0.04,9,0.01,0.07
SAN LUIS POTOSÍ,461,0.59,0.03,294,0.37,0.03,28,0.04,0.04,3,0,0.03,431,0.55,0.03,321,0.41,0.03,30,0.04,0.03,4,0.01,0.04,442,0.56,0.03,315,0.4,0.03,28,0.04,0.03,1,0,0.01,381,0.49,0.03,358,0.46,0.03,44,0.06,0.03,3,0,0.03,378,0.48,0.03,362,0.46,0.03,45,0.06,0.03,1,0,0.01,364,0.46,0.03,379,0.48,0.03,42,0.05,0.03,1,0,0.01
SINALOA,903,0.6,0.05,554,0.37,0.05,34,0.02,0.04,9,0.01,0.1,816,0.54,0.05,615,0.41,0.06,57,0.04,0.06,12,0.01,0.12,874,0.58,0.05,578,0.39,0.05,43,0.03,0.05,5,0,0.07,735,0.49,0.05,694,0.46,0.05,65,0.04,0.05,6,0,0.06,771,0.51,0.05,646,0.43,0.05,75,0.05,0.05,8,0.01,0.09,690,0.46,0.05,713,0.48,0.05,89,0.06,0.05,8,0.01,0.06
SONORA,571,0.59,0.03,364,0.37,0.04,39,0.04,0.05,1,0,0.01,541,0.56,0.03,383,0.39,0.03,48,0.05,0.05,3,0,0.03,548,0.56,0.03,387,0.4,0.04,40,0.04,0.04,0,0,0,494,0.51,0.03,425,0.44,0.03,55,0.06,0.04,1,0,0.01,499,0.51,0.03,421,0.43,0.03,51,0.05,0.04,4,0,0.04,468,0.48,0.03,441,0.45,0.03,63,0.07,0.04,3,0,0.02
TABASCO,624,0.67,0.03,287,0.31,0.03,19,0.02,0.02,1,0,0.01,600,0.64,0.04,310,0.33,0.03,19,0.02,0.02,2,0,0.02,623,0.67,0.04,284,0.31,0.03,23,0.03,0.02,1,0,0.01,533,0.57,0.04,358,0.39,0.03,35,0.04,0.03,5,0.01,0.05,530,0.57,0.04,360,0.39,0.03,37,0.04,0.03,4,0,0.04,523,0.56,0.04,365,0.39,0.03,36,0.04,0.02,6,0.01,0.05
TAMAULIPAS,702,0.6,0.04,430,0.37,0.04,31,0.03,0.04,8,0.01,0.09,636,0.54,0.04,479,0.41,0.04,49,0.04,0.05,7,0.01,0.07,660,0.56,0.04,460,0.39,0.04,41,0.04,0.04,10,0.01,0.14,599,0.51,0.04,515,0.44,0.04,49,0.04,0.04,8,0.01,0.08,585,0.5,0.04,535,0.46,0.04,46,0.04,0.03,5,0,0.05,568,0.49,0.04,543,0.46,0.04,50,0.04,0.03,10,0.01,0.08
TLAXCALA,660,0.61,0.04,389,0.36,0.04,25,0.02,0.03,2,0,0.02,653,0.61,0.04,385,0.36,0.03,34,0.03,0.03,4,0,0.04,657,0.61,0.04,382,0.36,0.04,35,0.03,0.04,2,0,0.03,524,0.49,0.04,497,0.46,0.04,48,0.05,0.04,6,0.01,0.06,528,0.49,0.04,483,0.45,0.04,59,0.06,0.04,5,0.01,0.05,514,0.48,0.04,494,0.46,0.04,64,0.06,0.04,3,0,0.02
VERACRUZ,432,0.68,0.02,189,0.3,0.02,14,0.02,0.02,0,0,0,397,0.63,0.02,222,0.35,0.02,15,0.02,0.02,1,0,0.01,411,0.65,0.02,204,0.32,0.02,18,0.03,0.02,2,0,0.03,376,0.59,0.03,241,0.38,0.02,18,0.03,0.01,0,0,0,371,0.58,0.02,240,0.38,0.02,23,0.04,0.02,1,0,0.01,364,0.57,0.03,237,0.37,0.02,33,0.05,0.02,1,0,0.01
YUCATÁN,475,0.67,0.03,205,0.29,0.02,24,0.03,0.03,1,0,0.01,416,0.59,0.02,255,0.36,0.02,33,0.05,0.03,1,0,0.01,418,0.59,0.02,257,0.37,0.02,30,0.04,0.03,0,0,0,351,0.5,0.02,312,0.44,0.02,42,0.06,0.03,0,0,0,371,0.53,0.02,290,0.41,0.02,44,0.06,0.03,0,0,0,336,0.48,0.02,315,0.45,0.02,51,0.07,0.03,3,0,0.02
ZACATECAS,614,0.55,0.03,449,0.4,0.04,44,0.04,0.05,5,0,0.05,595,0.54,0.04,448,0.4,0.04,63,0.06,0.06,6,0.01,0.06,593,0.53,0.03,459,0.41,0.04,56,0.05,0.06,4,0,0.06,482,0.43,0.03,542,0.49,0.04,82,0.07,0.06,6,0.01,0.06,504,0.45,0.03,534,0.48,0.04,68,0.06,0.05,6,0.01,0.06,464,0.42,0.03,543,0.49,0.04,94,0.09,0.06,11,0.01,0.09
Hombre,7321,0.59,0.4,4678,0.38,0.46,408,0.03,0.5,41,0,0.45,6753,0.54,0.39,5132,0.41,0.46,515,0.04,0.5,49,0,0.48,6982,0.56,0.4,4946,0.4,0.45,484,0.04,0.51,37,0,0.51,5925,0.48,0.4,5859,0.47,0.44,618,0.05,0.47,46,0,0.48,6033,0.49,0.4,5688,0.46,0.45,681,0.06,0.48,46,0,0.49,5821,0.47,0.41,5785,0.47,0.43,781,0.06,0.47,61,0.01,0.47
Mujer,11057,0.65,0.6,5549,0.33,0.54,403,0.02,0.5,51,0,0.55,10376,0.61,0.61,6116,0.36,0.54,517,0.03,0.5,53,0,0.52,10573,0.62,0.6,5979,0.35,0.55,474,0.03,0.5,35,0,0.49,8935,0.52,0.6,7369,0.43,0.56,707,0.04,0.53,50,0,0.52,9246,0.54,0.61,7028,0.41,0.55,739,0.04,0.52,48,0,0.51,8509,0.5,0.59,7592,0.45,0.57,890,0.05,0.53,68,0,0.53
18 a 20 años,138,0.61,0.01,80,0.35,0.01,10,0.04,0.01,0,0,0,124,0.54,0.01,95,0.42,0.01,8,0.04,0.01,1,0,0.01,141,0.62,0.01,81,0.36,0.01,6,0.03,0.01,0,0,0,118,0.52,0.01,101,0.44,0.01,7,0.03,0.01,2,0.01,0.02,125,0.55,0.01,97,0.43,0.01,5,0.02,0,1,0,0.01,114,0.5,0.01,101,0.44,0.01,13,0.06,0.01,0,0,0
21 a 30 años,2343,0.65,0.13,1157,0.32,0.11,84,0.02,0.1,9,0,0.1,2132,0.59,0.12,1330,0.37,0.12,122,0.03,0.12,9,0,0.09,2179,0.61,0.12,1302,0.36,0.12,104,0.03,0.11,8,0,0.11,1822,0.51,0.12,1591,0.44,0.12,169,0.05,0.13,11,0,0.12,1926,0.54,0.13,1483,0.41,0.12,174,0.05,0.12,10,0,0.11,1754,0.49,0.12,1605,0.45,0.12,220,0.06,0.13,14,0,0.11
31 a 40 años,5950,0.62,0.32,3351,0.35,0.33,257,0.03,0.32,34,0,0.37,5487,0.57,0.32,3733,0.39,0.33,337,0.04,0.33,36,0,0.35,5572,0.58,0.32,3661,0.38,0.34,336,0.04,0.35,24,0,0.33,4630,0.48,0.31,4497,0.47,0.34,433,0.05,0.33,33,0,0.34,4800,0.5,0.31,4316,0.45,0.34,444,0.05,0.31,33,0,0.35,4372,0.46,0.31,4576,0.48,0.34,609,0.06,0.36,36,0,0.28
41 a 50 años,5709,0.61,0.31,3326,0.36,0.33,275,0.03,0.34,35,0,0.38,5337,0.57,0.31,3626,0.39,0.32,349,0.04,0.34,34,0,0.33,5474,0.59,0.31,3527,0.38,0.32,318,0.03,0.33,27,0,0.38,4610,0.49,0.31,4259,0.46,0.32,447,0.05,0.34,30,0,0.31,4676,0.5,0.31,4130,0.44,0.33,505,0.05,0.36,35,0,0.37,4421,0.47,0.31,4360,0.47,0.33,512,0.06,0.31,51,0.01,0.4
51 a 60 años,3608,0.63,0.2,1981,0.34,0.19,159,0.03,0.2,11,0,0.12,3426,0.6,0.2,2130,0.37,0.19,186,0.03,0.18,18,0,0.18,3550,0.62,0.2,2030,0.35,0.19,169,0.03,0.18,10,0,0.14,3086,0.54,0.21,2413,0.42,0.18,240,0.04,0.18,19,0,0.2,3149,0.55,0.21,2344,0.41,0.18,251,0.04,0.18,14,0,0.15,3068,0.53,0.21,2392,0.42,0.18,276,0.05,0.17,22,0,0.17
61 a 70 años,604,0.64,0.03,312,0.33,0.03,22,0.02,0.03,3,0,0.03,596,0.63,0.04,317,0.34,0.03,25,0.03,0.02,3,0,0.03,612,0.65,0.04,307,0.33,0.03,19,0.02,0.02,3,0,0.04,566,0.6,0.04,353,0.38,0.03,21,0.02,0.02,1,0,0.01,580,0.62,0.04,327,0.35,0.03,33,0.04,0.02,1,0,0.01,576,0.61,0.04,326,0.35,0.02,34,0.04,0.02,5,0.01,0.04
71 a 80 años,26,0.52,0,20,0.4,0,4,0.08,0.01,0,0,0,27,0.54,0,17,0.34,0,5,0.1,0.01,1,0.02,0.01,27,0.54,0,17,0.34,0,6,0.12,0.01,0,0,0,28,0.56,0,14,0.28,0,8,0.16,0.01,0,0,0,23,0.46,0,19,0.38,0,8,0.16,0.01,0,0,0,25,0.5,0,17,0.34,0,7,0.14,0,1,0.02,0.01
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",391,0.56,0.02,265,0.38,0.03,32,0.05,0.04,5,0.01,0.05,381,0.55,0.02,268,0.39,0.02,42,0.06,0.04,2,0,0.02,404,0.58,0.02,254,0.37,0.02,31,0.05,0.03,4,0.01,0.06,366,0.53,0.03,291,0.42,0.02,32,0.05,0.02,4,0.01,0.04,361,0.52,0.02,286,0.41,0.02,41,0.06,0.03,5,0.01,0.05,339,0.49,0.02,311,0.45,0.02,39,0.06,0.02,4,0.01,0.03
Normal básica sin licenciatura,79,0.52,0,63,0.41,0.01,10,0.07,0.01,1,0.01,0.01,74,0.48,0,65,0.43,0.01,14,0.09,0.01,0,0,0,80,0.52,0.01,61,0.4,0.01,12,0.08,0.01,0,0,0,73,0.48,0.01,68,0.44,0.01,12,0.08,0.01,0,0,0,73,0.48,0.01,63,0.41,0.01,17,0.11,0.01,0,0,0,75,0.49,0.01,67,0.44,0.01,11,0.07,0.01,0,0,0
Normal superior,2638,0.61,0.14,1568,0.36,0.15,116,0.03,0.14,9,0,0.1,2467,0.57,0.14,1710,0.4,0.15,142,0.03,0.14,13,0,0.13,2479,0.57,0.14,1700,0.39,0.16,139,0.03,0.15,13,0,0.18,2169,0.5,0.15,1959,0.45,0.15,191,0.04,0.14,12,0,0.13,2187,0.51,0.14,1927,0.45,0.15,206,0.05,0.15,11,0,0.12,2061,0.48,0.14,2009,0.46,0.15,241,0.06,0.14,20,0.01,0.16
Normal Intercultural Bilingüe,9,0.6,0,6,0.4,0,0,0,0,0,0,0,8,0.53,0,6,0.4,0,1,0.07,0,0,0,0,9,0.6,0,6,0.4,0,0,0,0,0,0,0,9,0.6,0,5,0.33,0,1,0.07,0,0,0,0,10,0.67,0,5,0.33,0,0,0,0,0,0,0,9,0.6,0,5,0.33,0,1,0.07,0,0,0,0
Licenciatura,9867,0.62,0.54,5688,0.36,0.56,435,0.03,0.54,54,0,0.59,9155,0.57,0.53,6277,0.39,0.56,559,0.04,0.54,55,0,0.54,9494,0.59,0.54,5993,0.37,0.55,520,0.03,0.54,39,0,0.54,7857,0.49,0.53,7416,0.46,0.56,720,0.05,0.54,52,0,0.54,8148,0.51,0.53,7062,0.44,0.56,791,0.05,0.56,44,0,0.47,7604,0.47,0.53,7438,0.46,0.56,944,0.06,0.57,57,0,0.44
Especialidad,459,0.62,0.03,259,0.35,0.03,24,0.03,0.03,1,0,0.01,434,0.58,0.03,275,0.37,0.02,29,0.04,0.03,5,0.01,0.05,450,0.61,0.03,262,0.35,0.02,29,0.04,0.03,2,0,0.03,403,0.54,0.03,305,0.41,0.02,31,0.04,0.02,4,0.01,0.04,397,0.53,0.03,313,0.42,0.03,28,0.04,0.02,5,0.01,0.05,379,0.51,0.03,320,0.43,0.02,38,0.05,0.02,6,0.01,0.05
Maestría,4418,0.65,0.24,2149,0.32,0.21,169,0.03,0.21,21,0,0.23,4128,0.61,0.24,2386,0.35,0.21,217,0.03,0.21,26,0,0.26,4144,0.61,0.24,2399,0.36,0.22,200,0.03,0.21,14,0,0.19,3556,0.53,0.24,2874,0.43,0.22,303,0.05,0.23,24,0,0.25,3663,0.54,0.24,2765,0.41,0.22,301,0.05,0.21,28,0,0.3,3445,0.51,0.24,2921,0.43,0.22,355,0.05,0.21,36,0.01,0.28
Doctorado,494,0.66,0.03,225,0.3,0.02,24,0.03,0.03,1,0,0.01,461,0.62,0.03,255,0.34,0.02,27,0.04,0.03,1,0,0.01,473,0.64,0.03,245,0.33,0.02,26,0.04,0.03,0,0,0,409,0.55,0.03,301,0.41,0.02,34,0.05,0.03,0,0,0,421,0.57,0.03,287,0.39,0.02,35,0.05,0.03,1,0,0.01,400,0.54,0.03,297,0.4,0.02,41,0.06,0.03,6,0.01,0.05
