Variable,B1-A-Mucho-Recuento,B1-A-Mucho-% del N de fila,B1-A-Mucho-% de N columnas,B1-A-Regular-Recuento,B1-A-Regular-% del N de fila,B1-A-Regular-% de N columnas,B1-A-Poco-Recuento,B1-A-Poco-% del N de fila,B1-A-Poco-% de N columnas,B1-A-Nada-Recuento,B1-A-Nada-% del N de fila,B1-A-Nada-% de N columnas,B1-B-Mucho-Recuento,B1-B-Mucho-% del N de fila,B1-B-Mucho-% de N columnas,B1-B-Regular-Recuento,B1-B-Regular-% del N de fila,B1-B-Regular-% de N columnas,B1-B-Poco-Recuento,B1-B-Poco-% del N de fila,B1-B-Poco-% de N columnas,B1-B-Nada-Recuento,B1-B-Nada-% del N de fila,B1-B-Nada-% de N columnas,B1-C-Mucho-Recuento,B1-C-Mucho-% del N de fila,B1-C-Mucho-% de N columnas,B1-C-Regular-Recuento,B1-C-Regular-% del N de fila,B1-C-Regular-% de N columnas,B1-C-Poco-Recuento,B1-C-Poco-% del N de fila,B1-C-Poco-% de N columnas,B1-C-Nada-Recuento,B1-C-Nada-% del N de fila,B1-C-Nada-% de N columnas,B1-D-Mucho-Recuento,B1-D-Mucho-% del N de fila,B1-D-Mucho-% de N columnas,B1-D-Regular-Recuento,B1-D-Regular-% del N de fila,B1-D-Regular-% de N columnas,B1-D-Poco-Recuento,B1-D-Poco-% del N de fila,B1-D-Poco-% de N columnas,B1-D-Nada-Recuento,B1-D-Nada-% del N de fila,B1-D-Nada-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Poco-Recuento,B1-E-Poco-% del N de fila,B1-E-Poco-% de N columnas,B1-E-Nada-Recuento,B1-E-Nada-% del N de fila,B1-E-Nada-% de N columnas,B1-F-Mucho-Recuento,B1-F-Mucho-% del N de fila,B1-F-Mucho-% de N columnas,B1-F-Regular-Recuento,B1-F-Regular-% del N de fila,B1-F-Regular-% de N columnas,B1-F-Poco-Recuento,B1-F-Poco-% del N de fila,B1-F-Poco-% de N columnas,B1-F-Nada-Recuento,B1-F-Nada-% del N de fila,B1-F-Nada-% de N columnas,B1-G-Mucho-Recuento,B1-G-Mucho-% del N de fila,B1-G-Mucho-% de N columnas,B1-G-Regular-Recuento,B1-G-Regular-% del N de fila,B1-G-Regular-% de N columnas,B1-G-Poco-Recuento,B1-G-Poco-% del N de fila,B1-G-Poco-% de N columnas,B1-G-Nada-Recuento,B1-G-Nada-% del N de fila,B1-G-Nada-% de N columnas,B1-H-Mucho-Recuento,B1-H-Mucho-% del N de fila,B1-H-Mucho-% de N columnas,B1-H-Regular-Recuento,B1-H-Regular-% del N de fila,B1-H-Regular-% de N columnas,B1-H-Poco-Recuento,B1-H-Poco-% del N de fila,B1-H-Poco-% de N columnas,B1-H-Nada-Recuento,B1-H-Nada-% del N de fila,B1-H-Nada-% de N columnas,B1-I-Mucho-Recuento,B1-I-Mucho--% del N de fila,B1-I-Mucho-% de N columnas,B1-I-Regular-Recuento,B1-I-Regular-% del N de fila,B1-I-Regular-% de N columnas,B1-I-Poco-Recuento,B1-I-Poco-% del N de fila,B1-I-Poco-% de N columnas,B1-I-Nada-Recuento,B1-I-Nada-% del N de fila,B1-I-Nada-% de N columnas
ESTADO DE MÉXICO,162,0.33,0.05,268,0.54,0.04,62,0.13,0.04,5,0.01,0.04,282,0.57,0.04,195,0.39,0.04,19,0.04,0.05,1,0,0.04,190,0.38,0.05,250,0.5,0.04,54,0.11,0.05,3,0.01,0.03,275,0.55,0.04,199,0.4,0.04,22,0.04,0.05,1,0,0.04,267,0.54,0.04,203,0.41,0.05,25,0.05,0.04,2,0,0.06,254,0.51,0.05,206,0.41,0.04,37,0.07,0.06,0,0,0,332,0.67,0.04,147,0.3,0.04,18,0.04,0.06,0,0,0,277,0.56,0.04,198,0.4,0.04,19,0.04,0.04,3,0.01,0.07,286,0.58,0.04,188,0.38,0.05,20,0.04,0.05,3,0.01,0.1
GUANAJUATO,114,0.31,0.04,217,0.59,0.03,33,0.09,0.02,6,0.02,0.05,235,0.64,0.04,124,0.34,0.03,11,0.03,0.03,0,0,0,155,0.42,0.04,178,0.48,0.03,35,0.1,0.03,2,0.01,0.02,247,0.67,0.04,113,0.31,0.03,10,0.03,0.02,0,0,0,240,0.65,0.04,119,0.32,0.03,11,0.03,0.02,0,0,0,197,0.53,0.04,155,0.42,0.03,18,0.05,0.03,0,0,0,269,0.73,0.04,92,0.25,0.03,9,0.02,0.03,0,0,0,213,0.58,0.03,148,0.4,0.03,9,0.02,0.02,0,0,0,229,0.62,0.03,132,0.36,0.03,9,0.02,0.02,0,0,0
GUERRERO,4,0.2,0,12,0.6,0,3,0.15,0,1,0.05,0.01,12,0.6,0,7,0.35,0,1,0.05,0,0,0,0,5,0.25,0,8,0.4,0,6,0.3,0.01,1,0.05,0.01,11,0.55,0,7,0.35,0,2,0.1,0.01,0,0,0,10,0.5,0,7,0.35,0,3,0.15,0.01,0,0,0,9,0.45,0,9,0.45,0,2,0.1,0,0,0,0,15,0.75,0,4,0.2,0,1,0.05,0,0,0,0,11,0.55,0,7,0.35,0,2,0.1,0,0,0,0,13,0.65,0,6,0.3,0,1,0.05,0,0,0,0
HIDALGO,100,0.3,0.03,183,0.56,0.03,43,0.13,0.03,4,0.01,0.03,196,0.59,0.03,121,0.37,0.03,12,0.04,0.03,1,0,0.04,134,0.41,0.03,166,0.5,0.03,29,0.09,0.02,1,0,0.01,196,0.59,0.03,118,0.36,0.03,15,0.05,0.04,1,0,0.04,188,0.57,0.03,120,0.36,0.03,22,0.07,0.04,0,0,0,179,0.54,0.03,130,0.39,0.03,20,0.06,0.03,1,0,0.02,234,0.71,0.03,85,0.26,0.02,11,0.03,0.04,0,0,0,194,0.59,0.03,120,0.36,0.03,14,0.04,0.03,2,0.01,0.05,211,0.64,0.03,103,0.31,0.03,16,0.05,0.04,0,0,0
JALISCO,62,0.26,0.02,130,0.55,0.02,37,0.16,0.02,8,0.03,0.06,153,0.65,0.02,75,0.32,0.02,8,0.03,0.02,1,0,0.04,109,0.46,0.03,105,0.44,0.02,21,0.09,0.02,2,0.01,0.02,160,0.68,0.03,68,0.29,0.02,8,0.03,0.02,1,0,0.04,147,0.62,0.02,80,0.34,0.02,9,0.04,0.01,1,0,0.03,132,0.56,0.02,87,0.37,0.02,15,0.06,0.03,3,0.01,0.06,179,0.76,0.02,48,0.2,0.01,9,0.04,0.03,1,0,0.06,156,0.66,0.03,70,0.3,0.02,10,0.04,0.02,1,0,0.02,161,0.68,0.02,60,0.25,0.01,15,0.06,0.03,1,0,0.03
MICHOACÁN,9,0.25,0,23,0.64,0,4,0.11,0,0,0,0,18,0.5,0,17,0.47,0,1,0.03,0,0,0,0,12,0.33,0,17,0.47,0,7,0.19,0.01,0,0,0,20,0.56,0,15,0.42,0,1,0.03,0,0,0,0,17,0.47,0,15,0.42,0,4,0.11,0.01,0,0,0,16,0.44,0,18,0.5,0,2,0.06,0,0,0,0,26,0.72,0,10,0.28,0,0,0,0,0,0,0,18,0.5,0,16,0.44,0,2,0.06,0,0,0,0,23,0.64,0,13,0.36,0,0,0,0,0,0,0
MORELOS,98,0.27,0.03,215,0.6,0.03,42,0.12,0.03,4,0.01,0.03,205,0.57,0.03,138,0.38,0.03,15,0.04,0.04,1,0,0.04,123,0.34,0.03,193,0.54,0.03,40,0.11,0.03,3,0.01,0.03,214,0.6,0.03,129,0.36,0.03,15,0.04,0.04,1,0,0.04,182,0.51,0.03,144,0.4,0.03,31,0.09,0.05,3,0.01,0.09,183,0.51,0.03,150,0.42,0.03,26,0.07,0.04,0,0,0,239,0.67,0.03,106,0.3,0.03,14,0.04,0.05,0,0,0,183,0.51,0.03,154,0.43,0.03,21,0.06,0.04,1,0,0.02,201,0.56,0.03,137,0.38,0.03,21,0.06,0.05,0,0,0
NAYARIT,103,0.23,0.04,266,0.6,0.04,73,0.16,0.05,5,0.01,0.04,236,0.53,0.04,191,0.43,0.04,20,0.05,0.06,0,0,0,162,0.36,0.04,231,0.52,0.04,48,0.11,0.04,6,0.01,0.07,246,0.55,0.04,186,0.42,0.04,15,0.03,0.04,0,0,0,248,0.56,0.04,168,0.38,0.04,30,0.07,0.05,1,0,0.03,205,0.46,0.04,204,0.46,0.04,35,0.08,0.06,3,0.01,0.06,294,0.66,0.04,141,0.32,0.04,12,0.03,0.04,0,0,0,234,0.52,0.04,184,0.41,0.04,29,0.07,0.06,0,0,0,261,0.58,0.04,164,0.37,0.04,21,0.05,0.05,1,0,0.03
NUEVO LEÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
PUEBLA,137,0.35,0.05,222,0.56,0.03,32,0.08,0.02,3,0.01,0.02,245,0.62,0.04,140,0.36,0.03,9,0.02,0.03,0,0,0,170,0.43,0.04,186,0.47,0.03,37,0.09,0.03,1,0,0.01,251,0.64,0.04,127,0.32,0.03,16,0.04,0.04,0,0,0,276,0.7,0.04,107,0.27,0.02,11,0.03,0.02,0,0,0,238,0.6,0.04,145,0.37,0.03,10,0.03,0.02,1,0,0.02,297,0.75,0.04,91,0.23,0.03,6,0.02,0.02,0,0,0,268,0.68,0.04,116,0.29,0.03,10,0.03,0.02,0,0,0,257,0.65,0.04,127,0.32,0.03,10,0.03,0.02,0,0,0
QUERÉTARO,127,0.25,0.04,322,0.62,0.05,64,0.12,0.04,3,0.01,0.02,318,0.62,0.05,186,0.36,0.04,12,0.02,0.03,0,0,0,184,0.36,0.05,277,0.54,0.05,54,0.11,0.05,1,0,0.01,297,0.58,0.05,200,0.39,0.05,19,0.04,0.05,0,0,0,296,0.57,0.05,194,0.38,0.04,26,0.05,0.04,0,0,0,248,0.48,0.04,235,0.46,0.05,31,0.06,0.05,2,0,0.04,351,0.68,0.05,152,0.3,0.04,13,0.03,0.04,0,0,0,265,0.51,0.04,227,0.44,0.05,24,0.05,0.05,0,0,0,316,0.61,0.05,180,0.35,0.04,18,0.04,0.04,2,0,0.07
QUINTANA ROO,124,0.27,0.04,270,0.59,0.04,60,0.13,0.04,7,0.02,0.05,270,0.59,0.04,178,0.39,0.04,12,0.03,0.03,1,0,0.04,158,0.34,0.04,251,0.54,0.04,49,0.11,0.04,3,0.01,0.03,272,0.59,0.04,171,0.37,0.04,15,0.03,0.04,3,0.01,0.11,234,0.51,0.04,197,0.43,0.04,27,0.06,0.04,3,0.01,0.09,247,0.54,0.04,195,0.42,0.04,16,0.04,0.03,3,0.01,0.06,310,0.67,0.04,141,0.31,0.04,7,0.02,0.02,3,0.01,0.18,255,0.55,0.04,187,0.41,0.04,18,0.04,0.04,1,0,0.02,269,0.58,0.04,179,0.39,0.04,11,0.02,0.03,2,0,0.07
SAN LUIS POTOSÍ,111,0.29,0.04,219,0.58,0.03,46,0.12,0.03,5,0.01,0.04,204,0.54,0.03,161,0.42,0.04,14,0.04,0.04,2,0.01,0.07,135,0.35,0.03,206,0.54,0.03,35,0.09,0.03,5,0.01,0.06,213,0.56,0.03,154,0.4,0.03,12,0.03,0.03,2,0.01,0.07,213,0.56,0.03,150,0.39,0.03,16,0.04,0.03,2,0.01,0.06,186,0.49,0.03,169,0.44,0.03,20,0.05,0.03,6,0.02,0.12,246,0.65,0.03,122,0.32,0.04,12,0.03,0.04,1,0,0.06,192,0.5,0.03,164,0.43,0.04,22,0.06,0.04,3,0.01,0.07,218,0.57,0.03,145,0.38,0.04,16,0.04,0.04,2,0.01,0.07
SINALOA,134,0.24,0.05,343,0.61,0.05,81,0.14,0.05,4,0.01,0.03,342,0.61,0.05,213,0.38,0.05,6,0.01,0.02,1,0,0.04,211,0.38,0.05,291,0.52,0.05,55,0.1,0.05,5,0.01,0.06,363,0.65,0.06,189,0.34,0.04,8,0.01,0.02,2,0,0.07,357,0.64,0.06,192,0.34,0.04,12,0.02,0.02,1,0,0.03,327,0.58,0.06,216,0.38,0.04,16,0.03,0.03,3,0.01,0.06,407,0.72,0.05,148,0.26,0.04,5,0.01,0.02,2,0,0.12,329,0.59,0.05,216,0.38,0.05,15,0.03,0.03,2,0,0.05,382,0.68,0.06,165,0.29,0.04,13,0.02,0.03,2,0,0.07
SONORA,108,0.33,0.04,175,0.54,0.03,41,0.13,0.03,2,0.01,0.02,201,0.62,0.03,113,0.35,0.03,10,0.03,0.03,2,0.01,0.07,131,0.4,0.03,161,0.49,0.03,29,0.09,0.02,5,0.02,0.06,214,0.66,0.03,102,0.31,0.02,8,0.03,0.02,2,0.01,0.07,186,0.57,0.03,129,0.4,0.03,10,0.03,0.02,1,0,0.03,177,0.54,0.03,134,0.41,0.03,13,0.04,0.02,2,0.01,0.04,220,0.68,0.03,99,0.3,0.03,6,0.02,0.02,1,0,0.06,202,0.62,0.03,114,0.35,0.02,9,0.03,0.02,1,0,0.02,221,0.68,0.03,96,0.29,0.02,8,0.03,0.02,1,0,0.03
TABASCO,133,0.34,0.05,216,0.55,0.03,39,0.1,0.03,4,0.01,0.03,262,0.67,0.04,120,0.31,0.03,10,0.03,0.03,0,0,0,167,0.43,0.04,182,0.46,0.03,40,0.1,0.03,3,0.01,0.03,256,0.65,0.04,124,0.32,0.03,12,0.03,0.03,0,0,0,254,0.65,0.04,118,0.3,0.03,20,0.05,0.03,0,0,0,212,0.54,0.04,162,0.41,0.03,15,0.04,0.03,3,0.01,0.06,287,0.73,0.04,97,0.25,0.03,8,0.02,0.03,0,0,0,245,0.63,0.04,135,0.34,0.03,12,0.03,0.02,0,0,0,263,0.67,0.04,120,0.31,0.03,9,0.02,0.02,0,0,0
TAMAULIPAS,95,0.22,0.03,268,0.62,0.04,65,0.15,0.04,2,0.01,0.02,227,0.53,0.04,190,0.44,0.04,12,0.03,0.03,0,0,0,140,0.33,0.03,246,0.57,0.04,43,0.1,0.04,1,0,0.01,217,0.51,0.03,194,0.45,0.04,19,0.04,0.05,0,0,0,212,0.49,0.03,185,0.43,0.04,33,0.08,0.05,0,0,0,208,0.48,0.04,204,0.47,0.04,17,0.04,0.03,1,0,0.02,262,0.61,0.04,156,0.36,0.04,12,0.03,0.04,0,0,0,212,0.49,0.03,190,0.44,0.04,27,0.06,0.05,1,0,0.02,250,0.58,0.04,161,0.37,0.04,19,0.04,0.04,0,0,0
TLAXCALA,100,0.3,0.03,198,0.6,0.03,33,0.1,0.02,2,0.01,0.02,192,0.58,0.03,133,0.4,0.03,8,0.02,0.02,0,0,0,118,0.35,0.03,179,0.54,0.03,35,0.11,0.03,1,0,0.01,186,0.56,0.03,138,0.41,0.03,8,0.02,0.02,1,0,0.04,201,0.6,0.03,122,0.37,0.03,10,0.03,0.02,0,0,0,172,0.52,0.03,152,0.46,0.03,9,0.03,0.02,0,0,0,214,0.64,0.03,110,0.33,0.03,8,0.02,0.03,1,0,0.06,176,0.53,0.03,146,0.44,0.03,9,0.03,0.02,2,0.01,0.05,196,0.59,0.03,126,0.38,0.03,11,0.03,0.03,0,0,0
VERACRUZ,37,0.29,0.01,70,0.56,0.01,17,0.14,0.01,2,0.02,0.02,70,0.56,0.01,51,0.41,0.01,4,0.03,0.01,1,0.01,0.04,41,0.33,0.01,68,0.54,0.01,16,0.13,0.01,1,0.01,0.01,72,0.57,0.01,46,0.37,0.01,7,0.06,0.02,1,0.01,0.04,75,0.6,0.01,45,0.36,0.01,5,0.04,0.01,1,0.01,0.03,67,0.53,0.01,52,0.41,0.01,6,0.05,0.01,1,0.01,0.02,89,0.71,0.01,32,0.25,0.01,4,0.03,0.01,1,0.01,0.06,74,0.59,0.01,47,0.37,0.01,4,0.03,0.01,1,0.01,0.02,84,0.67,0.01,34,0.27,0.01,6,0.05,0.01,2,0.02,0.07
YUCATÁN,93,0.36,0.03,130,0.5,0.02,34,0.13,0.02,5,0.02,0.04,173,0.66,0.03,81,0.31,0.02,6,0.02,0.02,2,0.01,0.07,102,0.39,0.03,133,0.51,0.02,24,0.09,0.02,3,0.01,0.03,167,0.64,0.03,86,0.33,0.02,8,0.03,0.02,1,0,0.04,155,0.59,0.02,95,0.36,0.02,9,0.03,0.01,3,0.01,0.09,154,0.59,0.03,103,0.39,0.02,3,0.01,0.01,2,0.01,0.04,189,0.72,0.03,66,0.25,0.02,6,0.02,0.02,1,0,0.06,167,0.64,0.03,85,0.32,0.02,9,0.03,0.02,1,0,0.02,179,0.68,0.03,77,0.29,0.02,4,0.02,0.01,2,0.01,0.07
