Variable,B3-A-Totalmente de acuerdo-Recuento,B3-A-Totalmente de acuerdo-% del N de fila,B3-A-Totalmente de acuerdo-% de N columnas,B3-A-De acuerdo-Recuento,B3-A-De acuerdo-% del N de fila,B3-A-De acuerdo-% de N columnas,B3-A-En desacuerdo-Recuento,B3-A-En desacuerdo-% del N de fila,B3-A-En desacuerdo-% de N columnas,B3-A-Totalmente en desacuerdo-Recuento,B3-A-Totalmente en desacuerdo-% del N de fila,B3-A-Totalmente en desacuerdo-% de N columnas,B3-B-Totalmente de acuerdo-Recuento,B3-B-Totalmente de acuerdo-% del N de fila,B3-B-Totalmente de acuerdo-% de N columnas,B3-B-De acuerdo-Recuento,B3-B-De acuerdo-% del N de fila,B3-B-De acuerdo-% de N columnas,B3-B-En desacuerdo-Recuento,B3-B-En desacuerdo-% del N de fila,B3-B-En desacuerdo-% de N columnas,B3-B-Totalmente en desacuerdo-Recuento,B3-B-Totalmente en desacuerdo-% del N de fila,B3-B-Totalmente en desacuerdo-% de N columnas,B3-C-Totalmente de acuerdo-Recuento,B3-C-Totalmente de acuerdo-% del N de fila,B3-C-Totalmente de acuerdo-% de N columnas,B3-C-De acuerdo-Recuento,B3-C-De acuerdo-% del N de fila,B3-C-De acuerdo-% de N columnas,B3-C-En desacuerdo-Recuento,B3-C-En desacuerdo-% del N de fila,B3-C-En desacuerdo-% de N columnas,B3-C-Totalmente en desacuerdo-Recuento,B3-C-Totalmente en desacuerdo-% del N de fila,B3-C-Totalmente en desacuerdo-% de N columnas,B3-D-Totalmente de acuerdo-Recuento,B3-D-Totalmente de acuerdo-% del N de fila,B3-D-Totalmente de acuerdo-% de N columnas,B3-D-De acuerdo-Recuento,B3-D-De acuerdo-% del N de fila,B3-D-De acuerdo-% de N columnas,B3-D-En desacuerdo-Recuento,B3-D-En desacuerdo-% del N de fila,B3-D-En desacuerdo-% de N columnas,B3-D-Totalmente en desacuerdo-Recuento,B3-D-Totalmente en desacuerdo-% del N de fila,B3-D-Totalmente en desacuerdo-% de N columnas,B3-E-Totalmente de acuerdo-Recuento,B3-E-Totalmente de acuerdo-% del N de fila,B3-E-Totalmente de acuerdo-% de N columnas,B3-E-De acuerdo-Recuento,B3-E-De acuerdo-% del N de fila,B3-E-De acuerdo-% de N columnas,B3-E-En desacuerdo-Recuento,B3-E-En desacuerdo-% del N de fila,B3-E-En desacuerdo-% de N columnas,B3-E-Totalmente en desacuerdo-Recuento,B3-E-Totalmente en desacuerdo-% del N de fila,B3-E-Totalmente en desacuerdo-% de N columnas
GUERRERO,6,0.33,0,12,0.67,0,0,0,0,0,0,0,7,0.39,0,11,0.61,0,0,0,0,0,0,0,8,0.44,0,9,0.5,0,1,0.06,0.01,0,0,0,9,0.5,0,9,0.5,0,0,0,0,0,0,0,6,0.33,0,8,0.44,0,4,0.22,0.01,0,0,0
HIDALGO,64,0.37,0.03,104,0.6,0.04,6,0.03,0.04,0,0,0,64,0.37,0.03,102,0.59,0.04,8,0.05,0.05,0,0,0,79,0.45,0.03,93,0.53,0.04,2,0.01,0.02,0,0,0,73,0.42,0.03,99,0.57,0.03,2,0.01,0.01,0,0,0,55,0.32,0.03,101,0.58,0.03,17,0.1,0.04,1,0.01,0.02
JALISCO,63,0.34,0.03,117,0.64,0.04,4,0.02,0.02,0,0,0,66,0.36,0.03,113,0.61,0.04,5,0.03,0.03,0,0,0,66,0.36,0.03,110,0.6,0.04,8,0.04,0.07,0,0,0,60,0.33,0.03,115,0.63,0.04,9,0.05,0.06,0,0,0,46,0.25,0.03,111,0.6,0.04,25,0.14,0.07,2,0.01,0.04
MICHOACÁN,12,0.26,0.01,32,0.68,0.01,3,0.06,0.02,0,0,0,17,0.36,0.01,28,0.6,0.01,2,0.04,0.01,0,0,0,13,0.28,0.01,34,0.72,0.01,0,0,0,0,0,0,13,0.28,0.01,32,0.68,0.01,2,0.04,0.01,0,0,0,8,0.17,0,37,0.79,0.01,2,0.04,0.01,0,0,0
MORELOS,84,0.5,0.04,76,0.46,0.03,7,0.04,0.04,0,0,0,84,0.5,0.04,75,0.45,0.03,6,0.04,0.04,2,0.01,0.18,101,0.61,0.04,61,0.37,0.02,4,0.02,0.04,1,0.01,0.17,89,0.53,0.04,76,0.46,0.03,1,0.01,0.01,1,0.01,0.11,85,0.51,0.05,68,0.41,0.02,12,0.07,0.03,2,0.01,0.04
NAYARIT,85,0.45,0.04,98,0.52,0.03,6,0.03,0.04,0,0,0,79,0.42,0.04,105,0.56,0.04,5,0.03,0.03,0,0,0,112,0.59,0.04,73,0.39,0.03,4,0.02,0.04,0,0,0,91,0.48,0.04,95,0.5,0.03,2,0.01,0.01,1,0.01,0.11,73,0.39,0.04,104,0.55,0.03,12,0.06,0.03,0,0,0
NUEVO LEÓN,12,0.36,0.01,17,0.52,0.01,4,0.12,0.02,0,0,0,10,0.3,0,20,0.61,0.01,3,0.09,0.02,0,0,0,15,0.46,0.01,18,0.55,0.01,0,0,0,0,0,0,13,0.39,0.01,20,0.61,0.01,0,0,0,0,0,0,13,0.39,0.01,16,0.49,0.01,4,0.12,0.01,0,0,0
PUEBLA,86,0.45,0.04,100,0.52,0.03,5,0.03,0.03,0,0,0,90,0.47,0.04,95,0.5,0.03,6,0.03,0.04,0,0,0,93,0.49,0.04,95,0.5,0.04,3,0.02,0.03,0,0,0,84,0.44,0.04,102,0.53,0.03,4,0.02,0.03,1,0.01,0.11,82,0.43,0.04,99,0.52,0.03,9,0.05,0.02,1,0.01,0.02
QUERÉTARO,87,0.36,0.04,145,0.6,0.05,8,0.03,0.05,1,0,0.08,98,0.41,0.04,129,0.54,0.04,13,0.05,0.08,1,0,0.09,106,0.44,0.04,127,0.53,0.05,8,0.03,0.07,0,0,0,88,0.37,0.04,140,0.58,0.05,13,0.05,0.09,0,0,0,74,0.31,0.04,143,0.59,0.05,23,0.1,0.06,1,0,0.02
QUINTANA ROO,68,0.34,0.03,130,0.64,0.04,5,0.03,0.03,0,0,0,81,0.4,0.04,118,0.58,0.04,4,0.02,0.03,0,0,0,89,0.44,0.04,111,0.55,0.04,3,0.02,0.03,0,0,0,73,0.36,0.03,125,0.62,0.04,5,0.03,0.04,0,0,0,64,0.32,0.03,122,0.6,0.04,13,0.06,0.03,4,0.02,0.08
SAN LUIS POTOSÍ,92,0.38,0.04,141,0.58,0.05,10,0.04,0.06,0,0,0,101,0.42,0.05,139,0.57,0.05,3,0.01,0.02,0,0,0,113,0.47,0.05,126,0.52,0.05,4,0.02,0.04,0,0,0,86,0.35,0.04,153,0.63,0.05,3,0.01,0.02,1,0,0.11,76,0.31,0.04,147,0.61,0.05,16,0.07,0.04,4,0.02,0.08
SINALOA,178,0.47,0.08,187,0.49,0.06,13,0.03,0.08,2,0.01,0.15,171,0.45,0.08,200,0.53,0.07,8,0.02,0.05,1,0,0.09,199,0.52,0.08,171,0.45,0.06,10,0.03,0.09,0,0,0,184,0.48,0.09,187,0.49,0.06,8,0.02,0.06,1,0,0.11,141,0.37,0.08,221,0.58,0.07,15,0.04,0.04,3,0.01,0.06
SONORA,74,0.44,0.03,90,0.54,0.03,4,0.02,0.02,0,0,0,73,0.44,0.03,93,0.55,0.03,2,0.01,0.01,0,0,0,92,0.55,0.04,73,0.44,0.03,3,0.02,0.03,0,0,0,79,0.47,0.04,84,0.5,0.03,5,0.03,0.04,0,0,0,69,0.41,0.04,86,0.51,0.03,12,0.07,0.03,1,0.01,0.02
TABASCO,24,0.38,0.01,35,0.56,0.01,3,0.05,0.02,1,0.02,0.08,27,0.43,0.01,34,0.54,0.01,2,0.03,0.01,0,0,0,28,0.44,0.01,33,0.52,0.01,2,0.03,0.02,0,0,0,28,0.44,0.01,32,0.51,0.01,3,0.05,0.02,0,0,0,27,0.43,0.01,27,0.43,0.01,9,0.14,0.02,0,0,0
TAMAULIPAS,67,0.32,0.03,135,0.65,0.05,5,0.02,0.03,0,0,0,76,0.37,0.03,124,0.6,0.04,7,0.03,0.04,0,0,0,81,0.39,0.03,125,0.6,0.05,1,0.01,0.01,0,0,0,73,0.35,0.03,131,0.63,0.04,3,0.01,0.02,0,0,0,69,0.33,0.04,126,0.61,0.04,8,0.04,0.02,4,0.02,0.08
TLAXCALA,45,0.5,0.02,41,0.46,0.01,4,0.04,0.02,0,0,0,53,0.59,0.02,34,0.38,0.01,3,0.03,0.02,0,0,0,48,0.53,0.02,42,0.47,0.02,0,0,0,0,0,0,45,0.5,0.02,40,0.44,0.01,5,0.06,0.04,0,0,0,39,0.43,0.02,46,0.51,0.02,4,0.04,0.01,1,0.01,0.02
VERACRUZ,38,0.32,0.02,74,0.62,0.03,6,0.05,0.04,1,0.01,0.08,42,0.35,0.02,71,0.6,0.02,5,0.04,0.03,1,0.01,0.09,43,0.36,0.02,69,0.58,0.03,6,0.05,0.05,1,0.01,0.17,39,0.33,0.02,74,0.62,0.02,5,0.04,0.04,1,0.01,0.11,31,0.26,0.02,77,0.65,0.03,9,0.08,0.02,2,0.02,0.04
YUCATÁN,40,0.32,0.02,81,0.65,0.03,3,0.02,0.02,1,0.01,0.08,44,0.35,0.02,73,0.58,0.03,8,0.06,0.05,0,0,0,46,0.37,0.02,72,0.58,0.03,7,0.06,0.06,0,0,0,39,0.31,0.02,77,0.62,0.03,9,0.07,0.06,0,0,0,38,0.3,0.02,79,0.63,0.03,6,0.05,0.02,2,0.02,0.04
ZACATECAS,72,0.33,0.03,135,0.62,0.05,9,0.04,0.06,2,0.01,0.15,94,0.43,0.04,119,0.55,0.04,4,0.02,0.03,1,0.01,0.09,100,0.46,0.04,114,0.52,0.04,2,0.01,0.02,2,0.01,0.33,80,0.37,0.04,132,0.61,0.04,5,0.02,0.04,1,0.01,0.11,71,0.33,0.04,127,0.58,0.04,18,0.08,0.05,2,0.01,0.04
Hombre,84,0.36,0.04,139,0.6,0.05,7,0.03,0.04,1,0,0.08,93,0.4,0.04,133,0.58,0.05,5,0.02,0.03,0,0,0,102,0.44,0.04,124,0.54,0.05,5,0.02,0.04,0,0,0,86,0.37,0.04,140,0.61,0.05,5,0.02,0.04,0,0,0,89,0.39,0.05,130,0.56,0.04,10,0.04,0.03,2,0.01,0.04
Mujer,2075,0.41,0.96,2861,0.56,0.95,158,0.03,0.96,12,0,0.92,2164,0.42,0.96,2777,0.54,0.95,154,0.03,0.97,11,0,1,2421,0.47,0.96,2570,0.5,0.95,109,0.02,0.96,6,0,1,2078,0.41,0.96,2882,0.56,0.95,137,0.03,0.97,9,0,1,1779,0.35,0.95,2907,0.57,0.96,373,0.07,0.97,47,0.01,0.96
18 a 20 años,11,0.34,0.01,20,0.63,0.01,1,0.03,0.01,0,0,0,8,0.25,0,24,0.75,0.01,0,0,0,0,0,0,13,0.41,0.01,19,0.59,0.01,0,0,0,0,0,0,11,0.34,0.01,19,0.59,0.01,2,0.06,0.01,0,0,0,12,0.38,0.01,16,0.5,0.01,4,0.13,0.01,0,0,0
21 a 30 años,525,0.45,0.24,601,0.52,0.2,35,0.03,0.21,1,0,0.08,543,0.47,0.24,585,0.5,0.2,33,0.03,0.21,1,0,0.09,582,0.5,0.23,552,0.48,0.21,28,0.02,0.25,0,0,0,503,0.43,0.23,626,0.54,0.21,32,0.03,0.23,1,0,0.11,436,0.38,0.23,632,0.54,0.21,79,0.07,0.21,15,0.01,0.31
31 a 40 años,752,0.4,0.35,1057,0.57,0.35,55,0.03,0.33,7,0,0.54,796,0.43,0.35,1013,0.54,0.35,58,0.03,0.37,4,0,0.36,870,0.47,0.35,954,0.51,0.35,45,0.02,0.4,2,0,0.33,736,0.39,0.34,1078,0.58,0.36,53,0.03,0.37,4,0,0.44,633,0.34,0.34,1072,0.57,0.35,152,0.08,0.4,14,0.01,0.29
41 a 50 años,597,0.38,0.28,919,0.58,0.31,57,0.04,0.35,3,0,0.23,619,0.39,0.27,901,0.57,0.31,55,0.04,0.35,1,0,0.09,725,0.46,0.29,819,0.52,0.3,30,0.02,0.26,2,0,0.33,609,0.39,0.28,925,0.59,0.31,42,0.03,0.3,0,0,0,521,0.33,0.28,935,0.59,0.31,107,0.07,0.28,13,0.01,0.27
51 a 60 años,262,0.39,0.12,390,0.58,0.13,16,0.02,0.1,2,0,0.15,278,0.42,0.12,374,0.56,0.13,13,0.02,0.08,5,0.01,0.46,320,0.48,0.13,337,0.5,0.13,11,0.02,0.1,2,0,0.33,291,0.43,0.13,362,0.54,0.12,13,0.02,0.09,4,0.01,0.44,254,0.38,0.14,370,0.55,0.12,39,0.06,0.1,7,0.01,0.14
61 a 70 años,12,0.46,0.01,13,0.5,0,1,0.04,0.01,0,0,0,13,0.5,0.01,13,0.5,0,0,0,0,0,0,0,13,0.5,0.01,13,0.5,0.01,0,0,0,0,0,0,14,0.54,0.01,12,0.46,0,0,0,0,0,0,0,12,0.46,0.01,12,0.46,0,2,0.08,0.01,0,0,0
71 a 80 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",13,0.29,0.01,30,0.67,0.01,2,0.04,0.01,0,0,0,15,0.33,0.01,30,0.67,0.01,0,0,0,0,0,0,16,0.36,0.01,29,0.64,0.01,0,0,0,0,0,0,15,0.33,0.01,29,0.64,0.01,0,0,0,1,0.02,0.11,12,0.27,0.01,27,0.6,0.01,5,0.11,0.01,1,0.02,0.02
Normal básica sin licenciatura,44,0.32,0.02,89,0.64,0.03,5,0.04,0.03,1,0.01,0.08,54,0.39,0.02,81,0.58,0.03,2,0.01,0.01,2,0.01,0.18,53,0.38,0.02,83,0.6,0.03,2,0.01,0.02,1,0.01,0.17,52,0.37,0.02,83,0.6,0.03,3,0.02,0.02,1,0.01,0.11,47,0.34,0.03,75,0.54,0.03,13,0.09,0.03,4,0.03,0.08
Normal superior,26,0.35,0.01,45,0.61,0.02,3,0.04,0.02,0,0,0,27,0.37,0.01,45,0.61,0.02,2,0.03,0.01,0,0,0,34,0.46,0.01,38,0.51,0.01,2,0.03,0.02,0,0,0,26,0.35,0.01,47,0.64,0.02,1,0.01,0.01,0,0,0,24,0.32,0.01,42,0.57,0.01,8,0.11,0.02,0,0,0
Normal Intercultural Bilingüe,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0
Licenciatura,1687,0.4,0.78,2366,0.57,0.79,129,0.03,0.78,9,0,0.69,1775,0.42,0.79,2278,0.54,0.78,132,0.03,0.83,6,0,0.55,1995,0.48,0.79,2094,0.5,0.78,98,0.02,0.86,4,0,0.67,1728,0.41,0.8,2342,0.56,0.78,116,0.03,0.82,5,0,0.56,1469,0.35,0.79,2384,0.57,0.79,303,0.07,0.79,35,0.01,0.71
Especialidad,8,0.36,0,14,0.64,0.01,0,0,0,0,0,0,9,0.41,0,13,0.59,0,0,0,0,0,0,0,7,0.32,0,14,0.64,0.01,1,0.05,0.01,0,0,0,8,0.36,0,13,0.59,0,1,0.05,0.01,0,0,0,5,0.23,0,15,0.68,0.01,2,0.09,0.01,0,0,0
Maestría,351,0.44,0.16,423,0.53,0.14,26,0.03,0.16,3,0,0.23,352,0.44,0.16,429,0.53,0.15,19,0.02,0.12,3,0,0.27,386,0.48,0.15,408,0.51,0.15,8,0.01,0.07,1,0,0.17,308,0.38,0.14,473,0.59,0.16,21,0.03,0.15,1,0,0.11,284,0.35,0.15,461,0.57,0.15,50,0.06,0.13,8,0.01,0.16
Doctorado,28,0.49,0.01,29,0.51,0.01,0,0,0,0,0,0,23,0.4,0.01,30,0.53,0.01,4,0.07,0.03,0,0,0,30,0.53,0.01,24,0.42,0.01,3,0.05,0.03,0,0,0,25,0.44,0.01,31,0.54,0.01,0,0,0,1,0.02,0.11,25,0.44,0.01,29,0.51,0.01,2,0.04,0.01,1,0.02,0.02
Posdoctorado,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Menor o igual a 10,793,0.43,0.37,1007,0.54,0.34,56,0.03,0.34,4,0,0.31,854,0.46,0.38,947,0.51,0.33,56,0.03,0.35,3,0,0.27,925,0.5,0.37,890,0.48,0.33,44,0.02,0.39,1,0,0.17,787,0.42,0.36,1021,0.55,0.34,48,0.03,0.34,4,0,0.44,674,0.36,0.36,1032,0.56,0.34,133,0.07,0.35,21,0.01,0.43
11 a 20,793,0.41,0.37,1092,0.56,0.36,60,0.03,0.36,7,0,0.54,806,0.41,0.36,1077,0.55,0.37,67,0.03,0.42,2,0,0.18,907,0.47,0.36,993,0.51,0.37,50,0.03,0.44,2,0,0.33,774,0.4,0.36,1120,0.57,0.37,58,0.03,0.41,0,0,0,669,0.34,0.36,1109,0.57,0.37,158,0.08,0.41,16,0.01,0.33
21 a 30,573,0.38,0.27,901,0.59,0.3,49,0.03,0.3,2,0,0.15,597,0.39,0.27,886,0.58,0.3,36,0.02,0.23,6,0,0.55,691,0.45,0.27,811,0.53,0.3,20,0.01,0.18,3,0,0.5,603,0.4,0.28,881,0.58,0.29,36,0.02,0.25,5,0,0.56,525,0.34,0.28,896,0.59,0.3,92,0.06,0.24,12,0.01,0.25
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,2007,0.41,0.93,2787,0.56,0.93,153,0.03,0.93,13,0,1,2108,0.43,0.93,2694,0.54,0.93,148,0.03,0.93,10,0,0.91,2331,0.47,0.92,2513,0.51,0.93,110,0.02,0.97,6,0,1,1996,0.4,0.92,2818,0.57,0.93,138,0.03,0.97,8,0,0.89,1734,0.35,0.93,2831,0.57,0.93,348,0.07,0.91,47,0.01,0.96
Interino,66,0.42,0.03,87,0.55,0.03,5,0.03,0.03,0,0,0,61,0.39,0.03,94,0.6,0.03,3,0.02,0.02,0,0,0,78,0.49,0.03,79,0.5,0.03,1,0.01,0.01,0,0,0,66,0.42,0.03,89,0.56,0.03,2,0.01,0.01,1,0.01,0.11,58,0.37,0.03,88,0.56,0.03,10,0.06,0.03,2,0.01,0.04
Tiempo fijo,42,0.45,0.02,48,0.51,0.02,4,0.04,0.02,0,0,0,43,0.46,0.02,45,0.48,0.02,6,0.06,0.04,0,0,0,52,0.55,0.02,41,0.44,0.02,1,0.01,0.01,0,0,0,46,0.49,0.02,47,0.5,0.02,1,0.01,0.01,0,0,0,39,0.42,0.02,46,0.49,0.02,9,0.1,0.02,0,0,0
No tengo nombramiento,11,0.34,0.01,19,0.59,0.01,2,0.06,0.01,0,0,0,11,0.34,0.01,20,0.63,0.01,1,0.03,0.01,0,0,0,12,0.38,0.01,20,0.63,0.01,0,0,0,0,0,0,14,0.44,0.01,18,0.56,0.01,0,0,0,0,0,0,12,0.38,0.01,19,0.59,0.01,1,0.03,0,0,0,0
