Variable,B1-A-Mucho-Recuento,B1-A-Mucho-% del N de fila,B1-A-Mucho-% de N columnas,B1-A-Regular-Recuento,B1-A-Regular-% del N de fila,B1-A-Regular-% de N columnas,B1-A-Poco-Recuento,B1-A-Poco-% del N de fila,B1-A-Poco-% de N columnas,B1-A-Nada-Recuento,B1-A-Nada-% del N de fila,B1-A-Nada-% de N columnas,B1-B-Mucho-Recuento,B1-B-Mucho-% del N de fila,B1-B-Mucho-% de N columnas,B1-B-Regular-Recuento,B1-B-Regular-% del N de fila,B1-B-Regular-% de N columnas,B1-B-Poco-Recuento,B1-B-Poco-% del N de fila,B1-B-Poco-% de N columnas,B1-B-Nada-Recuento,B1-B-Nada-% del N de fila,B1-B-Nada-% de N columnas,B1-C-Mucho-Recuento,B1-C-Mucho-% del N de fila,B1-C-Mucho-% de N columnas,B1-C-Regular-Recuento,B1-C-Regular-% del N de fila,B1-C-Regular-% de N columnas,B1-C-Poco-Recuento,B1-C-Poco-% del N de fila,B1-C-Poco-% de N columnas,B1-C-Nada-Recuento,B1-C-Nada-% del N de fila,B1-C-Nada-% de N columnas,B1-D-Mucho-Recuento,B1-D-Mucho-% del N de fila,B1-D-Mucho-% de N columnas,B1-D-Regular-Recuento,B1-D-Regular-% del N de fila,B1-D-Regular-% de N columnas,B1-D-Poco-Recuento,B1-D-Poco-% del N de fila,B1-D-Poco-% de N columnas,B1-D-Nada-Recuento,B1-D-Nada-% del N de fila,B1-D-Nada-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Poco-Recuento,B1-E-Poco-% del N de fila,B1-E-Poco-% de N columnas,B1-E-Nada-Recuento,B1-E-Nada-% del N de fila,B1-E-Nada-% de N columnas,B1-F-Mucho-Recuento,B1-F-Mucho-% del N de fila,B1-F-Mucho-% de N columnas,B1-F-Regular-Recuento,B1-F-Regular-% del N de fila,B1-F-Regular-% de N columnas,B1-F-Poco-Recuento,B1-F-Poco-% del N de fila,B1-F-Poco-% de N columnas,B1-F-Nada-Recuento,B1-F-Nada-% del N de fila,B1-F-Nada-% de N columnas,B1-G-Mucho-Recuento,B1-G-Mucho-% del N de fila,B1-G-Mucho-% de N columnas,B1-G-Regular-Recuento,B1-G-Regular-% del N de fila,B1-G-Regular-% de N columnas,B1-G-Poco-Recuento,B1-G-Poco-% del N de fila,B1-G-Poco-% de N columnas,B1-G-Nada-Recuento,B1-G-Nada-% del N de fila,B1-G-Nada-% de N columnas,B1-H-Mucho-Recuento,B1-H-Mucho-% del N de fila,B1-H-Mucho-% de N columnas,B1-H-Regular-Recuento,B1-H-Regular-% del N de fila,B1-H-Regular-% de N columnas,B1-H-Poco-Recuento,B1-H-Poco-% del N de fila,B1-H-Poco-% de N columnas,B1-H-Nada-Recuento,B1-H-Nada-% del N de fila,B1-H-Nada-% de N columnas,B1-I-Mucho-Recuento,B1-I-Mucho--% del N de fila,B1-I-Mucho-% de N columnas,B1-I-Regular-Recuento,B1-I-Regular-% del N de fila,B1-I-Regular-% de N columnas,B1-I-Poco-Recuento,B1-I-Poco-% del N de fila,B1-I-Poco-% de N columnas,B1-I-Nada-Recuento,B1-I-Nada-% del N de fila,B1-I-Nada-% de N columnas
ESTADO DE MÉXICO,328,0.28,0.04,653,0.56,0.04,170,0.14,0.04,26,0.02,0.05,698,0.59,0.04,426,0.36,0.04,50,0.04,0.05,3,0,0.04,499,0.42,0.04,561,0.48,0.04,111,0.09,0.04,6,0.01,0.03,689,0.59,0.04,433,0.37,0.04,52,0.04,0.05,3,0,0.04,633,0.54,0.04,455,0.39,0.04,81,0.07,0.04,8,0.01,0.05,658,0.56,0.04,446,0.38,0.04,63,0.05,0.04,10,0.01,0.07,811,0.69,0.04,336,0.29,0.04,29,0.03,0.04,1,0,0.02,684,0.58,0.04,425,0.36,0.04,62,0.05,0.04,6,0.01,0.04,687,0.58,0.04,411,0.35,0.04,65,0.06,0.04,14,0.01,0.09
GUANAJUATO,490,0.29,0.06,933,0.55,0.06,253,0.15,0.06,35,0.02,0.06,1132,0.66,0.06,526,0.31,0.05,49,0.03,0.05,4,0,0.06,820,0.48,0.07,731,0.43,0.05,150,0.09,0.06,10,0.01,0.04,1141,0.67,0.07,520,0.3,0.05,46,0.03,0.04,4,0,0.06,1027,0.6,0.07,601,0.35,0.05,77,0.05,0.04,7,0,0.04,966,0.57,0.06,655,0.38,0.05,82,0.05,0.05,8,0.01,0.05,1237,0.72,0.06,443,0.26,0.05,30,0.02,0.04,1,0,0.02,1003,0.59,0.06,610,0.36,0.06,87,0.05,0.06,11,0.01,0.06,1054,0.62,0.06,581,0.34,0.06,69,0.04,0.04,7,0,0.05
GUERRERO,78,0.31,0.01,133,0.53,0.01,35,0.14,0.01,3,0.01,0.01,159,0.64,0.01,86,0.35,0.01,4,0.02,0,0,0,0,111,0.45,0.01,116,0.47,0.01,19,0.08,0.01,3,0.01,0.01,168,0.68,0.01,77,0.31,0.01,4,0.02,0,0,0,0,145,0.58,0.01,91,0.37,0.01,12,0.05,0.01,1,0,0.01,149,0.6,0.01,94,0.38,0.01,4,0.02,0,2,0.01,0.01,183,0.74,0.01,63,0.25,0.01,2,0.01,0,1,0,0.02,158,0.64,0.01,83,0.33,0.01,7,0.03,0.01,1,0,0.01,171,0.69,0.01,69,0.28,0.01,8,0.03,0.01,1,0,0.01
HIDALGO,306,0.29,0.04,589,0.56,0.04,133,0.13,0.03,16,0.02,0.03,631,0.6,0.04,379,0.36,0.04,31,0.03,0.03,3,0,0.04,476,0.46,0.04,465,0.45,0.03,92,0.09,0.03,11,0.01,0.05,604,0.58,0.03,396,0.38,0.04,40,0.04,0.04,4,0,0.06,572,0.55,0.04,405,0.39,0.04,60,0.06,0.03,7,0.01,0.04,565,0.54,0.04,433,0.42,0.04,38,0.04,0.02,7,0.01,0.05,739,0.71,0.04,284,0.27,0.03,17,0.02,0.02,3,0,0.05,640,0.61,0.04,361,0.35,0.03,36,0.04,0.02,6,0.01,0.04,647,0.62,0.04,355,0.34,0.03,35,0.03,0.02,6,0.01,0.04
JALISCO,295,0.24,0.04,723,0.58,0.04,205,0.16,0.05,34,0.03,0.06,735,0.59,0.04,466,0.37,0.05,55,0.04,0.05,1,0,0.01,531,0.42,0.04,588,0.47,0.04,126,0.1,0.05,12,0.01,0.05,724,0.58,0.04,459,0.37,0.04,71,0.06,0.06,3,0,0.04,658,0.52,0.04,490,0.39,0.04,99,0.08,0.05,10,0.01,0.06,649,0.52,0.04,519,0.41,0.04,83,0.07,0.05,6,0.01,0.04,845,0.67,0.04,367,0.29,0.04,42,0.03,0.05,3,0,0.05,679,0.54,0.04,489,0.39,0.04,80,0.06,0.05,9,0.01,0.05,704,0.56,0.04,462,0.37,0.04,85,0.07,0.05,6,0.01,0.04
MICHOACÁN,2,0.17,0,10,0.83,0,0,0,0,0,0,0,8,0.67,0,4,0.33,0,0,0,0,0,0,0,6,0.5,0,6,0.5,0,0,0,0,0,0,0,8,0.67,0,4,0.33,0,0,0,0,0,0,0,6,0.5,0,3,0.25,0,3,0.25,0,0,0,0,6,0.5,0,5,0.42,0,1,0.08,0,0,0,0,9,0.75,0,3,0.25,0,0,0,0,0,0,0,8,0.67,0,4,0.33,0,0,0,0,0,0,0,9,0.75,0,3,0.25,0,0,0,0,0,0,0
MORELOS,439,0.29,0.06,854,0.57,0.05,202,0.13,0.04,13,0.01,0.02,991,0.66,0.06,474,0.31,0.05,42,0.03,0.04,3,0,0.04,677,0.45,0.05,674,0.45,0.05,147,0.1,0.05,12,0.01,0.05,955,0.63,0.05,499,0.33,0.05,54,0.04,0.05,2,0,0.03,882,0.58,0.06,543,0.36,0.05,78,0.05,0.04,7,0.01,0.04,851,0.56,0.05,569,0.38,0.05,81,0.05,0.05,9,0.01,0.06,1093,0.72,0.05,384,0.25,0.05,30,0.02,0.04,3,0,0.05,882,0.58,0.05,533,0.35,0.05,89,0.06,0.06,6,0,0.04,914,0.61,0.05,503,0.33,0.05,83,0.06,0.05,10,0.01,0.06
NAYARIT,188,0.29,0.03,337,0.52,0.02,113,0.18,0.03,8,0.01,0.01,402,0.62,0.02,219,0.34,0.02,24,0.04,0.02,1,0,0.01,263,0.41,0.02,317,0.49,0.02,61,0.09,0.02,5,0.01,0.02,388,0.6,0.02,234,0.36,0.02,22,0.03,0.02,2,0,0.03,359,0.56,0.02,247,0.38,0.02,36,0.06,0.02,4,0.01,0.03,331,0.51,0.02,270,0.42,0.02,42,0.07,0.03,3,0.01,0.02,438,0.68,0.02,192,0.3,0.02,15,0.02,0.02,1,0,0.02,347,0.54,0.02,267,0.41,0.02,31,0.05,0.02,1,0,0.01,395,0.61,0.02,209,0.32,0.02,38,0.06,0.02,4,0.01,0.03
NUEVO LEÓN,29,0.28,0,53,0.52,0,20,0.19,0,1,0.01,0,64,0.62,0,35,0.34,0,4,0.04,0,0,0,0,49,0.48,0,48,0.47,0,6,0.06,0,0,0,0,61,0.59,0,38,0.37,0,4,0.04,0,0,0,0,52,0.51,0,43,0.42,0,8,0.08,0,0,0,0,53,0.52,0,46,0.45,0,2,0.02,0,2,0.02,0.01,68,0.66,0,31,0.3,0,4,0.04,0.01,0,0,0,57,0.55,0,38,0.37,0,8,0.08,0.01,0,0,0,57,0.55,0,36,0.35,0,8,0.08,0.01,2,0.02,0.01
PUEBLA,226,0.25,0.03,528,0.59,0.03,124,0.14,0.03,15,0.02,0.03,538,0.6,0.03,327,0.37,0.03,26,0.03,0.03,2,0,0.03,379,0.42,0.03,432,0.48,0.03,78,0.09,0.03,4,0,0.02,537,0.6,0.03,327,0.37,0.03,29,0.03,0.03,0,0,0,502,0.56,0.03,330,0.37,0.03,55,0.06,0.03,6,0.01,0.04,453,0.51,0.03,389,0.44,0.03,48,0.05,0.03,3,0,0.02,612,0.69,0.03,254,0.28,0.03,27,0.03,0.04,0,0,0,520,0.58,0.03,332,0.37,0.03,40,0.05,0.03,1,0,0.01,508,0.57,0.03,328,0.37,0.03,53,0.06,0.03,4,0,0.03
QUERÉTARO,398,0.27,0.05,871,0.58,0.05,203,0.14,0.05,22,0.02,0.04,905,0.61,0.05,548,0.37,0.05,39,0.03,0.04,2,0,0.03,645,0.43,0.05,708,0.47,0.05,127,0.09,0.05,14,0.01,0.06,936,0.63,0.05,513,0.34,0.05,38,0.03,0.03,7,0.01,0.1,811,0.54,0.05,587,0.39,0.05,89,0.06,0.05,7,0.01,0.04,790,0.53,0.05,621,0.42,0.05,77,0.05,0.05,6,0,0.04,1056,0.71,0.05,407,0.27,0.05,26,0.02,0.03,5,0,0.08,830,0.56,0.05,594,0.4,0.05,63,0.04,0.04,7,0.01,0.04,864,0.58,0.05,546,0.37,0.05,78,0.05,0.05,6,0,0.04
QUINTANA ROO,396,0.29,0.05,753,0.55,0.05,189,0.14,0.04,23,0.02,0.04,826,0.61,0.05,480,0.35,0.05,51,0.04,0.05,3,0,0.04,565,0.42,0.05,675,0.5,0.05,111,0.08,0.04,9,0.01,0.04,830,0.61,0.05,488,0.36,0.05,39,0.03,0.03,3,0,0.04,756,0.56,0.05,533,0.39,0.05,65,0.05,0.03,6,0,0.04,760,0.56,0.05,533,0.39,0.04,62,0.05,0.04,5,0,0.03,947,0.7,0.05,377,0.28,0.05,29,0.02,0.04,7,0.01,0.1,784,0.58,0.05,511,0.38,0.05,61,0.05,0.04,4,0,0.02,815,0.6,0.05,475,0.35,0.05,63,0.05,0.04,7,0.01,0.05
SAN LUIS POTOSÍ,192,0.24,0.03,441,0.56,0.03,140,0.18,0.03,13,0.02,0.02,437,0.56,0.02,311,0.4,0.03,35,0.05,0.03,3,0,0.04,291,0.37,0.02,397,0.51,0.03,88,0.11,0.03,10,0.01,0.04,434,0.55,0.03,308,0.39,0.03,41,0.05,0.04,3,0,0.04,380,0.48,0.02,348,0.44,0.03,54,0.07,0.03,4,0.01,0.03,396,0.5,0.03,341,0.43,0.03,46,0.06,0.03,3,0,0.02,512,0.65,0.03,247,0.31,0.03,26,0.03,0.03,1,0,0.02,434,0.55,0.03,306,0.39,0.03,43,0.06,0.03,3,0,0.02,442,0.56,0.03,298,0.38,0.03,41,0.05,0.03,5,0.01,0.03
SINALOA,325,0.22,0.04,906,0.6,0.05,237,0.16,0.05,32,0.02,0.06,911,0.61,0.05,532,0.36,0.05,53,0.04,0.05,4,0,0.06,623,0.42,0.05,743,0.5,0.05,127,0.09,0.05,7,0.01,0.03,884,0.59,0.05,566,0.38,0.05,46,0.03,0.04,4,0,0.06,819,0.55,0.05,584,0.39,0.05,88,0.06,0.05,9,0.01,0.06,771,0.51,0.05,627,0.42,0.05,96,0.06,0.06,6,0,0.04,1008,0.67,0.05,455,0.3,0.05,34,0.02,0.04,3,0,0.05,847,0.57,0.05,561,0.37,0.05,83,0.06,0.05,9,0.01,0.05,919,0.61,0.05,519,0.35,0.05,56,0.04,0.04,6,0,0.04
SONORA,218,0.22,0.03,576,0.59,0.03,162,0.17,0.04,19,0.02,0.03,573,0.59,0.03,367,0.38,0.04,33,0.03,0.03,2,0,0.03,388,0.4,0.03,490,0.5,0.04,93,0.1,0.03,4,0,0.02,570,0.59,0.03,366,0.38,0.03,36,0.04,0.03,3,0,0.04,503,0.52,0.03,403,0.41,0.04,67,0.07,0.04,2,0,0.01,521,0.53,0.03,403,0.41,0.03,48,0.05,0.03,3,0,0.02,658,0.68,0.03,288,0.3,0.03,28,0.03,0.04,1,0,0.02,574,0.59,0.03,356,0.37,0.03,43,0.04,0.03,2,0,0.01,581,0.6,0.03,345,0.35,0.03,48,0.05,0.03,1,0,0.01
TABASCO,314,0.34,0.04,490,0.53,0.03,109,0.12,0.02,19,0.02,0.03,626,0.67,0.04,275,0.3,0.03,29,0.03,0.03,2,0,0.03,425,0.46,0.03,419,0.45,0.03,75,0.08,0.03,13,0.01,0.06,606,0.65,0.04,296,0.32,0.03,28,0.03,0.03,2,0,0.03,552,0.59,0.04,316,0.34,0.03,60,0.06,0.03,4,0,0.03,537,0.58,0.03,337,0.36,0.03,55,0.06,0.03,3,0,0.02,703,0.75,0.04,210,0.23,0.03,17,0.02,0.02,2,0,0.03,603,0.65,0.04,298,0.32,0.03,29,0.03,0.02,2,0,0.01,603,0.65,0.04,277,0.3,0.03,45,0.05,0.03,7,0.01,0.05
TAMAULIPAS,268,0.23,0.04,689,0.59,0.04,191,0.16,0.04,23,0.02,0.04,707,0.6,0.04,419,0.36,0.04,42,0.04,0.04,3,0,0.04,482,0.41,0.04,579,0.49,0.04,105,0.09,0.04,5,0,0.02,678,0.58,0.04,447,0.38,0.04,44,0.04,0.04,2,0,0.03,628,0.54,0.04,473,0.4,0.04,62,0.05,0.03,8,0.01,0.05,634,0.54,0.04,477,0.41,0.04,54,0.05,0.03,6,0.01,0.04,798,0.68,0.04,340,0.29,0.04,28,0.02,0.04,5,0,0.08,675,0.58,0.04,439,0.38,0.04,47,0.04,0.03,10,0.01,0.06,727,0.62,0.04,391,0.33,0.04,46,0.04,0.03,7,0.01,0.05
TLAXCALA,275,0.26,0.04,629,0.59,0.04,148,0.14,0.03,24,0.02,0.04,590,0.55,0.03,439,0.41,0.04,46,0.04,0.04,1,0,0.01,399,0.37,0.03,553,0.51,0.04,109,0.1,0.04,14,0.01,0.06,559,0.52,0.03,471,0.44,0.04,45,0.04,0.04,1,0,0.01,561,0.52,0.04,429,0.4,0.04,80,0.07,0.04,6,0.01,0.04,528,0.49,0.03,471,0.44,0.04,71,0.07,0.04,6,0.01,0.04,690,0.64,0.03,349,0.32,0.04,36,0.03,0.05,1,0,0.02,547,0.51,0.03,452,0.42,0.04,67,0.06,0.04,10,0.01,0.06,583,0.54,0.03,406,0.38,0.04,85,0.08,0.05,2,0,0.01
VERACRUZ,203,0.32,0.03,330,0.52,0.02,95,0.15,0.02,7,0.01,0.01,422,0.67,0.02,199,0.31,0.02,14,0.02,0.01,0,0,0,300,0.47,0.02,276,0.44,0.02,56,0.09,0.02,3,0.01,0.01,416,0.66,0.02,197,0.31,0.02,21,0.03,0.02,1,0,0.01,374,0.59,0.02,211,0.33,0.02,44,0.07,0.02,6,0.01,0.04,373,0.59,0.02,229,0.36,0.02,32,0.05,0.02,1,0,0.01,472,0.74,0.02,145,0.23,0.02,17,0.03,0.02,1,0,0.02,401,0.63,0.02,195,0.31,0.02,35,0.06,0.02,4,0.01,0.02,414,0.65,0.02,188,0.3,0.02,31,0.05,0.02,2,0,0.01
YUCATÁN,165,0.23,0.02,392,0.56,0.02,128,0.18,0.03,20,0.03,0.04,454,0.64,0.03,219,0.31,0.02,31,0.04,0.03,1,0,0.01,300,0.43,0.02,314,0.45,0.02,82,0.12,0.03,9,0.01,0.04,446,0.63,0.03,228,0.32,0.02,31,0.04,0.03,0,0,0,397,0.56,0.03,248,0.35,0.02,55,0.08,0.03,5,0.01,0.03,393,0.56,0.03,268,0.38,0.02,38,0.05,0.02,6,0.01,0.04,506,0.72,0.03,178,0.25,0.02,19,0.03,0.03,2,0,0.03,430,0.61,0.03,235,0.33,0.02,39,0.06,0.03,1,0,0.01,444,0.63,0.03,211,0.3,0.02,47,0.07,0.03,3,0,0.02
