Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas
NAYARIT,286,0.64,0.04,160,0.36,0.04,286,0.64,0.04,160,0.36,0.05,314,0.7,0.04,132,0.3,0.04,351,0.79,0.04,95,0.21,0.04,334,0.75,0.04,112,0.25,0.04,324,0.73,0.04,122,0.27,0.04,355,0.8,0.04,91,0.2,0.04
NUEVO LEÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUEBLA,291,0.74,0.04,101,0.26,0.03,301,0.77,0.04,91,0.23,0.03,306,0.78,0.04,86,0.22,0.03,320,0.82,0.04,72,0.18,0.03,320,0.82,0.04,72,0.18,0.03,321,0.82,0.04,71,0.18,0.02,335,0.86,0.04,57,0.15,0.02
QUERÉTARO,309,0.6,0.04,207,0.4,0.05,336,0.65,0.04,180,0.35,0.05,377,0.73,0.05,139,0.27,0.04,393,0.76,0.04,123,0.24,0.05,366,0.71,0.04,150,0.29,0.06,376,0.73,0.04,140,0.27,0.05,400,0.78,0.04,116,0.23,0.05
QUINTANA ROO,297,0.64,0.04,167,0.36,0.04,336,0.72,0.04,128,0.28,0.04,331,0.71,0.04,133,0.29,0.04,375,0.81,0.04,89,0.19,0.04,370,0.8,0.04,94,0.2,0.04,352,0.76,0.04,112,0.24,0.04,386,0.83,0.04,78,0.17,0.03
SAN LUIS POTOSÍ,247,0.65,0.03,134,0.35,0.03,278,0.73,0.04,103,0.27,0.03,284,0.75,0.03,97,0.26,0.03,310,0.81,0.03,71,0.19,0.03,300,0.79,0.03,81,0.21,0.03,291,0.76,0.03,90,0.24,0.03,304,0.8,0.03,77,0.2,0.03
SINALOA,349,0.62,0.05,214,0.38,0.05,370,0.66,0.05,193,0.34,0.05,408,0.73,0.05,155,0.28,0.05,445,0.79,0.05,118,0.21,0.05,417,0.74,0.05,146,0.26,0.05,388,0.69,0.05,175,0.31,0.06,433,0.77,0.05,130,0.23,0.06
SONORA,218,0.67,0.03,109,0.33,0.03,224,0.69,0.03,103,0.32,0.03,240,0.73,0.03,87,0.27,0.03,263,0.8,0.03,64,0.2,0.03,261,0.8,0.03,66,0.2,0.02,245,0.75,0.03,82,0.25,0.03,257,0.79,0.03,70,0.21,0.03
TABASCO,271,0.69,0.04,123,0.31,0.03,278,0.71,0.04,116,0.29,0.03,293,0.74,0.04,101,0.26,0.03,312,0.79,0.03,82,0.21,0.03,314,0.8,0.04,80,0.2,0.03,307,0.78,0.04,87,0.22,0.03,317,0.81,0.04,77,0.2,0.03
TAMAULIPAS,253,0.59,0.04,179,0.41,0.04,299,0.69,0.04,133,0.31,0.04,308,0.71,0.04,124,0.29,0.04,339,0.79,0.04,93,0.22,0.04,317,0.73,0.04,115,0.27,0.04,327,0.76,0.04,105,0.24,0.04,340,0.79,0.04,92,0.21,0.04
TLAXCALA,214,0.65,0.03,115,0.35,0.03,232,0.71,0.03,97,0.3,0.03,233,0.71,0.03,96,0.29,0.03,257,0.78,0.03,72,0.22,0.03,255,0.78,0.03,74,0.23,0.03,250,0.76,0.03,79,0.24,0.03,264,0.8,0.03,65,0.2,0.03
VERACRUZ,84,0.67,0.01,42,0.33,0.01,86,0.68,0.01,40,0.32,0.01,93,0.74,0.01,33,0.26,0.01,105,0.83,0.01,21,0.17,0.01,100,0.79,0.01,26,0.21,0.01,97,0.77,0.01,29,0.23,0.01,106,0.84,0.01,20,0.16,0.01
YUCATÁN,164,0.63,0.02,97,0.37,0.02,175,0.67,0.02,86,0.33,0.02,177,0.68,0.02,84,0.32,0.03,211,0.81,0.02,50,0.19,0.02,201,0.77,0.02,60,0.23,0.02,199,0.76,0.02,62,0.24,0.02,210,0.81,0.02,51,0.2,0.02
ZACATECAS,461,0.62,0.06,278,0.38,0.07,502,0.68,0.06,237,0.32,0.07,526,0.71,0.06,213,0.29,0.07,571,0.77,0.06,168,0.23,0.07,552,0.75,0.06,187,0.25,0.07,543,0.74,0.06,196,0.27,0.07,582,0.79,0.06,157,0.21,0.07
Hombre,2274,0.66,0.31,1168,0.34,0.28,2472,0.72,0.31,970,0.28,0.27,2533,0.74,0.31,909,0.26,0.29,2756,0.8,0.3,686,0.2,0.29,2679,0.78,0.31,763,0.22,0.28,2613,0.76,0.31,829,0.24,0.29,2819,0.82,0.31,623,0.18,0.27
Mujer,5046,0.63,0.69,2954,0.37,0.72,5417,0.68,0.69,2583,0.32,0.73,5756,0.72,0.69,2244,0.28,0.71,6297,0.79,0.7,1703,0.21,0.71,6048,0.76,0.69,1952,0.24,0.72,5925,0.74,0.69,2075,0.26,0.72,6274,0.78,0.69,1726,0.22,0.74
18 a 20 años,57,0.69,0.01,26,0.31,0.01,63,0.76,0.01,20,0.24,0.01,62,0.75,0.01,21,0.25,0.01,64,0.77,0.01,19,0.23,0.01,65,0.78,0.01,18,0.22,0.01,69,0.83,0.01,14,0.17,0.01,71,0.86,0.01,12,0.15,0.01
21 a 30 años,1505,0.63,0.21,888,0.37,0.22,1555,0.65,0.2,838,0.35,0.24,1694,0.71,0.2,699,0.29,0.22,1857,0.78,0.21,536,0.22,0.22,1763,0.74,0.2,630,0.26,0.23,1674,0.7,0.2,719,0.3,0.25,1814,0.76,0.2,579,0.24,0.25
31 a 40 años,2506,0.62,0.34,1534,0.38,0.37,2700,0.67,0.34,1340,0.33,0.38,2894,0.72,0.35,1146,0.28,0.36,3185,0.79,0.35,855,0.21,0.36,3036,0.75,0.35,1004,0.25,0.37,2969,0.74,0.35,1071,0.27,0.37,3193,0.79,0.35,847,0.21,0.36
41 a 50 años,2071,0.65,0.28,1124,0.35,0.27,2267,0.71,0.29,928,0.29,0.26,2334,0.73,0.28,861,0.27,0.27,2543,0.8,0.28,652,0.2,0.27,2472,0.77,0.28,723,0.23,0.27,2458,0.77,0.29,737,0.23,0.25,2574,0.81,0.28,621,0.19,0.26
51 a 60 años,1045,0.68,0.14,485,0.32,0.12,1150,0.75,0.15,380,0.25,0.11,1146,0.75,0.14,384,0.25,0.12,1238,0.81,0.14,292,0.19,0.12,1228,0.8,0.14,302,0.2,0.11,1205,0.79,0.14,325,0.21,0.11,1273,0.83,0.14,257,0.17,0.11
61 a 70 años,126,0.67,0.02,62,0.33,0.02,144,0.77,0.02,44,0.23,0.01,148,0.79,0.02,40,0.21,0.01,156,0.83,0.02,32,0.17,0.01,153,0.81,0.02,35,0.19,0.01,153,0.81,0.02,35,0.19,0.01,158,0.84,0.02,30,0.16,0.01
71 a 80 años,10,0.77,0,3,0.23,0,10,0.77,0,3,0.23,0,11,0.85,0,2,0.15,0,10,0.77,0,3,0.23,0,10,0.77,0,3,0.23,0,10,0.77,0,3,0.23,0,10,0.77,0,3,0.23,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",22,0.61,0,14,0.39,0,27,0.75,0,9,0.25,0,29,0.81,0,7,0.19,0,30,0.83,0,6,0.17,0,29,0.81,0,7,0.19,0,30,0.83,0,6,0.17,0,31,0.86,0,5,0.14,0
Normal básica sin licenciatura,315,0.69,0.04,144,0.31,0.04,352,0.77,0.05,107,0.23,0.03,346,0.75,0.04,113,0.25,0.04,378,0.82,0.04,81,0.18,0.03,372,0.81,0.04,87,0.19,0.03,374,0.82,0.04,85,0.19,0.03,388,0.85,0.04,71,0.16,0.03
Normal superior,156,0.66,0.02,79,0.34,0.02,178,0.76,0.02,57,0.24,0.02,166,0.71,0.02,69,0.29,0.02,184,0.78,0.02,51,0.22,0.02,178,0.76,0.02,57,0.24,0.02,179,0.76,0.02,56,0.24,0.02,182,0.77,0.02,53,0.23,0.02
Normal Intercultural Bilingüe,71,0.66,0.01,36,0.34,0.01,74,0.69,0.01,33,0.31,0.01,79,0.74,0.01,28,0.26,0.01,78,0.73,0.01,29,0.27,0.01,82,0.77,0.01,25,0.23,0.01,79,0.74,0.01,28,0.26,0.01,81,0.76,0.01,26,0.24,0.01
Licenciatura,5511,0.64,0.75,3074,0.36,0.75,5929,0.69,0.75,2656,0.31,0.75,6233,0.73,0.75,2352,0.27,0.75,6831,0.8,0.76,1754,0.2,0.73,6569,0.77,0.75,2016,0.24,0.74,6388,0.74,0.75,2197,0.26,0.76,6852,0.8,0.75,1733,0.2,0.74
Especialidad,53,0.71,0.01,22,0.29,0.01,51,0.68,0.01,24,0.32,0.01,60,0.8,0.01,15,0.2,0.01,57,0.76,0.01,18,0.24,0.01,57,0.76,0.01,18,0.24,0.01,58,0.77,0.01,17,0.23,0.01,65,0.87,0.01,10,0.13,0
Maestría,1080,0.61,0.15,703,0.39,0.17,1163,0.65,0.15,620,0.35,0.18,1253,0.7,0.15,530,0.3,0.17,1375,0.77,0.15,408,0.23,0.17,1318,0.74,0.15,465,0.26,0.17,1314,0.74,0.15,469,0.26,0.16,1367,0.77,0.15,416,0.23,0.18
Doctorado,107,0.69,0.02,48,0.31,0.01,111,0.72,0.01,44,0.28,0.01,119,0.77,0.01,36,0.23,0.01,116,0.75,0.01,39,0.25,0.02,117,0.76,0.01,38,0.25,0.01,112,0.72,0.01,43,0.28,0.02,123,0.79,0.01,32,0.21,0.01
Posdoctorado,5,0.71,0,2,0.29,0,4,0.57,0,3,0.43,0,4,0.57,0,3,0.43,0,4,0.57,0,3,0.43,0,5,0.71,0,2,0.29,0,4,0.57,0,3,0.43,0,4,0.57,0,3,0.43,0
Menor o igual a 10,2657,0.63,0.36,1576,0.37,0.38,2778,0.66,0.35,1455,0.34,0.41,3012,0.71,0.36,1221,0.29,0.39,3303,0.78,0.37,930,0.22,0.39,3156,0.75,0.36,1077,0.25,0.4,3023,0.71,0.35,1210,0.29,0.42,3239,0.77,0.36,994,0.24,0.42
11 a 20,2425,0.63,0.33,1435,0.37,0.35,2640,0.68,0.34,1220,0.32,0.34,2762,0.72,0.33,1098,0.28,0.35,3043,0.79,0.34,817,0.21,0.34,2923,0.76,0.34,937,0.24,0.35,2889,0.75,0.34,971,0.25,0.33,3086,0.8,0.34,774,0.2,0.33
21 a 30,2238,0.67,0.31,1111,0.33,0.27,2471,0.74,0.31,878,0.26,0.25,2515,0.75,0.3,834,0.25,0.27,2707,0.81,0.3,642,0.19,0.27,2648,0.79,0.3,701,0.21,0.26,2626,0.78,0.31,723,0.22,0.25,2768,0.83,0.3,581,0.17,0.25
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,6800,0.64,0.93,3887,0.36,0.94,7345,0.69,0.93,3342,0.31,0.94,7724,0.72,0.93,2963,0.28,0.94,8454,0.79,0.93,2233,0.21,0.94,8153,0.76,0.93,2534,0.24,0.93,7975,0.75,0.93,2712,0.25,0.93,8512,0.8,0.94,2175,0.2,0.93
Interino,259,0.69,0.04,116,0.31,0.03,270,0.72,0.03,105,0.28,0.03,274,0.73,0.03,101,0.27,0.03,306,0.82,0.03,69,0.18,0.03,279,0.74,0.03,96,0.26,0.04,271,0.72,0.03,104,0.28,0.04,284,0.76,0.03,91,0.24,0.04
Tiempo fijo,177,0.68,0.02,83,0.32,0.02,185,0.71,0.02,75,0.29,0.02,198,0.76,0.02,62,0.24,0.02,201,0.77,0.02,59,0.23,0.03,199,0.77,0.02,61,0.24,0.02,201,0.77,0.02,59,0.23,0.02,198,0.76,0.02,62,0.24,0.03
No tengo nombramiento,8,0.67,0,4,0.33,0,9,0.75,0,3,0.25,0,8,0.67,0,4,0.33,0,10,0.83,0,2,0.17,0,7,0.58,0,5,0.42,0,7,0.58,0,5,0.42,0,9,0.75,0,3,0.25,0
Otro,76,0.7,0.01,32,0.3,0.01,80,0.74,0.01,28,0.26,0.01,85,0.79,0.01,23,0.21,0.01,82,0.76,0.01,26,0.24,0.01,89,0.82,0.01,19,0.18,0.01,84,0.78,0.01,24,0.22,0.01,90,0.83,0.01,18,0.17,0.01
GENERAL PÚBLICA,6398,0.63,0.87,3737,0.37,0.91,6902,0.68,0.88,3233,0.32,0.91,7278,0.72,0.88,2857,0.28,0.91,7980,0.79,0.88,2155,0.21,0.9,7677,0.76,0.88,2458,0.24,0.91,7500,0.74,0.88,2635,0.26,0.91,8009,0.79,0.88,2126,0.21,0.91
INDÍGENAS,922,0.71,0.13,385,0.3,0.09,987,0.76,0.13,320,0.25,0.09,1011,0.77,0.12,296,0.23,0.09,1073,0.82,0.12,234,0.18,0.1,1050,0.8,0.12,257,0.2,0.1,1038,0.79,0.12,269,0.21,0.09,1084,0.83,0.12,223,0.17,0.1
Total,7320,0.64,1,4122,0.36,1,7889,0.69,1,3553,0.31,1,8289,0.72,1,3153,0.28,1,9053,0.79,1,2389,0.21,1,8727,0.76,1,2715,0.24,1,8538,0.75,1,2904,0.25,1,9093,0.8,1,2349,0.21,1
