Variable,B3-A-Totalmente de acuerdo-Recuento,B3-A-Totalmente de acuerdo-% del N de fila,B3-A-Totalmente de acuerdo-% de N columnas,B3-A-De acuerdo-Recuento,B3-A-De acuerdo-% del N de fila,B3-A-De acuerdo-% de N columnas,B3-A-En desacuerdo-Recuento,B3-A-En desacuerdo-% del N de fila,B3-A-En desacuerdo-% de N columnas,B3-A-Totalmente en desacuerdo-Recuento,B3-A-Totalmente en desacuerdo-% del N de fila,B3-A-Totalmente en desacuerdo-% de N columnas,B3-B-Totalmente de acuerdo-Recuento,B3-B-Totalmente de acuerdo-% del N de fila,B3-B-Totalmente de acuerdo-% de N columnas,B3-B-De acuerdo-Recuento,B3-B-De acuerdo-% del N de fila,B3-B-De acuerdo-% de N columnas,B3-B-En desacuerdo-Recuento,B3-B-En desacuerdo-% del N de fila,B3-B-En desacuerdo-% de N columnas,B3-B-Totalmente en desacuerdo-Recuento,B3-B-Totalmente en desacuerdo-% del N de fila,B3-B-Totalmente en desacuerdo-% de N columnas,B3-C-Totalmente de acuerdo-Recuento,B3-C-Totalmente de acuerdo-% del N de fila,B3-C-Totalmente de acuerdo-% de N columnas,B3-C-De acuerdo-Recuento,B3-C-De acuerdo-% del N de fila,B3-C-De acuerdo-% de N columnas,B3-C-En desacuerdo-Recuento,B3-C-En desacuerdo-% del N de fila,B3-C-En desacuerdo-% de N columnas,B3-C-Totalmente en desacuerdo-Recuento,B3-C-Totalmente en desacuerdo-% del N de fila,B3-C-Totalmente en desacuerdo-% de N columnas,B3-D-Totalmente de acuerdo-Recuento,B3-D-Totalmente de acuerdo-% del N de fila,B3-D-Totalmente de acuerdo-% de N columnas,B3-D-De acuerdo-Recuento,B3-D-De acuerdo-% del N de fila,B3-D-De acuerdo-% de N columnas,B3-D-En desacuerdo-Recuento,B3-D-En desacuerdo-% del N de fila,B3-D-En desacuerdo-% de N columnas,B3-D-Totalmente en desacuerdo-Recuento,B3-D-Totalmente en desacuerdo-% del N de fila,B3-D-Totalmente en desacuerdo-% de N columnas,B3-E-Totalmente de acuerdo-Recuento,B3-E-Totalmente de acuerdo-% del N de fila,B3-E-Totalmente de acuerdo-% de N columnas,B3-E-De acuerdo-Recuento,B3-E-De acuerdo-% del N de fila,B3-E-De acuerdo-% de N columnas,B3-E-En desacuerdo-Recuento,B3-E-En desacuerdo-% del N de fila,B3-E-En desacuerdo-% de N columnas,B3-E-Totalmente en desacuerdo-Recuento,B3-E-Totalmente en desacuerdo-% del N de fila,B3-E-Totalmente en desacuerdo-% de N columnas
MORELOS,108,0.61,0.05,64,0.36,0.04,5,0.03,0.06,0,0,0,114,0.64,0.04,60,0.34,0.04,2,0.01,0.06,1,0.01,0.17,115,0.65,0.04,58,0.33,0.04,3,0.02,0.08,1,0.01,0.2,98,0.55,0.04,74,0.42,0.04,5,0.03,0.06,0,0,0,92,0.52,0.04,64,0.36,0.03,13,0.07,0.07,8,0.05,0.29
NAYARIT,80,0.53,0.03,68,0.45,0.04,3,0.02,0.04,0,0,0,83,0.55,0.03,66,0.44,0.04,2,0.01,0.06,0,0,0,86,0.57,0.03,63,0.42,0.04,2,0.01,0.05,0,0,0,83,0.55,0.04,64,0.42,0.04,4,0.03,0.05,0,0,0,69,0.46,0.03,75,0.5,0.04,7,0.05,0.04,0,0,0
NUEVO LEÓN,24,0.77,0.01,7,0.23,0,0,0,0,0,0,0,26,0.84,0.01,5,0.16,0,0,0,0,0,0,0,27,0.87,0.01,4,0.13,0,0,0,0,0,0,0,25,0.81,0.01,6,0.19,0,0,0,0,0,0,0,20,0.65,0.01,10,0.32,0.01,1,0.03,0.01,0,0,0
PUEBLA,63,0.47,0.03,65,0.49,0.04,4,0.03,0.05,1,0.01,0.11,69,0.52,0.03,60,0.45,0.04,4,0.03,0.11,0,0,0,78,0.59,0.03,54,0.41,0.03,1,0.01,0.03,0,0,0,67,0.5,0.03,63,0.47,0.04,3,0.02,0.04,0,0,0,58,0.44,0.03,73,0.55,0.04,2,0.02,0.01,0,0,0
QUERÉTARO,102,0.53,0.04,85,0.45,0.05,3,0.02,0.04,1,0.01,0.11,115,0.6,0.04,73,0.38,0.05,2,0.01,0.06,1,0.01,0.17,118,0.62,0.05,72,0.38,0.05,0,0,0,1,0.01,0.2,100,0.52,0.04,83,0.44,0.05,7,0.04,0.09,1,0.01,0.2,96,0.5,0.05,87,0.46,0.05,5,0.03,0.03,3,0.02,0.11
QUINTANA ROO,93,0.55,0.04,71,0.42,0.04,4,0.02,0.05,2,0.01,0.22,106,0.62,0.04,63,0.37,0.04,0,0,0,1,0.01,0.17,112,0.66,0.04,56,0.33,0.04,1,0.01,0.03,1,0.01,0.2,104,0.61,0.04,62,0.37,0.03,2,0.01,0.03,2,0.01,0.4,81,0.48,0.04,82,0.48,0.04,6,0.04,0.03,1,0.01,0.04
SAN LUIS POTOSÍ,94,0.56,0.04,74,0.44,0.04,0,0,0,1,0.01,0.11,98,0.58,0.04,71,0.42,0.05,0,0,0,0,0,0,104,0.62,0.04,64,0.38,0.04,1,0.01,0.03,0,0,0,93,0.55,0.04,74,0.44,0.04,2,0.01,0.03,0,0,0,80,0.47,0.04,82,0.49,0.04,7,0.04,0.04,0,0,0
SINALOA,113,0.59,0.05,75,0.39,0.04,3,0.02,0.04,0,0,0,129,0.68,0.05,62,0.33,0.04,0,0,0,0,0,0,123,0.64,0.05,67,0.35,0.04,1,0.01,0.03,0,0,0,116,0.61,0.05,75,0.39,0.04,0,0,0,0,0,0,91,0.48,0.04,91,0.48,0.05,6,0.03,0.03,3,0.02,0.11
SONORA,85,0.58,0.04,59,0.4,0.03,2,0.01,0.03,1,0.01,0.11,93,0.63,0.04,53,0.36,0.03,1,0.01,0.03,0,0,0,95,0.65,0.04,51,0.35,0.03,1,0.01,0.03,0,0,0,85,0.58,0.04,58,0.4,0.03,4,0.03,0.05,0,0,0,78,0.53,0.04,60,0.41,0.03,9,0.06,0.05,0,0,0
TABASCO,65,0.5,0.03,63,0.49,0.04,2,0.02,0.03,0,0,0,81,0.62,0.03,47,0.36,0.03,2,0.02,0.06,0,0,0,82,0.63,0.03,48,0.37,0.03,0,0,0,0,0,0,80,0.62,0.03,49,0.38,0.03,1,0.01,0.01,0,0,0,65,0.5,0.03,56,0.43,0.03,9,0.07,0.05,0,0,0
TAMAULIPAS,79,0.52,0.03,70,0.46,0.04,2,0.01,0.03,0,0,0,92,0.61,0.04,58,0.38,0.04,1,0.01,0.03,0,0,0,93,0.62,0.04,57,0.38,0.04,1,0.01,0.03,0,0,0,85,0.56,0.04,64,0.42,0.04,1,0.01,0.01,1,0.01,0.2,72,0.48,0.03,67,0.44,0.04,10,0.07,0.05,2,0.01,0.07
TLAXCALA,84,0.54,0.04,72,0.46,0.04,1,0.01,0.01,0,0,0,93,0.59,0.04,64,0.41,0.04,0,0,0,0,0,0,85,0.54,0.03,71,0.45,0.05,1,0.01,0.03,0,0,0,80,0.51,0.03,75,0.48,0.04,2,0.01,0.03,0,0,0,81,0.52,0.04,68,0.43,0.04,8,0.05,0.04,0,0,0
VERACRUZ,50,0.45,0.02,56,0.5,0.03,6,0.05,0.08,0,0,0,59,0.53,0.02,51,0.46,0.03,2,0.02,0.06,0,0,0,51,0.46,0.02,59,0.53,0.04,2,0.02,0.05,0,0,0,46,0.41,0.02,63,0.56,0.04,3,0.03,0.04,0,0,0,39,0.35,0.02,65,0.58,0.03,8,0.07,0.04,0,0,0
YUCATÁN,44,0.44,0.02,57,0.56,0.03,0,0,0,0,0,0,52,0.52,0.02,46,0.46,0.03,3,0.03,0.08,0,0,0,46,0.46,0.02,53,0.53,0.03,2,0.02,0.05,0,0,0,40,0.4,0.02,56,0.55,0.03,5,0.05,0.06,0,0,0,47,0.47,0.02,51,0.51,0.03,2,0.02,0.01,1,0.01,0.04
ZACATECAS,95,0.51,0.04,89,0.48,0.05,3,0.02,0.04,0,0,0,105,0.56,0.04,82,0.44,0.05,0,0,0,0,0,0,108,0.58,0.04,78,0.42,0.05,1,0.01,0.03,0,0,0,94,0.5,0.04,91,0.49,0.05,2,0.01,0.03,0,0,0,77,0.41,0.04,104,0.56,0.06,6,0.03,0.03,0,0,0
Hombre,1012,0.55,0.43,804,0.43,0.44,33,0.02,0.42,4,0,0.44,1133,0.61,0.43,706,0.38,0.44,14,0.01,0.39,0,0,0,1109,0.6,0.42,723,0.39,0.45,20,0.01,0.54,1,0,0.2,997,0.54,0.42,823,0.44,0.45,32,0.02,0.4,1,0,0.2,892,0.48,0.42,861,0.47,0.45,89,0.05,0.45,11,0.01,0.39
Mujer,1341,0.56,0.57,1008,0.42,0.56,46,0.02,0.58,5,0,0.56,1485,0.62,0.57,887,0.37,0.56,22,0.01,0.61,6,0,1,1510,0.63,0.58,869,0.36,0.55,17,0.01,0.46,4,0,0.8,1355,0.57,0.58,992,0.41,0.55,49,0.02,0.61,4,0,0.8,1233,0.51,0.58,1043,0.44,0.55,107,0.05,0.55,17,0.01,0.61
18 a 20 años,4,0.4,0,6,0.6,0,0,0,0,0,0,0,4,0.4,0,6,0.6,0,0,0,0,0,0,0,4,0.4,0,6,0.6,0,0,0,0,0,0,0,4,0.4,0,6,0.6,0,0,0,0,0,0,0,4,0.4,0,5,0.5,0,1,0.1,0.01,0,0,0
21 a 30 años,103,0.5,0.04,100,0.49,0.06,2,0.01,0.03,0,0,0,111,0.54,0.04,91,0.44,0.06,3,0.02,0.08,0,0,0,132,0.64,0.05,70,0.34,0.04,3,0.02,0.08,0,0,0,110,0.54,0.05,91,0.44,0.05,4,0.02,0.05,0,0,0,107,0.52,0.05,87,0.42,0.05,10,0.05,0.05,1,0.01,0.04
31 a 40 años,533,0.54,0.23,436,0.44,0.24,22,0.02,0.28,2,0,0.22,593,0.6,0.23,391,0.39,0.25,7,0.01,0.19,2,0,0.33,595,0.6,0.23,392,0.4,0.25,5,0.01,0.14,1,0,0.2,518,0.52,0.22,453,0.46,0.25,21,0.02,0.26,1,0,0.2,477,0.48,0.22,464,0.47,0.24,46,0.05,0.24,6,0.01,0.21
41 a 50 años,689,0.55,0.29,538,0.43,0.3,26,0.02,0.33,5,0,0.56,763,0.61,0.29,479,0.38,0.3,14,0.01,0.39,2,0,0.33,771,0.61,0.29,470,0.37,0.3,15,0.01,0.41,2,0,0.4,684,0.54,0.29,546,0.43,0.3,27,0.02,0.33,1,0,0.2,630,0.5,0.3,552,0.44,0.29,69,0.06,0.35,7,0.01,0.25
51 a 60 años,703,0.56,0.3,535,0.42,0.3,21,0.02,0.27,2,0,0.22,799,0.63,0.31,451,0.36,0.28,9,0.01,0.25,2,0,0.33,784,0.62,0.3,468,0.37,0.29,7,0.01,0.19,2,0,0.4,724,0.57,0.31,511,0.41,0.28,23,0.02,0.28,3,0,0.6,624,0.5,0.29,575,0.46,0.3,50,0.04,0.26,12,0.01,0.43
61 a 70 años,283,0.61,0.12,175,0.38,0.1,6,0.01,0.08,0,0,0,310,0.67,0.12,152,0.33,0.1,2,0,0.06,0,0,0,298,0.64,0.11,160,0.35,0.1,6,0.01,0.16,0,0,0,275,0.59,0.12,184,0.4,0.1,5,0.01,0.06,0,0,0,253,0.55,0.12,195,0.42,0.1,14,0.03,0.07,2,0,0.07
71 a 80 años,38,0.61,0.02,22,0.36,0.01,2,0.03,0.03,0,0,0,38,0.61,0.02,23,0.37,0.01,1,0.02,0.03,0,0,0,35,0.57,0.01,26,0.42,0.02,1,0.02,0.03,0,0,0,37,0.6,0.02,24,0.39,0.01,1,0.02,0.01,0,0,0,30,0.48,0.01,26,0.42,0.01,6,0.1,0.03,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",6,0.33,0,12,0.67,0.01,0,0,0,0,0,0,6,0.33,0,12,0.67,0.01,0,0,0,0,0,0,6,0.33,0,11,0.61,0.01,1,0.06,0.03,0,0,0,6,0.33,0,11,0.61,0.01,1,0.06,0.01,0,0,0,5,0.28,0,12,0.67,0.01,0,0,0,1,0.06,0.04
Normal básica sin licenciatura,37,0.43,0.02,47,0.55,0.03,2,0.02,0.03,0,0,0,41,0.48,0.02,44,0.51,0.03,1,0.01,0.03,0,0,0,43,0.5,0.02,43,0.5,0.03,0,0,0,0,0,0,38,0.44,0.02,45,0.52,0.03,2,0.02,0.03,1,0.01,0.2,29,0.34,0.01,50,0.58,0.03,7,0.08,0.04,0,0,0
Normal superior,126,0.52,0.05,111,0.46,0.06,5,0.02,0.06,0,0,0,148,0.61,0.06,91,0.38,0.06,3,0.01,0.08,0,0,0,141,0.58,0.05,99,0.41,0.06,2,0.01,0.05,0,0,0,130,0.54,0.06,108,0.45,0.06,4,0.02,0.05,0,0,0,116,0.48,0.06,114,0.47,0.06,11,0.05,0.06,1,0,0.04
Normal Intercultural Bilingüe,2,0.4,0,3,0.6,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,4,0.8,0,1,0.2,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,3,0.6,0,1,0.2,0,1,0.2,0.01,0,0,0
Licenciatura,919,0.5,0.39,877,0.48,0.48,34,0.02,0.43,4,0,0.44,1050,0.57,0.4,767,0.42,0.48,14,0.01,0.39,3,0,0.5,1068,0.58,0.41,751,0.41,0.47,15,0.01,0.41,0,0,0,948,0.52,0.4,848,0.46,0.47,36,0.02,0.44,2,0,0.4,854,0.47,0.4,871,0.48,0.46,97,0.05,0.5,12,0.01,0.43
Especialidad,24,0.49,0.01,18,0.37,0.01,7,0.14,0.09,0,0,0,34,0.69,0.01,15,0.31,0.01,0,0,0,0,0,0,30,0.61,0.01,19,0.39,0.01,0,0,0,0,0,0,22,0.45,0.01,25,0.51,0.01,2,0.04,0.03,0,0,0,24,0.49,0.01,23,0.47,0.01,2,0.04,0.01,0,0,0
Maestría,953,0.61,0.41,591,0.38,0.33,22,0.01,0.28,3,0,0.33,1034,0.66,0.4,520,0.33,0.33,12,0.01,0.33,3,0,0.5,1020,0.65,0.39,533,0.34,0.34,12,0.01,0.32,4,0,0.8,924,0.59,0.39,616,0.39,0.34,27,0.02,0.33,2,0,0.4,839,0.54,0.4,661,0.42,0.35,56,0.04,0.29,13,0.01,0.46
Doctorado,277,0.64,0.12,148,0.34,0.08,9,0.02,0.11,2,0.01,0.22,295,0.68,0.11,135,0.31,0.09,6,0.01,0.17,0,0,0,299,0.69,0.11,129,0.3,0.08,7,0.02,0.19,1,0,0.2,273,0.63,0.12,154,0.35,0.09,9,0.02,0.11,0,0,0,248,0.57,0.12,165,0.38,0.09,22,0.05,0.11,1,0,0.04
Posdoctorado,9,0.64,0,5,0.36,0,0,0,0,0,0,0,7,0.5,0,7,0.5,0,0,0,0,0,0,0,8,0.57,0,6,0.43,0,0,0,0,0,0,0,8,0.57,0,6,0.43,0,0,0,0,0,0,0,7,0.5,0,7,0.5,0,0,0,0,0,0,0
Menor o igual a 10,1607,0.56,0.68,1217,0.42,0.67,57,0.02,0.72,7,0,0.78,1789,0.62,0.68,1075,0.37,0.68,23,0.01,0.64,1,0,0.17,1791,0.62,0.68,1072,0.37,0.67,21,0.01,0.57,4,0,0.8,1591,0.55,0.68,1233,0.43,0.68,61,0.02,0.75,3,0,0.6,1456,0.5,0.69,1284,0.45,0.67,130,0.05,0.66,18,0.01,0.64
11 a 20,496,0.56,0.21,379,0.42,0.21,16,0.02,0.2,2,0,0.22,554,0.62,0.21,326,0.37,0.21,8,0.01,0.22,5,0.01,0.83,555,0.62,0.21,328,0.37,0.21,9,0.01,0.24,1,0,0.2,518,0.58,0.22,361,0.4,0.2,13,0.02,0.16,1,0,0.2,453,0.51,0.21,393,0.44,0.21,39,0.04,0.2,8,0.01,0.29
21 a 30,250,0.53,0.11,216,0.46,0.12,6,0.01,0.08,0,0,0,275,0.58,0.11,192,0.41,0.12,5,0.01,0.14,0,0,0,273,0.58,0.1,192,0.41,0.12,7,0.02,0.19,0,0,0,243,0.52,0.1,221,0.47,0.12,7,0.02,0.09,1,0,0.2,216,0.46,0.1,227,0.48,0.12,27,0.06,0.14,2,0,0.07
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,1938,0.58,0.82,1341,0.4,0.74,59,0.02,0.75,8,0,0.89,2140,0.64,0.82,1174,0.35,0.74,27,0.01,0.75,5,0,0.83,2113,0.63,0.81,1199,0.36,0.75,29,0.01,0.78,5,0,1,1919,0.57,0.82,1363,0.41,0.75,59,0.02,0.73,5,0,1,1729,0.52,0.81,1445,0.43,0.76,150,0.05,0.77,22,0.01,0.79
Interino,71,0.53,0.03,60,0.45,0.03,3,0.02,0.04,0,0,0,77,0.58,0.03,55,0.41,0.04,2,0.02,0.06,0,0,0,80,0.6,0.03,53,0.4,0.03,1,0.01,0.03,0,0,0,69,0.52,0.03,60,0.45,0.03,5,0.04,0.06,0,0,0,61,0.46,0.03,64,0.48,0.03,8,0.06,0.04,1,0.01,0.04
No tengo nombramiento,196,0.42,0.08,254,0.55,0.14,11,0.02,0.14,1,0,0.11,233,0.5,0.09,224,0.49,0.14,4,0.01,0.11,1,0,0.17,250,0.54,0.1,208,0.45,0.13,4,0.01,0.11,0,0,0,213,0.46,0.09,241,0.52,0.13,8,0.02,0.1,0,0,0,199,0.43,0.09,237,0.51,0.12,22,0.05,0.11,4,0.01,0.14
Otro,148,0.48,0.06,157,0.51,0.09,6,0.02,0.08,0,0,0,168,0.54,0.06,140,0.45,0.09,3,0.01,0.08,0,0,0,176,0.57,0.07,132,0.42,0.08,3,0.01,0.08,0,0,0,151,0.49,0.06,151,0.49,0.08,9,0.03,0.11,0,0,0,136,0.44,0.06,158,0.51,0.08,16,0.05,0.08,1,0,0.04
