Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas
NAYARIT,561,0.87,0.02,85,0.13,0.02,430,0.67,0.02,216,0.33,0.02,349,0.54,0.02,297,0.46,0.02,567,0.88,0.02,79,0.12,0.02,310,0.48,0.02,336,0.52,0.02,278,0.43,0.02,368,0.57,0.02
NUEVO LEÓN,100,0.96,0,4,0.04,0,82,0.79,0.01,22,0.21,0,59,0.57,0,45,0.43,0,98,0.94,0,6,0.06,0,72,0.69,0.01,32,0.31,0,52,0.5,0,52,0.5,0
PUEBLA,771,0.86,0.03,121,0.14,0.03,434,0.49,0.02,458,0.51,0.04,469,0.53,0.03,423,0.47,0.03,769,0.86,0.03,123,0.14,0.04,320,0.36,0.02,572,0.64,0.04,385,0.43,0.03,507,0.57,0.03
QUERÉTARO,1285,0.86,0.05,209,0.14,0.05,776,0.52,0.04,718,0.48,0.06,730,0.49,0.05,764,0.51,0.06,1327,0.89,0.05,167,0.11,0.05,852,0.57,0.06,642,0.43,0.04,649,0.43,0.05,845,0.57,0.05
QUINTANA ROO,1120,0.83,0.04,237,0.18,0.06,616,0.45,0.03,741,0.55,0.06,716,0.53,0.04,641,0.47,0.05,1164,0.86,0.05,193,0.14,0.06,577,0.43,0.04,780,0.58,0.05,457,0.34,0.03,900,0.66,0.06
SAN LUIS POTOSÍ,671,0.85,0.03,118,0.15,0.03,518,0.66,0.03,271,0.34,0.02,434,0.55,0.03,355,0.45,0.03,731,0.93,0.03,58,0.07,0.02,416,0.53,0.03,373,0.47,0.03,453,0.57,0.03,336,0.43,0.02
SINALOA,1336,0.89,0.05,163,0.11,0.04,1118,0.75,0.06,381,0.25,0.03,944,0.63,0.06,555,0.37,0.04,1362,0.91,0.05,137,0.09,0.04,814,0.54,0.06,685,0.46,0.05,762,0.51,0.06,737,0.49,0.05
SONORA,872,0.9,0.03,97,0.1,0.03,737,0.76,0.04,232,0.24,0.02,607,0.63,0.04,362,0.37,0.03,900,0.93,0.04,69,0.07,0.02,509,0.53,0.04,460,0.48,0.03,399,0.41,0.03,570,0.59,0.04
TABASCO,797,0.86,0.03,133,0.14,0.04,480,0.52,0.03,450,0.48,0.04,564,0.61,0.04,366,0.39,0.03,789,0.85,0.03,141,0.15,0.04,332,0.36,0.02,598,0.64,0.04,273,0.29,0.02,657,0.71,0.04
TAMAULIPAS,1023,0.87,0.04,152,0.13,0.04,889,0.76,0.05,286,0.24,0.03,772,0.66,0.05,402,0.34,0.03,1063,0.91,0.04,112,0.1,0.03,702,0.6,0.05,472,0.4,0.03,683,0.58,0.05,490,0.42,0.03
TLAXCALA,909,0.84,0.04,168,0.16,0.04,577,0.54,0.03,500,0.46,0.04,483,0.45,0.03,594,0.55,0.04,895,0.83,0.03,182,0.17,0.05,404,0.38,0.03,673,0.63,0.05,447,0.42,0.03,630,0.59,0.04
VERACRUZ,531,0.84,0.02,103,0.16,0.03,343,0.54,0.02,291,0.46,0.03,367,0.58,0.02,267,0.42,0.02,562,0.89,0.02,72,0.11,0.02,295,0.47,0.02,339,0.54,0.02,229,0.36,0.02,405,0.64,0.03
YUCATÁN,599,0.85,0.02,109,0.15,0.03,440,0.62,0.02,268,0.38,0.02,331,0.47,0.02,377,0.53,0.03,573,0.81,0.02,135,0.19,0.04,457,0.65,0.03,251,0.36,0.02,325,0.46,0.02,383,0.54,0.02
ZACATECAS,877,0.79,0.03,237,0.21,0.06,456,0.41,0.03,658,0.59,0.06,501,0.45,0.03,613,0.55,0.05,956,0.86,0.04,158,0.14,0.05,498,0.45,0.03,616,0.55,0.04,403,0.36,0.03,711,0.64,0.05
Hombre,10850,0.87,0.42,1604,0.13,0.42,7601,0.61,0.42,4853,0.39,0.42,7245,0.58,0.45,5209,0.42,0.39,11135,0.89,0.43,1319,0.11,0.38,6430,0.52,0.44,6023,0.48,0.41,6143,0.49,0.45,6311,0.51,0.4
Mujer,14832,0.87,0.58,2241,0.13,0.58,10429,0.61,0.58,6644,0.39,0.58,8891,0.52,0.55,8181,0.48,0.61,14950,0.88,0.57,2123,0.12,0.62,8275,0.49,0.56,8798,0.52,0.59,7475,0.44,0.55,9595,0.56,0.6
18 a 20 años,205,0.9,0.01,24,0.11,0.01,159,0.69,0.01,70,0.31,0.01,152,0.66,0.01,77,0.34,0.01,202,0.88,0.01,27,0.12,0.01,118,0.52,0.01,111,0.49,0.01,120,0.52,0.01,109,0.48,0.01
21 a 30 años,3160,0.88,0.12,429,0.12,0.11,2388,0.67,0.13,1201,0.34,0.1,2065,0.58,0.13,1523,0.42,0.11,3140,0.88,0.12,449,0.13,0.13,1846,0.51,0.13,1743,0.49,0.12,1748,0.49,0.13,1841,0.51,0.12
31 a 40 años,8284,0.86,0.32,1315,0.14,0.34,5745,0.6,0.32,3854,0.4,0.34,4769,0.5,0.3,4830,0.5,0.36,8305,0.87,0.32,1294,0.14,0.38,4514,0.47,0.31,5085,0.53,0.34,4265,0.44,0.31,5334,0.56,0.34
41 a 50 años,8092,0.87,0.32,1267,0.14,0.33,5596,0.6,0.31,3763,0.4,0.33,5029,0.54,0.31,4330,0.46,0.32,8298,0.89,0.32,1061,0.11,0.31,4541,0.49,0.31,4817,0.52,0.33,4097,0.44,0.3,5261,0.56,0.33
51 a 60 años,5040,0.88,0.2,716,0.12,0.19,3494,0.61,0.19,2262,0.39,0.2,3447,0.6,0.21,2309,0.4,0.17,5230,0.91,0.2,526,0.09,0.15,3028,0.53,0.21,2728,0.47,0.18,2796,0.49,0.21,2958,0.51,0.19
61 a 70 años,856,0.91,0.03,89,0.09,0.02,615,0.65,0.03,330,0.35,0.03,637,0.67,0.04,308,0.33,0.02,865,0.92,0.03,80,0.09,0.02,627,0.66,0.04,318,0.34,0.02,559,0.59,0.04,386,0.41,0.02
71 a 80 años,45,0.9,0,5,0.1,0,33,0.66,0,17,0.34,0,37,0.74,0,13,0.26,0,45,0.9,0,5,0.1,0,31,0.62,0,19,0.38,0,33,0.66,0,17,0.34,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",626,0.9,0.02,68,0.1,0.02,469,0.68,0.03,225,0.32,0.02,472,0.68,0.03,222,0.32,0.02,643,0.93,0.03,51,0.07,0.02,400,0.58,0.03,294,0.42,0.02,383,0.55,0.03,311,0.45,0.02
Normal básica sin licenciatura,133,0.87,0.01,20,0.13,0.01,98,0.64,0.01,55,0.36,0.01,102,0.67,0.01,51,0.33,0,136,0.89,0.01,17,0.11,0.01,83,0.54,0.01,70,0.46,0.01,81,0.53,0.01,72,0.47,0.01
Normal superior,3841,0.89,0.15,498,0.12,0.13,2793,0.64,0.16,1546,0.36,0.13,2477,0.57,0.15,1862,0.43,0.14,3912,0.9,0.15,427,0.1,0.12,2205,0.51,0.15,2134,0.49,0.14,2057,0.47,0.15,2282,0.53,0.14
Normal Intercultural Bilingüe,14,0.93,0,1,0.07,0,6,0.4,0,9,0.6,0,9,0.6,0,6,0.4,0,12,0.8,0,3,0.2,0,7,0.47,0,8,0.53,0,7,0.47,0,8,0.53,0
Licenciatura,14085,0.88,0.55,1954,0.12,0.51,9904,0.62,0.55,6135,0.38,0.53,8954,0.56,0.56,7084,0.44,0.53,14239,0.89,0.55,1800,0.11,0.52,8034,0.5,0.55,8004,0.5,0.54,7518,0.47,0.55,8520,0.53,0.54
Especialidad,637,0.86,0.03,107,0.14,0.03,447,0.6,0.03,297,0.4,0.03,414,0.56,0.03,330,0.44,0.03,648,0.87,0.03,96,0.13,0.03,345,0.46,0.02,399,0.54,0.03,315,0.43,0.02,427,0.58,0.03
Maestría,5701,0.84,0.22,1068,0.16,0.28,3861,0.57,0.21,2908,0.43,0.25,3334,0.49,0.21,3435,0.51,0.26,5830,0.86,0.22,939,0.14,0.27,3263,0.48,0.22,3506,0.52,0.24,2921,0.43,0.21,3848,0.57,0.24
Doctorado,622,0.83,0.02,124,0.17,0.03,436,0.58,0.02,310,0.42,0.03,357,0.48,0.02,389,0.52,0.03,640,0.86,0.03,106,0.14,0.03,354,0.48,0.02,392,0.53,0.03,326,0.44,0.02,420,0.56,0.03
Posdoctorado,23,0.82,0,5,0.18,0,16,0.57,0,12,0.43,0,17,0.61,0,11,0.39,0,25,0.89,0,3,0.11,0,14,0.5,0,14,0.5,0,10,0.36,0,18,0.64,0
Menor o igual a 10,8189,0.87,0.32,1201,0.13,0.31,5925,0.63,0.33,3465,0.37,0.3,5105,0.54,0.32,4285,0.46,0.32,8197,0.87,0.31,1193,0.13,0.35,4570,0.49,0.31,4820,0.51,0.33,4331,0.46,0.32,5059,0.54,0.32
11 a 20,9802,0.87,0.38,1525,0.14,0.4,6831,0.6,0.38,4496,0.4,0.39,5882,0.52,0.37,5444,0.48,0.41,9940,0.88,0.38,1387,0.12,0.4,5449,0.48,0.37,5878,0.52,0.4,5060,0.45,0.37,6266,0.55,0.39
21 a 30,7691,0.87,0.3,1119,0.13,0.29,5274,0.6,0.29,3536,0.4,0.31,5149,0.58,0.32,3661,0.42,0.27,7948,0.9,0.31,862,0.1,0.25,4686,0.53,0.32,4123,0.47,0.28,4227,0.48,0.31,4581,0.52,0.29
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,23995,0.87,0.93,3703,0.13,0.96,16722,0.6,0.93,10976,0.4,0.96,14873,0.54,0.92,12824,0.46,0.96,24413,0.88,0.94,3285,0.12,0.95,13642,0.49,0.93,14055,0.51,0.95,12577,0.45,0.92,15118,0.55,0.95
Interino,946,0.93,0.04,77,0.08,0.02,743,0.73,0.04,280,0.27,0.02,710,0.69,0.04,313,0.31,0.02,937,0.92,0.04,86,0.08,0.03,614,0.6,0.04,409,0.4,0.03,591,0.58,0.04,432,0.42,0.03
Tiempo fijo,425,0.94,0.02,29,0.06,0.01,338,0.74,0.02,116,0.26,0.01,321,0.71,0.02,133,0.29,0.01,410,0.9,0.02,44,0.1,0.01,270,0.6,0.02,184,0.41,0.01,280,0.62,0.02,174,0.38,0.01
No tengo nombramiento,42,0.84,0,8,0.16,0,34,0.68,0,16,0.32,0,33,0.66,0,17,0.34,0,45,0.9,0,5,0.1,0,25,0.5,0,25,0.5,0,28,0.56,0,22,0.44,0
Otro,272,0.91,0.01,28,0.09,0.01,192,0.64,0.01,108,0.36,0.01,198,0.66,0.01,102,0.34,0.01,278,0.93,0.01,22,0.07,0.01,153,0.51,0.01,147,0.49,0.01,141,0.47,0.01,159,0.53,0.01
GENERAL PÚBLICA,12370,0.87,0.48,1904,0.13,0.5,8573,0.6,0.48,5701,0.4,0.5,7478,0.52,0.46,6795,0.48,0.51,12552,0.88,0.48,1722,0.12,0.5,6934,0.49,0.47,7340,0.51,0.5,6450,0.45,0.47,7823,0.55,0.49
TÉCNICA,10757,0.87,0.42,1600,0.13,0.42,7481,0.61,0.42,4876,0.4,0.42,6703,0.54,0.42,5654,0.46,0.42,10946,0.89,0.42,1411,0.11,0.41,5899,0.48,0.4,6458,0.52,0.44,5590,0.45,0.41,6765,0.55,0.43
TELESECUNDARIA,2555,0.88,0.1,341,0.12,0.09,1976,0.68,0.11,920,0.32,0.08,1955,0.68,0.12,941,0.33,0.07,2587,0.89,0.1,309,0.11,0.09,1872,0.65,0.13,1023,0.35,0.07,1578,0.55,0.12,1318,0.46,0.08
Total,25682,0.87,1,3845,0.13,1,18030,0.61,1,11497,0.39,1,16136,0.55,1,13390,0.45,1,26085,0.88,1,3442,0.12,1,14705,0.5,1,14821,0.5,1,13618,0.46,1,15906,0.54,1
