Variable,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas,B5-F-Muy adecuado-Recuento,B5-F-Muy adecuado-% del N de fila,B5-F-Muy adecuado-% de N columnas,B5-F-Adecuado-Recuento,B5-F-Adecuado-% del N de fila,B5-F-Adecuado-% de N columnas,B5-F-Poco adecuado-Recuento,B5-F-Poco adecuado-% del N de fila,B5-F-Poco adecuado-% de N columnas,B5-F-Nada adecuado-Recuento,B5-F-Nada adecuado-% del N de fila,B5-F-Nada adecuado-% de N columnas,B5-G-Muy adecuado-Recuento,B5-G-Muy adecuado-% del N de fila,B5-G-Muy adecuado-% de N columnas,B5-G-Adecuado-Recuento,B5-G-Adecuado-% del N de fila,B5-G-Adecuado-% de N columnas,B5-G-Poco adecuado-Recuento,B5-G-Poco adecuado-% del N de fila,B5-G-Poco adecuado-% de N columnas,B5-G-Nada adecuado-Recuento,B5-G-Nada adecuado-% del N de fila,B5-G-Nada adecuado-% de N columnas,B5-H-Muy adecuado-Recuento,B5-H-Muy adecuado-% del N de fila,B5-H-Muy adecuado-% de N columnas,B5-H-Adecuado-Recuento,B5-H-Adecuado-% del N de fila,B5-H-Adecuado-% de N columnas,B5-H-Poco adecuado-Recuento,B5-H-Poco adecuado-% del N de fila,B5-H-Poco adecuado-% de N columnas,B5-H-Nada adecuado-Recuento,B5-H-Nada adecuado-% del N de fila,B5-H-Nada adecuado-% de N columnas
GUANAJUATO,631,0.37,0.06,949,0.56,0.06,117,0.07,0.05,8,0.01,0.05,610,0.36,0.06,972,0.57,0.06,110,0.07,0.05,13,0.01,0.08,686,0.4,0.06,817,0.48,0.06,177,0.1,0.06,25,0.02,0.04,745,0.44,0.06,844,0.5,0.06,104,0.06,0.06,12,0.01,0.06,740,0.43,0.06,820,0.48,0.05,126,0.07,0.05,19,0.01,0.05,753,0.44,0.06,822,0.48,0.05,115,0.07,0.06,15,0.01,0.04,709,0.42,0.06,879,0.52,0.06,107,0.06,0.05,10,0.01,0.05,621,0.36,0.06,900,0.53,0.05,171,0.1,0.06,13,0.01,0.03
GUERRERO,92,0.37,0.01,146,0.59,0.01,9,0.04,0,0,0,0,86,0.35,0.01,148,0.6,0.01,12,0.05,0.01,1,0,0.01,90,0.36,0.01,129,0.52,0.01,26,0.11,0.01,2,0.01,0,102,0.41,0.01,135,0.55,0.01,10,0.04,0.01,0,0,0,101,0.41,0.01,131,0.53,0.01,14,0.06,0.01,1,0,0,106,0.43,0.01,134,0.54,0.01,7,0.03,0,0,0,0,100,0.41,0.01,137,0.56,0.01,10,0.04,0.01,0,0,0,85,0.34,0.01,135,0.55,0.01,24,0.1,0.01,3,0.01,0.01
HIDALGO,386,0.37,0.04,599,0.57,0.04,57,0.05,0.03,5,0.01,0.03,383,0.37,0.04,613,0.59,0.04,45,0.04,0.02,6,0.01,0.04,417,0.4,0.04,506,0.48,0.03,99,0.1,0.03,25,0.02,0.04,468,0.45,0.04,539,0.52,0.04,36,0.03,0.02,4,0,0.02,444,0.42,0.04,522,0.5,0.04,63,0.06,0.03,18,0.02,0.05,440,0.42,0.04,533,0.51,0.04,69,0.07,0.03,5,0.01,0.01,439,0.42,0.04,541,0.52,0.03,61,0.06,0.03,6,0.01,0.03,379,0.36,0.04,567,0.54,0.03,90,0.09,0.03,11,0.01,0.03
JALISCO,413,0.33,0.04,759,0.6,0.04,82,0.07,0.04,4,0,0.03,427,0.34,0.04,742,0.59,0.04,83,0.07,0.04,6,0.01,0.04,480,0.38,0.05,635,0.51,0.04,116,0.09,0.04,27,0.02,0.04,506,0.4,0.04,674,0.54,0.04,75,0.06,0.04,3,0,0.02,500,0.4,0.04,642,0.51,0.04,100,0.08,0.04,16,0.01,0.04,496,0.39,0.04,668,0.53,0.04,89,0.07,0.04,5,0,0.01,474,0.38,0.04,688,0.55,0.04,93,0.07,0.05,3,0,0.01,405,0.32,0.04,712,0.57,0.04,130,0.1,0.05,11,0.01,0.03
MICHOACÁN,3,0.25,0,9,0.75,0,0,0,0,0,0,0,5,0.42,0,7,0.58,0,0,0,0,0,0,0,8,0.67,0,4,0.33,0,0,0,0,0,0,0,6,0.5,0,6,0.5,0,0,0,0,0,0,0,6,0.5,0,6,0.5,0,0,0,0,0,0,0,6,0.5,0,6,0.5,0,0,0,0,0,0,0,4,0.33,0,8,0.67,0,0,0,0,0,0,0,5,0.42,0,7,0.58,0,0,0,0,0,0,0
MORELOS,531,0.35,0.05,889,0.59,0.05,87,0.06,0.04,4,0,0.03,493,0.33,0.05,924,0.61,0.05,92,0.06,0.05,2,0,0.01,562,0.37,0.05,760,0.5,0.05,165,0.11,0.05,24,0.02,0.04,649,0.43,0.05,771,0.51,0.05,86,0.06,0.05,4,0,0.02,626,0.42,0.05,761,0.5,0.05,111,0.07,0.05,12,0.01,0.03,594,0.39,0.05,790,0.52,0.05,106,0.07,0.05,21,0.01,0.06,575,0.38,0.05,830,0.55,0.05,99,0.07,0.05,6,0,0.03,483,0.32,0.05,852,0.56,0.05,156,0.1,0.05,19,0.01,0.05
NAYARIT,201,0.31,0.02,396,0.61,0.02,47,0.07,0.02,3,0.01,0.02,198,0.31,0.02,409,0.63,0.02,37,0.06,0.02,3,0.01,0.02,257,0.4,0.02,313,0.48,0.02,65,0.1,0.02,12,0.02,0.02,272,0.42,0.02,333,0.52,0.02,39,0.06,0.02,3,0.01,0.02,260,0.4,0.02,329,0.51,0.02,53,0.08,0.02,5,0.01,0.01,246,0.38,0.02,355,0.55,0.02,40,0.06,0.02,6,0.01,0.02,237,0.37,0.02,356,0.55,0.02,51,0.08,0.03,3,0.01,0.01,201,0.31,0.02,379,0.59,0.02,58,0.09,0.02,9,0.01,0.02
NUEVO LEÓN,38,0.37,0,56,0.54,0,8,0.08,0,1,0.01,0.01,40,0.39,0,54,0.52,0,7,0.07,0,2,0.02,0.01,39,0.38,0,55,0.53,0,4,0.04,0,5,0.05,0.01,43,0.42,0,50,0.49,0,8,0.08,0,2,0.02,0.01,43,0.42,0,50,0.49,0,7,0.07,0,3,0.03,0.01,40,0.39,0,55,0.53,0,6,0.06,0,2,0.02,0.01,36,0.35,0,57,0.55,0,8,0.08,0,2,0.02,0.01,32,0.31,0,58,0.56,0,10,0.1,0,3,0.03,0.01
PUEBLA,308,0.35,0.03,507,0.57,0.03,76,0.09,0.03,0,0,0,282,0.32,0.03,544,0.61,0.03,63,0.07,0.03,2,0,0.01,319,0.36,0.03,431,0.48,0.03,111,0.13,0.04,30,0.03,0.05,368,0.41,0.03,473,0.53,0.03,48,0.05,0.03,2,0,0.01,358,0.4,0.03,436,0.49,0.03,81,0.09,0.03,16,0.02,0.04,353,0.4,0.03,458,0.51,0.03,69,0.08,0.03,11,0.01,0.03,313,0.35,0.03,508,0.57,0.03,63,0.07,0.03,7,0.01,0.03,272,0.31,0.03,512,0.58,0.03,93,0.1,0.03,14,0.02,0.04
QUERÉTARO,506,0.34,0.05,856,0.57,0.05,114,0.08,0.05,14,0.01,0.09,510,0.34,0.05,851,0.57,0.05,119,0.08,0.06,10,0.01,0.06,530,0.36,0.05,725,0.49,0.05,193,0.13,0.06,42,0.03,0.07,591,0.4,0.05,786,0.53,0.05,95,0.06,0.05,18,0.01,0.09,596,0.4,0.05,721,0.48,0.05,143,0.1,0.06,30,0.02,0.08,585,0.39,0.05,787,0.53,0.05,99,0.07,0.05,19,0.01,0.05,548,0.37,0.05,812,0.55,0.05,111,0.07,0.05,19,0.01,0.09,481,0.32,0.05,824,0.55,0.05,163,0.11,0.06,22,0.02,0.06
QUINTANA ROO,488,0.36,0.05,760,0.56,0.04,104,0.08,0.05,7,0.01,0.05,472,0.35,0.05,782,0.58,0.05,98,0.07,0.05,7,0.01,0.05,508,0.37,0.05,668,0.49,0.05,151,0.11,0.05,32,0.02,0.05,564,0.42,0.05,692,0.51,0.05,92,0.07,0.05,11,0.01,0.06,536,0.39,0.05,666,0.49,0.04,128,0.09,0.05,29,0.02,0.07,556,0.41,0.05,677,0.5,0.04,103,0.08,0.05,23,0.02,0.06,524,0.39,0.05,726,0.53,0.05,98,0.07,0.05,11,0.01,0.05,469,0.35,0.05,735,0.54,0.04,136,0.1,0.05,19,0.01,0.05
SAN LUIS POTOSÍ,231,0.29,0.02,483,0.61,0.03,73,0.09,0.03,3,0,0.02,233,0.3,0.02,484,0.61,0.03,69,0.09,0.03,4,0.01,0.03,265,0.34,0.03,413,0.52,0.03,85,0.11,0.03,27,0.03,0.04,295,0.37,0.02,433,0.55,0.03,55,0.07,0.03,7,0.01,0.04,280,0.35,0.02,424,0.54,0.03,70,0.09,0.03,16,0.02,0.04,286,0.36,0.02,433,0.55,0.03,62,0.08,0.03,9,0.01,0.03,290,0.37,0.03,434,0.55,0.03,55,0.07,0.03,11,0.01,0.05,247,0.31,0.03,446,0.57,0.03,85,0.11,0.03,12,0.02,0.03
SINALOA,517,0.35,0.05,891,0.6,0.05,81,0.05,0.04,9,0.01,0.06,520,0.35,0.05,887,0.59,0.05,82,0.06,0.04,9,0.01,0.06,575,0.38,0.05,759,0.51,0.05,148,0.1,0.05,16,0.01,0.03,640,0.43,0.05,776,0.52,0.05,77,0.05,0.04,5,0,0.03,609,0.41,0.05,775,0.52,0.05,104,0.07,0.04,10,0.01,0.03,610,0.41,0.05,784,0.52,0.05,90,0.06,0.04,14,0.01,0.04,562,0.38,0.05,837,0.56,0.05,87,0.06,0.04,12,0.01,0.05,528,0.35,0.05,828,0.55,0.05,129,0.09,0.05,13,0.01,0.03
SONORA,317,0.33,0.03,586,0.6,0.03,66,0.07,0.03,3,0,0.02,352,0.36,0.04,572,0.59,0.03,47,0.05,0.02,1,0,0.01,388,0.4,0.04,500,0.51,0.03,75,0.08,0.02,9,0.01,0.01,412,0.42,0.03,506,0.52,0.03,52,0.05,0.03,2,0,0.01,406,0.42,0.04,514,0.53,0.03,45,0.05,0.02,7,0.01,0.02,418,0.43,0.04,509,0.52,0.03,41,0.04,0.02,4,0,0.01,398,0.41,0.04,527,0.54,0.03,44,0.05,0.02,3,0,0.01,367,0.38,0.04,535,0.55,0.03,69,0.07,0.02,1,0,0
TABASCO,325,0.35,0.03,529,0.57,0.03,78,0.08,0.04,2,0,0.01,320,0.34,0.03,555,0.59,0.03,54,0.06,0.03,5,0.01,0.03,349,0.37,0.03,471,0.5,0.03,93,0.1,0.03,21,0.02,0.03,382,0.41,0.03,488,0.52,0.03,60,0.06,0.03,4,0,0.02,409,0.44,0.04,446,0.48,0.03,68,0.07,0.03,11,0.01,0.03,417,0.45,0.04,455,0.49,0.03,53,0.06,0.03,9,0.01,0.03,383,0.41,0.03,493,0.53,0.03,53,0.06,0.03,5,0.01,0.02,332,0.36,0.03,512,0.55,0.03,81,0.09,0.03,9,0.01,0.02
TAMAULIPAS,377,0.32,0.04,710,0.61,0.04,78,0.07,0.04,4,0,0.03,380,0.33,0.04,714,0.61,0.04,70,0.06,0.03,4,0,0.03,440,0.38,0.04,611,0.52,0.04,105,0.09,0.03,13,0.01,0.02,479,0.41,0.04,613,0.52,0.04,69,0.06,0.04,8,0.01,0.04,467,0.4,0.04,612,0.52,0.04,82,0.07,0.03,8,0.01,0.02,460,0.39,0.04,620,0.53,0.04,75,0.06,0.04,14,0.01,0.04,429,0.37,0.04,669,0.57,0.04,66,0.06,0.03,5,0,0.02,369,0.32,0.04,681,0.58,0.04,110,0.09,0.04,9,0.01,0.02
TLAXCALA,317,0.29,0.03,642,0.6,0.04,112,0.1,0.05,7,0.01,0.05,266,0.25,0.03,694,0.64,0.04,111,0.1,0.05,7,0.01,0.05,309,0.29,0.03,595,0.55,0.04,142,0.13,0.04,32,0.03,0.05,372,0.35,0.03,615,0.57,0.04,85,0.08,0.05,6,0.01,0.03,342,0.32,0.03,599,0.56,0.04,124,0.12,0.05,13,0.01,0.03,311,0.29,0.03,617,0.57,0.04,128,0.12,0.06,22,0.02,0.06,307,0.29,0.03,652,0.61,0.04,113,0.11,0.06,6,0.01,0.03,263,0.24,0.03,644,0.6,0.04,158,0.15,0.06,13,0.01,0.03
VERACRUZ,211,0.33,0.02,383,0.6,0.02,39,0.06,0.02,1,0,0.01,189,0.3,0.02,398,0.63,0.02,46,0.07,0.02,1,0,0.01,208,0.33,0.02,336,0.53,0.02,80,0.13,0.03,10,0.02,0.02,245,0.39,0.02,343,0.54,0.02,43,0.07,0.02,3,0.01,0.02,219,0.35,0.02,359,0.57,0.02,52,0.08,0.02,4,0.01,0.01,245,0.39,0.02,334,0.53,0.02,48,0.08,0.02,7,0.01,0.02,225,0.36,0.02,363,0.57,0.02,44,0.07,0.02,2,0,0.01,187,0.3,0.02,372,0.59,0.02,66,0.1,0.02,9,0.01,0.02
YUCATÁN,241,0.34,0.02,401,0.57,0.02,61,0.09,0.03,3,0,0.02,230,0.33,0.02,415,0.59,0.02,57,0.08,0.03,4,0.01,0.03,280,0.4,0.03,329,0.47,0.02,75,0.11,0.02,22,0.03,0.03,310,0.44,0.03,349,0.49,0.02,40,0.06,0.02,7,0.01,0.04,305,0.43,0.03,330,0.47,0.02,55,0.08,0.02,16,0.02,0.04,318,0.45,0.03,326,0.46,0.02,54,0.08,0.03,8,0.01,0.02,281,0.4,0.03,359,0.51,0.02,62,0.09,0.03,4,0.01,0.02,242,0.34,0.03,367,0.52,0.02,83,0.12,0.03,14,0.02,0.04
ZACATECAS,334,0.3,0.03,663,0.6,0.04,107,0.1,0.05,10,0.01,0.07,342,0.31,0.04,669,0.6,0.04,93,0.08,0.05,10,0.01,0.06,370,0.33,0.03,560,0.5,0.04,152,0.14,0.05,32,0.03,0.05,437,0.39,0.04,580,0.52,0.04,90,0.08,0.05,7,0.01,0.04,402,0.36,0.03,585,0.53,0.04,111,0.1,0.05,16,0.01,0.04,399,0.36,0.03,584,0.52,0.04,108,0.1,0.05,23,0.02,0.06,376,0.34,0.03,616,0.55,0.04,114,0.1,0.06,8,0.01,0.04,335,0.3,0.04,643,0.58,0.04,124,0.11,0.04,12,0.01,0.03
Hombre,4087,0.33,0.41,7309,0.59,0.43,968,0.08,0.43,79,0.01,0.53,4098,0.33,0.42,7432,0.6,0.43,843,0.07,0.41,70,0.01,0.45,4455,0.36,0.41,6423,0.52,0.43,1296,0.1,0.41,269,0.02,0.41,4963,0.4,0.41,6601,0.53,0.43,783,0.06,0.42,96,0.01,0.5,4807,0.39,0.41,6537,0.53,0.43,946,0.08,0.4,153,0.01,0.38,4940,0.4,0.42,6448,0.52,0.42,882,0.07,0.42,173,0.01,0.49,4622,0.37,0.42,6892,0.55,0.43,833,0.07,0.41,95,0.01,0.43,4128,0.33,0.43,7051,0.57,0.43,1122,0.09,0.39,141,0.01,0.37
