Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-J-Sí-Recuento,B4-J-Sí-% del N de fila,B4-J-Sí-% de N columnas,B4-J-No-Recuento,B4-J-No-% del N de fila,B4-J-No-% de N columnas
TAMAULIPAS,196,0.94,0.04,12,0.06,0.02,185,0.89,0.04,23,0.11,0.03,179,0.86,0.04,29,0.14,0.03,157,0.76,0.04,51,0.25,0.03,198,0.95,0.04,10,0.05,0.03,203,0.98,0.04,5,0.02,0.02,173,0.83,0.04,35,0.17,0.03,155,0.75,0.04,53,0.26,0.03,192,0.92,0.04,16,0.08,0.03,,,,,,
TLAXCALA,83,0.92,0.02,7,0.08,0.01,73,0.81,0.02,17,0.19,0.02,74,0.82,0.02,16,0.18,0.02,65,0.72,0.02,25,0.28,0.02,83,0.92,0.02,7,0.08,0.02,85,0.94,0.02,5,0.06,0.02,73,0.81,0.02,17,0.19,0.02,67,0.74,0.02,23,0.26,0.01,83,0.92,0.02,7,0.08,0.01,,,,,,
VERACRUZ,101,0.85,0.02,18,0.15,0.03,88,0.74,0.02,31,0.26,0.03,83,0.7,0.02,36,0.3,0.04,70,0.59,0.02,49,0.41,0.03,108,0.91,0.02,11,0.09,0.04,110,0.92,0.02,9,0.08,0.03,88,0.74,0.02,31,0.26,0.03,67,0.56,0.02,52,0.44,0.03,98,0.82,0.02,21,0.18,0.03,,,,,,
YUCATÁN,108,0.86,0.02,17,0.14,0.03,98,0.78,0.02,27,0.22,0.03,102,0.82,0.02,23,0.18,0.02,81,0.65,0.02,44,0.35,0.03,108,0.86,0.02,17,0.14,0.06,115,0.92,0.02,10,0.08,0.04,90,0.72,0.02,35,0.28,0.03,78,0.62,0.02,47,0.38,0.03,104,0.83,0.02,21,0.17,0.03,,,,,,
ZACATECAS,184,0.84,0.04,35,0.16,0.06,176,0.8,0.04,43,0.2,0.05,165,0.75,0.04,54,0.25,0.05,154,0.7,0.04,65,0.3,0.04,203,0.93,0.04,16,0.07,0.05,204,0.93,0.04,15,0.07,0.05,169,0.77,0.04,50,0.23,0.04,143,0.65,0.04,76,0.35,0.04,184,0.84,0.04,35,0.16,0.06,,,,,,
Hombre,182,0.79,0.04,49,0.21,0.08,191,0.83,0.04,40,0.17,0.04,192,0.83,0.05,39,0.17,0.04,153,0.66,0.04,78,0.34,0.05,213,0.92,0.04,18,0.08,0.06,215,0.93,0.04,16,0.07,0.06,175,0.76,0.04,56,0.24,0.05,161,0.7,0.05,70,0.3,0.04,190,0.82,0.04,41,0.18,0.06,,,,,,
Mujer,4556,0.89,0.96,554,0.11,0.92,4230,0.83,0.96,880,0.17,0.96,4106,0.8,0.96,1004,0.2,0.96,3590,0.7,0.96,1520,0.3,0.95,4822,0.94,0.96,288,0.06,0.94,4840,0.95,0.96,270,0.05,0.94,4039,0.79,0.96,1071,0.21,0.95,3446,0.67,0.96,1664,0.33,0.96,4514,0.88,0.96,596,0.12,0.94,,,,,,
18 a 20 años,30,0.91,0.01,3,0.09,0.01,29,0.88,0.01,4,0.12,0,27,0.82,0.01,6,0.18,0.01,20,0.61,0.01,13,0.39,0.01,32,0.97,0.01,1,0.03,0,32,0.97,0.01,1,0.03,0,24,0.73,0.01,9,0.27,0.01,24,0.73,0.01,9,0.27,0.01,28,0.85,0.01,5,0.15,0.01,,,,,,
21 a 30 años,995,0.86,0.21,167,0.14,0.28,929,0.8,0.21,233,0.2,0.25,901,0.78,0.21,261,0.23,0.25,834,0.72,0.22,328,0.28,0.21,1091,0.94,0.22,71,0.06,0.23,1084,0.93,0.21,78,0.07,0.27,936,0.81,0.22,226,0.19,0.2,824,0.71,0.23,338,0.29,0.2,1013,0.87,0.22,149,0.13,0.23,,,,,,
31 a 40 años,1660,0.89,0.35,210,0.11,0.35,1532,0.82,0.35,338,0.18,0.37,1495,0.8,0.35,375,0.2,0.36,1324,0.71,0.35,546,0.29,0.34,1766,0.94,0.35,104,0.06,0.34,1773,0.95,0.35,97,0.05,0.34,1466,0.78,0.35,404,0.22,0.36,1280,0.68,0.36,590,0.32,0.34,1658,0.89,0.35,212,0.11,0.33,,,,,,
41 a 50 años,1406,0.89,0.3,172,0.11,0.29,1324,0.84,0.3,254,0.16,0.28,1291,0.82,0.3,287,0.18,0.28,1084,0.69,0.29,494,0.31,0.31,1486,0.94,0.3,92,0.06,0.3,1502,0.95,0.3,76,0.05,0.27,1230,0.78,0.29,348,0.22,0.31,1009,0.64,0.28,569,0.36,0.33,1386,0.88,0.3,192,0.12,0.3,,,,,,
51 a 60 años,622,0.93,0.13,50,0.07,0.08,583,0.87,0.13,89,0.13,0.1,562,0.84,0.13,110,0.16,0.11,465,0.69,0.12,207,0.31,0.13,635,0.95,0.13,37,0.06,0.12,638,0.95,0.13,34,0.05,0.12,538,0.8,0.13,134,0.2,0.12,455,0.68,0.13,217,0.32,0.13,595,0.89,0.13,77,0.12,0.12,,,,,,
61 a 70 años,25,0.96,0.01,1,0.04,0,24,0.92,0.01,2,0.08,0,22,0.85,0.01,4,0.15,0,16,0.62,0,10,0.39,0.01,25,0.96,0.01,1,0.04,0,26,1,0.01,0,0,0,20,0.77,0.01,6,0.23,0.01,15,0.58,0,11,0.42,0.01,24,0.92,0.01,2,0.08,0,,,,,,
71 a 80 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
"Preparatoria, bachillerato o carrera técnica",38,0.84,0.01,7,0.16,0.01,33,0.73,0.01,12,0.27,0.01,32,0.71,0.01,13,0.29,0.01,29,0.64,0.01,16,0.36,0.01,39,0.87,0.01,6,0.13,0.02,41,0.91,0.01,4,0.09,0.01,34,0.76,0.01,11,0.24,0.01,29,0.64,0.01,16,0.36,0.01,37,0.82,0.01,8,0.18,0.01,,,,,,
Normal básica sin licenciatura,126,0.91,0.03,13,0.09,0.02,119,0.86,0.03,20,0.14,0.02,116,0.84,0.03,23,0.17,0.02,100,0.72,0.03,39,0.28,0.02,130,0.94,0.03,9,0.07,0.03,129,0.93,0.03,10,0.07,0.04,109,0.78,0.03,30,0.22,0.03,97,0.7,0.03,42,0.3,0.02,121,0.87,0.03,18,0.13,0.03,,,,,,
Normal superior,65,0.89,0.01,8,0.11,0.01,61,0.84,0.01,12,0.16,0.01,64,0.88,0.02,9,0.12,0.01,58,0.8,0.02,15,0.21,0.01,71,0.97,0.01,2,0.03,0.01,69,0.95,0.01,4,0.06,0.01,56,0.77,0.01,17,0.23,0.02,57,0.78,0.02,16,0.22,0.01,62,0.85,0.01,11,0.15,0.02,,,,,,
Normal Intercultural Bilingüe,4,0.8,0,1,0.2,0,5,1,0,0,0,0,5,1,0,0,0,0,4,0.8,0,1,0.2,0,5,1,0,0,0,0,5,1,0,0,0,0,5,1,0,0,0,0,5,1,0,0,0,0,5,1,0,0,0,0,,,,,,
Licenciatura,3721,0.89,0.79,476,0.11,0.79,3489,0.83,0.79,708,0.17,0.77,3382,0.81,0.79,815,0.19,0.78,2928,0.7,0.78,1269,0.3,0.79,3966,0.95,0.79,231,0.06,0.76,3980,0.95,0.79,217,0.05,0.76,3332,0.79,0.79,865,0.21,0.77,2843,0.68,0.79,1354,0.32,0.78,3690,0.88,0.78,507,0.12,0.8,,,,,,
Especialidad,17,0.77,0,5,0.23,0.01,19,0.86,0,3,0.14,0,18,0.82,0,4,0.18,0,14,0.64,0,8,0.36,0.01,22,1,0,0,0,0,22,1,0,0,0,0,15,0.68,0,7,0.32,0.01,15,0.68,0,7,0.32,0,19,0.86,0,3,0.14,0.01,,,,,,
Maestría,717,0.89,0.15,85,0.11,0.14,649,0.81,0.15,153,0.19,0.17,637,0.79,0.15,165,0.21,0.16,570,0.71,0.15,232,0.29,0.15,750,0.94,0.15,52,0.07,0.17,755,0.94,0.15,47,0.06,0.16,618,0.77,0.15,184,0.23,0.16,525,0.66,0.15,277,0.35,0.16,724,0.9,0.15,78,0.1,0.12,,,,,,
Doctorado,49,0.86,0.01,8,0.14,0.01,45,0.79,0.01,12,0.21,0.01,43,0.75,0.01,14,0.25,0.01,40,0.7,0.01,17,0.3,0.01,51,0.9,0.01,6,0.11,0.02,53,0.93,0.01,4,0.07,0.01,45,0.79,0.01,12,0.21,0.01,36,0.63,0.01,21,0.37,0.01,45,0.79,0.01,12,0.21,0.02,,,,,,
Posdoctorado,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,,,,,,
Menor o igual a 10,1608,0.86,0.34,256,0.14,0.43,1494,0.8,0.34,370,0.2,0.4,1441,0.77,0.34,423,0.23,0.41,1333,0.72,0.36,531,0.29,0.33,1756,0.94,0.35,108,0.06,0.35,1744,0.94,0.35,120,0.06,0.42,1469,0.79,0.35,395,0.21,0.35,1309,0.7,0.36,555,0.3,0.32,1639,0.88,0.35,225,0.12,0.35,,,,,,
11 a 20,1752,0.9,0.37,196,0.1,0.33,1616,0.83,0.37,332,0.17,0.36,1575,0.81,0.37,373,0.19,0.36,1379,0.71,0.37,569,0.29,0.36,1834,0.94,0.36,114,0.06,0.37,1863,0.96,0.37,85,0.04,0.3,1541,0.79,0.37,407,0.21,0.36,1319,0.68,0.37,629,0.32,0.36,1723,0.88,0.37,225,0.12,0.35,,,,,,
21 a 30,1378,0.9,0.29,151,0.1,0.25,1311,0.86,0.3,218,0.14,0.24,1282,0.84,0.3,247,0.16,0.24,1031,0.67,0.28,498,0.33,0.31,1445,0.95,0.29,84,0.06,0.28,1448,0.95,0.29,81,0.05,0.28,1204,0.79,0.29,325,0.21,0.29,979,0.64,0.27,550,0.36,0.32,1342,0.88,0.29,187,0.12,0.29,,,,,,
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Definitivo o base,4412,0.89,0.93,553,0.11,0.92,4105,0.83,0.93,860,0.17,0.94,3992,0.8,0.93,973,0.2,0.93,3463,0.7,0.93,1502,0.3,0.94,4678,0.94,0.93,287,0.06,0.94,4700,0.95,0.93,265,0.05,0.93,3919,0.79,0.93,1046,0.21,0.93,3326,0.67,0.92,1639,0.33,0.95,4369,0.88,0.93,596,0.12,0.94,,,,,,
Interino,136,0.86,0.03,23,0.15,0.04,135,0.85,0.03,24,0.15,0.03,122,0.77,0.03,37,0.23,0.04,125,0.79,0.03,34,0.21,0.02,154,0.97,0.03,5,0.03,0.02,150,0.94,0.03,9,0.06,0.03,127,0.8,0.03,32,0.2,0.03,115,0.72,0.03,44,0.28,0.03,146,0.92,0.03,13,0.08,0.02,,,,,,
Tiempo fijo,80,0.87,0.02,12,0.13,0.02,76,0.83,0.02,16,0.17,0.02,79,0.86,0.02,13,0.14,0.01,69,0.75,0.02,23,0.25,0.01,87,0.95,0.02,5,0.05,0.02,85,0.92,0.02,7,0.08,0.02,76,0.83,0.02,16,0.17,0.01,75,0.82,0.02,17,0.19,0.01,78,0.85,0.02,14,0.15,0.02,,,,,,
No tengo nombramiento,28,0.88,0.01,4,0.13,0.01,27,0.84,0.01,5,0.16,0.01,26,0.81,0.01,6,0.19,0.01,23,0.72,0.01,9,0.28,0.01,28,0.88,0.01,4,0.13,0.01,30,0.94,0.01,2,0.06,0.01,23,0.72,0.01,9,0.28,0.01,25,0.78,0.01,7,0.22,0,28,0.88,0.01,4,0.13,0.01,,,,,,
Otro,82,0.88,0.02,11,0.12,0.02,78,0.84,0.02,15,0.16,0.02,79,0.85,0.02,14,0.15,0.01,63,0.68,0.02,30,0.32,0.02,88,0.95,0.02,5,0.05,0.02,90,0.97,0.02,3,0.03,0.01,69,0.74,0.02,24,0.26,0.02,66,0.71,0.02,27,0.29,0.02,83,0.89,0.02,10,0.11,0.02,,,,,,
GENERAL PÚBLICA,4453,0.89,0.94,570,0.11,0.95,4154,0.83,0.94,869,0.17,0.95,4041,0.8,0.94,982,0.2,0.94,3521,0.7,0.94,1502,0.3,0.94,4735,0.94,0.94,288,0.06,0.94,4746,0.95,0.94,277,0.06,0.97,3959,0.79,0.94,1064,0.21,0.94,3379,0.67,0.94,1644,0.33,0.95,4425,0.88,0.94,598,0.12,0.94,,,,,,
INDÍGENAS,285,0.9,0.06,33,0.1,0.06,267,0.84,0.06,51,0.16,0.06,257,0.81,0.06,61,0.19,0.06,222,0.7,0.06,96,0.3,0.06,300,0.94,0.06,18,0.06,0.06,309,0.97,0.06,9,0.03,0.03,255,0.8,0.06,63,0.2,0.06,228,0.72,0.06,90,0.28,0.05,279,0.88,0.06,39,0.12,0.06,,,,,,
Total,4738,0.89,1,603,0.11,1,4421,0.83,1,920,0.17,1,4298,0.81,1,1043,0.2,1,3743,0.7,1,1598,0.3,1,5035,0.94,1,306,0.06,1,5055,0.95,1,286,0.05,1,4214,0.79,1,1127,0.21,1,3607,0.68,1,1734,0.33,1,4704,0.88,1,637,0.12,1,,,,,,
