Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas
ZACATECAS,180,0.96,0.04,7,0.04,0.05,145,0.78,0.04,42,0.23,0.06,95,0.51,0.04,92,0.49,0.05,165,0.88,0.04,22,0.12,0.05,120,0.64,0.05,67,0.36,0.04,72,0.39,0.04,115,0.62,0.05
Hombre,1812,0.98,0.44,40,0.02,0.3,1550,0.84,0.43,302,0.16,0.44,1099,0.59,0.47,753,0.41,0.4,1702,0.92,0.44,150,0.08,0.36,1143,0.62,0.44,709,0.38,0.43,876,0.47,0.46,976,0.53,0.41
Mujer,2308,0.96,0.56,92,0.04,0.7,2022,0.84,0.57,378,0.16,0.56,1253,0.52,0.53,1147,0.48,0.6,2138,0.89,0.56,262,0.11,0.64,1448,0.6,0.56,952,0.4,0.57,1014,0.42,0.54,1386,0.58,0.59
18 a 20 años,9,0.9,0,1,0.1,0.01,9,0.9,0,1,0.1,0,7,0.7,0,3,0.3,0,9,0.9,0,1,0.1,0,7,0.7,0,3,0.3,0,4,0.4,0,6,0.6,0
21 a 30 años,178,0.87,0.04,27,0.13,0.21,181,0.88,0.05,24,0.12,0.04,134,0.65,0.06,71,0.35,0.04,173,0.84,0.05,32,0.16,0.08,80,0.39,0.03,125,0.61,0.08,74,0.36,0.04,131,0.64,0.06
31 a 40 años,954,0.96,0.23,39,0.04,0.3,842,0.85,0.24,151,0.15,0.22,480,0.48,0.2,513,0.52,0.27,859,0.87,0.22,134,0.14,0.33,553,0.56,0.21,440,0.44,0.27,357,0.36,0.19,636,0.64,0.27
41 a 50 años,1222,0.97,0.3,35,0.03,0.27,1046,0.83,0.29,211,0.17,0.31,671,0.53,0.29,586,0.47,0.31,1130,0.9,0.29,127,0.1,0.31,746,0.59,0.29,511,0.41,0.31,521,0.41,0.28,736,0.59,0.31
51 a 60 años,1235,0.98,0.3,26,0.02,0.2,1058,0.84,0.3,203,0.16,0.3,733,0.58,0.31,528,0.42,0.28,1162,0.92,0.3,99,0.08,0.24,804,0.64,0.31,457,0.36,0.28,614,0.49,0.33,647,0.51,0.27
61 a 70 años,461,0.99,0.11,3,0.01,0.02,387,0.83,0.11,77,0.17,0.11,287,0.62,0.12,177,0.38,0.09,448,0.97,0.12,16,0.03,0.04,346,0.75,0.13,118,0.25,0.07,280,0.6,0.15,184,0.4,0.08
71 a 80 años,61,0.98,0.02,1,0.02,0.01,49,0.79,0.01,13,0.21,0.02,40,0.65,0.02,22,0.36,0.01,59,0.95,0.02,3,0.05,0.01,55,0.89,0.02,7,0.11,0,40,0.65,0.02,22,0.36,0.01
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",16,0.89,0,2,0.11,0.02,14,0.78,0,4,0.22,0.01,17,0.94,0.01,1,0.06,0,14,0.78,0,4,0.22,0.01,6,0.33,0,12,0.67,0.01,8,0.44,0,10,0.56,0
Normal básica sin licenciatura,84,0.98,0.02,2,0.02,0.02,70,0.81,0.02,16,0.19,0.02,61,0.71,0.03,25,0.29,0.01,80,0.93,0.02,6,0.07,0.02,51,0.59,0.02,35,0.41,0.02,44,0.51,0.02,42,0.49,0.02
Normal superior,235,0.97,0.06,7,0.03,0.05,212,0.88,0.06,30,0.12,0.04,151,0.62,0.06,91,0.38,0.05,227,0.94,0.06,15,0.06,0.04,162,0.67,0.06,80,0.33,0.05,128,0.53,0.07,114,0.47,0.05
Normal Intercultural Bilingüe,5,1,0,0,0,0,4,0.8,0,1,0.2,0,5,1,0,0,0,0,5,1,0,0,0,0,3,0.6,0,2,0.4,0,2,0.4,0,3,0.6,0
Licenciatura,1749,0.95,0.43,84,0.05,0.64,1568,0.86,0.44,265,0.15,0.39,1034,0.56,0.44,799,0.44,0.42,1617,0.88,0.42,216,0.12,0.52,1006,0.55,0.39,827,0.45,0.5,755,0.41,0.4,1078,0.59,0.46
Especialidad,49,1,0.01,0,0,0,44,0.9,0.01,5,0.1,0.01,23,0.47,0.01,26,0.53,0.01,45,0.92,0.01,4,0.08,0.01,26,0.53,0.01,23,0.47,0.01,21,0.43,0.01,28,0.57,0.01
Maestría,1542,0.98,0.37,27,0.02,0.21,1294,0.83,0.36,275,0.18,0.4,809,0.52,0.34,760,0.48,0.4,1438,0.92,0.37,131,0.08,0.32,1023,0.65,0.4,546,0.35,0.33,721,0.46,0.38,848,0.54,0.36
Doctorado,427,0.98,0.1,9,0.02,0.07,354,0.81,0.1,82,0.19,0.12,242,0.56,0.1,194,0.45,0.1,401,0.92,0.1,35,0.08,0.09,305,0.7,0.12,131,0.3,0.08,207,0.48,0.11,229,0.53,0.1
Posdoctorado,13,0.93,0,1,0.07,0.01,12,0.86,0,2,0.14,0,10,0.71,0,4,0.29,0,13,0.93,0,1,0.07,0,9,0.64,0,5,0.36,0,4,0.29,0,10,0.71,0
Menor o igual a 10,2783,0.96,0.68,104,0.04,0.79,2438,0.84,0.68,449,0.16,0.66,1544,0.54,0.66,1343,0.47,0.71,2582,0.89,0.67,305,0.11,0.74,1688,0.59,0.65,1199,0.42,0.72,1196,0.41,0.63,1691,0.59,0.72
11 a 20,876,0.98,0.21,17,0.02,0.13,749,0.84,0.21,144,0.16,0.21,519,0.58,0.22,374,0.42,0.2,816,0.91,0.21,77,0.09,0.19,584,0.65,0.23,309,0.35,0.19,458,0.51,0.24,435,0.49,0.18
21 a 30,461,0.98,0.11,11,0.02,0.08,385,0.82,0.11,87,0.18,0.13,289,0.61,0.12,183,0.39,0.1,442,0.94,0.12,30,0.06,0.07,319,0.68,0.12,153,0.32,0.09,236,0.5,0.13,236,0.5,0.1
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,3295,0.99,0.8,51,0.02,0.39,2778,0.83,0.78,568,0.17,0.84,1787,0.53,0.76,1559,0.47,0.82,3051,0.91,0.8,295,0.09,0.72,2192,0.66,0.85,1154,0.35,0.7,1524,0.46,0.81,1822,0.55,0.77
Interino,130,0.97,0.03,4,0.03,0.03,115,0.86,0.03,19,0.14,0.03,80,0.6,0.03,54,0.4,0.03,120,0.9,0.03,14,0.1,0.03,71,0.53,0.03,63,0.47,0.04,57,0.43,0.03,77,0.58,0.03
No tengo nombramiento,409,0.89,0.1,52,0.11,0.39,409,0.89,0.12,52,0.11,0.08,296,0.64,0.13,165,0.36,0.09,399,0.87,0.1,62,0.13,0.15,193,0.42,0.07,268,0.58,0.16,184,0.4,0.1,277,0.6,0.12
Otro,286,0.92,0.07,25,0.08,0.19,270,0.87,0.08,41,0.13,0.06,189,0.61,0.08,122,0.39,0.06,270,0.87,0.07,41,0.13,0.1,135,0.43,0.05,176,0.57,0.11,125,0.4,0.07,186,0.6,0.08
GENERAL PÚBLICA,2699,0.97,0.66,80,0.03,0.61,2381,0.86,0.67,398,0.14,0.59,1402,0.5,0.6,1377,0.5,0.73,2515,0.91,0.66,264,0.1,0.64,1819,0.66,0.7,960,0.35,0.58,1222,0.44,0.65,1557,0.56,0.66
INDÍGENAS,343,0.93,0.08,26,0.07,0.2,282,0.76,0.08,87,0.24,0.13,269,0.73,0.11,100,0.27,0.05,308,0.84,0.08,61,0.17,0.15,104,0.28,0.04,265,0.72,0.16,98,0.27,0.05,271,0.73,0.12
TÉCNICA,556,0.99,0.14,5,0.01,0.04,456,0.81,0.13,105,0.19,0.15,323,0.58,0.14,238,0.42,0.13,532,0.95,0.14,29,0.05,0.07,396,0.71,0.15,165,0.29,0.1,310,0.55,0.16,251,0.45,0.11
TELESECUNDARIA,522,0.96,0.13,21,0.04,0.16,453,0.83,0.13,90,0.17,0.13,358,0.66,0.15,185,0.34,0.1,485,0.89,0.13,58,0.11,0.14,272,0.5,0.11,271,0.5,0.16,260,0.48,0.14,283,0.52,0.12
Total,4120,0.97,1,132,0.03,1,3572,0.84,1,680,0.16,1,2352,0.55,1,1900,0.45,1,3840,0.9,1,412,0.1,1,2591,0.61,1,1661,0.39,1,1890,0.44,1,2362,0.56,1
