Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas
ESTADO DE MÉXICO,99,0.62,0.04,62,0.39,0.04,106,0.66,0.04,55,0.34,0.04,115,0.71,0.04,46,0.29,0.04,125,0.78,0.04,36,0.22,0.04,124,0.77,0.04,37,0.23,0.04,119,0.74,0.04,42,0.26,0.04,131,0.81,0.04,30,0.19,0.03
GUANAJUATO,108,0.64,0.04,60,0.36,0.03,116,0.69,0.04,52,0.31,0.03,123,0.73,0.04,45,0.27,0.04,138,0.82,0.04,30,0.18,0.04,134,0.8,0.04,34,0.2,0.04,126,0.75,0.04,42,0.25,0.04,134,0.8,0.04,34,0.2,0.04
GUERRERO,25,0.6,0.01,17,0.41,0.01,27,0.64,0.01,15,0.36,0.01,32,0.76,0.01,10,0.24,0.01,34,0.81,0.01,8,0.19,0.01,36,0.86,0.01,6,0.14,0.01,28,0.67,0.01,14,0.33,0.01,34,0.81,0.01,8,0.19,0.01
HIDALGO,113,0.73,0.05,42,0.27,0.02,114,0.74,0.04,41,0.27,0.03,123,0.79,0.04,32,0.21,0.03,136,0.88,0.04,19,0.12,0.02,130,0.84,0.04,25,0.16,0.03,124,0.8,0.04,31,0.2,0.03,125,0.81,0.04,30,0.19,0.03
JALISCO,88,0.65,0.04,47,0.35,0.03,90,0.67,0.03,45,0.33,0.03,94,0.7,0.03,41,0.3,0.03,112,0.83,0.03,23,0.17,0.03,104,0.77,0.03,31,0.23,0.03,103,0.76,0.03,32,0.24,0.03,103,0.76,0.03,32,0.24,0.03
MICHOACÁN,21,0.64,0.01,12,0.36,0.01,22,0.67,0.01,11,0.33,0.01,23,0.7,0.01,10,0.3,0.01,28,0.85,0.01,5,0.15,0.01,24,0.73,0.01,9,0.27,0.01,27,0.82,0.01,6,0.18,0.01,26,0.79,0.01,7,0.21,0.01
MORELOS,92,0.52,0.04,85,0.48,0.05,99,0.56,0.04,78,0.44,0.05,134,0.76,0.04,43,0.24,0.04,142,0.8,0.04,35,0.2,0.04,134,0.76,0.04,43,0.24,0.05,125,0.71,0.04,52,0.29,0.05,130,0.73,0.04,47,0.27,0.05
NAYARIT,85,0.56,0.03,66,0.44,0.04,95,0.63,0.04,56,0.37,0.04,108,0.72,0.04,43,0.29,0.04,121,0.8,0.04,30,0.2,0.04,116,0.77,0.04,35,0.23,0.04,114,0.76,0.04,37,0.25,0.03,125,0.83,0.04,26,0.17,0.03
NUEVO LEÓN,17,0.55,0.01,14,0.45,0.01,17,0.55,0.01,14,0.45,0.01,17,0.55,0.01,14,0.45,0.01,28,0.9,0.01,3,0.1,0,28,0.9,0.01,3,0.1,0,23,0.74,0.01,8,0.26,0.01,23,0.74,0.01,8,0.26,0.01
PUEBLA,79,0.59,0.03,54,0.41,0.03,77,0.58,0.03,56,0.42,0.04,94,0.71,0.03,39,0.29,0.03,101,0.76,0.03,32,0.24,0.04,101,0.76,0.03,32,0.24,0.03,94,0.71,0.03,39,0.29,0.03,102,0.77,0.03,31,0.23,0.03
QUERÉTARO,108,0.57,0.04,83,0.44,0.05,118,0.62,0.04,73,0.38,0.05,139,0.73,0.05,52,0.27,0.04,161,0.84,0.05,30,0.16,0.04,149,0.78,0.05,42,0.22,0.04,146,0.76,0.05,45,0.24,0.04,148,0.78,0.05,43,0.23,0.04
QUINTANA ROO,100,0.59,0.04,70,0.41,0.04,107,0.63,0.04,63,0.37,0.04,126,0.74,0.04,44,0.26,0.04,145,0.85,0.04,25,0.15,0.03,139,0.82,0.04,31,0.18,0.03,131,0.77,0.04,39,0.23,0.03,133,0.78,0.04,37,0.22,0.04
SAN LUIS POTOSÍ,100,0.59,0.04,69,0.41,0.04,110,0.65,0.04,59,0.35,0.04,122,0.72,0.04,47,0.28,0.04,139,0.82,0.04,30,0.18,0.04,132,0.78,0.04,37,0.22,0.04,122,0.72,0.04,47,0.28,0.04,128,0.76,0.04,41,0.24,0.04
SINALOA,109,0.57,0.04,82,0.43,0.05,118,0.62,0.04,73,0.38,0.05,133,0.7,0.04,58,0.3,0.05,154,0.81,0.05,37,0.19,0.05,143,0.75,0.04,48,0.25,0.05,135,0.71,0.04,56,0.29,0.05,145,0.76,0.04,46,0.24,0.05
SONORA,84,0.57,0.03,63,0.43,0.04,86,0.59,0.03,61,0.42,0.04,95,0.65,0.03,52,0.35,0.04,120,0.82,0.04,27,0.18,0.03,105,0.71,0.03,42,0.29,0.04,107,0.73,0.03,40,0.27,0.04,117,0.8,0.04,30,0.2,0.03
TABASCO,78,0.6,0.03,52,0.4,0.03,85,0.65,0.03,45,0.35,0.03,96,0.74,0.03,34,0.26,0.03,108,0.83,0.03,22,0.17,0.03,105,0.81,0.03,25,0.19,0.03,103,0.79,0.03,27,0.21,0.02,107,0.82,0.03,23,0.18,0.02
TAMAULIPAS,88,0.59,0.04,62,0.41,0.04,93,0.62,0.04,57,0.38,0.04,109,0.73,0.04,41,0.27,0.03,125,0.83,0.04,25,0.17,0.03,116,0.77,0.04,34,0.23,0.04,118,0.79,0.04,32,0.21,0.03,114,0.76,0.04,36,0.24,0.04
TLAXCALA,103,0.66,0.04,54,0.34,0.03,103,0.66,0.04,54,0.34,0.03,121,0.77,0.04,36,0.23,0.03,120,0.76,0.04,37,0.24,0.05,119,0.76,0.04,38,0.24,0.04,119,0.76,0.04,38,0.24,0.03,127,0.81,0.04,30,0.19,0.03
VERACRUZ,68,0.61,0.03,44,0.39,0.03,75,0.67,0.03,37,0.33,0.02,81,0.72,0.03,31,0.28,0.03,88,0.79,0.03,24,0.21,0.03,90,0.8,0.03,22,0.2,0.02,83,0.74,0.03,29,0.26,0.03,83,0.74,0.03,29,0.26,0.03
YUCATÁN,48,0.48,0.02,53,0.53,0.03,62,0.61,0.02,39,0.39,0.02,67,0.66,0.02,34,0.34,0.03,74,0.73,0.02,27,0.27,0.03,70,0.69,0.02,31,0.31,0.03,76,0.75,0.02,25,0.25,0.02,71,0.7,0.02,30,0.3,0.03
ZACATECAS,111,0.59,0.05,76,0.41,0.04,128,0.68,0.05,59,0.32,0.04,131,0.7,0.04,56,0.3,0.05,144,0.77,0.04,43,0.23,0.05,139,0.74,0.04,48,0.26,0.05,138,0.74,0.04,49,0.26,0.04,141,0.75,0.04,46,0.25,0.05
Hombre,1129,0.61,0.45,723,0.39,0.41,1220,0.66,0.46,632,0.34,0.4,1355,0.73,0.44,497,0.27,0.42,1496,0.81,0.44,356,0.19,0.44,1434,0.77,0.44,418,0.23,0.44,1387,0.75,0.45,465,0.25,0.41,1469,0.79,0.45,383,0.21,0.39
Mujer,1359,0.57,0.55,1041,0.43,0.59,1440,0.6,0.54,960,0.4,0.6,1708,0.71,0.56,692,0.29,0.58,1945,0.81,0.57,455,0.19,0.56,1863,0.78,0.57,537,0.22,0.56,1732,0.72,0.56,668,0.28,0.59,1804,0.75,0.55,596,0.25,0.61
18 a 20 años,5,0.5,0,5,0.5,0,7,0.7,0,3,0.3,0,8,0.8,0,2,0.2,0,9,0.9,0,1,0.1,0,9,0.9,0,1,0.1,0,7,0.7,0,3,0.3,0,8,0.8,0,2,0.2,0
21 a 30 años,128,0.62,0.05,77,0.38,0.04,119,0.58,0.05,86,0.42,0.05,146,0.71,0.05,59,0.29,0.05,173,0.84,0.05,32,0.16,0.04,153,0.75,0.05,52,0.25,0.05,149,0.73,0.05,56,0.27,0.05,152,0.74,0.05,53,0.26,0.05
31 a 40 años,527,0.53,0.21,466,0.47,0.26,562,0.57,0.21,431,0.43,0.27,686,0.69,0.22,307,0.31,0.26,808,0.81,0.24,185,0.19,0.23,757,0.76,0.23,236,0.24,0.25,678,0.68,0.22,315,0.32,0.28,735,0.74,0.23,258,0.26,0.26
41 a 50 años,716,0.57,0.29,541,0.43,0.31,763,0.61,0.29,494,0.39,0.31,907,0.72,0.3,350,0.28,0.29,1017,0.81,0.3,240,0.19,0.3,978,0.78,0.3,279,0.22,0.29,944,0.75,0.3,313,0.25,0.28,997,0.79,0.31,260,0.21,0.27
51 a 60 años,787,0.62,0.32,474,0.38,0.27,850,0.67,0.32,411,0.33,0.26,934,0.74,0.31,327,0.26,0.28,1017,0.81,0.3,244,0.19,0.3,982,0.78,0.3,279,0.22,0.29,954,0.76,0.31,307,0.24,0.27,985,0.78,0.3,276,0.22,0.28
61 a 70 años,284,0.61,0.11,180,0.39,0.1,317,0.68,0.12,147,0.32,0.09,336,0.72,0.11,128,0.28,0.11,368,0.79,0.11,96,0.21,0.12,370,0.8,0.11,94,0.2,0.1,341,0.74,0.11,123,0.27,0.11,351,0.76,0.11,113,0.24,0.12
71 a 80 años,41,0.66,0.02,21,0.34,0.01,42,0.68,0.02,20,0.32,0.01,46,0.74,0.02,16,0.26,0.01,49,0.79,0.01,13,0.21,0.02,48,0.77,0.02,14,0.23,0.02,46,0.74,0.02,16,0.26,0.01,45,0.73,0.01,17,0.27,0.02
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",14,0.78,0.01,4,0.22,0,17,0.94,0.01,1,0.06,0,15,0.83,0.01,3,0.17,0,16,0.89,0.01,2,0.11,0,17,0.94,0.01,1,0.06,0,16,0.89,0.01,2,0.11,0,17,0.94,0.01,1,0.06,0
Normal básica sin licenciatura,54,0.63,0.02,32,0.37,0.02,59,0.69,0.02,27,0.31,0.02,68,0.79,0.02,18,0.21,0.02,76,0.88,0.02,10,0.12,0.01,72,0.84,0.02,14,0.16,0.02,62,0.72,0.02,24,0.28,0.02,71,0.83,0.02,15,0.17,0.02
Normal superior,150,0.62,0.06,92,0.38,0.05,157,0.65,0.06,85,0.35,0.05,179,0.74,0.06,63,0.26,0.05,206,0.85,0.06,36,0.15,0.04,197,0.81,0.06,45,0.19,0.05,183,0.76,0.06,59,0.24,0.05,192,0.79,0.06,50,0.21,0.05
Normal Intercultural Bilingüe,4,0.8,0,1,0.2,0,4,0.8,0,1,0.2,0,4,0.8,0,1,0.2,0,4,0.8,0,1,0.2,0,4,0.8,0,1,0.2,0,4,0.8,0,1,0.2,0,4,0.8,0,1,0.2,0
Licenciatura,1077,0.59,0.43,756,0.41,0.43,1130,0.62,0.43,703,0.38,0.44,1341,0.73,0.44,492,0.27,0.41,1479,0.81,0.43,354,0.19,0.44,1426,0.78,0.43,407,0.22,0.43,1337,0.73,0.43,496,0.27,0.44,1394,0.76,0.43,439,0.24,0.45
Especialidad,29,0.59,0.01,20,0.41,0.01,28,0.57,0.01,21,0.43,0.01,31,0.63,0.01,18,0.37,0.02,33,0.67,0.01,16,0.33,0.02,36,0.74,0.01,13,0.27,0.01,37,0.76,0.01,12,0.25,0.01,30,0.61,0.01,19,0.39,0.02
Maestría,877,0.56,0.35,692,0.44,0.39,961,0.61,0.36,608,0.39,0.38,1112,0.71,0.36,457,0.29,0.38,1273,0.81,0.37,296,0.19,0.37,1212,0.77,0.37,357,0.23,0.37,1155,0.74,0.37,414,0.26,0.37,1209,0.77,0.37,360,0.23,0.37
Doctorado,273,0.63,0.11,163,0.37,0.09,294,0.67,0.11,142,0.33,0.09,301,0.69,0.1,135,0.31,0.11,342,0.78,0.1,94,0.22,0.12,322,0.74,0.1,114,0.26,0.12,314,0.72,0.1,122,0.28,0.11,344,0.79,0.11,92,0.21,0.09
Posdoctorado,10,0.71,0,4,0.29,0,10,0.71,0,4,0.29,0,12,0.86,0,2,0.14,0,12,0.86,0,2,0.14,0,11,0.79,0,3,0.21,0,11,0.79,0,3,0.21,0,12,0.86,0,2,0.14,0
Menor o igual a 10,1652,0.57,0.66,1235,0.43,0.7,1756,0.61,0.66,1131,0.39,0.71,2069,0.72,0.68,818,0.28,0.69,2334,0.81,0.68,553,0.19,0.68,2232,0.77,0.68,655,0.23,0.69,2101,0.73,0.67,786,0.27,0.69,2206,0.76,0.67,681,0.24,0.7
11 a 20,552,0.62,0.22,341,0.38,0.19,584,0.65,0.22,309,0.35,0.19,654,0.73,0.21,239,0.27,0.2,721,0.81,0.21,172,0.19,0.21,696,0.78,0.21,197,0.22,0.21,656,0.74,0.21,237,0.27,0.21,699,0.78,0.21,194,0.22,0.2
21 a 30,284,0.6,0.11,188,0.4,0.11,320,0.68,0.12,152,0.32,0.1,340,0.72,0.11,132,0.28,0.11,386,0.82,0.11,86,0.18,0.11,369,0.78,0.11,103,0.22,0.11,362,0.77,0.12,110,0.23,0.1,368,0.78,0.11,104,0.22,0.11
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,1939,0.58,0.78,1407,0.42,0.8,2082,0.62,0.78,1264,0.38,0.79,2412,0.72,0.79,934,0.28,0.79,2706,0.81,0.79,640,0.19,0.79,2576,0.77,0.78,770,0.23,0.81,2442,0.73,0.78,904,0.27,0.8,2571,0.77,0.79,775,0.23,0.79
Interino,83,0.62,0.03,51,0.38,0.03,85,0.63,0.03,49,0.37,0.03,93,0.69,0.03,41,0.31,0.03,110,0.82,0.03,24,0.18,0.03,110,0.82,0.03,24,0.18,0.03,103,0.77,0.03,31,0.23,0.03,104,0.78,0.03,30,0.22,0.03
No tengo nombramiento,273,0.59,0.11,188,0.41,0.11,295,0.64,0.11,166,0.36,0.1,348,0.76,0.11,113,0.25,0.1,385,0.84,0.11,76,0.17,0.09,374,0.81,0.11,87,0.19,0.09,348,0.76,0.11,113,0.25,0.1,355,0.77,0.11,106,0.23,0.11
Otro,193,0.62,0.08,118,0.38,0.07,198,0.64,0.07,113,0.36,0.07,210,0.68,0.07,101,0.33,0.09,240,0.77,0.07,71,0.23,0.09,237,0.76,0.07,74,0.24,0.08,226,0.73,0.07,85,0.27,0.08,243,0.78,0.07,68,0.22,0.07
GENERAL PÚBLICA,1589,0.57,0.64,1190,0.43,0.68,1698,0.61,0.64,1081,0.39,0.68,2003,0.72,0.65,776,0.28,0.65,2232,0.8,0.65,547,0.2,0.67,2127,0.77,0.65,652,0.24,0.68,2019,0.73,0.65,760,0.27,0.67,2089,0.75,0.64,690,0.25,0.71
INDÍGENAS,239,0.65,0.1,130,0.35,0.07,247,0.67,0.09,122,0.33,0.08,263,0.71,0.09,106,0.29,0.09,317,0.86,0.09,52,0.14,0.06,302,0.82,0.09,67,0.18,0.07,279,0.76,0.09,90,0.24,0.08,306,0.83,0.09,63,0.17,0.06
TÉCNICA,344,0.61,0.14,217,0.39,0.12,372,0.66,0.14,189,0.34,0.12,405,0.72,0.13,156,0.28,0.13,449,0.8,0.13,112,0.2,0.14,428,0.76,0.13,133,0.24,0.14,416,0.74,0.13,145,0.26,0.13,444,0.79,0.14,117,0.21,0.12
TELESECUNDARIA,316,0.58,0.13,227,0.42,0.13,343,0.63,0.13,200,0.37,0.13,392,0.72,0.13,151,0.28,0.13,443,0.82,0.13,100,0.18,0.12,440,0.81,0.13,103,0.19,0.11,405,0.75,0.13,138,0.25,0.12,434,0.8,0.13,109,0.2,0.11
Total,2488,0.59,1,1764,0.42,1,2660,0.63,1,1592,0.37,1,3063,0.72,1,1189,0.28,1,3441,0.81,1,811,0.19,1,3297,0.78,1,955,0.23,1,3119,0.73,1,1133,0.27,1,3273,0.77,1,979,0.23,1
